# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,-30.20,1.50,-35.00,10.50,24.20,34.30
0.07,0.00,0.00,-30.90,0.30,-34.50,10.80,24.60,34.50
0.13,0.00,0.00,-30.80,0.40,-35.10,10.70,24.80,32.30
0.19,0.00,0.00,-29.60,0.10,-35.40,10.60,24.70,34.80
0.26,0.00,0.00,-32.70,-0.30,-35.00,10.50,23.70,33.10
0.32,0.00,0.00,-30.80,0.40,-35.40,10.60,24.40,34.90
0.39,0.00,0.00,-28.70,0.70,-33.50,10.20,24.10,33.80
0.45,0.00,0.00,-30.30,-1.60,-35.90,10.20,24.70,36.60
0.51,0.00,0.00,-30.90,0.70,-36.00,10.60,24.00,33.50
0.57,0.00,0.00,-31.10,0.90,-36.50,10.50,24.30,33.20
0.64,0.00,0.00,-31.80,0.40,-34.70,10.20,24.30,34.90
0.70,0.00,0.00,-31.50,1.60,-34.40,10.60,24.50,35.20
0.77,0.00,0.00,-30.90,1.50,-35.60,11.10,24.10,35.70
0.83,0.00,0.00,-30.90,1.50,-35.60,10.80,24.50,33.40
0.89,0.00,0.00,-29.30,0.10,-35.10,11.00,23.90,33.30
0.96,0.00,0.00,-29.80,-0.30,-35.30,10.70,24.30,32.70
1.02,0.00,0.00,-30.20,0.70,-35.00,10.10,23.80,33.90
1.09,0.00,0.00,-30.90,-1.00,-33.00,10.50,24.10,34.90
1.15,0.00,0.00,-30.50,-0.30,-35.30,11.10,24.20,33.20
1.21,0.00,0.00,-31.80,0.10,-35.10,10.60,24.10,34.10
1.28,0.00,0.00,-31.80,0.10,-35.10,10.20,24.20,35.50
1.34,0.00,0.00,-31.70,0.30,-35.00,10.30,24.30,35.90
1.40,0.00,0.00,-30.90,-0.30,-34.50,10.50,23.70,32.50
1.47,0.00,0.00,-30.00,-0.10,-35.10,10.40,24.10,34.00
1.53,0.00,0.00,-30.00,-0.10,-35.10,10.50,24.20,33.80
1.60,0.00,0.00,-30.20,2.20,-34.50,11.20,24.50,34.60
1.66,0.00,0.00,-29.80,0.30,-34.50,10.50,23.80,35.60
1.72,0.00,0.00,-29.80,0.30,-34.50,10.60,24.00,34.60
1.79,0.00,0.00,-30.30,0.10,-35.10,10.40,24.10,35.70
1.85,0.00,0.00,-30.30,0.10,-35.10,10.50,24.30,33.70
