# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.06,1.00,5.00,-34.20,1.50,-29.80,4.90,2.10,16.20
0.12,1.00,5.00,-34.20,1.50,-29.80,3.80,2.20,19.40
0.19,1.00,5.00,-34.80,2.10,-24.50,5.10,2.40,18.70
0.25,1.00,5.00,-34.70,2.50,-27.70,6.40,2.80,19.20
0.31,1.00,5.00,-34.10,0.40,-28.90,5.00,2.60,18.60
0.38,1.00,5.00,-34.10,0.40,-28.90,5.80,2.40,19.10
0.44,0.00,5.00,-35.70,0.00,-29.80,6.40,2.70,17.40
0.51,1.00,5.00,-35.60,0.10,-30.00,7.00,2.80,16.80
0.57,1.00,5.00,-33.50,0.00,-34.50,6.90,2.70,16.70
0.63,1.00,5.00,-35.70,0.70,-34.50,6.90,2.60,16.20
0.70,1.00,5.00,-36.50,0.70,-33.80,7.30,2.30,16.90
0.76,1.00,5.00,-36.50,0.70,-33.80,6.50,2.70,16.40
0.82,1.00,5.00,-37.20,1.80,-32.30,7.80,2.30,17.80
0.89,1.00,5.00,-34.20,0.70,-32.00,7.80,2.40,19.60
0.95,1.00,5.00,-35.40,-0.30,-34.20,7.60,3.00,18.30
1.02,1.00,5.00,-35.40,-0.30,-34.20,7.00,3.20,19.30
1.08,1.00,5.00,-36.50,-0.30,-32.00,5.50,2.60,19.80
1.14,0.00,5.00,-36.30,0.90,-32.60,7.80,2.50,19.50
1.21,0.00,5.00,-36.60,-1.20,-31.40,7.00,2.60,19.50
1.27,0.00,5.00,-36.60,-1.20,-31.40,7.30,2.60,19.50
1.34,0.00,5.00,-34.10,0.90,-30.60,7.80,2.50,18.10
1.40,0.00,5.00,-33.90,1.50,-30.90,7.30,2.80,17.50
1.46,0.00,5.00,-34.70,1.50,-29.80,7.10,2.50,17.10
1.53,0.00,5.00,-34.80,0.40,-31.10,7.50,2.50,16.00
1.59,0.00,5.00,-35.90,1.60,-30.30,7.30,2.90,16.40
1.66,0.00,5.00,-35.40,1.00,-32.00,7.60,2.90,16.10
1.72,0.00,5.00,-34.70,0.70,-32.70,7.30,2.10,16.50
1.78,0.00,5.00,-34.70,-0.30,-32.70,7.20,2.60,16.90
1.85,0.00,5.00,-34.70,-0.30,-32.70,6.50,3.00,16.70
1.91,0.00,5.00,-35.10,-0.10,-31.10,7.00,2.80,16.20
1.97,0.00,5.00,-35.40,2.20,-33.00,7.80,2.80,15.70
2.10,0.00,5.00,-34.10,2.80,-32.10,7.10,2.80,15.70
2.17,0.00,5.00,-34.10,2.80,-32.10,8.20,3.10,14.60
2.23,0.00,5.00,-35.10,2.40,-31.40,7.20,2.80,14.90
2.29,1.00,5.00,-35.10,2.40,-31.40,8.50,2.90,14.90
2.36,1.00,5.00,-34.40,3.60,-31.40,6.40,3.00,14.20
2.42,1.00,5.00,-34.40,3.60,-31.40,4.50,3.10,14.40
2.48,1.00,5.00,-34.80,2.40,-31.10,5.40,3.20,15.30
2.55,1.00,5.00,-35.10,2.40,-30.30,5.70,3.20,15.00
2.61,0.00,5.00,-33.90,3.40,-31.20,6.10,3.10,14.70
2.68,1.00,5.00,-33.90,3.40,-31.20,6.70,2.80,14.60
2.74,0.00,5.00,-34.10,0.90,-30.00,7.30,3.10,15.00
2.80,0.00,5.00,-35.10,3.60,-29.60,5.70,3.10,14.70
2.87,0.00,5.00,-35.10,3.60,-29.60,4.70,3.50,14.80
2.93,0.00,5.00,-33.50,4.20,-28.70,3.10,3.40,15.00
3.00,0.00,5.00,-33.20,1.50,-28.70,6.20,3.20,14.30
3.06,0.00,5.00,-32.90,3.60,-28.10,5.50,2.80,14.20
3.12,0.00,5.00,-32.90,3.60,-28.10,5.80,3.30,14.00
3.19,1.00,5.00,-33.50,3.00,-32.30,5.40,3.30,14.50
3.25,1.00,5.00,-32.00,2.20,-29.20,5.90,2.80,14.30
3.32,0.00,5.00,-33.30,2.80,-31.10,5.90,3.00,13.60
3.38,1.00,5.00,-33.50,3.40,-30.50,5.00,2.80,13.20
3.44,1.00,5.00,-32.70,1.80,-30.50,5.40,2.60,14.80
