# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-49.20,23.20,-46.00,15.90,12.60,26.20
0.06,1.00,0.00,-50.80,24.50,-45.10,15.50,12.40,27.00
0.12,1.00,0.00,-52.20,23.90,-46.30,14.80,12.70,27.70
0.18,1.00,0.00,-52.20,23.90,-46.30,14.90,11.80,28.50
0.25,1.00,0.00,-49.00,24.50,-46.90,15.30,13.10,27.20
0.31,1.00,0.00,-48.30,26.00,-45.90,15.50,12.80,26.80
0.38,0.00,0.00,-48.90,24.20,-46.00,16.40,13.50,24.50
0.44,1.00,0.00,-48.90,24.20,-46.00,16.20,13.20,23.10
0.50,1.00,0.00,-47.80,26.80,-44.70,16.30,13.40,22.80
0.57,1.00,0.00,-46.80,25.30,-46.90,15.20,13.20,23.20
0.63,1.00,0.00,-48.60,24.50,-48.70,16.10,13.00,22.10
0.70,1.00,0.00,-46.80,23.60,-45.90,15.40,12.90,22.70
0.76,1.00,0.00,-46.90,26.60,-46.80,14.20,11.90,23.40
0.82,1.00,0.00,-50.80,26.30,-46.60,12.80,11.50,23.70
0.89,1.00,0.00,-49.80,25.60,-47.20,12.60,11.60,24.60
0.95,1.00,0.00,-47.50,26.00,-47.20,13.60,12.10,22.80
1.02,1.00,0.00,-48.40,26.90,-45.60,13.70,12.20,22.30
1.08,1.00,0.00,-46.60,25.40,-45.30,13.40,12.30,21.40
1.14,1.00,0.00,-46.90,26.60,-46.30,14.10,12.60,20.10
1.21,1.00,0.00,-47.50,26.80,-45.10,12.90,12.00,19.80
1.27,1.00,0.00,-47.50,26.80,-45.10,12.50,12.60,20.20
1.33,1.00,0.00,-46.50,25.30,-46.20,11.80,12.40,22.10
1.40,1.00,0.00,-46.50,25.30,-46.20,11.60,11.70,22.10
1.46,1.00,0.00,-47.40,24.20,-46.30,11.00,11.80,24.00
1.52,0.00,0.00,-48.30,26.80,-45.40,11.00,12.20,24.20
1.59,1.00,0.00,-47.40,25.40,-46.00,10.90,12.30,25.60
1.65,1.00,0.00,-47.40,25.40,-46.00,10.50,12.60,24.90
1.71,1.00,0.00,-48.40,24.20,-46.00,10.60,12.40,24.20
1.78,1.00,0.00,-49.80,27.10,-46.20,9.70,12.50,20.40
1.84,1.00,0.00,-48.40,25.00,-45.30,9.80,12.70,19.50
1.91,1.00,0.00,-48.40,25.00,-45.30,9.80,12.50,20.40
1.97,1.00,0.00,-46.50,26.80,-47.20,9.60,12.50,21.50
2.03,1.00,0.00,-48.30,23.60,-46.90,9.60,12.60,23.00
2.10,1.00,0.00,-47.20,26.00,-45.40,10.30,13.20,23.00
2.16,1.00,0.00,-47.20,26.00,-45.40,9.90,13.50,23.10
2.22,1.00,0.00,-47.80,23.60,-47.20,9.80,12.80,22.40
2.29,1.00,0.00,-46.80,24.80,-45.90,9.30,13.20,22.50
2.35,1.00,0.00,-46.90,24.20,-46.00,9.00,12.90,22.60
2.42,1.00,0.00,-48.90,27.40,-45.00,8.90,14.10,16.20
2.48,1.00,0.00,-48.90,27.40,-45.00,8.90,13.40,16.10
2.54,1.00,0.00,-48.60,27.50,-45.90,9.20,13.50,20.00
2.61,1.00,0.00,-48.90,27.40,-46.80,9.10,13.50,19.90
2.67,1.00,0.00,-46.60,26.90,-45.00,8.60,13.80,20.80
2.73,1.00,0.00,-46.60,26.90,-45.00,8.90,13.80,20.80
