# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.06,-5.63,25.40,97.94,7.40,7.90,12.50
0.12,-5.77,25.49,98.02,6.70,7.40,12.10
0.19,-5.77,25.51,97.93,6.90,7.40,11.80
0.25,-5.91,25.56,97.94,6.80,7.70,12.20
0.38,-6.12,25.54,97.83,7.30,7.40,12.10
0.44,-6.08,25.73,97.96,7.10,7.80,12.40
0.50,-6.17,25.76,97.91,7.10,8.00,12.00
0.57,-6.27,25.72,97.86,7.20,7.30,12.20
0.70,-6.21,25.75,97.75,7.40,7.70,12.00
0.76,-6.23,25.74,97.77,7.00,7.70,12.50
0.82,-6.29,25.79,97.78,7.10,7.70,12.30
0.89,-6.38,25.81,97.89,7.20,7.20,11.80
1.01,-6.37,25.88,97.78,7.30,7.70,11.90
1.08,-6.60,25.99,97.89,7.10,7.40,12.20
1.14,-6.37,25.99,97.74,7.60,7.60,11.90
1.20,-6.24,25.54,97.75,7.60,7.40,12.10
1.33,-7.24,23.60,98.37,7.10,7.80,12.60
1.39,-6.75,25.60,97.83,7.10,7.60,12.30
1.46,-6.77,25.87,97.72,7.10,7.60,12.40
1.52,-9.80,30.75,97.16,7.50,7.50,12.70
1.65,-6.03,16.77,98.38,6.30,8.70,12.00
1.71,-10.66,28.06,97.64,7.50,7.80,12.80
1.77,-8.22,21.95,98.49,6.40,7.70,13.50
1.84,-15.03,37.68,91.68,7.20,6.20,13.40
1.96,-6.35,29.06,97.01,7.00,8.10,13.20
2.03,-8.82,19.18,98.57,7.20,8.60,12.30
2.09,-8.90,25.97,97.13,6.70,8.00,12.20
2.15,-8.72,25.00,98.02,6.90,8.00,12.20
2.28,-10.69,24.80,98.59,6.70,7.70,13.00
2.34,-5.78,37.51,98.58,6.30,8.10,14.20
2.41,-4.72,34.33,120.01,6.40,9.10,12.50
2.47,9.63,32.64,97.85,7.30,9.90,14.60
2.60,9.62,32.23,84.90,10.20,8.80,39.40
2.66,16.99,52.14,71.67,12.90,8.50,41.30
2.72,12.77,52.33,79.89,15.30,8.10,41.60
2.79,-0.85,49.77,80.19,24.10,7.30,37.20
2.92,-0.65,72.99,72.20,32.20,6.90,35.00
2.98,-2.44,71.62,57.91,32.10,6.90,35.40
3.04,-8.42,77.10,57.00,12.70,5.60,51.20
3.11,-8.65,91.24,62.15,11.90,4.40,69.70
