# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-10.82,74.59,63.25,21.40,2.70,45.60
0.13,-10.90,75.04,62.66,21.10,2.20,45.70
0.19,-10.53,76.78,61.08,20.50,3.10,44.20
0.25,-10.61,77.09,60.39,20.90,3.10,43.80
0.32,-10.17,78.08,59.14,20.80,3.30,44.10
0.45,-10.74,78.09,58.63,20.30,2.60,46.10
0.51,-10.22,78.22,58.69,20.30,2.70,45.10
0.57,-9.98,78.60,58.83,21.50,3.30,120.00
0.64,-10.98,77.80,59.34,21.60,3.90,47.20
0.76,-10.21,77.74,59.42,21.30,3.80,45.80
0.83,-10.74,77.67,60.71,20.90,3.00,46.00
0.89,-11.30,76.35,61.85,22.40,3.20,45.30
0.95,-10.82,78.27,59.33,22.90,2.60,47.30
1.08,-11.77,78.25,59.76,22.90,3.10,45.60
1.15,-11.44,78.24,58.97,22.00,2.20,45.70
1.21,-10.46,79.21,57.59,21.40,2.60,44.80
1.27,-11.90,78.05,59.27,24.50,2.20,47.10
1.40,-9.02,80.91,56.38,23.40,2.90,47.20
1.47,-9.36,77.73,58.67,22.80,3.50,45.80
1.53,-10.72,78.10,58.98,21.90,3.60,46.40
1.59,-11.14,78.64,57.68,22.40,3.00,46.90
1.72,-9.77,79.85,55.60,22.90,3.50,47.30
1.79,-10.26,80.04,54.80,22.70,3.70,48.20
1.85,-10.75,82.20,53.27,22.80,4.00,47.20
1.91,-9.74,84.20,49.65,22.20,3.80,48.00
2.04,-10.30,83.00,52.39,23.50,3.60,47.90
2.10,-9.75,80.30,53.22,22.00,3.40,47.10
2.17,-10.21,83.37,50.57,23.20,2.50,48.70
2.23,-10.46,82.88,51.36,22.30,3.70,49.40
2.36,-11.50,83.87,49.08,22.00,2.60,46.90
2.42,-10.51,82.64,50.93,22.20,1.80,47.60
2.49,-13.01,75.13,52.16,22.00,2.60,49.30
2.55,-12.48,83.70,50.60,21.30,2.70,47.90
2.68,-12.24,84.82,48.02,22.30,2.10,48.40
2.74,-12.12,75.50,54.00,21.70,1.80,48.40
2.81,-12.08,85.99,49.60,22.20,2.30,48.40
2.93,-13.94,84.42,48.74,21.60,2.70,49.10
3.00,-14.75,81.88,50.25,21.90,2.60,48.00
3.06,-15.33,84.27,48.85,20.90,2.00,48.10
3.13,-15.72,83.02,49.15,20.80,1.90,48.20
3.25,-16.25,83.50,48.57,21.00,2.30,49.90
3.31,-16.94,84.03,47.86,21.70,2.20,48.20
3.38,-17.32,83.70,43.47,23.20,2.10,48.90
3.44,-14.48,87.60,41.65,20.90,2.30,49.80
3.57,-10.55,89.89,40.72,21.20,2.60,50.30
3.63,-11.90,86.19,39.86,20.50,2.00,50.30
3.69,-11.71,87.01,44.36,21.10,2.60,52.40
3.76,-13.65,85.92,42.84,22.00,2.50,52.90
3.88,-11.93,86.11,43.62,20.10,2.50,52.40
3.95,-13.23,82.92,47.33,21.50,2.50,52.30
4.01,-11.88,85.47,48.05,20.80,3.10,52.00
4.08,-10.59,86.77,46.61,19.40,2.90,50.20
4.20,-11.78,84.67,49.01,20.10,2.40,49.40
4.27,-9.89,86.22,44.96,19.80,2.10,50.80
4.33,-10.39,84.46,46.35,20.40,2.60,50.10
4.40,-10.63,84.83,45.83,120.00,2.20,51.40
4.52,-13.39,84.22,46.84,19.60,1.80,51.60
4.59,-11.18,83.39,48.53,19.30,2.60,51.30
4.65,-11.82,82.82,49.95,20.20,2.50,51.10
4.72,-12.35,84.02,48.64,19.50,2.20,51.80
4.84,-13.46,84.12,48.90,20.80,2.10,50.30
4.91,-13.25,83.42,49.74,19.10,2.00,52.10
4.97,-13.02,83.26,49.95,20.00,1.90,52.80
5.04,-13.24,82.82,51.29,19.40,2.40,50.50
5.16,-13.34,84.09,47.56,19.30,2.10,48.60
5.23,-13.79,84.58,47.47,20.00,1.90,51.60
5.29,-13.75,82.86,49.99,20.90,2.20,51.70
5.35,-13.65,83.78,49.82,19.10,2.90,52.40
5.48,-15.22,82.15,51.21,18.90,3.40,49.40
5.54,-16.44,83.64,49.60,17.60,3.70,50.90
5.61,-13.67,84.36,46.83,19.30,2.80,50.70
5.67,-14.42,84.47,47.16,19.20,2.50,50.90
5.80,-12.12,83.16,51.72,19.30,1.90,50.80
5.86,-14.12,81.16,52.87,18.20,2.20,53.20
5.93,-14.21,83.56,49.08,19.20,2.00,52.60
5.99,-13.96,84.16,48.88,18.10,2.10,51.00
6.12,-16.46,81.67,52.84,16.50,2.40,51.60
6.18,-13.77,77.76,58.08,16.90,2.70,51.00
6.25,-13.13,80.44,55.99,16.90,2.50,48.30
6.31,-13.54,82.04,51.87,17.20,2.30,50.50
6.44,-15.07,81.85,52.20,18.40,1.50,52.50
6.50,-14.05,81.95,51.86,17.80,2.40,51.70
6.56,-11.22,82.88,47.95,18.50,3.00,50.20
6.69,-14.12,86.10,48.85,18.20,1.70,52.60
6.76,-12.01,77.50,52.10,17.90,2.50,50.90
6.82,-14.24,82.87,51.73,17.40,2.30,52.10
6.95,-11.24,76.40,60.46,17.10,2.60,50.80
7.01,-11.96,77.39,58.75,17.00,2.60,49.20
7.08,-11.83,79.45,56.68,17.30,2.30,50.60
7.14,-15.52,87.13,44.13,17.60,4.20,51.00
7.27,-18.65,85.03,43.58,17.80,3.60,50.80
7.33,-17.45,89.12,31.10,17.30,3.50,51.60
7.40,-17.53,83.25,45.42,17.30,4.10,50.20
7.46,-16.88,86.61,43.70,17.30,3.70,51.00
7.59,-15.70,84.66,45.77,16.90,3.60,54.20
7.65,-15.39,85.46,45.54,15.90,3.40,50.50
7.72,-15.00,85.54,45.69,16.50,3.20,51.50
7.78,-15.17,85.05,46.25,16.90,3.30,50.80
7.90,-15.58,81.54,49.71,17.00,3.90,50.80
7.97,-15.39,82.57,50.01,17.00,4.10,52.00
8.03,-15.55,82.03,48.55,16.80,3.90,49.80
8.10,-14.58,86.22,46.81,16.50,2.90,51.40
8.22,-17.95,84.34,45.10,15.80,3.30,52.20
8.29,-16.68,85.50,44.92,15.70,3.50,51.30
8.35,-13.42,88.58,35.14,15.30,3.60,52.60
8.41,-13.85,88.07,37.76,14.70,2.90,50.20
8.54,-17.43,90.03,38.37,15.10,2.90,53.30
8.61,-20.10,92.22,33.84,15.50,2.70,53.60
8.67,-21.84,88.71,32.15,15.80,3.30,55.20
8.73,-15.12,89.78,36.47,16.00,2.80,54.10
8.86,-13.56,91.41,30.74,16.00,2.30,55.20
8.92,-15.06,90.10,32.81,15.40,2.50,53.30
8.99,-16.39,89.58,33.44,14.60,2.50,54.70
9.05,-17.61,90.99,31.71,15.80,2.60,120.00
9.18,-16.03,92.46,32.32,14.80,3.00,51.30
9.24,-18.07,87.77,38.53,15.70,2.30,52.20
9.30,-18.05,87.84,38.51,16.00,2.30,51.50
9.37,-18.01,87.77,38.48,16.00,2.90,52.40
9.50,-18.07,87.80,38.48,15.30,2.40,51.10
9.56,-18.12,87.73,38.43,15.80,3.50,53.50
9.62,-18.18,87.66,38.65,15.40,2.50,51.80
9.69,-18.20,87.56,38.59,15.90,2.10,52.70
9.81,-18.27,87.64,38.46,15.70,3.00,49.20
9.87,-18.34,87.72,38.57,16.30,3.20,47.80
9.94,-18.33,87.73,38.53,15.80,2.40,49.60
10.00,-18.37,87.62,38.57,15.60,2.80,52.30
10.13,-18.40,87.70,38.64,15.70,2.60,49.40
10.19,-18.39,87.58,38.58,15.60,3.00,51.80
10.26,-18.43,87.64,38.59,16.00,2.70,50.40
10.32,-18.38,87.70,38.60,15.80,2.50,48.30
10.45,-18.46,87.69,38.64,15.50,1.90,50.50
10.51,-18.49,87.65,38.70,15.20,2.40,120.00
10.58,-18.46,87.62,38.49,16.00,2.50,51.70
10.64,-18.44,87.57,38.51,15.00,2.80,49.90
