# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.05,1,0,-41.3,6.9,8.4,54,3.1,7.5
0.11,1,0,-41.3,6.9,8.4,53.1,3.4,7.7
0.18,1,0,-41.3,6.9,8.4,55.2,3.5,7.7
0.44,0,0,-39.5,7.6,8.4,54.5,3,7.7
0.44,0,0,-40.5,7.2,6.9,55.9,3.1,7.8
0.66,1,0,-39.6,5.8,8.5,54.2,3.3,8
0.94,1,0,-39.5,7.2,6.4,55.1,3.2,7.6
0.94,1,0,-38.4,11.7,1.5,58.1,3.4,7.4
1.1,1,0,-38,11.4,0,59.4,3.2,7
1.16,1,0,-38.7,13.8,4.3,55.8,3.2,7.9
1.22,1,0,-39,13.3,1,51.1,2.8,7.3
1.28,1,0,-38.1,13.2,0.4,49,2.6,7.5
1.35,1,0,-38.1,13.2,0.4,46.4,3,7.2
1.41,1,0,-38.4,15.8,1.2,40.8,3.5,7.4
1.47,1,0,-39,17.9,-1.3,38.7,3.4,7.6
1.53,1,0,-38.7,18.4,-0.3,39.3,3.3,7.6
1.59,1,0,-38.7,18.4,-0.3,38.5,3.2,6.9
1.66,1,0,-38.9,17.3,-0.4,37,2.9,7.5
1.72,1,0,-39.6,17,-0.9,37.9,3.4,7.4
2,1,0,-39.5,17.2,-1.3,38,3.1,7.5
2.08,1,0,-40.4,16.1,-4.2,37.5,3.5,7.5
2.14,1,0,-41,17.5,-6.9,37.9,3.4,7.6
2.2,1,0,-42.3,18.4,-9,37.9,3.1,7.3
2.27,1,0,-42.6,18.1,-11.1,39.3,3.2,7.5
2.33,1,0,-42.9,17.8,-12.6,41,3.1,7.4
2.39,1,0,-43.1,17.5,-14.5,43.8,3.3,7.3
2.45,1,0,-43.7,20,-20.9,43.2,3.4,7.7
2.53,1,0,-42.3,17.5,-24.7,42.6,3.9,7.6
2.53,1,0,-43.1,16.7,-29.5,45.6,3.5,7.4
2.72,1,0,-43.1,16.7,-29.5,44,3.3,7.3
2.78,1,0,-42,15.2,-35.3,45.8,3.9,7.3
2.84,1,0,-42.3,16,-35.3,21.3,2.9,7.6
2.91,1,0,-42.3,16,-35.3,5.6,3.5,7.6
2.97,1,0,-41.3,15.2,-35.3,4.5,3.4,7.5
3.03,1,0,-40.5,16,-36,5.2,3.6,7.8
3.09,1,0,-41.1,16.1,-36.9,5.8,3,7.5
3.16,1,0,-41.1,16.1,-36.9,6,3.3,7.4
3.22,1,0,-41.1,18.5,-37.2,4.9,3.6,7.4
3.28,1,0,-42.6,16.1,-38.7,5.3,3.3,7.1
3.59,1,0,-42,16.4,-39.6,4.8,3.5,7.1
3.79,1,0,-41.3,17.2,-39.6,4.5,3.4,7.7
3.79,1,5,-35.7,28,-34.2,7.7,5.9,9.8
4.05,1,5,-30.9,30.9,-26.5,4.1,7.7,16.2
4.11,0,2,-42.9,27.4,-41.3,5.9,5.1,16.6
4.17,1,1,-43.7,17,-45.3,3.8,4.1,14.9
4.24,1,0,-50.5,25.6,-46.2,3.8,4.3,13.7
4.31,1,0,-46.9,29.6,-43.1,3.9,4.1,12.2
4.51,1,3,-33.2,27.1,-36.3,3.9,4.7,13.8
