# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.12,1,0,-32.9,20.5,-44.6,4.3,4.2,6.8
0.18,1,0,-32.9,20.5,-44.6,5.1,4.1,6.9
0.24,1,0,-31.5,19.3,-43.8,5.4,3.9,7.1
0.31,1,0,-33.6,21.2,-45.6,6,3.9,7.6
0.37,1,0,-33.5,21.8,-45.1,5.9,4,7.7
0.43,1,3,-32.3,21.5,-42.8,5.7,3.8,7.7
0.5,1,0,-31.1,20.5,-45,4.8,4.5,7.3
0.56,1,0,-31.2,16.7,-44.7,4.6,3.8,7.6
0.62,1,3,-31.2,16.7,-44.7,4.3,3.8,8.1
1.32,1,3,-28,7.2,-41.4,3.5,51.8,6.9
1.38,1,3,-25.6,7.8,-42,3.7,120,6.8
1.44,1,3,-28.4,4.2,-44.7,3.4,120,8.1
1.51,1,3,-28.7,3,-43.7,4.4,39.8,8.2
2.64,1,3,-48.1,-8.5,-49.6,120,28.1,6.3
2.95,1,3,-45.3,-4.5,-51,120,26.9,7.8
3.01,1,0,-49.2,-5.5,-52.9,44.8,22.5,10.1
3.08,1,0,-51.4,-3.6,-52.9,54.3,21.9,11
3.14,1,0,-51.4,-4.8,-52.6,25.7,22,12
3.39,1,3,-52,-7.2,-51.3,120,23.3,12
3.45,1,0,-52,-7.2,-51.3,34.2,24.9,12.9
3.52,1,3,-48.1,-6.3,-49.6,120,22.6,16.4
3.58,1,3,-50.5,-5.2,-51.3,120,19.7,20.8
3.64,1,3,-52.3,-4.9,-51,120,18.1,22.2
3.71,1,3,-54.1,-6.1,-49.8,49.7,17.7,21.7
3.77,1,3,-53.7,-6.3,-51.9,120,18,20.9
3.83,1,3,-53.7,-6.3,-51.9,120,18.3,23
3.89,1,3,-53.7,-6.3,-51.9,120,18.4,23.2
3.95,1,3,-51.6,-5.2,-50.2,120,18.7,19.1
4.02,1,3,-53.1,-5.2,-51,80.6,18.5,20.6
4.08,1,3,-56.2,-7,-50.8,120,18.9,23.2
4.15,1,3,-55.5,-7,-49.3,120,17.4,44
4.21,1,3,-54.7,-6.6,-48.6,120,17.6,57.7
4.27,1,3,-52.9,-8.2,-48.9,120,17.6,46.2
4.33,1,3,-52.9,-8.2,-48.9,120,17.9,39.7
4.4,1,3,-53.8,-7.6,-49.5,120,17.5,120
4.46,1,3,-53.7,-9.3,-49.3,120,17.5,120
4.52,1,3,-53.4,-9.9,-46.6,120,17,120
4.59,1,3,-55.2,-15.4,-44.3,120,14.8,120
4.65,1,3,-56.1,-14.5,-45.1,59.9,16.3,120
4.71,1,3,-54.9,-13,-44,120,16.8,120
4.78,1,3,-54.9,-13,-44,120,17.5,120
4.84,1,3,-52.8,-13.8,-42.6,120,17.2,120
4.9,1,3,-50.7,-14.7,-43.5,120,16.4,120
4.96,1,3,-50.8,-13.3,-42.2,120,17.3,120
5.03,1,3,-48.6,-13,-43.7,120,18.9,120
5.09,1,3,-50.5,-11.1,-43.7,110.8,19.3,120
5.15,1,3,-49.6,-12.7,-44.3,120,20.5,37.9
5.22,1,3,-48.3,-12.3,-44,120,20.2,120
5.28,1,3,-48.3,-12.3,-44,120,19.8,120
5.34,1,3,-48.3,-12.3,-44,120,18.8,120
5.4,1,3,-46,-13,-40.8,120,19.2,120
5.46,1,3,-45,-13.3,-41.9,120,20.8,120
5.53,1,3,-44.4,-9.3,-40.2,120,22.7,36.4
5.59,1,3,-45,-14.5,-38.9,120,19.6,120
5.65,1,3,-46,-14.5,-36.8,120,20.1,120
5.72,1,3,-46,-14.5,-36.8,120,21.7,120
5.78,1,3,-46,-14.5,-36.8,120,24.9,45.9
5.84,1,3,-39.2,-9.7,-35.9,120,29,29
5.91,1,3,-38.7,-11.1,-36.3,120,27.3,30.8
5.91,1,3,-38.4,-10.5,-33.6,120,25.9,32.7
5.98,1,3,-39.5,-11.1,-33.8,120,23.6,52.1
6.05,1,3,-36.8,-10.3,-34.5,120,28.8,30.4
6.11,1,3,-36.8,-10.3,-34.5,120,27.1,31.4
6.18,1,3,-36.8,-10.3,-34.5,120,30.1,29.3
6.24,1,3,-36.3,-8.5,-33.9,120,29.9,120
6.3,1,3,-36,-11.4,-32,120,30,39.1
6.36,1,3,-36,-11.4,-32,120,29.1,40.9
6.43,1,3,-35.9,-10.5,-31.1,120,27.8,42.4
