# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0,0,0,0,0,0,0,0,0
0,1,5,-30.3,25.4,-42,3.8,3.6,9.9
0.06,1,5,-28.7,22.9,-40.1,3.6,4.2,9.1
0.12,1,5,-28.7,21.4,-39.6,3.8,3.7,8.3
0.18,1,5,-28.7,21.4,-39.6,3.7,3.9,8.6
0.25,1,5,-29.3,23.5,-41.7,3.6,4.2,10
0.31,1,5,-30.3,21.5,-41.3,3.9,3.6,10.2
0.37,1,5,-29.2,22.1,-41.1,4.3,4.1,9.5
0.43,1,5,-29.5,21.4,-41.1,3.7,4.2,9.9
0.5,1,5,-29.5,21.4,-41.1,4.3,3.9,10.5
0.56,1,5,-29.5,21.4,-41.1,4.6,4,10.2
0.62,1,5,-28.1,22,-41,4.2,3.9,8.6
0.68,1,5,-29.5,26.3,-38.6,4,3.4,6.6
0.81,1,5,-34.2,30.9,-40.1,5.6,4,9.2
0.87,1,3,-34.2,30.9,-40.1,5.9,3.8,8.1
0.94,1,5,-30.8,26.9,-39.2,6.1,4.6,6.9
1,1,5,-31.1,27.7,-38.4,5.6,4.5,6.4
1.06,1,0,-31.7,29,-37.8,5.9,4.4,6.1
1.12,1,0,-31.7,29,-37.8,5.6,4.8,6.3
1.19,1,2,-33.9,32.9,-35.3,4.3,5.6,4.7
1.25,1,0,-33.9,32.9,-35.3,5.1,4.9,5
1.31,1,2,-32.9,33,-36.2,4.8,7.2,3.8
1.38,1,2,-32.9,33,-36.2,5.7,6.6,4.7
1.44,1,2,-31.7,31.7,-35.3,5.9,6.6,4.5
1.5,1,2,-33.6,33.8,-33.6,6.4,6.8,4.1
1.57,1,2,-33.9,33.2,-33.8,5.5,6.8,3.8
1.63,1,2,-33.9,33.2,-33.8,5.9,7.1,3.7
1.69,1,2,-34.4,36.9,-33.9,5.4,9.2,2.7
1.76,1,2,-34.8,38.4,-32.9,5.6,8.6,2.3
1.82,1,2,-34.2,38.6,-30.5,5.6,120,2.9
1.88,1,2,-30.5,34.1,-29.8,7.3,21.7,6.1
1.95,1,5,-27.4,28.1,-30.6,6.7,9,7.1
2.01,1,5,-27.2,27.1,-34.2,5.6,8.9,6.4
2.07,1,5,-28.9,29.3,-35.1,5.8,8.4,5.9
2.13,1,2,-30,30,-35.9,5.3,8.5,4.9
2.2,1,2,-30,30,-35.9,5,9.4,4.5
2.26,1,2,-30,32.7,-31.8,5.9,16.3,4.2
2.32,1,2,-30,32.7,-31.8,5.4,120,3.7
2.39,1,2,-29.3,32.3,-32.6,5.1,16.7,4.4
2.45,1,2,-29.3,32.3,-32.6,4.8,13.6,4.6
2.51,1,5,-29.3,27.7,-34.7,5,11.3,5.2
2.58,1,2,-28.9,28.9,-33.9,4.7,10.7,5.5
2.64,1,2,-29.3,30,-33.9,4.8,12.9,4.3
2.7,1,2,-31.8,31.1,-33.9,5,10.6,5.5
2.76,1,5,-26.5,28,-33.5,5.4,13.2,5.9
2.83,1,2,-26.5,27.5,-31.7,4.8,11.1,6.6
2.89,1,5,-23,10,-33.9,3.8,10,8.4
2.95,1,5,-23,10,-33.9,3.4,17.2,7.3
3.02,1,5,-22.9,10.3,-38.1,3.6,37.1,6.6
3.08,1,3,-25.3,14.7,-39.8,3.3,120,5.8
