# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0,1,1,-39,17.9,-45.4,11.2,11.4,7.5
0.23,1,0,-39,17.9,-45.4,11.8,11.2,7.4
0.23,1,0,-39.2,17.8,-45.6,11.1,11.6,7.5
0.43,1,0,-39.2,17.8,-45.6,10.8,11.6,8
0.43,1,3,-31.1,23.2,-40.5,6.2,10.5,14.9
0.66,1,0,-32.6,21.2,-41.7,7,7.4,15.6
0.72,1,5,-30.3,24.7,-40.5,6.8,8.1,15.2
0.78,1,0,-31.5,24.7,-39.8,7.5,7.6,17
0.98,1,3,-31.5,23.9,-41.3,9.5,6.3,19.7
1.03,1,0,-32.6,34.5,-38.4,6.5,7.2,18.6
1.1,1,0,-32.6,34.5,-38.4,6.1,7.4,16.9
1.16,1,5,-35,29.8,-40.4,8.9,8.2,17
1.22,1,5,-35,29.8,-40.4,8.8,8.4,16.2
1.22,1,0,-35.4,33.6,-39.3,7.6,8.8,16.6
1.44,1,5,-35,34.8,-37.5,8.2,8.9,17.2
1.5,1,5,-35,34.8,-37.5,9.3,9.4,17.9
1.61,1,5,-32,35.1,-37.5,8.8,9.6,16.5
1.66,1,5,-34.2,34.8,-39.6,8.1,9.1,15.7
1.72,1,0,-38.3,37.1,-40.8,6.9,7.7,120
1.79,1,5,-37.5,30.6,-41.9,9.3,7.6,28.5
1.85,1,3,-38.1,24.7,-44.3,8.7,7.7,120
1.91,1,3,-37.8,25,-44.3,8.7,7.1,120
1.97,1,3,-40.7,25.7,-47.1,8,7.8,120
2.04,1,0,-48.6,27.5,-47.2,7.7,7.7,120
2.1,1,3,-45.3,24.5,-47.7,8.3,8.3,28.5
2.16,1,5,-42.6,29.6,-45.6,9.1,8.6,29.6
2.22,1,5,-39.5,30.2,-42.6,8.9,8.4,26.8
2.29,1,5,-39.6,29.3,-44.6,9.1,8.6,28.6
2.35,1,3,-40.4,26.2,-45.3,10.1,7.9,35.8
2.41,1,3,-40.7,30.3,-46,9.3,8.2,32
2.47,1,0,-40.7,30.3,-46,9.5,8.8,120
2.53,1,0,-45.9,30.8,-45.3,9.8,8.8,36.6
2.6,1,3,-47.2,24.5,-47.2,9.9,9,42.8
2.66,1,0,-50.2,24.2,-48.6,10.5,9.5,120
2.74,1,3,-50.2,24.2,-48.6,10.4,9.5,120
2.87,1,3,-52.3,13.8,-48.4,11.1,9.6,120
2.93,1,3,-52.3,13.8,-48.4,12,11.2,37
2.99,1,0,-57.6,22.9,-47.2,14,14.5,23.7
3.05,1,0,-57.9,17.2,-49.8,14.6,14.1,120
3.12,1,0,-59.4,13.8,-48,17.1,11.9,120
3.18,1,0,-59.4,13.8,-48,21.8,10.9,21.5
3.24,1,3,-55.6,13.8,-48.7,21.2,12.8,13.9
3.3,1,3,-58.8,17.3,-47.5,26.3,12,19.2
3.36,1,0,-62.3,16.7,-45.4,120,12.2,16.7
3.43,1,3,-58.3,14.8,-46.9,120,12,19.3
3.49,1,3,-52.3,17.5,-45.9,120,13.2,19.6
3.55,1,3,-55.5,9.7,-46.8,58.8,11.9,120
