# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0,0,0,0,0,0,0,0,0
0.06,1,0,-35.4,23.3,-44,11.7,2.7,2.3
0.12,1,0,-33.3,23.9,-45,11.1,2.1,2.2
0.19,1,0,-36.5,21.8,-46.6,10.6,2.1,2.3
0.25,1,0,-36.5,21.8,-46.6,10.3,2.9,1.9
0.31,1,0,-35.1,20.5,-50.4,10.9,3.1,1.6
0.38,1,0,-37.2,19.9,-48.7,10.2,11.2,9.6
0.44,1,0,-39,22.9,-49.5,10.3,13,8.4
0.5,1,0,-38.7,26.3,-45.9,10.6,13.9,8.3
0.57,1,0,-37.2,24.8,-46.9,8.6,15,8
0.63,1,0,-36.5,25.3,-47.2,7.6,19.7,6.6
0.7,1,2,-36,24.5,-45.9,7.1,120,5.4
0.76,1,3,-36,24.5,-45.9,7.5,120,6.2
0.82,1,0,-37.1,15.8,-48.9,7.2,120,6.7
0.89,1,0,-37.5,17.2,-51,8.5,120,5.8
0.95,1,0,-42,11.1,-53.1,10.5,120,7.4
1.01,1,0,-42,11.1,-53.1,12.9,120,7.6
1.07,1,0,-42.3,9.6,-52.8,16.2,120,8.4
1.14,1,0,-44.7,3.9,-53.4,16.1,120,8.5
1.2,1,0,-44.7,9.3,-52.6,17.6,120,5.4
1.26,1,2,-47.7,12,-53.4,24.1,120,4.8
1.33,1,3,-51.6,4.2,-52,22.8,122.3,7.6
1.39,1,4,-56.5,-0.1,-53.4,16.1,120,8.4
1.45,1,0,-54,3.6,-53.7,25.5,120,7.9
1.51,1,3,-43.4,0.4,-49.6,120,56,8.4
1.58,1,0,-44.3,1,-51,30.8,58.3,8.2
1.64,1,3,-43.8,1.5,-50.2,120,54.2,9
1.7,1,3,-43.8,1.5,-50.2,120,45.5,8.5
1.77,1,0,-40.4,-2.1,-46.3,25.2,21.3,8.6
1.83,1,3,-37.5,-1.5,-46.2,14.9,13.1,10.8
1.9,1,0,-42.9,3.1,-50.1,13.6,24.6,8
1.96,1,4,-49.2,5.8,-50.4,9.6,20.9,7.7
2.02,1,0,-45.7,3.4,-52,9.4,14.3,7.7
2.09,1,0,-43.7,3.6,-50.1,8.9,15.6,7.5
2.15,1,0,-42.8,3,-50.2,10.8,15.7,6.2
2.21,1,0,-48.1,1.6,-52.9,9.9,15.6,5.2
2.28,1,0,-48.4,-6.6,-47.5,12.8,11.2,5.4
2.34,1,0,-44.6,-1.8,-49.2,11.3,11.4,4.2
2.41,1,0,-42,-1.8,-49.2,12.1,11.9,4.2
2.47,1,0,-34.1,-0.9,-45,9.3,13.5,4.1
2.53,1,3,-34.1,-0.9,-45,8.6,13.6,3.8
2.59,1,3,-30.2,1,-42.9,8.5,12.4,3.7
2.66,1,0,-31.8,2.1,-44.3,7,13.7,2.9
2.72,1,0,-31.8,2.1,-44.3,4.5,14.1,2.6
2.78,1,0,-27.4,5.8,-44.3,4,14.9,3
2.85,1,3,-28.6,4.8,-42.3,4.9,13.9,2.8
2.91,1,0,-28.6,4.8,-42.3,7.3,18.9,2.8
2.97,1,0,-30.9,3.4,-45.4,7.9,15.9,3.3
3.04,1,3,-31.1,5.5,-44.6,7.5,16.7,2.9
3.1,1,0,-31.8,3.9,-43.8,9.2,13.9,2.5
3.16,1,0,-31.7,1.5,-43.4,8.3,13.4,3.3
3.23,1,0,-30.2,3,-44.4,10.6,20.4,1.9
3.29,1,0,-30.8,2.1,-45,13.8,38.3,2.2
3.36,1,3,-30.8,2.1,-45,120,39.7,3.5
3.42,1,3,-32.7,-6.1,-41.9,120,44.7,4.4
3.48,1,3,-33.5,-6.1,-39.6,120,33.3,4.2
3.55,1,3,-33.5,-6.1,-39.6,120,30.2,4.1
3.61,1,3,-32,-9.6,-40.4,120,26.8,4.2
3.67,1,0,-36.6,-8.2,-42.3,13.7,20.9,3.6
3.73,1,3,-36.6,-8.2,-42.3,12.3,20.7,4.4
3.8,1,0,-41.9,-7,-44.3,9,22.3,4.3
