# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-46.50,19.90,-53.10,8.60,3.50,6.60,8.50,5.60,83.93
0.00,1.00,0.00,-46.80,20.20,-52.50,8.80,2.60,5.80,9.10,9.50,-114.82
0.26,1.00,0.00,-45.10,17.00,-49.60,8.30,14.30,15.40,8.90,9.20,-109.51
0.32,1.00,0.00,-45.10,17.00,-49.60,7.90,15.00,15.10,8.80,8.80,-103.51
0.43,1.00,0.00,-42.30,17.90,-48.70,7.60,15.90,15.00,8.80,9.80,-142.79
0.59,1.00,0.00,-41.30,12.60,-48.00,6.80,120.00,14.00,8.70,9.60,-147.02
0.65,1.00,0.00,-41.30,11.40,-47.70,6.30,20.70,14.10,8.70,8.90,-175.72
0.76,1.00,3.00,-41.60,14.80,-46.20,10.80,8.40,17.20,8.70,8.00,-174.94
0.82,1.00,3.00,-41.60,14.80,-46.20,9.80,7.70,18.80,32.50,-41.30,179.47
0.89,1.00,3.00,-47.70,19.30,-51.10,7.70,7.80,19.50,8.80,7.60,-176.65
0.95,1.00,3.00,-47.70,19.30,-51.10,6.40,7.50,120.00,9.00,7.50,169.80
1.01,1.00,0.00,-49.80,24.50,-50.50,6.00,7.70,31.00,8.80,7.60,162.33
1.08,1.00,0.00,-49.80,24.50,-50.50,5.10,8.10,26.10,9.10,7.40,148.32
1.14,1.00,5.00,-49.60,25.00,-50.80,5.20,7.80,34.70,9.00,7.30,145.61
1.20,1.00,0.00,-51.40,26.60,-52.20,4.70,8.10,27.30,9.10,7.00,141.43
1.26,1.00,3.00,-53.40,21.40,-52.50,4.60,9.40,120.00,9.10,7.10,104.13
1.32,1.00,0.00,-53.40,21.40,-52.50,6.10,12.00,31.50,9.30,6.80,112.65
1.39,1.00,5.00,-55.90,24.20,-52.20,6.60,9.20,26.30,9.50,6.00,125.01
1.47,1.00,0.00,-58.80,22.30,-52.90,6.70,8.00,26.20,9.50,6.00,125.01
1.47,1.00,3.00,-64.10,13.30,-54.30,9.10,4.80,46.30,7.60,11.00,35.02
1.67,1.00,3.00,-63.80,15.20,-53.80,11.70,5.00,31.00,11.60,5.90,28.52
1.73,1.00,0.00,-65.50,13.20,-53.70,17.10,5.20,28.10,20.30,-6.70,-1.84
1.85,1.00,3.00,-64.10,10.60,-55.00,86.20,5.00,25.00,20.30,-6.70,-1.84
1.85,1.00,3.00,-66.40,15.70,-53.80,120.00,5.90,20.90,11.30,6.40,52.57
