# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0,1,3,-32.4,-10.3,-36.3,7.8,11.7,3
0.07,1,3,-32.4,-10.3,-36.3,7.9,11,2.5
0.13,1,3,-30.9,-12.6,-35.6,9.2,11.2,2.9
0.19,1,3,-30.9,-12.6,-35.6,9.9,10,2.8
0.25,1,3,-32.9,-12.4,-34.4,11,11.1,2.9
0.32,1,3,-32.9,-12,-34.4,10.2,10.6,2.8
0.38,1,3,-31.7,-11.8,-36.8,11,10.9,3.4
0.44,1,3,-31.7,-11.8,-36.8,10.4,10.9,3
0.5,1,3,-32.6,-12.4,-35.1,12.5,12.4,2.9
0.57,1,3,-31.1,-11.7,-36.9,14.2,12.2,2.9
0.63,1,3,-34.4,-11.7,-37.2,13.4,11.6,3.7
0.69,1,3,-34.4,-11.7,-37.2,14.3,12.8,3.5
0.75,1,3,-33.3,-10,-40.5,15.1,13.6,3.3
0.81,1,3,-33.9,-9.6,-39.3,16.5,13.5,3.4
0.88,1,3,-35.9,-10.5,-42.3,11.2,16.5,3.2
0.94,1,3,-35.9,-10.5,-42.3,15.4,18.8,3.2
1,1,3,-36.3,-7.8,-42,16.5,20.4,2.9
1.07,1,0,-37.1,-6.6,-41.7,17.2,24.2,3
1.13,1,3,-36.3,-9.7,-41.3,16.9,16.2,3
1.19,1,3,-34.4,-7.3,-42.3,13.7,20.2,2.9
1.25,1,0,-35.4,-7.2,-41.9,16.1,21.6,2.5
1.31,1,3,-31.8,-10,-39.2,19.4,16.5,2.9
1.38,1,3,-32.6,-9.3,-36.5,86.2,12.8,3.7
1.44,1,3,-31.2,-11.1,-35.6,120,14.9,3
1.5,1,3,-31.2,-11.1,-35.6,120,15.2,3.8
1.56,1,0,-34.4,-9.3,-41.3,24.4,17.2,2.2
1.63,1,0,-33.9,-8.4,-41.1,17.3,16.4,3
1.69,1,0,-34.7,-6.4,-41.9,28.2,20.8,3.1
1.75,1,0,-34.7,-6.4,-41.9,22.1,17.9,2.7
1.81,1,3,-32,-9.1,-41.9,120,16,3
1.88,1,3,-32.4,-9.1,-40.4,22.8,17.5,3.8
1.94,1,3,-31.2,-9.1,-40.1,120,17.8,3.8
2,1,3,-29.2,-7.9,-38.9,120,18.5,3.7
2.06,1,3,-29.3,-4.3,-39.8,120,24.3,2.9
2.12,1,3,-29.8,-5.7,-41.1,120,19.3,3.2
2.19,1,3,-30.5,-7.9,-40.1,120,12.6,4.3
2.25,1,3,-30.5,-7.9,-40.1,120,10.9,4.9
2.31,1,3,-30.5,-11.4,-36.3,120,11.3,4.3
2.37,1,3,-29.6,-9,-36.2,120,12.6,3.8
2.44,1,3,-28.7,-7.9,-36.8,120,16.2,3.9
2.5,1,3,-28.7,-7.9,-36.8,120,15.8,4.4
2.56,1,3,-28.9,-12.4,-33.9,120,11.4,5.1
2.63,1,3,-28.9,-12.4,-33.9,120,14.7,5
2.69,1,3,-28.6,-7.3,-36.9,120,21.2,4.9
2.75,1,3,-25.7,-8.4,-33.5,120,16.2,5
2.81,1,3,-25.3,-9.3,-27.8,100.8,10.9,5.4
2.88,1,3,-25.6,-10,-28.6,120,10,6.1
2.94,1,3,-24.5,-8.5,-27.8,120,10.4,5.1
3,1,3,-23.8,-9.3,-27.1,120,15.5,5.4
3.07,1,3,-23.8,-9.3,-27.1,120,13.8,5
3.13,1,1,-26.5,-6.9,-34.2,8.3,8.1,6.1
3.19,1,3,-23.3,-6.3,-30.6,9.1,8.3,6
3.25,1,0,-22.6,-3.6,-31.1,9.3,9.9,5.1
3.31,1,3,-22.6,-3.6,-31.1,10.3,10.8,5.5
3.38,1,3,-19.7,2.8,-31.4,9.3,11.5,5.3
3.44,1,3,-19,2.4,-29.6,10.1,11.8,5.2
3.5,1,3,-19.7,3.1,-29.3,120,12.8,5.2
3.57,1,3,-18.4,-1,-27.7,120,12.3,5
3.63,1,3,-18.5,6.3,-29.3,14.6,13.2,4.7
3.69,1,3,-18.5,6.3,-29.3,9,13.7,4.9
3.75,1,3,-16.3,4.3,-26.8,5,12.5,5
3.82,1,3,-16.3,4.3,-26.8,7.9,13.2,4.5
3.88,1,3,-19.1,6.9,-28.4,4.7,12.4,4.7
3.94,1,3,-19.3,5.8,-28.1,6.4,13,4.3
4.01,1,5,-16.1,10.6,-24.7,8.8,18.2,4.4
4.1,1,3,-17,13.5,-24.8,8.1,17.2,4.4
4.16,1,3,-17,13.5,-24.8,7.9,19.2,4.4
4.23,1,3,-16.9,14.5,-26.2,6.7,14.6,4.3
4.29,1,3,-17.3,18.4,-27.2,5.4,7.4,5.2
4.35,1,0,-17.3,18.4,-27.2,4.8,3.1,5.1
4.42,1,0,-20,23.5,-28.9,4.4,3,5.6
4.48,1,0,-20.9,24.1,-29.5,3.9,2.5,5.7
4.54,1,3,-21.5,25,-27.8,3.4,2.6,5.7
4.6,1,5,-21.1,26.2,-28.1,4.3,2.1,5.8
4.67,1,5,-18.5,26.6,-27.8,4,2.3,5.9
4.73,1,3,-20.9,27.5,-25.1,3.9,3,6.5
4.79,1,5,-20.9,27.5,-25.1,4.6,2.4,6.7
4.85,1,5,-20.6,28,-22.1,4,3.5,7
4.92,1,5,-19.4,29.5,-20,4.4,3.4,6.2
4.98,1,5,-19.1,29,-19.3,4.3,4.7,6.3
5.04,1,5,-19.4,29,-18.8,4.7,5.6,6.2
5.1,1,5,-19.1,28.3,-16.7,5,5.1,6.2
5.17,1,5,-18.5,27.4,-17.2,5.2,6,6.2
5.23,1,5,-18.5,28.4,-16.9,4.7,7.7,6.2
5.29,1,5,-20.9,27.1,-17,3.8,0,4.8
5.35,1,5,-21.4,30.9,-18.1,3.7,120,5.1
5.42,1,5,-21.4,30.9,-13.8,4,76.2,4
5.48,1,5,-20.2,29.5,-13,3.9,120,3.7
5.54,1,5,-19.9,30.2,-12.7,4.5,120,4.4
5.61,1,5,-20.2,26.3,-8.4,6.6,120,5.5
5.67,1,5,-20.8,28.1,-8.8,8.5,120,5.1
5.73,1,5,-20,27.7,-9.3,6.5,97.2,5
5.79,1,5,-19.9,28.7,-12.3,4.4,120,4.1
5.86,1,5,-19.9,28.7,-12.3,3.6,120,3.1
5.92,1,5,-21.1,29.3,-11.8,3.7,120,2.9
5.98,1,5,-20.6,28,-12,3,120,2.6
6.04,1,5,-20.5,30,-12.1,4.5,120,3.3
6.11,1,5,-20.9,28,-10.5,3.8,120,3.8
6.17,1,5,-20.6,27.5,-9,3.6,120,3.6
6.23,1,5,-20.2,28,-8.4,4.5,120,4.1
6.29,1,5,-20.2,28,-8.4,4.2,120,3.8
6.35,1,5,-20.2,28,-8.4,3.9,120,3.6
6.42,1,5,-20.6,24.5,-7.2,6.5,120,4.1
6.48,1,5,-20.6,24.5,-7.2,8.4,120,4.2
6.54,1,5,-19.4,24.1,-6.1,6.7,120,4
6.6,1,5,-19.4,24.1,-6.1,5.8,120,3.8
6.67,1,5,-19.3,22.7,-9.3,8.4,120,4.2
6.73,1,5,-19.3,22.7,-9.3,10.5,120,4.8
6.79,1,5,-20,23.2,-5.2,120,120,5
6.85,1,5,-20,20.5,-6,120,120,5.4
6.92,1,5,-20,20.5,-6,120,120,4.9
7.29,1,5,-18.5,18.5,-6.3,120,120,5.5
7.36,1,5,-20,17.3,-5.2,120,120,5.4
7.42,1,5,-20.9,17.2,-5.8,120,120,5.9
7.48,1,5,-20.5,16.6,0.9,120,120,5.7
7.54,1,5,-20.5,16.6,0.9,25.6,29.6,5.8
7.61,1,5,-21.8,14.4,1.9,120,27.6,6
7.67,1,5,-22.9,12.6,3.6,120,19.6,6.1
7.73,1,5,-22.9,12.6,3.6,120,19.6,6.7
7.8,1,5,-22.9,12.6,3.6,120,19.2,6.5
7.86,1,5,-23.3,10.5,5.2,0,18.1,6.3
7.92,1,5,-23.9,9.1,6.1,120,16,5.8
7.99,1,5,-23.9,9.1,6.1,120,17.4,6.1
8.05,1,5,-23.8,9.3,5.2,120,15.7,6.6
8.11,1,5,-23.3,8.2,6.3,120,15.7,6.7
8.17,1,5,-23.6,9.1,7.2,120,13.8,6.9
8.24,1,5,-23.6,9.1,7.2,120,13.9,6.3
8.3,1,5,-23.8,6.6,6.7,120,14,7.1
8.36,1,5,-23.2,6.4,4.6,120,14.8,6.6
8.43,1,5,-22.6,5.1,2.7,120,14.2,6.6
8.55,1,3,-22.6,5.1,2.7,120,13.3,6.8
8.61,1,5,-24.5,1.6,4.2,120,13.3,6.4
8.68,1,5,-24.5,1.6,5.5,120,11.9,6.9
8.74,1,5,-25.3,2.1,4.5,120,11.7,7.2
8.8,1,5,-25.3,2.1,4.5,120,11.3,10.1
8.86,1,3,-23,0.1,1.5,120,11.6,13.6
8.93,1,3,-22.3,0.1,-0.4,120,12.5,11.4
8.99,1,5,-20.6,-2.2,-3.1,0,12,14.7
9.05,1,3,-20.6,-2.2,-3.1,120,11.6,19.5
9.12,1,5,-26.3,-8.5,-1.5,120,10.8,15.8
9.18,1,5,-27.7,-9.9,1,96.9,9.8,82.3
9.24,1,3,-28.1,-10,0.9,33.5,8.6,72.7
9.31,1,3,-28.1,-10,0.9,120,8.1,120
9.37,1,3,-28,-10.3,-2.8,120,8.3,68.4
9.43,1,3,-28,-10.3,-2.8,120,8.5,75.4
9.49,1,3,-26.5,-7.9,-2.8,120,8.5,81
9.56,1,3,-28.1,-10,-4.5,120,8.6,81.2
9.62,1,3,-28.1,-11.2,-4.8,120,8,120
9.68,1,3,-27.1,-10.9,-4.5,106.3,8.5,107.5
9.75,1,3,-28.4,-11.8,-3.9,120,8.3,120
9.81,1,3,-26.3,-11.7,-6.7,120,8.5,120
9.87,1,3,-26.9,-11.8,-9,120,9.1,120
9.94,1,3,-27.1,-11.7,-9.6,120,8.6,120
10,1,3,-26.3,-10.9,-13.2,120,9.7,53.3
10.06,1,3,-25.7,-10.3,-13.5,120,10,120
10.12,1,3,-27.2,-8.4,-14.5,120,10.3,82.8
10.19,1,3,-24.5,-10.5,-19,120,11.3,66.8
10.25,1,3,-24.5,-10.5,-19,120,11.3,65.7
10.31,1,3,-23.8,-7,-14.4,120,11.4,84.2
10.38,1,3,-23.3,-7,-16.1,120,11.1,80.5
10.44,1,3,-23.8,-6.3,-19.7,31.1,12.2,120
10.5,1,3,-23.8,-6.3,-19.7,64.4,11.9,120
10.57,1,0,-26,-6.6,-26.8,39.8,12.2,13.9
10.63,0,0,-27.7,-7.2,-26.5,37.2,11.1,18
10.69,1,0,-24.5,-3.1,-25.6,120,11.6,60.8
10.75,1,3,-24.5,-3.1,-25.6,120,15.3,52.5
10.82,1,3,-18.4,7.2,-13.5,120,24.2,41.4
10.88,1,3,-17.3,6.9,-14.2,120,24.5,51.4
10.94,1,3,-18.5,7.3,-17.9,120,21.9,49.1
11.01,1,0,-18.5,7.3,-17.9,31.7,25.1,23.5
11.07,1,0,-21.4,2.5,-28.4,22,23.5,17.7
11.15,1,0,-29.2,-0.3,-35,27.1,18.6,13.4
