# time (s), self.diffsum, self.std, self.dasdv, self.wa, self.var
0.00,0.00,0.00,0.00,0.00,0.00
0.06,1.26,12.14,15.62,4.00,1.47
0.13,0.19,8.47,13.82,4.00,0.72
0.19,0.00,8.01,13.49,4.00,0.64
0.25,2.66,9.63,15.16,4.00,0.93
0.38,0.01,5.86,9.97,4.00,0.34
0.44,0.51,6.17,10.86,4.00,0.38
0.51,0.61,8.50,11.06,4.00,0.72
0.57,3.61,13.22,9.70,4.00,1.75
0.70,4.89,17.20,12.51,4.00,2.96
0.76,4.09,16.03,11.56,3.00,2.57
0.82,2.37,11.56,11.09,3.00,1.34
0.89,1.29,6.29,9.01,2.00,0.40
1.01,0.56,2.98,4.14,1.00,0.09
1.08,0.02,3.30,5.40,2.00,0.11
1.14,1.11,4.36,4.40,2.00,0.19
1.20,1.45,6.04,5.11,3.00,0.36
1.33,1.27,5.69,5.38,4.00,0.32
1.39,0.43,4.75,6.34,4.00,0.23
1.46,1.49,7.41,6.91,4.00,0.55
1.52,1.77,7.92,6.46,3.00,0.63
1.65,0.85,5.62,6.65,3.00,0.32
1.71,0.82,5.08,5.66,3.00,0.26
1.78,2.54,9.11,6.91,3.00,0.83
1.84,1.86,8.28,7.03,4.00,0.69
1.97,1.86,6.94,7.03,4.00,0.48
2.03,1.73,5.74,6.73,4.00,0.33
2.10,0.77,4.36,4.29,3.00,0.19
2.16,1.51,5.33,4.21,3.00,0.28
2.29,0.85,3.43,3.41,2.00,0.12
2.35,0.33,1.61,1.95,1.00,0.03
2.42,0.17,1.14,1.93,1.00,0.01
2.48,1.03,3.73,4.34,1.00,0.14
2.61,2.05,8.08,7.22,2.00,0.65
2.67,1.69,8.38,7.48,3.00,0.70
2.73,0.77,7.05,8.61,4.00,0.50
2.79,0.79,6.87,8.28,4.00,0.47
2.92,2.62,9.65,6.75,4.00,0.93
2.99,3.53,12.03,9.20,4.00,1.45
3.05,3.08,11.63,8.39,4.00,1.35
3.11,3.71,13.05,10.11,4.00,1.70
3.24,3.93,13.68,10.52,4.00,1.87
3.31,3.12,12.13,8.62,4.00,1.47
3.37,2.75,10.38,8.38,3.00,1.08
3.43,1.46,5.58,5.09,2.00,0.31
3.56,0.33,2.15,2.85,1.00,0.05
3.62,0.09,0.98,1.88,0.00,0.01
3.69,0.47,2.21,2.78,1.00,0.05
3.75,0.65,3.25,2.99,1.00,0.11
3.88,1.94,6.70,5.84,2.00,0.45
3.94,1.54,6.50,5.72,2.00,0.42
4.01,1.05,5.17,5.36,1.00,0.27
4.07,0.58,3.66,5.38,1.00,0.13
4.20,2.56,9.56,10.64,1.00,0.91
4.26,4.58,17.90,15.11,2.00,3.20
4.33,6.82,25.92,19.03,3.00,6.72
4.39,7.93,28.84,20.17,4.00,8.32
4.52,8.14,28.30,20.73,4.00,8.01
4.58,8.24,28.58,20.99,4.00,8.17
4.64,6.71,25.71,17.95,4.00,6.61
4.71,7.65,26.19,20.20,4.00,6.86
4.84,6.57,23.15,17.66,4.00,5.36
4.90,7.13,25.57,19.58,4.00,6.54
4.96,8.22,29.10,21.34,4.00,8.47
5.02,7.08,26.91,18.89,4.00,7.24
5.15,7.19,25.06,19.08,4.00,6.28
5.22,6.34,21.57,16.22,4.00,4.65
5.28,6.64,23.66,17.10,4.00,5.60
5.34,6.57,24.54,16.99,4.00,6.02
5.47,6.29,22.69,16.48,4.00,5.15
5.53,6.90,22.87,18.46,4.00,5.23
5.60,3.53,16.84,16.12,4.00,2.84
5.66,4.81,17.25,19.25,4.00,2.97
5.79,6.76,23.00,23.86,4.00,5.29
5.85,3.80,21.02,20.19,4.00,4.42
5.91,5.63,21.78,19.54,4.00,4.74
5.98,4.86,15.71,17.45,4.00,2.47
6.10,3.15,13.29,10.97,4.00,1.77
6.17,1.16,12.50,16.06,4.00,1.56
6.23,0.57,10.31,15.74,3.00,1.06
6.29,1.38,9.86,13.69,3.00,0.97
6.42,3.84,12.49,13.33,3.00,1.56
6.48,0.14,5.58,8.94,3.00,0.31
6.55,0.82,5.40,9.47,4.00,0.29
6.61,1.50,6.45,10.65,4.00,0.42
6.74,0.04,5.94,9.17,4.00,0.35
6.80,1.70,6.54,6.71,4.00,0.43
6.86,0.32,5.61,9.16,4.00,0.31
6.93,0.12,5.19,9.77,4.00,0.27
7.05,0.86,6.11,10.02,4.00,0.37
7.12,0.43,6.71,9.80,3.00,0.45
7.18,2.10,7.54,7.02,2.00,0.57
7.25,1.52,4.94,4.66,2.00,0.24
7.37,0.41,4.44,7.61,2.00,0.20
7.44,2.67,10.77,17.11,3.00,1.16
7.50,4.34,18.11,19.64,4.00,3.28
7.56,5.27,23.93,20.94,4.00,5.73
7.69,7.05,25.86,19.96,4.00,6.69
7.75,4.72,16.86,13.31,4.00,2.84
7.82,4.32,14.17,11.92,4.00,2.01
7.88,3.78,14.21,10.30,4.00,2.02
8.01,3.64,14.26,10.18,4.00,2.03
8.07,5.38,17.68,15.57,4.00,3.12
8.13,0.50,13.26,21.47,4.00,1.76
8.20,1.40,11.83,23.01,4.00,1.40
8.32,1.52,11.67,23.06,4.00,1.36
8.39,0.06,12.36,20.11,4.00,1.53
8.45,5.22,17.16,14.50,4.00,2.94
8.51,3.75,14.98,10.94,4.00,2.24
8.64,3.22,13.36,10.75,3.00,1.79
8.70,1.63,8.40,9.95,3.00,0.71
8.77,0.25,3.04,3.90,2.00,0.09
8.83,0.35,4.21,6.24,2.00,0.18
8.96,2.71,12.29,12.86,3.00,1.51
9.02,4.76,19.11,14.51,3.00,3.65
9.08,5.95,22.24,15.58,4.00,4.95
9.15,5.65,20.05,15.12,4.00,4.02
9.27,4.27,14.92,10.99,4.00,2.23
9.34,5.09,17.19,14.09,4.00,2.95
9.40,3.35,14.97,13.24,4.00,2.24
9.53,2.60,11.98,12.64,3.00,1.44
9.59,1.56,7.70,11.90,2.00,0.59
9.66,0.69,2.65,3.18,1.00,0.07
9.72,0.52,2.32,3.14,1.00,0.05
9.85,1.24,5.29,4.93,2.00,0.28
9.91,1.03,5.49,5.20,3.00,0.30
9.97,0.11,5.63,7.55,4.00,0.32
10.04,1.51,8.12,8.01,4.00,0.66
10.16,1.71,8.50,7.59,4.00,0.72
10.23,1.33,6.26,7.36,3.00,0.39
10.29,0.42,2.68,4.99,2.00,0.07
10.35,0.09,2.78,3.78,2.00,0.08
10.48,0.96,3.84,2.97,2.00,0.15
10.54,1.44,5.24,3.82,3.00,0.27
10.61,0.67,4.12,4.76,4.00,0.17
10.67,2.78,10.15,13.54,4.00,1.03
10.80,4.48,17.70,16.79,4.00,3.13
10.86,5.34,22.70,17.93,4.00,5.15
10.93,8.14,27.90,20.83,4.00,7.78
10.99,5.75,21.75,16.38,3.00,4.73
11.11,4.02,15.82,13.01,2.00,2.50
11.18,4.40,14.05,14.12,2.00,1.97
11.24,0.38,7.94,12.70,2.00,0.63
11.30,1.83,12.19,16.20,3.00,1.49
11.43,3.06,16.93,16.82,4.00,2.87
11.49,4.33,17.93,14.60,4.00,3.22
11.56,3.80,12.74,13.11,4.00,1.62
11.62,1.37,6.29,8.60,4.00,0.40
11.75,2.70,10.90,13.47,4.00,1.19
11.81,4.20,15.43,14.25,4.00,2.38
11.88,4.07,16.99,13.96,4.00,2.89
11.94,6.01,20.31,15.79,4.00,4.13
12.07,4.75,17.28,12.05,4.00,2.99
12.13,3.33,13.94,11.06,4.00,1.94
12.19,0.91,9.08,11.31,4.00,0.83
12.26,1.49,8.95,9.38,4.00,0.80
12.38,7.04,25.25,23.97,4.00,6.38
12.44,7.06,28.90,23.98,4.00,8.35
12.51,5.60,25.50,23.17,3.00,6.50
12.57,5.45,19.89,23.04,3.00,3.96
12.70,1.03,4.02,4.30,2.00,0.16
12.76,0.63,3.47,3.78,1.00,0.12
12.83,2.62,8.69,9.68,2.00,0.75
12.89,0.89,7.25,10.32,2.00,0.53
13.02,1.09,6.83,10.42,3.00,0.47
13.08,0.60,5.89,10.70,4.00,0.35
13.15,2.19,7.11,7.66,4.00,0.51
13.21,0.48,5.03,6.70,4.00,0.25
13.34,0.59,7.01,9.49,4.00,0.49
13.40,2.29,11.51,11.00,4.00,1.32
13.46,4.38,16.12,11.24,4.00,2.60
13.53,4.52,16.13,11.48,4.00,2.60
13.65,2.66,11.28,9.50,4.00,1.27
13.72,2.38,8.12,8.69,4.00,0.66
13.78,1.80,6.43,7.21,4.00,0.41
13.84,1.20,6.19,6.01,3.00,0.38
13.97,0.10,6.88,9.68,3.00,0.47
14.04,1.52,8.48,9.10,3.00,0.72
14.10,1.58,8.99,9.01,3.00,0.81
14.16,1.99,7.98,8.97,3.00,0.64
14.29,0.04,2.47,4.49,3.00,0.06
14.35,1.30,4.36,4.46,3.00,0.19
14.42,3.19,12.39,12.32,3.00,1.53
