# time (s), self.diffsum, self.std, self.dasdv, self.wa, self.var
0.00,0.00,0.00,0.00,0.00,0.00
0.06,0.79,2.63,3.60,2.00,0.07
0.13,0.34,2.36,3.12,1.00,0.06
0.19,0.41,2.46,3.11,1.00,0.06
0.25,0.35,2.17,3.18,1.00,0.05
0.38,0.16,1.32,2.27,1.00,0.02
0.44,0.42,2.05,2.39,1.00,0.04
0.51,0.15,1.99,2.71,1.00,0.04
0.57,0.41,1.92,2.59,1.00,0.04
0.70,0.26,1.42,2.07,0.00,0.02
0.76,0.67,2.31,2.21,0.00,0.05
0.83,0.87,3.41,2.87,1.00,0.12
0.89,0.94,3.72,2.85,1.00,0.14
1.02,0.96,3.45,2.89,1.00,0.12
1.08,0.21,2.45,3.70,2.00,0.06
1.14,0.21,1.83,3.71,2.00,0.03
1.21,0.35,2.47,4.68,3.00,0.06
1.34,0.21,2.50,4.96,4.00,0.06
1.40,0.26,2.10,4.23,3.00,0.04
1.46,0.78,4.44,6.02,3.00,0.20
1.53,0.59,4.44,6.53,3.00,0.20
1.66,0.12,3.79,6.31,2.00,0.14
1.72,0.35,4.45,6.46,2.00,0.20
1.78,1.13,4.61,4.40,1.00,0.21
1.85,1.40,4.76,5.61,1.00,0.23
1.98,0.91,4.53,5.56,1.00,0.20
2.04,1.00,4.69,5.69,2.00,0.22
2.10,1.47,4.98,5.79,2.00,0.25
2.17,1.15,4.76,4.45,2.00,0.23
2.29,2.23,7.94,6.08,3.00,0.63
2.36,2.44,9.25,6.48,3.00,0.86
2.42,2.28,8.72,6.35,3.00,0.76
2.48,2.26,7.57,6.29,3.00,0.57
2.61,2.03,7.04,5.59,3.00,0.50
2.68,1.46,6.26,4.76,2.00,0.39
2.74,1.87,6.42,5.41,3.00,0.41
2.80,1.47,5.06,4.39,3.00,0.26
2.93,1.65,6.11,5.04,3.00,0.37
3.00,2.06,7.47,5.48,4.00,0.56
3.06,0.86,5.51,5.89,4.00,0.30
3.12,0.95,4.16,6.02,4.00,0.17
3.25,0.30,2.37,4.55,3.00,0.06
3.32,0.21,2.30,4.04,2.00,0.05
3.38,0.73,2.41,2.53,1.00,0.06
3.44,0.56,2.01,1.94,0.00,0.04
3.57,0.61,2.57,2.06,0.00,0.07
3.63,0.39,2.32,2.54,1.00,0.05
3.70,0.72,2.54,3.70,2.00,0.06
3.76,0.11,2.04,4.01,3.00,0.04
3.89,0.29,2.30,4.33,4.00,0.05
3.95,0.76,2.83,4.13,3.00,0.08
4.02,0.73,3.27,5.33,3.00,0.11
4.08,1.29,5.55,9.60,3.00,0.31
4.21,0.94,6.23,9.40,2.00,0.39
4.27,0.92,6.84,9.40,2.00,0.47
4.34,0.55,7.28,10.41,2.00,0.53
4.46,1.19,5.97,6.42,1.00,0.36
4.53,1.45,6.67,6.52,1.00,0.44
4.59,0.51,6.00,8.46,2.00,0.36
4.65,0.80,4.64,5.59,1.00,0.22
4.78,0.83,4.85,5.58,1.00,0.23
4.85,0.86,4.24,5.55,1.00,0.18
4.91,0.07,1.03,1.81,0.00,0.01
4.97,0.22,1.18,2.20,0.00,0.01
5.10,0.09,1.23,2.50,0.00,0.02
5.17,0.08,1.55,2.96,1.00,0.02
5.23,0.31,1.58,2.59,1.00,0.02
5.29,0.03,1.26,2.30,1.00,0.02
5.42,0.57,3.42,4.41,2.00,0.12
5.49,0.97,4.35,4.00,1.00,0.19
5.55,0.87,4.12,3.99,1.00,0.17
5.61,0.18,4.40,6.25,2.00,0.19
5.74,1.40,6.00,5.28,2.00,0.36
5.81,1.61,6.81,5.36,2.00,0.46
5.87,2.36,7.75,6.63,3.00,0.60
5.93,2.35,8.30,6.59,3.00,0.69
6.06,1.42,7.27,6.73,3.00,0.53
6.12,1.20,5.80,6.67,3.00,0.34
6.19,0.73,3.22,5.62,3.00,0.10
6.25,0.15,2.07,2.99,2.00,0.04
6.38,0.85,3.18,2.95,2.00,0.10
6.44,1.64,5.73,4.80,3.00,0.33
6.51,2.58,9.60,7.74,3.00,0.92
6.57,2.80,10.93,7.86,3.00,1.19
6.70,2.80,10.35,7.86,3.00,1.07
6.76,2.08,7.58,6.89,2.00,0.57
6.82,0.18,3.32,4.34,2.00,0.11
6.89,1.01,4.07,6.97,3.00,0.17
7.02,1.12,5.78,7.18,3.00,0.33
7.08,0.95,6.38,7.20,3.00,0.41
7.14,1.74,6.60,6.47,2.00,0.44
7.21,0.31,2.29,3.51,2.00,0.05
7.33,0.84,3.17,3.30,2.00,0.10
7.40,0.87,4.00,3.32,2.00,0.16
7.46,1.24,4.59,3.44,2.00,0.21
7.52,1.62,5.26,4.61,2.00,0.28
7.65,1.68,6.30,4.82,2.00,0.40
7.72,2.21,8.19,5.84,3.00,0.67
7.78,2.21,8.18,5.85,3.00,0.67
7.91,3.21,10.81,9.66,3.00,1.17
7.97,2.90,11.31,9.28,3.00,1.28
8.03,2.61,10.71,8.85,3.00,1.15
8.10,2.43,8.91,8.78,3.00,0.79
8.23,1.66,5.58,5.22,3.00,0.31
8.29,0.54,4.42,6.39,3.00,0.20
8.35,1.06,4.65,7.57,3.00,0.22
8.42,1.38,5.38,7.79,4.00,0.29
8.54,0.87,5.57,6.62,4.00,0.31
8.61,1.72,6.32,5.27,3.00,0.40
8.67,1.39,4.68,3.95,3.00,0.22
8.73,1.95,6.77,5.83,3.00,0.46
8.86,4.49,16.70,15.68,3.00,2.79
8.92,6.54,24.92,18.88,4.00,6.21
8.99,7.34,28.21,19.87,4.00,7.96
9.05,7.56,26.80,20.15,4.00,7.18
9.18,5.07,18.39,13.98,4.00,3.38
9.24,3.58,12.70,9.70,4.00,1.61
9.31,2.84,9.67,7.57,4.00,0.93
9.37,2.42,8.61,6.12,4.00,0.74
9.50,3.35,11.60,8.97,4.00,1.34
9.56,3.87,14.10,10.14,4.00,1.99
9.62,3.70,14.17,9.91,4.00,2.01
9.69,2.58,10.83,9.43,4.00,1.17
9.82,1.70,6.02,6.86,4.00,0.36
9.88,0.76,2.91,4.01,3.00,0.08
9.94,0.07,2.27,3.79,3.00,0.05
10.01,0.48,2.31,3.36,2.00,0.05
10.14,0.35,1.85,2.91,2.00,0.03
10.20,0.45,2.85,3.09,2.00,0.08
10.26,1.27,4.57,3.36,2.00,0.21
10.33,0.14,4.50,7.02,3.00,0.20
10.45,0.10,4.04,7.42,3.00,0.16
10.52,0.72,5.23,8.56,4.00,0.27
10.58,0.74,6.95,8.60,4.00,0.48
10.64,2.20,8.35,6.02,3.00,0.70
10.77,1.86,6.54,5.38,2.00,0.43
10.84,1.43,4.77,3.76,2.00,0.23
10.90,0.13,3.36,5.00,2.00,0.11
11.03,0.17,2.86,5.05,2.00,0.08
11.09,1.24,5.62,8.28,3.00,0.32
11.15,0.84,6.75,7.95,2.00,0.46
11.22,1.39,7.05,6.95,1.00,0.50
11.35,1.61,5.69,7.25,2.00,0.32
11.41,0.95,3.97,4.36,2.00,0.16
11.47,2.10,8.48,7.46,3.00,0.72
11.54,3.17,11.76,8.36,4.00,1.38
11.67,3.12,11.80,8.30,4.00,1.39
11.73,2.85,10.11,7.85,4.00,1.02
11.79,2.07,7.12,5.41,4.00,0.51
11.86,2.01,6.93,5.22,4.00,0.48
11.98,1.52,6.15,4.75,3.00,0.38
12.05,0.93,4.47,4.39,2.00,0.20
12.11,0.14,2.95,4.24,2.00,0.09
12.17,0.51,2.40,2.11,1.00,0.06
12.30,1.28,4.38,4.62,2.00,0.19
12.37,1.08,4.46,4.53,2.00,0.20
12.43,0.62,3.64,4.18,1.00,0.13
12.49,1.09,3.66,4.56,2.00,0.13
12.62,0.90,3.67,3.72,2.00,0.13
12.69,1.26,5.29,4.11,3.00,0.28
12.75,2.34,8.16,6.40,4.00,0.67
12.81,2.08,7.94,6.14,3.00,0.63
12.94,2.30,8.23,6.77,3.00,0.68
13.01,1.39,6.37,7.12,3.00,0.41
13.07,1.05,4.31,6.07,3.00,0.19
13.13,1.15,4.29,6.14,3.00,0.18
13.26,0.88,4.66,5.29,3.00,0.22
13.32,0.79,4.61,5.53,3.00,0.21
13.39,0.09,3.10,4.64,2.00,0.10
13.45,0.41,3.46,4.55,2.00,0.12
13.58,1.38,4.56,3.98,2.00,0.21
13.64,1.11,3.90,2.99,2.00,0.15
13.71,1.29,4.79,3.45,3.00,0.23
13.77,1.50,5.37,3.76,4.00,0.29
13.90,1.29,4.73,3.35,3.00,0.22
13.96,0.64,5.57,8.23,3.00,0.31
14.03,3.14,13.43,13.09,3.00,1.80
14.09,5.55,21.83,16.68,3.00,4.77
14.22,7.10,26.05,18.04,4.00,6.79
14.28,6.41,23.37,16.84,4.00,5.46
14.35,5.25,18.37,14.03,4.00,3.38
14.41,4.81,16.22,12.45,4.00,2.63
14.54,4.60,16.77,11.91,4.00,2.81
14.60,3.48,14.58,11.19,3.00,2.13
14.67,1.20,10.14,12.27,3.00,1.03
14.73,1.04,8.28,9.56,3.00,0.69
14.86,2.65,10.52,7.86,3.00,1.11
14.92,2.05,8.44,7.94,4.00,0.71
14.99,0.69,3.35,4.06,3.00,0.11
15.05,0.55,2.18,3.62,3.00,0.05
15.18,0.40,2.11,3.87,3.00,0.04
15.24,1.12,5.23,6.34,3.00,0.27
15.31,1.72,8.03,7.00,4.00,0.65
15.37,1.35,7.74,7.79,4.00,0.60
15.50,1.44,5.76,7.94,4.00,0.33
15.56,2.97,11.49,14.24,4.00,1.32
15.63,3.86,17.81,15.78,4.00,3.17
15.69,6.25,23.73,17.14,4.00,5.63
15.82,7.23,24.93,18.63,4.00,6.21
15.88,6.02,21.49,15.08,4.00,4.62
15.94,5.36,19.47,13.74,4.00,3.79
16.01,5.33,18.27,13.66,4.00,3.34
16.14,4.57,16.33,11.87,4.00,2.67
