# time (s), self.diffsum, self.std, self.dasdv, self.wa, self.var
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.32,2.15,2.76,1.00,0.05
0.06,1.10,4.33,3.65,2.00,0.19
0.13,2.10,7.70,6.12,3.00,0.59
0.25,2.27,8.69,6.25,3.00,0.75
0.32,2.90,10.12,8.02,3.00,1.02
0.38,3.52,12.11,9.50,3.00,1.47
0.44,0.04,9.84,14.88,3.00,0.97
0.57,2.62,11.52,20.56,4.00,1.33
0.63,1.10,11.49,23.70,4.00,1.32
0.70,2.69,13.14,23.09,4.00,1.73
0.76,0.45,11.12,19.70,4.00,1.24
0.89,1.41,10.89,14.49,4.00,1.18
0.95,0.24,5.37,7.93,4.00,0.29
1.01,0.42,5.38,7.73,3.00,0.29
1.08,1.05,6.54,8.16,3.00,0.43
1.20,0.51,6.88,10.03,3.00,0.47
1.27,1.33,7.97,9.85,3.00,0.63
1.33,0.25,8.33,13.41,4.00,0.69
1.39,0.28,8.92,12.84,3.00,0.80
1.52,1.70,9.29,10.54,3.00,0.86
1.59,2.83,9.99,9.65,2.00,1.00
1.65,0.61,3.46,3.50,2.00,0.12
1.71,0.62,2.46,3.52,3.00,0.06
1.84,0.12,1.54,3.10,2.00,0.02
1.90,1.08,3.82,4.55,3.00,0.15
1.97,0.56,3.79,4.20,2.00,0.14
2.03,0.66,3.70,4.05,1.00,0.14
2.16,1.30,4.29,6.02,2.00,0.18
2.22,0.43,3.52,4.93,1.00,0.12
2.29,1.08,4.76,5.51,2.00,0.23
2.35,1.38,4.92,5.43,2.00,0.24
2.47,0.02,2.32,3.58,2.00,0.05
2.54,0.92,5.43,6.34,3.00,0.29
2.60,1.50,6.89,5.80,2.00,0.48
2.67,1.70,6.89,5.82,2.00,0.47
2.79,1.62,5.40,5.68,2.00,0.29
2.86,0.80,4.46,7.12,2.00,0.20
2.92,1.70,7.91,8.24,3.00,0.63
2.99,2.22,10.05,8.48,4.00,1.01
3.11,2.65,9.96,8.26,3.00,0.99
3.18,0.57,4.75,5.86,3.00,0.23
3.24,1.47,7.03,7.36,3.00,0.49
3.30,3.33,12.87,10.09,3.00,1.66
3.43,4.67,17.06,11.98,4.00,2.91
3.50,3.93,15.48,11.44,3.00,2.40
3.56,3.29,11.86,10.10,3.00,1.41
3.62,1.51,6.28,7.27,3.00,0.39
3.75,0.05,2.15,3.44,2.00,0.05
3.82,0.94,5.05,6.11,3.00,0.25
3.88,0.63,5.05,6.97,3.00,0.26
3.94,0.19,4.16,6.78,2.00,0.17
4.07,0.01,3.93,6.73,2.00,0.15
4.13,1.08,4.02,4.47,1.00,0.16
4.20,0.24,1.53,2.27,1.00,0.02
4.26,0.34,2.17,4.03,2.00,0.05
4.39,0.98,4.50,5.28,3.00,0.20
4.45,0.45,4.52,5.79,4.00,0.20
4.52,0.56,4.42,5.59,4.00,0.20
4.58,0.19,3.13,4.48,3.00,0.10
4.71,0.76,3.20,2.94,2.00,0.10
4.77,0.74,2.36,2.82,2.00,0.06
4.84,0.18,1.61,2.62,1.00,0.03
4.90,0.08,1.61,2.73,1.00,0.03
5.03,0.49,2.05,3.54,2.00,0.04
5.09,0.07,1.90,2.75,1.00,0.04
5.16,0.35,2.06,2.48,1.00,0.04
5.22,1.40,4.54,4.95,2.00,0.21
5.35,1.43,5.86,5.02,2.00,0.34
5.41,0.57,5.32,6.51,3.00,0.28
5.48,2.82,9.59,13.13,4.00,0.92
5.54,1.41,8.55,12.67,4.00,0.73
5.67,1.13,8.35,12.47,3.00,0.70
5.73,1.78,7.99,11.79,2.00,0.64
5.80,0.36,1.90,3.11,1.00,0.04
5.86,0.34,1.97,3.03,1.00,0.04
5.99,0.40,2.13,2.94,1.00,0.05
6.05,0.23,2.24,3.58,2.00,0.05
6.11,0.38,3.21,3.80,2.00,0.10
6.18,0.94,3.82,2.80,1.00,0.15
6.31,0.73,2.95,2.69,1.00,0.09
6.37,0.08,1.72,2.38,1.00,0.03
6.43,0.46,2.13,1.92,1.00,0.05
6.50,1.00,5.34,7.74,2.00,0.29
6.63,1.39,7.54,7.92,3.00,0.57
6.69,2.60,10.39,8.79,3.00,1.08
6.75,2.90,10.32,8.85,3.00,1.07
6.82,1.50,6.02,4.71,2.00,0.36
6.95,1.15,4.36,4.39,1.00,0.19
7.01,0.03,1.46,2.02,1.00,0.02
7.07,0.56,2.59,4.35,2.00,0.07
7.14,1.72,7.24,7.65,3.00,0.52
7.27,3.07,12.54,10.16,4.00,1.57
7.33,4.51,16.48,11.46,4.00,2.72
7.39,5.18,18.14,13.02,4.00,3.29
7.46,5.00,17.81,12.61,4.00,3.17
7.58,4.27,15.84,11.12,4.00,2.51
7.65,4.49,15.21,11.69,4.00,2.31
7.71,3.97,14.03,10.25,4.00,1.97
7.78,5.53,19.47,15.81,4.00,3.79
7.90,6.30,23.20,16.99,4.00,5.38
7.97,4.85,20.40,15.66,3.00,4.16
8.03,6.23,20.39,18.93,3.00,4.16
8.09,5.97,21.08,18.04,3.00,4.44
8.22,7.18,27.96,21.12,3.00,7.82
8.28,8.02,30.08,21.41,4.00,9.05
8.35,6.36,23.64,18.28,4.00,5.59
8.41,5.23,17.43,15.22,4.00,3.04
8.54,1.45,8.73,9.87,4.00,0.76
8.60,0.55,6.28,9.26,3.00,0.39
8.67,1.64,9.17,11.46,3.00,0.84
8.73,3.20,11.76,9.76,3.00,1.38
8.86,3.17,11.87,9.68,3.00,1.41
8.92,2.92,10.93,9.63,3.00,1.19
8.99,4.55,16.07,16.76,3.00,2.58
9.05,2.60,14.61,18.57,3.00,2.14
9.18,0.98,11.47,17.81,3.00,1.32
9.24,1.43,10.10,17.92,4.00,1.02
9.31,1.82,7.42,8.73,3.00,0.55
9.37,1.10,4.02,5.54,3.00,0.16
9.50,1.34,6.40,11.07,3.00,0.41
9.56,0.56,6.57,13.22,3.00,0.43
9.62,0.33,6.73,13.76,4.00,0.45
9.69,5.54,19.63,25.06,4.00,3.86
9.82,5.37,26.56,24.74,4.00,7.06
9.88,9.65,36.49,27.38,4.00,13.32
9.94,13.24,44.35,34.78,4.00,19.67
10.01,11.05,41.76,29.34,4.00,17.44
10.14,13.10,46.38,33.93,4.00,21.52
10.20,12.30,43.56,32.49,4.00,18.97
10.26,9.59,35.76,25.46,4.00,12.79
10.33,8.49,30.10,23.73,4.00,9.06
10.46,6.55,22.40,16.83,4.00,5.02
10.52,5.13,18.84,13.89,4.00,3.55
10.58,4.32,16.01,11.94,4.00,2.56
10.65,4.40,14.72,12.11,4.00,2.17
10.77,1.85,8.88,8.05,4.00,0.79
10.84,2.94,9.94,11.17,4.00,0.99
10.90,2.25,14.49,24.11,4.00,2.10
10.96,3.56,18.32,23.52,3.00,3.35
11.09,3.93,20.75,23.83,3.00,4.30
11.15,8.14,26.35,25.79,3.00,6.94
11.22,7.42,27.90,22.81,3.00,7.78
11.28,12.30,44.94,34.20,4.00,20.19
11.41,15.08,55.34,38.77,4.00,30.62
11.47,17.13,61.08,43.24,4.00,37.31
11.54,18.06,63.01,45.41,4.00,39.71
11.60,14.48,54.49,38.32,4.00,29.70
11.73,12.53,45.35,34.56,4.00,20.57
11.79,10.74,35.81,29.37,4.00,12.83
11.85,6.43,25.29,18.53,3.00,6.40
11.92,4.15,19.01,17.34,3.00,3.61
12.04,0.86,15.96,21.64,3.00,2.55
12.11,6.72,26.94,22.31,3.00,7.26
12.17,9.44,35.95,25.46,4.00,12.92
12.24,10.08,36.65,26.14,4.00,13.43
12.36,5.95,24.93,21.33,4.00,6.21
12.43,1.56,13.15,16.47,4.00,1.73
12.49,1.37,9.85,11.15,4.00,0.97
12.55,1.77,9.90,9.99,4.00,0.98
12.68,1.60,12.03,14.90,4.00,1.45
12.75,6.05,24.23,20.38,4.00,5.87
12.81,12.89,46.39,37.75,4.00,21.52
12.87,15.22,57.22,40.98,4.00,32.74
13.00,15.92,59.28,42.13,4.00,35.14
13.06,13.64,49.67,39.40,4.00,24.68
13.13,9.26,32.49,25.24,4.00,10.56
13.19,7.65,25.97,20.79,4.00,6.75
13.32,7.08,25.62,18.75,4.00,6.56
13.38,5.83,23.49,18.43,4.00,5.52
13.44,3.06,15.50,15.98,4.00,2.40
13.51,1.18,8.70,13.44,3.00,0.76
13.64,0.61,5.02,5.87,3.00,0.25
13.70,0.96,6.68,7.84,3.00,0.45
13.76,0.87,6.74,8.07,3.00,0.45
13.83,1.61,6.62,8.58,4.00,0.44
13.96,0.26,4.21,8.26,4.00,0.18
14.02,1.41,4.97,6.64,4.00,0.25
14.08,0.34,3.88,5.13,3.00,0.15
14.15,0.56,6.25,8.56,3.00,0.39
14.28,0.71,6.42,8.32,3.00,0.41
14.34,0.24,7.56,10.85,3.00,0.57
14.40,1.47,10.60,11.96,4.00,1.12
14.47,4.08,15.24,10.87,4.00,2.32
14.60,5.12,17.56,12.98,4.00,3.08
14.66,3.50,14.02,10.63,3.00,1.97
14.72,3.47,12.26,10.58,3.00,1.50
14.78,1.95,8.00,9.24,3.00,0.64
14.91,0.49,3.65,5.49,2.00,0.13
14.97,0.67,3.26,5.45,2.00,0.11
15.04,0.13,1.60,2.32,1.00,0.03
15.10,0.48,2.50,3.95,1.00,0.06
15.23,0.14,2.61,5.10,2.00,0.07
15.29,0.42,3.24,5.35,3.00,0.11
15.36,0.62,4.52,5.64,4.00,0.20
15.42,1.89,6.41,4.87,4.00,0.41
15.55,0.78,4.23,4.30,4.00,0.18
15.61,0.20,3.89,5.16,4.00,0.15
15.67,0.83,4.91,8.64,4.00,0.24
15.74,0.88,5.37,10.26,4.00,0.29
15.86,0.46,5.17,10.00,3.00,0.27
15.93,0.47,5.11,9.55,2.00,0.26
15.99,0.50,4.77,6.67,2.00,0.23
