# time (s), self.diffsum, self.std, self.dasdv, self.wa, self.var
10.52,1.37,4.48,6.23,2.00,0.20
10.65,0.86,4.53,8.33,2.00,0.21
10.71,0.26,4.53,8.63,3.00,0.20
10.77,0.24,4.67,8.61,3.00,0.22
10.84,1.67,5.69,7.88,3.00,0.32
10.96,0.01,2.56,3.96,2.00,0.07
11.03,0.99,3.58,4.11,2.00,0.13
11.09,0.29,3.84,6.73,3.00,0.15
11.16,0.49,3.76,6.39,3.00,0.14
11.29,0.58,4.06,6.51,4.00,0.16
11.35,0.92,4.05,6.04,3.00,0.16
11.41,0.24,1.39,2.69,2.00,0.02
11.47,0.49,1.74,2.76,2.00,0.03
11.60,0.84,3.88,4.13,2.00,0.15
11.67,0.81,4.33,4.17,2.00,0.19
11.73,0.73,3.87,4.22,2.00,0.15
11.79,1.60,8.30,10.47,2.00,0.69
11.92,1.99,9.74,9.97,2.00,0.95
11.98,1.44,8.62,10.08,3.00,0.74
12.05,0.58,7.11,10.65,4.00,0.51
12.11,1.38,5.54,4.25,3.00,0.31
12.24,1.32,4.97,4.15,2.00,0.25
12.30,1.06,7.38,10.85,2.00,0.54
12.37,1.62,8.81,10.28,1.00,0.78
12.43,0.74,8.24,11.20,2.00,0.68
12.56,0.20,8.35,11.81,3.00,0.70
12.62,2.23,8.85,6.33,3.00,0.78
12.69,1.42,7.21,7.10,4.00,0.52
12.75,1.39,4.94,7.01,4.00,0.24
12.88,0.33,3.64,7.42,4.00,0.13
12.94,0.53,4.90,9.52,4.00,0.24
13.00,1.14,5.50,8.94,3.00,0.30
13.07,0.33,4.83,7.84,2.00,0.23
13.20,1.63,5.58,6.56,2.00,0.31
13.26,0.31,1.76,1.89,1.00,0.03
13.32,0.85,3.05,3.10,2.00,0.09
13.39,0.82,3.12,3.09,2.00,0.10
13.51,0.11,2.17,3.04,2.00,0.05
13.58,0.21,1.98,3.03,2.00,0.04
13.64,0.11,1.75,2.64,2.00,0.03
13.71,1.00,4.87,5.26,3.00,0.24
13.83,1.74,7.05,5.33,3.00,0.50
13.90,1.60,6.78,5.34,3.00,0.46
13.96,1.15,4.74,4.98,2.00,0.22
14.02,0.22,1.28,2.00,1.00,0.02
14.15,0.21,1.36,1.93,1.00,0.02
14.22,1.42,5.68,5.93,2.00,0.32
14.28,1.28,6.38,6.00,2.00,0.41
14.34,1.15,5.76,6.04,2.00,0.33
14.47,1.03,4.03,5.89,1.00,0.16
14.53,0.35,1.38,2.18,0.00,0.02
14.60,0.04,1.03,2.18,0.00,0.01
14.66,0.36,1.44,2.23,0.00,0.02
14.79,0.11,1.37,1.85,0.00,0.02
14.85,1.08,3.65,3.79,1.00,0.13
14.92,1.73,6.46,5.61,2.00,0.42
14.98,1.45,6.73,5.57,2.00,0.45
15.11,1.74,6.48,5.76,2.00,0.42
15.17,1.16,4.05,4.58,1.00,0.16
15.23,0.30,2.13,3.47,1.00,0.05
15.30,0.81,4.34,4.66,2.00,0.19
15.43,1.26,5.64,4.50,2.00,0.32
15.49,1.67,6.03,4.66,2.00,0.36
15.55,1.03,3.86,3.54,1.00,0.15
15.62,1.02,3.48,3.51,1.00,0.12
15.75,0.76,3.29,3.46,1.00,0.11
15.81,0.45,2.61,3.18,1.00,0.07
15.87,2.15,7.31,8.93,2.00,0.53
15.94,1.79,8.59,8.46,1.00,0.74
16.06,2.43,10.14,8.85,2.00,1.03
16.13,2.29,8.80,8.89,2.00,0.77
16.19,0.92,3.41,3.43,1.00,0.12
16.25,0.26,2.26,3.73,2.00,0.05
16.38,0.80,3.18,3.73,2.00,0.10
16.44,0.19,3.21,5.45,3.00,0.10
16.51,0.00,3.50,5.27,3.00,0.12
16.57,0.31,3.48,6.02,3.00,0.12
16.70,0.45,3.49,5.52,2.00,0.12
16.76,0.35,2.58,3.74,1.00,0.07
16.83,0.36,3.84,5.54,2.00,0.15
16.89,0.05,3.86,6.62,2.00,0.15
17.02,1.26,6.71,8.49,3.00,0.45
17.08,0.57,6.89,9.18,4.00,0.47
17.14,1.56,7.00,8.25,3.00,0.49
17.21,0.51,3.49,6.52,2.00,0.12
17.34,1.52,4.89,5.91,2.00,0.24
17.40,0.20,3.59,5.67,2.00,0.13
17.46,0.02,3.76,5.88,3.00,0.14
17.53,0.01,3.71,5.88,3.00,0.14
17.59,1.00,3.80,3.55,2.00,0.14
17.72,1.00,3.24,3.54,2.00,0.11
17.78,0.77,3.47,3.13,1.00,0.12
17.85,0.70,3.41,3.17,1.00,0.12
17.97,0.49,4.73,6.48,2.00,0.22
18.04,1.06,5.57,5.71,1.00,0.31
18.10,0.71,5.21,6.15,2.00,0.27
18.16,0.16,4.65,6.56,3.00,0.22
18.29,1.92,7.10,5.77,3.00,0.50
18.36,2.13,8.12,5.90,3.00,0.66
18.42,2.43,8.67,6.66,3.00,0.75
18.48,2.21,7.86,6.36,2.00,0.62
18.61,1.98,7.15,5.58,2.00,0.51
18.68,1.01,5.57,6.54,3.00,0.31
18.74,0.85,3.78,6.09,3.00,0.14
18.80,0.29,3.02,6.19,4.00,0.09
18.93,0.05,2.94,5.57,4.00,0.09
19.00,1.35,4.58,5.12,4.00,0.21
19.06,1.11,5.18,4.50,4.00,0.27
19.12,1.45,5.66,4.20,3.00,0.32
19.25,1.18,4.16,3.60,2.00,0.17
19.32,2.06,7.15,7.61,2.00,0.51
19.38,3.43,13.35,11.41,2.00,1.78
19.44,3.83,15.81,11.60,3.00,2.50
19.57,4.62,16.46,12.59,4.00,2.71
19.64,5.43,17.86,15.30,4.00,3.19
19.70,4.62,18.19,13.41,4.00,3.31
19.76,5.33,19.82,14.39,4.00,3.93
19.89,6.04,20.23,16.00,4.00,4.09
19.96,5.51,19.78,14.22,4.00,3.91
20.02,4.06,17.33,13.67,4.00,3.00
20.08,2.79,12.27,12.49,3.00,1.51
20.21,2.02,6.96,10.25,3.00,0.48
20.27,0.76,5.23,5.95,3.00,0.27
20.34,0.16,5.82,8.97,3.00,0.34
20.40,0.27,6.54,9.03,3.00,0.43
20.53,2.60,10.66,10.30,3.00,1.14
20.59,4.39,14.97,11.99,3.00,2.24
20.66,4.79,17.79,13.29,3.00,3.16
20.72,5.82,20.97,14.73,4.00,4.40
20.85,6.26,22.16,15.85,4.00,4.91
20.91,5.68,20.63,14.89,4.00,4.25
20.97,4.34,16.28,11.98,4.00,2.65
21.04,2.80,11.00,10.14,3.00,1.21
21.17,3.67,12.43,14.16,3.00,1.54
21.23,5.24,20.24,17.90,3.00,4.10
21.29,6.53,26.42,19.84,3.00,6.98
21.36,7.49,27.52,20.13,4.00,7.57
21.49,6.39,21.96,16.98,4.00,4.82
21.55,4.98,17.48,13.22,4.00,3.05
21.61,3.34,13.35,9.80,3.00,1.78
21.68,3.39,11.59,9.90,3.00,1.34
21.80,0.20,7.34,11.70,3.00,0.54
21.87,0.70,6.99,10.98,3.00,0.49
21.93,1.48,8.34,11.41,4.00,0.70
22.00,1.46,7.87,11.44,4.00,0.62
22.12,0.93,4.12,5.78,4.00,0.17
22.19,1.00,5.48,5.92,4.00,0.30
22.25,0.29,5.91,8.39,4.00,0.35
22.31,0.62,4.77,9.27,4.00,0.23
22.44,0.22,4.69,9.08,3.00,0.22
22.50,0.97,5.11,9.46,3.00,0.26
22.57,0.19,4.64,6.69,2.00,0.22
22.63,0.06,4.18,6.15,2.00,0.17
22.76,0.71,4.08,7.34,3.00,0.17
22.82,0.38,4.00,6.68,3.00,0.16
22.89,0.61,5.27,6.95,4.00,0.28
22.95,1.72,6.22,4.94,3.00,0.39
23.08,0.04,3.97,5.62,3.00,0.16
23.14,0.39,4.00,5.30,2.00,0.16
23.21,1.25,5.29,5.31,2.00,0.28
23.27,1.06,4.61,5.50,3.00,0.21
23.40,1.25,4.78,6.37,3.00,0.23
23.46,0.91,4.82,6.61,4.00,0.23
23.53,0.63,4.23,6.29,3.00,0.18
23.59,0.80,3.92,6.13,2.00,0.15
23.72,1.06,3.57,4.10,2.00,0.13
23.78,0.57,3.43,3.75,1.00,0.12
23.85,0.46,3.24,3.89,1.00,0.11
23.91,1.29,7.17,8.90,2.00,0.51
24.04,0.44,7.20,11.28,2.00,0.52
24.10,0.02,7.02,11.37,3.00,0.49
24.16,1.20,7.43,13.48,4.00,0.55
24.23,1.54,7.34,12.22,4.00,0.54
24.36,1.00,5.90,10.62,4.00,0.35
24.42,0.14,6.70,12.78,4.00,0.45
24.48,0.22,6.33,12.56,4.00,0.40
24.55,0.28,6.08,12.70,4.00,0.37
24.68,2.21,13.08,20.96,4.00,1.71
24.74,2.16,13.49,21.06,4.00,1.82
24.80,1.47,13.66,22.80,4.00,1.87
24.87,1.89,13.87,24.51,4.00,1.92
24.99,2.49,12.33,17.86,4.00,1.52
25.06,1.12,8.15,16.19,3.00,0.66
25.12,1.23,6.88,11.75,2.00,0.47
25.18,0.12,4.47,6.15,2.00,0.20
25.31,0.42,4.03,7.35,2.00,0.16
25.38,0.24,4.39,7.31,2.00,0.19
25.44,1.13,6.32,8.24,3.00,0.40
25.50,1.41,6.36,7.65,3.00,0.41
25.63,0.08,2.82,4.74,2.00,0.08
25.69,0.11,2.72,4.74,2.00,0.07
25.76,0.79,2.77,2.85,1.00,0.08
25.82,0.10,0.80,1.17,0.00,0.01
25.95,0.18,0.99,1.29,0.00,0.01
26.01,0.34,1.71,2.86,1.00,0.03
26.07,0.09,1.69,3.13,1.00,0.03
26.14,1.13,5.05,6.70,2.00,0.26
26.26,0.23,5.03,7.61,3.00,0.25
26.33,2.02,7.48,9.59,3.00,0.56
26.39,1.49,6.49,9.56,3.00,0.42
26.45,0.61,4.89,7.63,3.00,0.24
26.58,1.60,5.56,6.80,2.00,0.31
26.64,0.18,2.02,3.47,2.00,0.04
26.71,1.76,8.22,9.64,3.00,0.68
26.77,0.47,8.18,12.43,3.00,0.67
26.90,0.99,7.79,12.44,3.00,0.61
26.96,0.35,6.42,12.19,2.00,0.41
27.03,0.58,6.12,9.27,2.00,0.37
27.09,0.31,3.56,5.88,2.00,0.13
27.22,0.67,3.70,6.53,3.00,0.14
27.28,0.60,3.48,6.58,3.00,0.12
27.35,0.24,3.21,5.54,3.00,0.10
27.41,0.11,3.95,6.82,3.00,0.16
27.54,0.21,3.48,6.62,3.00,0.12
27.60,0.48,3.89,6.97,4.00,0.15
27.66,0.57,3.91,6.93,4.00,0.15
27.73,0.58,3.22,4.43,3.00,0.10
27.85,1.01,4.91,6.37,3.00,0.24
27.92,0.46,4.92,7.84,3.00,0.24
