# time (s), self.diffsum, self.std, self.dasdv, self.wa, self.var
0.00,0.00,0.00,0.00,0.00,0.00
0.00,4.06,15.22,17.70,1.00,2.32
0.12,1.37,14.37,21.50,2.00,2.06
0.18,1.11,13.25,21.51,2.00,1.76
0.24,0.55,13.99,22.71,3.00,1.96
0.31,2.31,13.07,16.82,3.00,1.71
0.44,0.64,6.40,12.15,3.00,0.41
0.50,0.02,6.20,12.36,4.00,0.38
0.56,1.84,6.74,10.11,4.00,0.45
0.63,1.07,6.09,7.02,4.00,0.37
0.75,2.34,8.68,6.32,4.00,0.75
0.82,0.33,7.09,9.68,4.00,0.50
0.88,0.40,5.93,9.75,4.00,0.35
0.94,1.26,6.50,9.00,4.00,0.42
1.07,0.04,7.35,12.14,4.00,0.54
1.13,0.17,6.36,12.57,4.00,0.40
1.20,1.47,8.68,16.20,4.00,0.75
1.26,0.44,10.27,20.41,4.00,1.06
1.38,2.27,11.23,18.56,3.00,1.26
1.45,0.23,9.89,16.68,3.00,0.98
1.51,3.21,11.18,13.72,3.00,1.25
1.58,0.50,3.25,4.87,2.00,0.11
1.70,1.23,6.27,9.40,3.00,0.39
1.77,1.23,7.50,13.96,3.00,0.56
1.83,0.41,7.89,13.25,2.00,0.62
1.90,0.81,8.25,14.87,3.00,0.68
2.02,0.85,8.31,12.50,2.00,0.69
2.09,1.40,6.61,6.85,1.00,0.44
2.15,1.00,5.36,7.22,2.00,0.29
2.21,0.59,3.09,5.35,2.00,0.10
2.34,1.06,4.87,5.76,3.00,0.24
2.40,0.31,4.64,6.47,4.00,0.22
2.47,0.09,5.24,6.93,4.00,0.27
2.53,0.67,4.64,5.12,3.00,0.21
2.66,2.00,11.87,16.18,3.00,1.41
2.72,0.41,12.23,21.94,3.00,1.50
2.79,0.40,12.37,21.68,2.00,1.53
2.85,0.40,12.68,21.87,3.00,1.61
2.98,0.87,13.68,20.28,3.00,1.87
3.04,1.67,10.25,13.72,3.00,1.05
3.11,0.29,9.80,15.05,4.00,0.96
3.17,1.21,9.28,14.83,4.00,0.86
3.30,0.13,6.96,9.41,4.00,0.48
3.36,0.57,5.87,10.20,4.00,0.34
3.42,4.99,18.18,23.04,4.00,3.30
3.49,1.10,16.64,29.11,4.00,2.77
3.62,1.39,16.83,29.03,4.00,2.83
3.68,0.75,16.88,29.29,4.00,2.85
3.74,3.05,16.02,19.98,4.00,2.57
3.81,1.04,6.67,11.89,4.00,0.45
3.94,1.18,6.65,11.43,4.00,0.44
4.00,0.03,5.12,9.69,3.00,0.26
4.06,0.56,5.11,9.34,2.00,0.26
4.13,0.55,4.11,5.59,2.00,0.17
4.25,2.67,10.45,11.29,2.00,1.09
4.32,2.53,12.07,11.33,2.00,1.46
4.38,3.63,13.84,12.75,3.00,1.92
4.45,1.81,10.33,14.30,3.00,1.07
4.57,1.05,6.56,9.64,3.00,0.43
4.64,0.36,6.72,9.89,4.00,0.45
4.70,0.47,7.37,9.58,4.00,0.54
4.77,1.61,8.08,7.56,4.00,0.65
4.89,2.97,10.95,7.71,4.00,1.20
4.96,0.67,8.62,11.66,4.00,0.74
5.02,0.79,6.37,11.95,4.00,0.41
5.08,0.36,6.10,11.50,3.00,0.37
5.21,0.49,6.16,10.95,2.00,0.38
5.28,0.89,5.22,6.50,2.00,0.27
5.34,0.24,2.20,2.70,1.00,0.05
5.40,0.47,2.29,2.33,1.00,0.05
5.53,1.88,6.54,8.04,2.00,0.43
5.60,0.60,5.90,8.81,2.00,0.35
5.66,1.57,6.98,9.93,3.00,0.49
5.72,0.68,6.05,10.97,4.00,0.37
5.85,1.51,5.94,8.44,4.00,0.35
5.91,0.38,5.21,9.00,4.00,0.27
5.98,0.97,8.65,10.80,4.00,0.75
6.04,0.34,8.40,12.50,4.00,0.71
