# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,-21.40,7.20,-29.80,15.40,120.00,33.40
0.06,0.00,0.00,-21.40,7.20,-29.80,15.40,120.00,31.90
0.12,0.00,0.00,-22.60,7.30,-28.90,18.80,120.00,32.80
0.19,0.00,0.00,-23.60,7.20,-29.20,11.80,120.00,32.50
0.25,0.00,0.00,-21.70,6.40,-28.70,14.60,80.20,32.80
0.31,0.00,0.00,-21.70,6.40,-28.70,13.60,59.50,30.40
0.38,0.00,0.00,-22.30,5.50,-28.90,20.10,56.90,32.50
0.44,0.00,0.00,-23.20,6.40,-29.50,16.40,120.00,32.00
0.50,0.00,0.00,-23.20,6.40,-29.50,15.90,120.00,32.00
0.57,0.00,0.00,-21.80,6.60,-28.90,16.80,120.00,33.60
0.63,0.00,0.00,-21.80,7.80,-28.90,15.20,120.00,32.80
0.70,0.00,0.00,-21.80,7.80,-28.90,13.70,55.10,33.70
0.76,0.00,0.00,-23.20,6.90,-28.40,15.30,31.80,32.70
0.82,0.00,0.00,-22.40,7.20,-30.50,12.70,120.00,32.50
0.89,0.00,0.00,-24.10,6.60,-28.60,15.70,120.00,32.00
0.95,0.00,0.00,-23.80,6.30,-28.60,19.80,120.00,33.90
1.01,0.00,0.00,-23.60,7.20,-29.20,17.80,120.00,33.20
1.08,0.00,0.00,-23.90,5.70,-28.70,14.20,120.00,33.70
1.14,0.00,0.00,-23.90,5.70,-28.70,15.60,120.00,33.50
1.21,0.00,0.00,-25.60,5.10,-29.30,12.60,120.00,33.10
1.27,0.00,0.00,-23.00,7.00,-28.90,14.10,120.00,31.80
1.33,0.00,0.00,-23.00,7.00,-28.90,13.50,120.00,32.10
1.40,0.00,0.00,-23.90,6.10,-30.50,15.00,58.60,34.50
1.46,0.00,0.00,-21.50,4.80,-28.90,16.60,49.90,33.40
1.53,0.00,0.00,-21.50,4.80,-28.90,14.80,120.00,32.20
1.59,0.00,0.00,-22.40,5.70,-29.50,11.40,120.00,32.50
1.65,0.00,0.00,-24.70,6.90,-28.40,13.00,120.00,34.30
1.72,0.00,0.00,-24.70,6.90,-28.40,12.10,120.00,31.40
1.78,0.00,0.00,-22.60,6.30,-29.30,13.70,120.00,31.40
1.84,0.00,0.00,-21.80,6.30,-29.60,19.20,120.00,32.60
1.91,0.00,0.00,-22.30,6.60,-28.60,14.50,120.00,32.20
1.97,0.00,0.00,-22.30,6.60,-28.60,14.50,120.00,34.20
2.03,0.00,0.00,-24.70,6.40,-28.70,13.70,120.00,32.70
2.10,0.00,0.00,-22.40,6.40,-29.20,13.50,120.00,31.10
