# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,-17.80,13.20,-27.50,30.80,5.60,4.40
0.05,0.00,0.00,-18.70,13.30,-26.20,30.00,5.70,4.50
0.12,0.00,0.00,-18.70,13.30,-26.20,30.80,5.40,4.30
0.18,0.00,0.00,-17.90,13.00,-26.90,30.60,5.50,4.60
0.24,0.00,0.00,-17.30,13.30,-25.90,31.70,5.60,4.50
0.31,0.00,0.00,-18.20,14.70,-26.80,29.90,5.50,4.30
0.37,0.00,0.00,-18.20,14.70,-26.80,30.30,4.90,4.50
0.43,0.00,0.00,-17.60,14.10,-26.20,30.80,5.20,4.30
0.50,0.00,0.00,-17.60,14.10,-26.20,30.20,5.40,4.90
0.56,0.00,0.00,-18.70,13.30,-26.90,30.50,5.40,4.40
0.63,0.00,0.00,-19.10,14.50,-25.90,30.70,5.20,4.10
0.69,0.00,0.00,-17.90,12.30,-25.40,30.20,5.20,4.70
0.75,0.00,0.00,-17.90,12.30,-25.40,31.10,5.40,4.50
0.82,0.00,0.00,-17.60,13.80,-25.40,30.00,5.30,3.70
0.88,0.00,0.00,-17.80,13.90,-26.00,30.40,5.50,4.50
0.95,0.00,0.00,-17.80,13.90,-26.00,31.40,4.90,4.20
1.01,0.00,0.00,-16.70,14.40,-26.80,30.90,5.20,4.30
1.07,0.00,0.00,-16.60,13.80,-26.50,29.40,5.60,4.30
1.14,0.00,0.00,-18.20,12.70,-27.10,30.60,5.50,4.80
1.20,0.00,0.00,-17.90,13.00,-26.50,30.90,5.40,4.20
1.26,0.00,0.00,-17.00,15.40,-27.10,30.80,5.70,3.90
1.33,0.00,0.00,-17.00,15.40,-27.10,30.30,5.30,4.30
1.39,0.00,0.00,-17.60,13.30,-28.00,30.80,5.70,4.20
1.46,0.00,0.00,-16.70,13.90,-26.30,30.70,5.60,4.30
1.52,0.00,0.00,-17.50,14.70,-25.30,30.20,5.90,4.30
1.58,0.00,0.00,-18.40,15.20,-26.90,29.80,5.30,4.40
1.65,0.00,0.00,-17.50,12.40,-26.80,31.20,5.20,3.80
1.71,0.00,0.00,-17.30,11.80,-26.90,30.20,5.70,4.40
1.78,0.00,0.00,-17.30,11.80,-26.90,31.60,5.60,4.20
