# time (s), x(cm), y(cm), Turning Angle
0.27,9.3,10.1,84.64
0.36,9.3,10.1,84.64
0.36,8.8,10.3,28.79
0.47,9.1,9.9,79.87
0.53,9,9.9,80.45
0.59,8.9,9.7,80.35
0.66,8.8,9.4,77.68
0.72,8.7,9.6,82.32
0.79,8.6,9.6,84.18
0.85,8.5,9.4,83.44
0.96,8.4,9.3,80.29
1.05,8.4,9.3,82.52
1.11,8.4,9.3,86.11
1.18,8.4,8.6,39.47
1.77,8,8.5,67.26
1.89,7.6,8.1,70.96
2.32,6.8,7.9,39.4
2.51,6.8,7.7,40.72
2.57,6.8,7.4,23.43
2.65,6.4,7.6,35.02
3.46,6.7,6.5,55.03
3.62,6.8,6.4,55.61
3.68,6.8,6.3,53.48
3.74,6.8,6.3,52.33
3.8,6.8,6.3,50.9
3.87,6.8,6.3,49.87
3.93,6.8,6.2,49.11
3.99,6.7,6.4,48.91
4.06,6.7,6.3,51.43
4.12,6.4,6.2,57.48
4.18,6.7,6.3,47.09
4.3,6.7,6.2,47.88
4.37,6.8,6.1,45.33
4.49,6.4,6.1,42.85
4.56,6.8,6.1,38.13
4.62,6.8,5.9,40.89
4.68,6.7,6,39.72
4.74,6.8,5.8,39.11
4.81,6.7,5.9,36.52
4.87,6.8,5.7,36.53
4.93,7.1,5.7,36.76
5,6.9,5.7,31.59
5.06,6.9,5.6,33.39
5.12,7,5.6,29.06
5.19,7.1,5.5,27.82
5.25,7,5.4,28.9
5.31,7,5.3,27.72
5.38,7,5.4,26.93
5.44,7,5.3,25.53
5.5,7,5.3,24.53
5.56,7.1,5.3,19.95
5.63,7.1,5.3,18.9
5.69,7.1,5.2,22.11
5.75,7.1,5.2,21.36
5.81,7.4,5.2,21.04
5.88,7.1,5.1,19.08
5.94,7.1,5.1,17.85
6,7.1,5,17.34
6.06,7.2,5,16.86
6.13,7.2,5.1,15.31
6.19,7.2,5,15.77
6.25,7.2,5,15.42
6.31,7.2,4.9,14.67
6.44,6.9,5.6,12.67
6.55,7.3,4.9,12.56
6.63,7.3,4.9,11.98
6.82,7.3,4.9,7.69
6.94,7.2,5,5.34
7,7.1,5.1,5.98
7.07,7.3,4.9,1.21
7.13,7.3,4.9,0.13
7.19,7.4,4.9,-1.48
7.26,7.4,4.9,-2.35
7.32,7.4,4.9,-2.98
7.38,7.4,4.9,-5.23
7.46,7.4,4.9,-6.2
7.52,7.4,4.9,-6.96
7.58,7.5,4.9,-7.95
7.65,7.5,4.9,-9.64
7.71,7.5,4.8,-5.21
7.77,7.6,4.7,-5.33
7.84,7.6,4.7,-4.99
7.9,7.7,4.8,-12.81
7.98,7.8,4.8,-13.25
8.04,7.8,4.8,-14.21
8.1,7.9,4.8,-16.14
8.17,8,4.8,-17.79
8.23,8,4.8,-17.79
8.48,8.1,4.5,-18.41
8.54,8.1,4.5,-18.91
8.6,8.1,4.5,-19.59
8.67,8.2,4.5,-20.37
8.73,8.2,4.5,-21.04
8.79,8.2,4.5,-22
8.85,8.2,4.5,-23.56
8.91,8.2,4.5,-24.36
9.04,8.6,3.9,-26.69
9.1,9,3.1,-27.85
9.16,8.8,3.7,-28.95
9.48,8.7,4.4,-32.56
9.54,8.8,4.4,-32.7
9.6,8.8,4.4,-33.5
9.67,8.9,4.3,-34.36
9.98,9,4.1,-28.45
10.04,8.9,3.4,10.81
10.1,9.2,4.3,-36.22
10.16,9.2,4.4,-33.88
10.23,9.2,4.4,-33.88
10.4,9.2,4.4,-33.88
10.56,9.5,4.4,-46.69
10.65,9.6,4.9,-39.61
10.74,9.6,4.4,-47.52
10.8,9.7,4.4,-48.18
10.87,9.7,4.4,-49.17
10.93,9.8,4.4,-47.86
10.99,9.8,4.4,-47.12
11.05,9.8,4.4,-47.94
11.12,10.1,4.4,84.18
11.21,10.2,4.4,85.2
11.33,10.1,4.3,-46.27
11.46,10.1,4.2,-48.78
11.52,10.1,4.2,-48.31
11.59,10.1,4.2,-47.54
11.65,10.1,4.2,-48.66
11.71,10.2,4.2,-49.19
11.77,10.2,4.1,-49.74
11.83,10.3,4.2,-46.09
11.9,10.9,3.9,79.61
11.96,10.9,3.9,79.04
12.02,10.4,4.2,-47.96
12.08,10.3,4.2,-47.79
12.14,10.3,4.2,-55.71
12.21,10.4,4.1,-53.17
12.27,10.4,4.1,-53.96
12.33,10.4,4.1,-52.28
12.4,10.5,4.2,-50.3
12.46,10.5,4.1,-51.28
12.52,10.6,4.1,-53.97
12.58,10.6,4.1,-52.83
12.65,10.7,4.1,-52.41
12.71,10.8,4.1,-52.13
