# time (s), x(cm), y(cm), Turning Angle
1.52,8.2,6,68.75
1.58,9.9,6.9,67.56
1.58,9.7,6.6,67.81
1.7,8.8,6,69.45
1.77,9.5,6.5,71.23
1.95,9.1,6.4,76.94
2.02,9,6.4,80.24
2.08,8.6,6.2,82.76
2.14,8.6,6.2,83.5
2.21,8.4,6.2,84.81
2.27,8.4,6,89.21
2.33,8.2,5.9,91.33
2.46,7.8,5.6,94.55
2.58,7.5,5.5,96.12
2.64,7.4,5.4,95.84
2.83,7.3,5.2,95.25
2.9,7.1,5.2,96.8
2.96,7.1,5.3,96.84
3.02,6.9,5.2,100.56
3.09,6.4,5,105.55
3.15,6.5,5.1,106.13
3.21,6.4,5,107.9
3.27,6.3,5.1,109.28
3.34,6.1,5.1,110.61
3.4,6.1,5,111.85
3.46,6.1,5,110.94
3.53,6.1,4.9,109.97
3.59,6.1,5,109.84
3.78,6.1,4.9,109.78
3.84,6,4.8,109.41
3.9,6,4.7,106.95
3.97,5.9,4.6,106.75
4.03,5.8,4.5,106.04
4.1,5.9,4.5,105.05
4.16,5.9,4.5,104.5
4.22,5.9,4.5,103.71
4.29,6,4.4,102.27
4.35,5.9,4.4,98.95
4.41,5.9,4.4,98.18
4.48,5.9,4.4,95.8
4.54,5.9,4.4,93.62
4.6,5.9,4.4,91.55
4.66,5.9,4.4,91.09
4.73,5.9,4.4,90.14
4.79,5.9,4.4,88.74
4.85,5.9,4.4,87.72
4.92,5.9,4.4,87.04
4.98,5.9,4.4,87.73
5.04,6,4.5,86.85
5.11,5.9,4.5,87.36
5.17,5.9,4.5,87.36
5.23,5.7,4.4,87.77
5.29,5.7,4.5,87.69
5.36,5.7,4.4,87.9
5.42,5.7,4.4,87.57
5.48,5.7,4.4,87.27
5.54,5.7,4.4,87.4
5.61,5.8,4.5,85.85
5.67,5.7,4.5,83.19
5.73,5.8,4.5,76.94
5.79,5.8,4.6,73.74
5.85,5.9,4.7,68.51
5.92,5.9,4.7,66.46
5.98,5.9,4.7,66.52
6.04,6.2,4.8,65.67
6.1,5.4,4.6,72.65
6.17,5.9,4.8,68.53
6.23,5.7,4.8,68.7
6.29,5.7,4.7,67.93
6.35,5.6,4.7,66.27
6.42,6.1,4.8,64.23
6.48,6,4.8,64.73
6.54,5.9,4.7,64.98
6.61,5.4,4.5,71.17
6.67,5.4,4.5,70.61
6.73,5.3,4.4,72.67
6.79,5.3,4.4,73.7
6.86,5.3,4.4,72.08
6.92,5.2,4.4,70.52
6.98,5.1,4.4,71.51
7.04,5.1,4.4,70.58
7.11,5.1,4.4,64.86
7.17,5.1,4.4,55.21
7.23,5.1,4.4,55.21
7.5,5.1,4.4,55.21
7.5,5.5,4.9,41.94
7.68,5.8,5,41.03
7.75,5.9,4.9,31.69
7.88,5.9,4.9,27.63
7.94,5.8,4.9,24.3
8,5.8,4.9,17.7
8.07,5.8,4.9,14.52
8.13,5.9,4.9,11.31
8.19,5.9,4.9,8.67
8.44,5.8,4.8,-0.68
8.5,6,5,-5.25
8.57,6.3,5,-6.96
8.63,6.7,5.1,-8.96
8.69,6.7,5.1,-8.96
8.88,6.7,4.9,-21.62
9.08,9.5,6.5,-27.05
9.15,6.5,4.7,-27.45
9.27,6.5,4.9,-35.75
9.33,6.5,4.9,-37.78
9.4,6.6,4.9,-39.8
9.46,6.3,4.8,-36.66
9.52,6.7,4.9,-40.61
9.59,6.7,4.8,-41.57
9.65,6.9,4.8,-43.91
9.71,6.9,4.8,-44.51
9.77,7,4.8,-46.4
9.84,7.1,4.8,-47.88
9.9,7.3,4.8,-49.07
9.96,7.3,4.7,-50
10.03,7.8,4.9,-53.3
10.09,7.7,4.8,-51.91
10.15,7.9,4.8,-51.43
10.21,8,4.9,-53.46
10.28,8.2,4.9,-53.4
10.34,8.4,4.8,-52.73
10.4,8.5,4.9,-51.54
10.46,8.6,5,-49.42
10.53,8.7,4.9,-48.46
10.59,8.8,4.8,-48.96
10.65,8.9,4.8,-48.75
10.72,9.1,4.8,-50.27
10.78,9.2,4.7,-50.07
10.84,9.5,4.6,-50.46
10.9,9.7,4.7,-49.56
10.96,9.7,4.6,-49.69
11.03,9.7,4.6,-48.71
11.09,9.8,4.6,-49.1
11.15,10,4.6,-50.32
11.21,10,4.5,-49.32
11.28,10.2,4.5,-49.08
11.34,10.4,4.6,-49.15
11.4,10.4,4.7,-51.22
11.46,10.5,4.7,-53.05
11.52,10.7,4.8,-56.41
11.59,10.8,4.8,-60.06
11.65,10.9,4.8,-58.82
11.71,11.1,4.8,-58.61
11.78,11.2,4.8,-56.13
11.84,11.5,4.8,-55.15
11.9,11.7,4.8,-54.3
11.96,11.8,4.8,-54.11
12.03,11.8,4.7,-51.34
12.09,12.1,4.7,-52.75
12.15,12.3,4.6,-51.67
12.22,12.5,4.6,-50.13
12.28,12.6,4.4,-48.56
12.34,13,4.5,-50.35
12.4,13.1,4.4,-49.19
12.47,13.3,4.5,-49.39
12.53,13.3,4.5,-50.69
12.59,13.3,4.6,-53.77
12.66,13.3,4.6,-55.67
12.72,13.2,4.7,-60.58
12.78,13.3,4.7,-66.54
12.84,13.2,4.7,-68.65
12.91,13.3,4.8,-72.64
12.97,13.3,4.8,-73.14
13.03,13.3,4.9,-76.37
13.09,13.2,4.9,-78.57
13.16,13.1,4.9,-80.51
13.22,13.2,4.9,-84.57
13.28,13.1,4.9,-90.05
13.34,13,5,-97.67
13.41,13.4,5.5,-111.9
13.47,12.6,5,-106.01
13.53,12.5,4.9,-109.47
13.59,12.2,4.9,-114.52
13.66,12.5,5.2,-117.99
13.72,12.5,5.3,-118.6
13.79,12.6,5.4,-119.36
13.85,12.6,5.7,-121.24
13.91,12.5,5.8,-122.76
13.98,12.5,6,-124.78
14.04,12.3,6.2,-126.39
14.1,12.2,6.3,-128.54
14.16,12.3,6.6,-132.78
14.23,12.5,7,-137.2
14.29,12.2,6.8,-135.94
14.35,12,6.9,-138.58
14.42,12,7.1,-138.27
14.48,12,7.3,-138.52
14.54,12.2,7.6,-136.41
14.6,12.4,8.1,-133.61
14.67,12.4,8.4,-130.53
14.73,12.4,8.7,-132
14.79,12.5,8.9,-134.5
14.86,12.3,9.2,-137.37
15.05,9.7,8.3,-147.87
15.11,11.9,9.8,-150.37
15.23,11.6,10.2,-154.72
15.3,11.5,10.5,-157.43
15.36,11.3,10.6,-160.06
15.42,11.2,10.8,-164.59
15.49,10.8,10.8,-171.04
15.55,13.5,12.5,-176.77
15.61,10.5,10.8,179.36
15.68,10.2,10.8,175.44
15.74,10,10.8,171.32
15.8,9.7,11,170.12
15.93,9,11.2,164.25
15.99,8.6,11.3,160.41
16.06,8.4,11.5,154.75
16.12,8.1,11.6,150.15
16.24,8.5,12.4,157.14
16.31,8.3,12.8,161.41
16.37,8.3,12.8,161.41
16.58,8.3,12.8,161.41
16.58,8.3,12.8,161.41
16.84,8.3,12.8,161.41
16.98,4.9,15.5,-176.67
17.04,4.9,15.8,-175.32
17.11,4.7,16,-175.3
17.17,4.7,16.4,-175.88
17.26,4.5,16.6,-176.49
17.31,3.7,16.5,-173.71
17.37,6.8,18.3,-169.27
17.44,4.4,17.4,-168.19
17.5,4.3,17.7,-165.23
17.56,2.5,17,-164.99
17.63,3.9,17.9,-163.17
17.69,3.8,18.1,-161.14
17.75,3.7,18.5,-160.04
17.81,3.7,18.9,-159.49
17.88,3.5,19.1,-157.81
17.94,3.5,19.5,-156.04
18,3.5,19.8,-154.41
18.06,3.6,20.2,-152.48
18.12,7.3,22.4,-148.61
18.18,3.8,20.9,-148.66
18.25,3.8,21.3,-148.55
18.31,3.6,21.5,-149.34
18.37,3.5,21.7,-148.5
18.44,3.7,22,-149.33
18.5,3.7,22.3,-149.39
18.56,3.7,22.6,-148.15
18.62,3.8,23,-149.19
18.69,4,23.2,-149.27
18.75,4.1,23.6,-148.09
18.81,4.2,24,-147.94
18.88,4.2,24.4,-149.64
18.94,4.2,24.9,-149.83
19,4,25.1,-150.66
19.06,4,25.6,-151.66
19.13,3.8,26,-153.2
19.19,3.8,26.4,-153.24
19.25,4,26.8,-151.78
19.32,3.8,27.2,-153.12
19.38,3.9,27.7,-152.12
19.44,7.1,29.5,-152.41
19.5,3.9,28.3,-151.78
19.57,4,28.5,-152.19
19.63,3.9,28.7,-151.97
19.69,3.8,29.1,-151.3
19.76,3.7,29.4,-152.53
19.82,3.7,29.6,-151.39
19.88,3.8,30.1,-149.8
19.95,3.9,30.5,-150.13
20.01,4.1,31,-151.06
20.07,4,31.2,-150.54
20.14,3.8,31.3,-151.97
20.2,3.7,31.3,-154.08
20.26,3.5,31.4,-157.64
20.33,3.3,31.5,-158.32
20.39,3.4,31.5,-160.12
20.45,3.4,31.6,-160.74
20.51,3.5,31.6,-160.07
20.58,3.5,31.7,-161.42
20.64,3.4,31.7,-160.53
20.7,3.3,31.7,-161.65
20.77,3.3,31.7,-164.29
20.83,3.2,31.6,-163.8
20.89,3.2,31.8,-166.56
20.95,3.1,31.9,-168.54
21.02,3.1,32,-169.62
21.08,3.1,32,-171.15
21.14,3.1,32,-172.41
21.21,3.1,32,-172.53
21.27,3.1,32,-172.72
21.33,3.1,32,-170.87
21.39,3.2,31.9,-167.56
21.46,3.4,31.9,-162.63
21.52,3.6,31.9,-155.72
21.58,3.6,32,-150.2
21.65,3.6,32,-147.87
21.71,3.8,32,-144.69
21.77,7.4,33.6,-141.45
21.84,4.2,32.2,-140.27
21.9,4.3,32.3,-138.92
21.96,4.4,32.3,-137.14
22.02,4.7,32.3,-134.73
22.09,4.9,32.4,-131.98
22.15,5,32.6,-131.03
22.22,5.2,32.9,-131.23
22.28,5.2,32.9,-131.23
22.28,5.2,32.9,-131.23
22.69,5.2,32.9,-131.23
22.69,5.2,32.9,-131.23
22.94,5.2,32.9,-131.23
22.94,5.2,32.9,-131.23
23.26,5.2,32.9,-131.23
23.26,5.2,32.9,-131.23
23.58,5.2,32.9,-131.23
23.58,5.2,32.9,-131.23
23.77,5.2,32.9,-131.23
23.96,5.2,32.9,-131.23
24.23,5.2,32.9,-131.23
24.23,5.2,32.9,-131.23
24.46,5.2,32.9,-131.23
24.76,5.2,32.9,-131.23
24.95,5.2,32.9,-131.23
24.95,5.2,32.9,-131.23
25.23,6,35.5,-163.46
25.37,6.1,35.6,-164.6
25.43,6.2,35.7,-167.78
25.5,6.3,35.8,-169.36
25.56,6.3,35.9,-171.04
25.62,6.3,36,-173.74
25.68,6.3,36,-173.74
25.75,6.3,36.2,-177.47
25.81,6.3,36.3,-178.49
25.87,6.3,36.5,-178.88
25.93,6.3,36.5,-179.12
26,6.3,36.5,-179.25
26.06,6.2,36.5,-177.88
26.13,6.1,36.5,-177.46
26.19,6.1,36.6,-176.66
26.25,6,36.7,-176.45
26.31,6,36.8,-176.47
26.38,5.8,37,-177.47
26.44,8.2,38,-178.78
26.5,5.6,37.2,179.02
26.56,7.6,38.3,178.05
26.63,5.3,37.5,177.52
26.69,8,38.7,176.76
26.75,5.1,37.8,177.38
26.82,5.1,37.8,177.21
26.88,6.7,38.4,175.96
26.94,5.2,37.9,178.24
27,5.2,37.9,178.85
27.07,5.2,38,-179.87
27.13,5,38,-179.13
27.19,4.9,38,-178.43
27.26,5,38.1,-178.54
27.32,7,38.9,-178.85
27.38,5.1,38.2,-178.42
27.44,5,38.2,-178.16
27.51,5.1,38.3,-177.01
27.57,5,38.3,-176.63
27.63,5,38.4,-177.55
27.7,5,38.4,-178.36
27.76,7.2,39.4,-179.31
27.82,4.5,38.4,-174.22
27.88,4.9,38.6,-179.21
27.95,5,38.7,-177.16
28.01,4.9,38.7,-176.95
28.07,5,38.8,-174.02
28.13,5,38.9,-172.68
