# time (s), x(cm), y(cm), Turning Angle
0,9.9,8.3,72.69
0.05,9.6,8,74.67
0.12,9.5,7.8,76.03
0.18,9.4,7.7,76.46
0.24,11.7,9.1,77.69
0.3,8.9,7.4,78.58
0.81,7.8,6.2,87.28
0.87,7.7,6,86.97
0.93,7.6,5.9,86.69
0.99,7.5,5.9,86.81
1.06,7.5,5.8,87.13
1.12,7.4,5.8,88.87
1.18,7.3,5.7,90.1
1.24,7.2,5.7,90.21
1.43,6.9,5.5,91.99
1.49,6.8,5.4,91.95
1.55,6.8,5.5,91.93
1.62,6.8,5.4,90.93
1.68,6.7,5.4,89.52
1.74,6.6,5.4,86.95
1.8,6.5,5.3,84.29
1.87,6.5,5.2,82.3
1.93,6.5,5.1,79.26
1.99,6.5,5.1,77.1
2.05,9.3,6.7,75.24
2.12,8.1,6.1,74.63
2.18,6.3,5.1,73.22
2.24,6.2,5.1,71.96
2.3,6.1,5.1,69.69
2.37,6.2,5.2,67.6
2.43,6.1,5.2,67.32
2.49,6,5.2,66.95
2.55,6,5.2,67.07
2.61,6.1,5.2,66.81
2.68,6,5.2,67.31
2.74,6,5.1,67.53
2.8,6,5.1,69.14
2.87,6,4.9,69.52
2.93,6.1,4.9,72.75
2.99,6,5,77.48
3.05,6.1,5,81.62
3.12,6.1,5.1,84.99
3.18,6,5.1,87.79
3.24,5.9,5.1,91.22
3.3,5.9,5.1,93.8
3.36,5.9,5.1,96.51
3.55,5.9,5.2,103.42
3.8,5.8,5.5,115.31
3.99,6,5.6,121.17
4.06,5.9,5.6,123.66
4.12,6,5.8,129.79
4.18,5.8,5.9,129.13
4.24,5.7,6,131.57
4.3,5.7,6,133.53
4.37,5.6,6,134.5
4.43,5.6,6,135.48
4.5,5.5,6.1,136.95
4.56,5.5,6.1,140.25
4.62,5.4,6.2,143.15
4.68,5.4,6.3,146.29
4.74,5.3,6.4,147.92
4.81,5.2,6.4,149.07
4.87,5.2,6.5,152.61
4.93,5.2,6.6,155.4
4.99,5,6.7,158.61
5.05,4.7,6.8,161.99
5.12,4.7,7.1,166.61
5.18,4.7,7.3,170.53
5.24,4.5,7.3,170.4
5.3,4.4,7.3,171.61
5.36,4.3,7.4,173.13
5.42,4.2,7.5,174.71
5.49,4.2,7.5,175.51
5.55,4.2,7.6,179.05
5.61,4.1,7.8,-178.21
5.67,4,8,-174.62
5.74,4,8.3,-172.23
5.8,3.8,8.4,-171.32
5.86,3.9,8.6,-170.81
5.93,3.7,8.7,-169.14
5.99,3.6,9,-167.53
6.05,3.5,9.2,-166.38
6.11,6.3,11,-164.91
6.18,3.5,9.5,-164.23
6.24,3.5,9.8,-161.01
6.3,3.5,10,-159.39
6.37,3.5,10.3,-158.2
6.43,3.6,10.5,-156.77
6.49,3.6,10.6,-157.62
6.62,3.5,10.9,-157.92
6.68,3.6,11.2,-158.32
6.74,3.5,11.3,-158.46
6.81,3.5,11.4,-158.96
6.87,3.5,11.5,-158.86
6.93,3.5,11.6,-159.3
6.99,3.6,11.8,-159.86
7.06,3.7,11.9,-159.65
7.12,3.6,12,-158.79
7.18,3.6,12.2,-156.52
7.25,3.7,12.4,-156.28
7.31,3.6,12.5,-155.75
7.44,4,13.1,-151.34
7.56,4,13.5,-149.23
7.63,3.8,13.7,-148.83
7.69,3.8,13.9,-150.03
7.75,3.7,14,-150.69
7.81,3.7,14.2,-152.78
7.88,8.4,16.9,-153.31
7.94,3.5,14.6,-156.01
8,3.3,14.8,-157.51
8.07,3.3,15,-156
8.13,3.3,15.3,-156.19
8.19,3.3,15.5,-155.54
8.26,3.4,15.7,-154.61
