# time (s), x(cm), y(cm), Turning Angle
0.06,9.7,8.9,37.98
0.12,9.6,8.9,38.47
0.18,9.5,8.8,38.91
0.25,9.4,8.8,38.6
0.31,9.4,8.7,38.88
0.37,9.3,8.7,39.65
0.44,9.2,8.6,40.77
0.5,10.1,8.5,40.72
0.56,8.9,8.4,39.21
0.62,8.8,8.4,39.08
0.69,8.7,8.3,38.79
0.75,8.6,8.3,38.18
0.81,8.4,8.3,37.93
0.88,8.3,8.2,39.72
0.94,8.2,8.2,40.62
1,8.1,8.2,42.42
1.06,8,8.2,45.28
1.12,7.9,8.2,45.76
1.19,7.8,8.1,46.81
1.25,7.8,8.1,47.79
1.31,7.7,8.1,48.81
1.38,7.6,8.1,48.79
1.44,7.6,8,49.07
1.5,7.5,8,49.19
1.56,7.4,7.9,50.05
1.62,7.3,7.9,50.56
1.69,7.3,7.8,51.45
1.75,7.3,7.8,52.06
1.81,7.3,7.8,51.86
1.88,7.2,7.8,51.76
1.94,7.2,7.8,52.41
2,7.2,7.8,52.78
2.06,7.2,7.8,53.37
2.12,7.1,7.8,54.56
2.19,7.1,7.7,55.11
2.25,7,7.7,55.55
2.31,7,7.7,56.66
2.37,6.9,7.6,56.82
2.43,6.9,7.6,57.82
2.5,6.9,7.6,59.34
2.56,6.8,7.6,59.67
2.62,6.8,7.7,60.55
2.68,6.7,7.7,61.51
2.75,6.7,7.7,62.56
2.81,6.6,7.6,64.02
2.87,6.5,7.6,64.54
2.93,6.5,7.7,66.62
3,6.5,7.6,66.44
3.06,6.4,7.6,66.66
3.12,6.3,7.6,66.16
3.25,6.3,7.6,66.23
3.31,6.3,7.6,66.09
3.37,6.3,7.6,65.95
3.44,6.1,7.6,64.79
3.5,6,7.6,65.64
3.56,6,7.5,65.49
3.63,5.9,7.5,65.31
3.69,5.8,7.5,64.06
3.75,5.8,7.5,63.06
3.82,5.7,7.3,60.21
3.88,5.6,7.4,61.64
3.94,5.5,7.4,61.62
4.01,5.5,7.4,62.15
4.07,5.4,7.4,60.56
4.13,5.4,7.3,59.97
4.2,5.4,7.3,60.25
4.26,5.3,7.3,59.68
4.32,5.3,7.3,59.21
4.39,5.3,7.3,58.88
