# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,-31.10,6.60,-48.90,10.60,28.60,3.40
0.06,0.00,0.00,-30.30,7.80,-47.80,10.80,29.10,2.90
0.12,0.00,0.00,-30.80,7.80,-49.30,10.70,28.60,2.90
0.19,0.00,0.00,-30.90,7.90,-50.50,11.20,29.30,3.40
0.25,0.00,0.00,-30.20,6.90,-49.50,10.90,28.60,3.20
0.31,0.00,0.00,-30.20,6.90,-49.50,11.00,29.20,3.90
0.38,0.00,0.00,-30.50,6.90,-51.00,10.90,29.30,2.90
0.44,0.00,0.00,-30.50,6.90,-51.00,10.60,29.20,3.60
0.51,0.00,0.00,-31.10,7.00,-50.10,10.50,29.00,3.10
0.57,0.00,0.00,-31.10,7.00,-50.10,10.70,28.50,4.10
0.63,0.00,0.00,-30.30,8.50,-49.60,10.70,29.90,3.40
0.70,0.00,0.00,-31.80,5.50,-48.90,10.60,29.20,3.10
0.76,0.00,0.00,-30.50,6.40,-49.20,10.60,29.80,3.20
0.82,0.00,0.00,-30.50,6.40,-49.20,10.90,29.80,3.30
0.89,0.00,0.00,-30.30,7.80,-50.40,10.80,29.10,3.00
0.95,0.00,0.00,-30.30,7.80,-50.40,10.60,29.40,2.80
1.02,0.00,0.00,-31.70,7.20,-49.50,10.60,29.90,3.80
1.08,0.00,0.00,-31.70,8.40,-48.40,10.70,29.90,3.20
1.14,0.00,0.00,-31.70,8.40,-48.40,10.40,30.00,3.60
1.21,0.00,0.00,-32.00,6.90,-49.80,10.40,29.50,3.10
1.27,0.00,0.00,-31.10,7.00,-50.40,10.60,27.90,3.70
1.33,0.00,0.00,-31.10,7.00,-50.40,10.60,29.20,3.50
1.40,0.00,0.00,-30.30,7.30,-50.40,10.30,30.10,3.20
1.46,1.00,0.00,-30.30,7.30,-51.40,11.10,28.70,3.20
1.52,0.00,0.00,-29.60,7.00,-49.30,10.90,29.70,2.90
1.59,1.00,0.00,-31.70,7.60,-49.80,10.70,30.10,3.20
1.65,1.00,0.00,-31.70,7.60,-49.80,10.10,31.10,3.50
1.72,1.00,0.00,-30.30,7.30,-50.10,10.50,30.70,2.80
1.78,1.00,0.00,-30.30,7.30,-50.10,10.30,31.10,2.90
1.84,0.00,0.00,-32.70,4.90,-51.30,9.80,25.20,3.40
1.91,1.00,0.00,-32.60,4.30,-49.60,10.00,22.20,3.80
1.97,1.00,0.00,-32.60,4.30,-49.60,10.10,22.60,3.80
2.04,1.00,0.00,-31.80,6.30,-50.40,9.70,31.00,3.50
2.10,1.00,0.00,-28.90,7.80,-51.10,9.70,36.90,3.70
2.16,1.00,0.00,-28.90,7.80,-51.10,8.90,41.00,3.30
2.23,1.00,0.00,-30.30,11.70,-51.10,9.40,37.80,3.60
2.29,1.00,0.00,-31.10,10.50,-51.90,8.70,37.60,3.80
2.35,1.00,0.00,-31.10,8.20,-52.90,8.70,36.10,3.50
2.42,1.00,0.00,-30.00,6.60,-50.80,8.10,30.30,3.50
2.48,1.00,0.00,-30.00,6.60,-50.80,8.20,36.30,4.10
2.54,1.00,0.00,-30.20,11.40,-50.50,8.00,33.20,3.30
2.61,1.00,0.00,-30.20,11.40,-50.50,7.80,32.70,3.50
2.67,1.00,0.00,-32.00,8.40,-51.70,7.80,38.60,4.10
2.74,1.00,0.00,-29.80,9.60,-50.20,8.00,35.50,3.70
2.80,1.00,0.00,-29.80,7.20,-52.50,7.60,42.10,3.80
2.86,1.00,0.00,-29.80,7.20,-52.50,7.30,43.40,3.80
2.93,1.00,0.00,-28.10,10.00,-51.10,7.60,39.40,4.00
2.99,1.00,0.00,-29.50,8.40,-51.30,6.40,36.30,3.40
3.05,1.00,0.00,-28.90,7.80,-48.90,6.70,44.30,3.60
3.12,1.00,0.00,-29.20,7.90,-49.80,6.40,42.40,3.40
3.18,0.00,0.00,-30.00,7.30,-51.40,5.60,45.60,3.10
3.25,1.00,0.00,-28.10,13.90,-48.90,6.10,32.70,2.40
3.31,1.00,0.00,-27.20,16.40,-48.00,6.60,19.70,2.90
3.37,1.00,0.00,-26.20,12.30,-49.50,5.90,50.40,2.90
3.44,1.00,0.00,-26.20,12.30,-49.50,5.70,45.20,4.10
3.50,1.00,0.00,-26.60,7.80,-48.60,4.90,49.20,4.00
3.56,1.00,0.00,-25.30,11.20,-47.80,4.40,51.90,3.90
3.63,1.00,0.00,-28.10,10.90,-47.80,4.50,120.00,3.20
3.69,1.00,0.00,-28.10,10.90,-47.80,4.90,120.00,3.10
3.75,1.00,0.00,-26.00,13.90,-47.80,4.30,22.30,3.30
3.82,1.00,0.00,-24.70,14.10,-48.70,4.40,37.20,3.60
3.88,1.00,0.00,-24.70,10.60,-48.40,3.70,120.00,3.50
3.94,1.00,0.00,-25.40,8.40,-46.60,4.40,50.70,4.40
4.01,1.00,0.00,-26.00,6.60,-48.10,4.50,55.50,4.70
4.07,1.00,0.00,-27.20,6.10,-46.90,4.60,51.80,4.60
4.14,1.00,0.00,-26.20,7.90,-46.60,3.70,61.30,4.60
4.20,1.00,0.00,-25.60,9.70,-46.80,3.90,120.00,4.70
4.26,1.00,0.00,-25.60,9.70,-46.80,4.00,45.10,4.90
4.33,1.00,0.00,-24.80,10.00,-48.10,4.00,61.00,4.30
4.39,1.00,0.00,-24.20,8.70,-49.20,4.50,120.00,4.50
4.45,1.00,0.00,-24.10,6.60,-46.30,4.30,69.50,6.10
4.52,1.00,0.00,-24.10,6.60,-46.30,4.90,43.10,6.20
4.58,1.00,0.00,-26.20,3.40,-46.20,5.80,6.00,7.60
4.64,1.00,0.00,-26.90,3.00,-45.10,6.20,6.20,7.60
4.70,1.00,0.00,-26.50,2.50,-46.90,5.10,11.20,6.80
4.77,1.00,0.00,-26.50,2.50,-46.90,4.40,33.60,6.80
4.83,1.00,0.00,-24.80,6.60,-47.50,4.00,41.60,6.80
4.90,1.00,0.00,-25.40,7.20,-46.90,4.00,120.00,6.70
4.96,1.00,0.00,-26.90,9.90,-47.70,3.90,44.00,6.60
5.02,1.00,0.00,-27.40,7.00,-49.60,4.00,13.90,6.50
5.09,1.00,0.00,-27.40,7.00,-49.60,4.50,7.40,6.50
5.15,1.00,0.00,-26.90,3.00,-46.20,4.80,3.00,5.10
5.21,1.00,0.00,-26.20,3.70,-46.20,5.20,3.00,5.20
5.28,1.00,0.00,-27.80,-0.10,-46.00,6.30,3.10,4.60
5.34,1.00,0.00,-27.80,-0.10,-46.00,6.40,3.10,4.60
5.41,1.00,0.00,-27.70,0.00,-44.00,6.80,3.20,4.30
5.47,1.00,0.00,-27.70,0.00,-46.20,6.90,2.20,4.30
5.53,1.00,0.00,-27.10,0.90,-45.30,6.30,2.40,4.40
5.60,1.00,0.00,-27.10,0.90,-45.30,6.90,3.20,3.70
5.66,1.00,0.00,-29.60,2.80,-49.60,7.20,2.70,3.90
5.72,1.00,0.00,-29.60,2.80,-49.60,6.70,3.20,3.20
5.79,1.00,0.00,-30.80,2.10,-45.30,7.50,3.20,3.40
5.85,1.00,0.00,-31.70,-0.70,-43.40,8.00,2.60,3.90
5.92,1.00,0.00,-31.70,-0.70,-43.40,7.90,3.10,4.10
5.98,1.00,0.00,-28.40,1.50,-46.20,6.20,2.50,3.90
6.04,1.00,0.00,-28.90,2.10,-47.10,6.20,2.30,4.40
6.11,1.00,0.00,-31.10,2.40,-50.10,5.70,2.70,3.60
6.17,1.00,0.00,-31.10,2.40,-50.10,5.40,3.10,3.50
6.23,1.00,0.00,-29.80,3.70,-51.70,4.90,3.10,3.70
6.30,1.00,0.00,-28.90,3.90,-50.10,5.30,3.10,3.10
6.36,0.00,0.00,-30.30,3.90,-48.10,5.90,3.40,2.60
6.42,1.00,0.00,-30.30,3.90,-48.10,5.10,3.20,2.60
6.49,1.00,0.00,-31.50,4.80,-51.40,5.40,2.50,3.10
6.55,1.00,0.00,-31.50,4.80,-51.40,5.90,2.10,3.30
6.61,1.00,0.00,-33.90,6.10,-54.60,5.50,3.50,3.20
6.68,1.00,0.00,-33.90,6.10,-54.60,5.40,4.60,3.60
6.74,1.00,0.00,-35.10,4.80,-53.70,5.10,5.90,3.40
