# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,3.00,-18.20,19.60,-37.20,4.30,120.00,6.20
0.06,1.00,5.00,-17.30,19.10,-36.80,4.50,27.10,6.40
0.12,1.00,3.00,-16.70,18.50,-35.10,4.10,120.00,6.30
0.19,1.00,3.00,-17.30,20.20,-35.60,4.40,120.00,6.50
0.25,1.00,5.00,-17.30,20.20,-35.60,4.50,31.00,6.50
0.31,1.00,3.00,-19.40,19.40,-36.00,4.20,30.00,7.30
0.38,1.00,3.00,-17.60,17.90,-35.60,4.60,29.50,7.40
0.44,1.00,5.00,-16.30,20.00,-34.70,3.70,19.20,7.10
0.51,1.00,3.00,-16.30,20.00,-34.70,4.40,47.10,7.00
0.57,1.00,3.00,-16.10,18.70,-35.30,4.00,44.30,7.20
0.63,1.00,3.00,-17.50,15.10,-36.20,4.40,42.80,7.30
0.70,1.00,3.00,-16.60,17.50,-36.80,4.20,46.00,7.00
0.76,1.00,3.00,-16.60,16.40,-34.50,4.00,52.00,7.30
0.83,1.00,3.00,-17.80,18.50,-36.20,3.60,51.40,7.30
0.89,1.00,3.00,-17.80,18.50,-36.20,4.70,120.00,7.00
0.95,1.00,3.00,-15.50,20.00,-33.60,4.70,120.00,7.80
1.02,1.00,3.00,-17.50,17.30,-34.70,4.70,120.00,7.70
1.08,1.00,3.00,-17.30,19.90,-34.20,4.00,120.00,7.40
1.14,1.00,3.00,-17.30,19.90,-34.20,4.00,120.00,7.60
1.21,1.00,3.00,-16.30,18.50,-34.40,4.20,120.00,7.80
1.27,1.00,3.00,-14.80,19.30,-33.60,4.40,120.00,7.70
1.34,1.00,3.00,-17.50,17.00,-32.90,4.70,51.20,8.20
1.40,1.00,3.00,-17.50,17.00,-32.90,4.70,120.00,7.80
1.46,1.00,3.00,-16.90,17.90,-33.00,4.30,120.00,8.20
1.53,1.00,3.00,-16.90,17.90,-33.00,4.30,120.00,7.70
1.59,1.00,3.00,-16.90,17.90,-33.00,4.70,120.00,7.90
1.66,1.00,3.00,-17.50,20.80,-33.30,4.70,120.00,7.80
1.72,1.00,3.00,-15.20,22.70,-32.10,4.60,120.00,8.80
1.78,1.00,3.00,-15.20,22.70,-32.10,4.50,120.00,8.00
1.85,1.00,3.00,-16.70,20.50,-32.90,4.70,120.00,8.40
1.91,1.00,3.00,-16.90,19.40,-33.50,4.20,120.00,8.40
1.98,1.00,3.00,-16.30,20.80,-35.40,5.00,120.00,8.80
2.04,1.00,3.00,-16.30,20.80,-35.40,4.40,120.00,9.60
2.10,1.00,3.00,-18.20,17.80,-36.50,4.00,120.00,9.40
2.17,1.00,3.00,-18.40,19.40,-37.10,4.40,120.00,9.40
2.23,1.00,3.00,-16.90,17.50,-36.30,4.10,120.00,9.20
2.30,1.00,3.00,-17.60,19.40,-36.80,4.50,120.00,9.40
2.36,1.00,3.00,-16.90,18.70,-37.10,4.40,120.00,10.00
2.42,1.00,3.00,-16.90,18.70,-37.10,4.30,120.00,9.80
2.49,1.00,3.00,-15.20,18.50,-39.20,4.50,120.00,10.10
2.55,1.00,3.00,-16.60,16.70,-36.80,4.50,120.00,10.10
2.62,1.00,3.00,-17.00,17.30,-36.90,4.20,120.00,9.90
2.68,1.00,3.00,-17.00,17.30,-36.90,4.40,120.00,10.20
2.74,1.00,3.00,-18.20,15.80,-36.90,4.30,120.00,9.90
2.81,1.00,3.00,-18.20,15.80,-36.90,4.90,50.40,10.10
2.87,0.00,3.00,-17.80,15.80,-37.70,4.50,120.00,10.60
2.93,1.00,3.00,-17.50,15.10,-35.90,4.00,72.60,10.60
3.00,0.00,3.00,-18.70,14.80,-36.30,4.00,59.10,10.90
3.06,1.00,3.00,-18.70,14.80,-36.30,4.30,120.00,10.90
3.12,1.00,3.00,-18.70,14.80,-36.30,4.70,120.00,10.60
3.19,0.00,3.00,-17.60,15.70,-38.10,4.30,120.00,11.60
3.25,1.00,3.00,-16.00,15.80,-36.90,4.00,120.00,11.00
3.31,1.00,3.00,-16.00,15.80,-36.90,4.40,70.80,11.10
3.38,1.00,3.00,-19.70,16.60,-36.50,5.10,61.00,11.50
3.44,1.00,3.00,-19.70,16.60,-36.50,4.40,58.30,11.70
3.51,0.00,3.00,-18.50,14.40,-37.70,4.60,67.60,11.80
3.57,0.00,3.00,-17.00,15.10,-36.90,4.20,67.00,12.00
3.63,0.00,3.00,-16.90,15.70,-37.80,4.30,60.70,11.70
3.70,0.00,3.00,-16.90,15.70,-37.80,3.90,66.50,11.70
3.76,0.00,3.00,-19.00,16.60,-36.90,4.20,59.60,12.10
3.82,0.00,3.00,-17.80,17.00,-37.20,3.90,57.00,12.20
3.89,0.00,3.00,-17.80,17.00,-37.20,4.80,55.40,12.20
3.95,0.00,3.00,-17.00,15.10,-38.40,4.80,52.30,12.80
4.02,0.00,3.00,-19.10,14.80,-38.60,4.60,48.80,12.60
4.08,0.00,3.00,-16.70,15.10,-38.40,5.00,47.30,12.80
4.14,0.00,3.00,-16.70,15.10,-38.40,4.20,49.70,13.00
4.21,0.00,3.00,-17.90,16.70,-39.30,5.10,43.20,13.10
4.27,0.00,3.00,-17.90,14.50,-37.50,4.10,39.30,12.50
4.33,0.00,3.00,-17.90,14.50,-37.50,4.90,39.30,12.70
4.40,0.00,3.00,-17.90,15.20,-36.30,5.00,41.70,12.00
4.46,0.00,3.00,-19.00,14.40,-36.90,4.80,46.60,11.10
