# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,-62.30,2.20,-31.20,13.10,26.50,0.60
0.07,0.00,4.00,-63.80,-1.00,-30.20,12.60,26.70,25.00
0.13,0.00,4.00,-63.50,-0.40,-30.60,13.20,26.60,26.30
0.19,0.00,4.00,-63.50,-0.40,-30.60,13.10,26.60,26.60
0.26,0.00,4.00,-62.80,2.10,-31.10,13.30,26.70,25.50
0.32,0.00,4.00,-63.80,0.30,-32.70,12.90,27.10,24.40
0.38,0.00,4.00,-63.10,1.50,-30.20,13.10,26.00,25.90
0.45,0.00,4.00,-63.10,1.50,-30.20,12.60,27.20,24.60
0.51,0.00,4.00,-63.10,2.20,-27.70,12.80,27.80,27.70
0.57,1.00,0.00,-63.10,2.20,-27.70,13.10,29.30,26.30
0.64,1.00,4.00,-62.30,1.80,-35.00,12.80,28.60,22.70
0.70,1.00,0.00,-61.40,-0.90,-33.90,13.10,26.00,33.70
0.76,1.00,4.00,-60.80,-0.70,-32.70,13.40,25.90,33.20
0.83,1.00,4.00,-60.80,-0.70,-33.50,13.20,26.00,33.40
0.89,1.00,4.00,-63.10,-0.70,-32.30,13.10,25.20,33.80
0.95,0.00,4.00,-61.70,0.90,-31.10,13.00,26.70,34.20
1.02,1.00,4.00,-61.70,0.90,-31.10,13.80,26.40,28.40
1.08,1.00,4.00,-61.70,-0.40,-32.90,13.60,27.10,29.20
1.14,1.00,0.00,-61.00,-0.90,-33.90,13.20,25.70,27.30
1.21,1.00,0.00,-62.00,1.20,-32.60,13.40,26.70,27.60
1.27,1.00,0.00,-62.80,1.60,-31.80,13.30,27.30,22.40
1.33,1.00,4.00,-62.80,1.60,-33.60,12.90,27.00,22.20
1.40,1.00,4.00,-63.80,2.50,-33.80,14.20,28.50,21.10
1.46,1.00,4.00,-61.90,4.50,-34.50,14.50,29.80,22.40
1.52,1.00,0.00,-61.90,2.20,-36.80,14.50,30.10,23.00
1.59,1.00,0.00,-62.50,0.90,-34.40,16.90,30.20,21.90
1.65,1.00,0.00,-63.20,4.80,-35.10,16.70,28.90,22.10
1.72,1.00,0.00,-61.40,3.90,-36.50,19.00,29.60,21.70
1.78,1.00,0.00,-61.40,3.90,-36.50,21.10,29.40,22.60
1.84,1.00,0.00,-60.80,5.70,-36.30,21.00,28.90,21.50
1.91,1.00,0.00,-61.70,5.10,-36.90,21.00,30.30,21.20
1.97,1.00,0.00,-63.10,5.70,-36.30,21.30,30.10,21.30
2.03,1.00,0.00,-63.10,5.70,-36.30,22.70,30.50,21.70
2.10,1.00,0.00,-63.50,7.30,-38.00,22.60,30.20,21.40
2.16,1.00,0.00,-64.00,7.30,-36.90,23.80,29.80,20.90
2.22,1.00,0.00,-63.10,7.60,-36.00,23.90,29.90,21.50
2.29,1.00,0.00,-63.10,7.60,-36.00,23.80,30.40,21.50
2.35,0.00,0.00,-63.80,9.60,-35.30,21.20,30.20,21.20
2.41,0.00,0.00,-63.80,9.60,-35.30,21.70,29.90,22.60
2.48,0.00,0.00,-61.70,7.30,-35.10,19.90,30.70,22.50
2.54,0.00,0.00,-62.50,8.20,-34.70,19.00,29.80,23.20
2.60,1.00,0.00,-61.90,8.70,-34.50,20.00,27.60,24.10
2.67,1.00,0.00,-61.90,8.70,-34.50,19.90,26.70,24.20
2.73,1.00,0.00,-64.30,8.20,-35.40,19.80,27.00,24.40
2.79,1.00,0.00,-61.90,7.90,-36.00,18.20,25.80,26.30
2.86,1.00,0.00,-61.70,7.00,-33.90,18.40,26.60,24.90
2.92,1.00,0.00,-61.70,7.00,-33.90,18.10,25.50,24.70
2.99,1.00,0.00,-63.20,7.00,-32.90,18.00,25.50,24.40
3.05,1.00,4.00,-62.80,7.00,-35.90,16.80,25.60,26.20
3.11,1.00,0.00,-63.20,7.30,-35.40,16.50,25.60,26.40
3.18,1.00,0.00,-63.20,7.30,-35.40,15.80,26.70,25.10
3.24,1.00,0.00,-63.20,9.00,-37.70,14.90,27.00,25.50
3.30,1.00,0.00,-61.40,9.30,-36.50,13.70,27.80,25.20
3.37,1.00,0.00,-62.60,9.90,-35.60,13.50,25.90,25.80
3.43,1.00,0.00,-62.50,9.70,-35.90,12.90,25.30,25.90
3.49,1.00,0.00,-62.50,9.70,-35.90,13.30,26.00,26.20
3.56,1.00,0.00,-61.10,9.10,-37.10,12.70,25.90,25.80
3.62,1.00,0.00,-61.00,9.00,-39.20,13.30,25.60,26.00
3.68,1.00,0.00,-62.50,10.50,-37.20,13.00,25.30,26.70
3.75,1.00,4.00,-63.80,9.10,-38.10,13.20,26.30,26.00
3.81,1.00,0.00,-63.20,10.00,-39.20,13.00,25.60,25.50
3.87,1.00,0.00,-62.00,9.00,-36.90,13.20,25.70,27.00
3.94,1.00,0.00,-61.40,11.70,-39.20,13.30,27.80,27.60
4.00,1.00,0.00,-60.40,11.80,-38.10,14.10,26.20,27.10
4.06,1.00,0.00,-61.70,12.00,-40.20,14.00,28.20,26.30
4.13,1.00,0.00,-61.70,12.00,-40.20,15.00,27.00,26.20
4.19,1.00,0.00,-60.80,9.60,-40.40,15.70,27.40,27.80
4.25,1.00,0.00,-60.40,12.30,-40.40,16.40,28.60,27.20
4.31,1.00,0.00,-60.40,12.30,-40.40,18.30,30.10,26.60
4.38,1.00,0.00,-59.50,13.50,-41.00,18.10,29.80,27.00
4.44,1.00,0.00,-59.40,14.50,-40.40,18.00,30.50,26.40
4.51,1.00,0.00,-60.20,15.10,-41.00,17.00,31.20,26.30
4.57,1.00,0.00,-59.20,13.20,-41.70,17.40,29.90,26.40
4.63,1.00,0.00,-60.40,16.00,-42.20,17.20,31.10,26.50
4.70,1.00,0.00,-60.40,16.00,-42.20,16.90,31.70,25.30
4.76,0.00,0.00,-60.40,14.80,-41.10,16.80,31.00,27.50
4.82,1.00,0.00,-60.40,16.00,-42.90,16.80,31.50,27.20
4.89,1.00,0.00,-61.10,14.80,-41.90,16.70,31.50,27.80
4.95,1.00,0.00,-61.10,14.80,-41.90,16.70,31.70,27.80
5.02,1.00,0.00,-60.20,13.90,-40.50,16.20,30.60,27.30
5.08,1.00,0.00,-59.90,14.40,-39.80,15.50,30.00,29.50
5.14,1.00,4.00,-61.40,16.60,-41.70,15.70,29.40,30.40
5.21,1.00,4.00,-61.40,16.60,-41.70,15.70,29.50,29.70
5.27,1.00,0.00,-60.40,13.80,-41.10,15.50,28.50,28.80
5.33,1.00,4.00,-60.10,13.80,-40.80,16.10,29.70,29.50
5.40,1.00,0.00,-59.40,15.70,-41.90,15.60,28.70,30.60
5.46,1.00,0.00,-59.40,15.70,-41.90,15.50,28.70,30.50
5.53,1.00,0.00,-59.50,15.80,-41.30,15.70,28.90,31.20
5.59,1.00,4.00,-59.50,15.80,-41.30,15.40,28.60,31.30
5.65,0.00,0.00,-60.80,16.40,-42.60,15.70,27.60,31.90
5.72,1.00,0.00,-60.20,16.60,-42.30,15.30,28.70,34.20
5.78,1.00,0.00,-59.90,15.80,-42.80,15.30,27.90,32.20
5.84,1.00,0.00,-59.90,15.80,-42.80,14.70,27.30,32.20
5.91,1.00,0.00,-58.50,14.70,-44.60,15.20,26.70,32.30
5.97,1.00,0.00,-58.50,15.10,-43.50,14.90,26.60,32.60
