# time (s), x(cm), y(cm), Turning Angle
0.75,8.6,8.7,18.75
0.82,8.4,8.5,20.78
0.88,8.3,8.2,21.67
0.94,8.2,8,22.26
1.01,8.1,7.9,129.69
1.07,7.7,7.6,24.57
1.13,7.5,7.5,26.37
1.19,7.4,7.4,26.6
1.26,7.3,7.2,26.01
1.32,7.2,7.1,25.95
1.38,7.2,7.1,25.89
1.44,7.2,7.1,25.44
1.51,7.1,7.1,25.27
1.57,7.1,7,24.8
1.63,7,7,24.25
1.69,6.9,6.9,23.57
1.76,6.8,6.9,23.19
1.82,6.8,6.9,24.09
1.88,6.8,6.8,24.6
1.94,6.7,6.8,26.21
2,6.7,6.8,26.91
2.07,6.6,6.8,28.97
2.13,6.5,6.7,29.9
2.19,6.5,6.6,31.22
2.25,6.4,6.6,32.04
2.32,6.3,6.6,32.71
2.38,6.3,6.4,29.9
2.44,6.2,6.4,32.28
2.5,6.1,6.3,31.9
2.57,6.1,6.2,31.21
2.63,6.1,6.2,31.29
2.69,6,6.1,30.39
2.75,6,6,29.07
2.82,6,5.8,27.37
2.88,6,5.8,25.84
2.94,5.9,5.7,24.76
3.01,5.9,5.7,22.78
3.07,5.8,5.5,21.77
3.13,5.8,5.4,21.55
3.2,5.7,5.4,20.47
3.26,5.7,5.3,20.21
3.32,5.7,5.3,20.19
3.38,5.7,5.1,20.33
3.45,5.6,5.1,20.5
3.57,5.5,5,20.2
3.64,5.5,5,18.73
3.7,5.4,4.9,18.08
3.76,5.4,4.8,17.48
3.83,5.3,4.8,16.43
3.89,5.3,4.7,16.67
3.95,5.2,4.6,16.51
4.01,5.2,4.3,-15.52
4.08,5.1,4.4,14.19
4.2,5,4.2,12.26
4.27,5,4.2,12.78
4.33,5.1,4.3,11.9
4.39,5.1,4.2,13.21
4.46,5.2,4.2,12.44
4.52,5.3,4.2,12.96
4.58,5.3,4.2,13.58
4.64,5.4,4.2,16.43
4.71,5.4,4.2,19.55
4.77,5.4,4.3,22.48
4.83,5.3,4.3,24.61
4.9,5.3,4.3,26.77
4.96,5.2,4.4,28.04
5.02,5.2,4.4,29.67
5.09,5.2,4.4,31.72
5.15,5.2,4.4,33.21
5.21,5.3,4.4,35.01
5.28,5.3,4.5,37.07
5.34,5.2,4.5,37.5
5.4,5.3,4.5,41.79
5.46,5.3,4.6,43.68
5.53,5.3,4.6,44.55
5.59,5.1,4.6,44.56
5.66,5.2,4.7,46.92
5.78,5.2,4.7,49.4
5.84,5.2,4.7,50.48
5.91,5.2,4.8,52.46
5.97,5.1,4.8,55.17
6.1,5.1,4.9,59.24
6.16,5.1,4.9,60.08
6.22,5.1,4.9,60.07
6.28,5,4.9,60.53
6.34,5,4.9,60.37
6.47,5.1,4.8,60.23
6.53,5.1,4.8,60.48
6.59,5.1,4.8,60.94
6.66,5.1,4.8,61.2
6.72,5.1,4.9,61.43
6.78,5.1,4.8,60.85
6.84,5.1,4.9,59.92
6.91,5.2,4.9,59.26
6.97,5.2,4.9,58.89
7.03,5.2,4.9,57.31
7.1,5.2,4.9,55.39
7.16,5.2,4.9,51.79
7.22,5.1,4.8,48.8
7.29,5.1,4.8,46.63
7.35,5.1,4.7,44.17
7.41,5.1,4.7,42.02
7.47,5.1,4.6,40.09
7.54,5.1,4.6,38.36
7.6,5.1,4.5,36.92
7.66,4.9,4.6,35.45
7.72,4.9,4.6,33.54
7.79,4.8,4.5,32.78
7.85,4.8,4.4,31.14
7.91,4.8,4.4,28.9
7.97,4.8,4.4,27.04
8.03,4.7,4.3,25.2
8.1,4.6,4.3,24.17
8.16,4.6,4.3,23.42
8.22,4.6,4.3,21.08
8.28,4.5,4.2,20.51
8.35,4.4,4,16.34
8.41,4.4,4.1,16.84
8.47,4.3,4.1,15.94
8.53,4.2,4.1,11.19
8.66,4.3,3.8,6.55
8.72,4.5,3.7,2.87
8.79,4.6,3.5,-0.34
8.85,4.8,3.5,-4.15
8.91,4.8,3.4,-6.87
8.98,4.8,3.4,-8
9.04,4.8,3.3,-8.44
9.1,4.8,3.3,-8.26
9.17,4.9,3.2,-8.57
9.23,4.8,3.2,-7.26
9.29,4.9,3.2,-6.98
9.35,4.9,3.1,-5.92
9.42,4.9,3.2,-4.96
9.48,5,3.2,-3.67
9.54,5,3.2,-2.07
