# time (s), x(cm), y(cm), Turning Angle
0.06,9.5,10.8,95.58
0.12,9.5,10.7,94.37
0.18,9.5,10.7,94.28
0.25,9.5,10.8,95.48
0.31,9.5,10.8,95.59
0.37,9.8,10.6,87.23
0.43,9.5,10.8,95.27
0.5,9.5,10.8,95.46
0.56,9.5,10.8,95.65
0.62,9.5,10.8,95.4
0.68,9.5,10.7,94.25
0.75,9.5,10.7,94.09
0.81,9.5,10.7,94.24
0.87,9.5,10.7,94.2
0.94,9.5,10.7,95.35
1,9.5,10.8,95.5
1.07,9.5,10.7,95.54
1.13,9.5,10.8,95.97
1.19,9.5,10.8,95.39
1.25,9.5,10.7,94.17
1.32,10.6,10.6,75.56
1.38,9.5,10.7,94.03
1.44,9.5,10.7,94.3
1.5,9.5,10.7,95.42
1.57,9.5,10.7,95.44
1.63,9.5,10.8,95.35
1.69,9.5,10.8,95.5
1.75,9.9,10.7,87.59
1.82,9.9,10.7,87.55
1.88,9.6,10.9,98.87
1.94,9.5,10.8,95.39
2.01,10,10.7,85.52
2.07,9.5,10.7,94.09
2.13,9.5,10.7,94.15
2.19,9.5,10.7,95.33
2.25,9.5,10.7,94.17
2.32,9.5,10.7,94.21
2.38,9.5,10.7,94.26
2.44,9.5,10.7,94.18
2.51,9.5,10.7,95.35
2.57,9.5,10.8,95.22
2.63,9.5,10.7,94.07
2.69,9.5,10.8,95.39
2.76,9.5,10.7,95.4
2.82,9.5,10.7,94.2
2.88,9.5,10.7,95.33
2.95,9.5,10.7,95.4
3.01,9.5,10.7,94.34
3.08,9.5,10.7,94.17
3.14,9.5,10.7,94.26
3.2,9.5,10.7,95.49
3.27,9.5,10.7,95.32
3.33,9.5,10.7,94.28
3.39,9.5,10.7,94.52
3.45,9.5,10.7,94.16
3.52,9.5,10.7,94.22
3.58,9.5,10.8,96.47
3.64,9.5,10.7,95.52
3.71,9.5,10.7,95.44
3.77,9.5,10.7,95.42
3.83,9.5,10.8,95.39
3.89,9.5,10.8,95.56
3.96,9.5,10.7,94.41
4.02,9.5,10.7,94.3
4.08,9.5,10.7,94.4
4.15,9.5,10.8,95.24
4.21,9.8,10.6,87.58
4.27,9.9,10.7,88.17
4.35,9.9,10.7,88.17
4.53,9.5,10.8,95.58
4.59,9.5,10.8,95.61
4.66,9.5,10.7,94.3
4.72,9.5,10.7,94.21
4.78,9.5,10.7,94.44
4.85,9.5,10.7,94.6
4.91,9.5,10.7,94.32
4.97,9.5,10.7,94.37
5.04,9.5,10.7,95.81
5.1,9.5,10.8,95.62
5.16,9.5,10.8,95.48
5.23,9.5,10.7,94.36
5.29,9.5,10.7,94.27
5.35,9.5,10.7,94.25
5.42,9.5,10.7,94.23
5.48,9.5,10.7,94.35
5.54,9.5,10.7,94.45
5.61,9.5,10.7,95.28
5.67,9.5,10.7,94.14
5.73,9.5,10.8,96.05
5.79,9.5,10.8,96.38
5.86,9.5,10.7,94.29
5.92,9.5,10.7,94.17
5.98,9.5,10.7,93.83
6.05,9.5,10.7,95.51
6.11,9.5,10.7,95.31
6.17,9.5,10.7,94.31
6.24,9.5,10.8,95.58
6.3,9.5,10.7,95.46
6.36,9.5,10.8,95.01
6.42,9.5,10.7,93.14
6.49,9.5,10.7,94.47
6.55,9.5,10.7,94.08
6.61,9.5,10.7,94.35
6.68,9.5,10.7,94.15
6.74,9.5,10.7,94.4
6.8,9.5,10.8,95.55
6.86,9.5,10.7,94.29
6.93,9.5,10.8,95.55
6.99,9.5,10.8,95.56
7.05,9.5,10.7,95.42
7.11,9.5,10.7,94.29
7.18,9.5,10.7,94.31
7.24,9.5,10.7,95.44
7.3,9.5,10.8,95.44
7.36,9.5,10.7,95.45
7.43,9.5,10.7,95.56
7.49,9.5,10.7,95.41
7.55,9.5,10.7,95.29
7.62,9.5,10.7,95.34
7.68,9.5,10.7,95.42
7.74,9.5,10.7,95.27
7.81,9.5,10.7,94.26
7.87,9.5,10.7,94.35
7.93,9.5,10.7,95.56
8,9.5,10.7,95.39
8.06,9.5,10.7,94.23
8.12,9.5,10.8,96.52
8.19,9.8,10.6,87.44
8.25,9.8,10.6,87.47
8.31,9.5,10.7,94.26
8.38,9.5,10.7,95.58
8.44,9.5,10.7,95.52
8.5,10.1,10.8,87.58
8.57,9.8,10.6,87.42
8.63,9.9,10.7,87.33
8.69,9.8,10.6,87.39
8.75,9.5,10.7,95.29
8.82,9.5,10.7,95.35
8.88,9.5,10.7,95.53
8.94,9.5,10.7,95.52
9.01,9.5,10.7,94.2
9.07,9.5,10.7,94.27
9.13,9.5,10.7,95.5
9.19,9.4,10.9,98.88
9.26,9.5,10.8,96.64
9.32,9.5,10.8,96.64
9.44,9.8,10.7,88.56
9.51,9.5,10.7,94.18
9.57,9.5,10.7,94.32
9.63,9.5,10.7,95.3
9.69,9.5,10.7,94.2
9.75,9.5,10.7,94.08
9.82,9.5,10.7,94.17
9.88,9.5,10.8,95.56
9.94,9.5,10.7,94.32
10.01,9.5,10.7,94.33
10.07,9.5,10.7,94.4
10.13,9.9,10.7,87.6
10.19,9.7,10.6,86.81
10.25,9.5,10.7,93.32
10.32,9.5,10.7,95.16
10.38,9.8,10.6,87.34
10.44,9.8,10.6,87.27
10.5,10.2,10.8,87.77
10.57,9.6,10.5,87.54
10.63,9.8,10.6,87.15
10.69,10,10.8,87.45
10.76,9.8,10.6,87.1
10.82,9.9,10.7,87.92
10.89,9.4,10.8,98.67
10.95,9.5,10.8,96.55
11.02,9.8,10.6,87.26
11.08,11.9,11.9,88.28
11.19,9.8,10.6,87.24
11.28,9.8,10.7,87.33
11.34,9.9,10.7,87.15
11.41,9.6,10.7,94.12
11.47,9.9,10.7,87.37
11.53,9.8,10.6,87.35
11.6,9.4,10.4,87.08
11.66,9.5,10.8,95.58
11.72,9.8,10.6,87.2
11.78,9.2,10.2,86.1
11.86,9.5,10.8,96.69
11.94,9.5,10.8,96.57
12.01,9.9,10.7,87.71
12.07,9.8,10.6,87.23
12.13,9.5,10.7,93.69
12.19,9.5,10.7,95.27
12.26,9.6,10.7,94.37
12.32,9.8,10.7,88.45
12.38,9.7,10.6,89.73
12.45,9.5,10.8,91.62
12.58,8.9,10.5,-103.64
12.65,9.9,10.7,87.56
12.71,9.5,10.7,94
12.77,9.5,10.8,95.42
12.83,9.5,10.7,94.21
12.9,9.5,10.7,95.14
12.96,9.5,10.7,94.22
13.02,9.7,10.7,89.79
13.08,9.8,10.6,87.29
13.14,9.8,10.6,87.28
13.21,9.8,10.6,85.63
13.27,9.5,10.7,94.26
13.33,9.5,10.7,95.15
13.4,10.1,10.5,82.02
13.46,9.1,10.2,87.34
13.52,9.9,10.7,87.83
13.58,9.4,10.4,87.25
13.65,9.9,10.7,87.67
13.71,9.8,10.6,87.38
13.78,9.7,10.6,87.07
13.84,9.5,10.8,95.37
13.9,9.9,10.7,87.68
13.97,9.4,10.4,87.26
14.03,9.4,10.5,87.77
14.1,9.8,10.7,88.62
14.15,9.8,10.6,87.22
14.22,10.1,10.6,84.24
14.28,9.6,10.9,100.37
14.34,9.5,10.8,96.71
14.41,9.6,10.7,93.83
14.47,9.5,10.8,96.64
14.53,9.5,10.8,96.63
14.6,9.5,10.7,95.49
14.66,9.6,10.9,101.61
14.72,9.6,10.5,87.46
14.79,9.5,10.7,94.24
14.85,9.5,10.7,93.81
14.91,9.5,10.7,93.63
14.98,9.5,10.7,94.06
15.04,9.5,10.7,94.39
15.1,9.8,10.6,86.37
15.16,9.8,10.6,85.94
15.22,9.8,10.6,86.82
15.29,9.8,10.6,86.28
15.35,9.8,10.6,87.25
15.41,9.6,10.7,94.53
15.47,9.3,10.7,98.11
15.54,9.5,10.7,95.3
15.6,9.5,10.7,95.38
15.66,9.5,10.7,94.05
15.72,9.5,10.7,95.37
15.79,9.8,10.7,87.37
15.85,9.9,10.7,87.61
15.91,9.8,10.7,87.34
15.97,9.5,10.8,97.67
16.04,9.7,10.6,86.93
16.1,9.5,10.8,96.62
16.16,9.5,10.7,94.33
16.22,9.5,10.7,95.3
16.29,9.5,10.7,93.41
16.35,9.5,10.7,95.32
16.41,9.5,10.7,95.25
16.47,9.5,10.7,95.42
16.54,9.8,10.6,88.1
16.6,9.5,10.7,93.23
16.66,9.5,10.8,95.66
16.72,9.5,10.7,94.15
16.78,9.5,10.7,94.3
16.85,9.4,10.4,87.49
16.91,9.7,10.6,86.83
16.97,9.5,10.7,94.23
17.04,9.5,10.7,95.12
17.1,9.5,10.7,94.18
17.16,9.5,10.7,95.34
17.22,9.5,10.7,95.4
17.29,10,10.7,87.92
17.35,8.9,10.1,86.84
17.41,9.5,10.8,96.66
17.47,9.5,10.8,96.85
17.54,9.5,10.8,96.65
17.6,9.8,10.6,87.37
17.66,9.8,10.6,87.44
17.73,9.9,10.7,88
17.79,9.8,10.6,87.14
17.85,9.5,10.8,96.46
17.92,10,10.7,87.73
17.98,9.4,10.4,87.32
18.04,9.5,10.8,96.65
18.11,9.5,10.8,96.64
18.17,9.5,10.7,95.18
18.23,9.5,10.8,96.56
18.29,9.5,10.8,96.71
18.36,9.5,10.8,96.68
18.42,9.6,10.9,101.74
