# time (s), x(cm), y(cm), Turning Angle
1.17,10,10.1,76.3
1.23,9.9,10,75.94
1.3,9.9,9.9,75.67
1.36,9.8,9.8,75.4
1.42,10.8,10.3,75.29
1.48,10.1,9.8,75.11
1.54,10,9.7,75.24
1.61,11.5,10.6,75.54
1.67,9.9,9.5,75.74
1.73,9.9,9.5,75.84
1.8,9.8,9.4,75.77
1.86,4.7,8.8,59.09
1.98,8.7,10,-4.68
2.05,9.8,9.3,76.79
2.11,9.7,9.2,76.8
2.17,9.8,9.2,76.52
2.3,9.7,9.2,76.66
2.36,9.6,9.1,77.27
2.42,9.6,9.1,76.83
2.49,10.3,8.4,-10.98
2.55,9.5,9,78.64
2.61,9.4,8.9,78.86
2.67,9.1,8.7,80.02
2.73,9.3,8.9,80.22
2.8,9.2,8.9,81.52
2.86,9.2,8.8,82.17
2.92,9.1,8.8,83.29
2.98,8.4,9.2,11.74
3.05,9,8.8,84.81
3.11,9,8.7,85.38
3.17,8.9,8.6,86.33
3.24,8.9,8.6,86.22
3.3,8.8,8.6,86.19
3.36,8.9,8.6,87
3.43,8.4,8.5,87.13
3.49,8.3,8.5,86.42
3.55,8.7,8.5,85.92
3.61,8,8.8,28.78
3.67,8.6,8.3,86.99
3.74,8.6,8.4,86.31
3.8,8.5,8.3,86.62
3.93,8.1,8.2,93.27
3.99,8.4,8.1,87.19
4.05,8.3,8.1,86.5
4.12,8.2,8,87.85
4.24,7.5,8.5,2.51
4.31,8.2,8,87.93
4.37,8.1,8,89.1
4.43,7.7,7.8,91.68
4.5,8,7.9,90
4.56,7.6,7.7,90.95
4.62,7.6,7.9,92.54
4.68,7.9,7.9,92.13
4.74,7.9,7.9,91.43
4.81,7.8,7.9,92.97
4.87,7.8,7.9,93.1
4.94,7.7,7.8,94.75
5,7.7,7.8,94.98
5.06,7.6,7.7,94.83
5.12,7.2,7.7,87.83
5.18,7.2,7.5,95.38
5.25,7.2,7.5,95.67
5.31,7.1,7.5,95.84
5.37,7.1,7.5,96.05
5.44,7,7.5,96.31
5.5,6.9,7.5,95.36
5.56,6.8,7.6,96.16
5.62,5.6,9.9,96.27
5.69,6.8,7.4,94.68
5.75,7.2,7.6,93.88
5.81,7.1,7.5,93.26
5.87,7.1,7.5,92.28
5.93,7.1,7.4,91.08
5.99,6.7,7.2,91.46
6.06,7.1,7.3,88.95
6.12,6.4,7.7,26.63
6.18,7,7.2,86.34
6.25,7,7.2,84.96
6.31,7,7.1,83.89
6.37,6.9,7.1,82.28
6.5,2.5,6.8,80.86
6.56,6.9,7,79.27
6.62,6.9,7,79.11
6.68,6.9,7,78.5
6.75,6.8,7,77.91
6.81,6.8,7,77.05
6.87,8.8,8.1,76.45
6.93,5.9,7.3,26.51
7,7.2,6.9,75.39
7.06,6.2,7.2,22.73
7.12,5.7,7.3,21.91
7.19,6.1,6.8,73.97
7.25,6,6.8,74.77
7.31,5.4,7.3,-2.33
7.38,5.1,7.6,5.61
