# time (s), x(cm), y(cm), Turning Angle
0.05,7.9,9.4,76.96
0.11,7.8,9.3,70.54
0.19,7.8,9.3,70.54
0.44,7.1,9.9,-6.39
0.54,7,9.8,-4.95
0.6,7,9.7,-2.73
0.67,7,9.7,1.86
0.73,7.3,10,-16.68
0.81,7.1,9.7,-1.44
0.93,7,9.6,-1.66
0.99,7,9.6,-2.76
1.06,7.1,9.6,-9.74
1.12,7.1,9.7,-14.35
1.18,7,9.7,-3.41
1.24,7.4,9.3,44.22
1.37,7,9.7,-3.26
1.43,7,9.8,-6.36
1.5,7,9.8,-5.77
1.56,7.6,9.1,62.58
1.81,7,9.7,-4.08
1.88,7.3,9.4,42.4
1.94,9.9,4.4,42.38
2.06,6.8,9.5,7.45
2.12,6.8,9.5,8.96
2.19,7.1,9.2,14.21
2.25,6.9,9.2,6.98
2.31,6.8,9,15.22
2.37,8.1,8.3,24.61
2.45,7.5,8.4,56.62
2.56,7.5,8.3,56.07
2.63,8.1,7,55.22
2.69,7.4,8.2,53.88
2.75,7.4,8.1,53.66
2.82,7.3,8.2,53.27
2.88,7.3,8.1,51.69
2.94,7.5,8,57.61
3,9.6,4.9,58.76
3.14,6,8.1,18.37
3.3,5.6,8.3,16.99
3.39,5.6,8.3,16.99
3.59,5.6,8.3,16.99
3.85,5.6,8.3,16.99
3.85,6,7.6,21.42
3.96,6,7.5,21.83
4.02,6,7.3,21.91
4.1,6,7.3,21.91
4.1,6,7.3,21.91
4.31,6,7.3,21.91
4.51,7.9,4.6,51.8
5.52,6.9,6.6,55.18
5.58,6.9,6.6,52.92
5.64,6.8,6.3,52.52
5.83,6.6,6.7,52.91
5.96,6.8,6.6,61.2
6.02,6.8,6.6,61.39
6.08,6.9,6.6,61.24
6.39,6.6,6.7,52.46
6.46,7.2,5.5,51.67
6.52,6.9,6.6,61.57
6.58,6.8,6.6,62.77
6.64,6.9,6.6,59.74
7.53,6.8,6.6,61.67
7.59,6.9,6.5,60.33
7.65,6.9,6.5,60.28
7.72,6.8,6.6,62.22
7.78,6.8,6.6,61.48
7.84,6.9,6.5,60.16
7.9,6.8,6.6,61.52
9.66,6.6,6.6,49.39
9.72,6.6,6.6,47.26
9.78,6.6,6.6,45.35
9.85,6.5,6.7,43.53
9.91,6.5,6.7,42.02
9.97,6.5,6.7,42.1
10.05,6.5,6.7,42.1
10.29,6.5,6.7,42.1
10.43,6.5,6.7,42.1
10.43,6.5,6.7,42.1
10.61,6.5,6.7,42.1
10.75,6.5,6.7,42.1
10.96,6.5,6.7,42.1
10.96,6.7,6.6,51.78
11.15,7.3,5.4,50
11.21,6.6,6.8,52.85
11.27,7.3,5.2,50.73
11.4,6.6,6.7,53.01
11.58,6.9,6.1,51.81
11.65,7.4,5,50.96
11.73,7.4,5,50.96
11.9,7.4,5,50.96
11.9,6.6,6.6,51.12
12.1,6.6,6.6,48.13
12.17,6.9,6.1,50.31
12.29,6.7,6.6,49.75
13.05,7.2,5.6,50.88
13.11,7.8,4.3,49.51
14.74,6.6,6.7,50.92
15.67,6.6,6.7,51.69
15.8,7,5.7,47.61
17.24,6.7,6.5,52.57
17.3,7.1,5.6,51.06
18.55,6.6,6.7,52.11
18.74,5.1,9.9,56.73
18.92,6.6,6.6,50.73
18.99,7.3,5.2,49.71
19.05,6.6,6.7,53.83
19.11,6.6,6.6,49.81
19.24,6.6,6.7,50.32
19.3,6.5,6.8,48.18
19.36,7.7,4.3,47.48
19.43,7.4,5.1,50.24
20.74,6.7,6.6,51.17
20.8,6.6,6.6,49.46
21.75,6.6,6.6,49.46
21.81,6.6,6.6,47.39
21.87,6.5,6.7,45.68
22.5,6.6,6.6,50.7
25.12,6.6,6.6,50.45
25.19,6.5,6.7,43.54
25.25,6.7,6.6,51.22
25.31,6.6,6.6,49.37
25.5,6.6,6.7,51.8
25.56,7,5.9,50.42
25.75,6.6,6.6,51.1
25.81,6.6,6.6,54.6
26,6.7,6.6,52.19
26.06,6.6,6.6,50.36
26.13,6.6,6.6,48.55
26.19,6.5,6.7,46.89
26.25,6.5,6.7,45.09
26.31,6.5,6.7,43.58
26.37,6.5,6.7,42.7
26.44,6.5,6.7,42
26.5,6.5,6.7,41.4
26.56,6.6,6.7,51.3
26.62,6.5,6.8,47.79
27,6.6,6.7,51.55
27.06,6.5,6.8,47.5
27.12,8.1,3.5,46.99
28.18,6.6,6.7,53.64
28.25,6.6,6.6,49.74
28.31,6.6,6.6,47.46
28.37,6.5,6.7,45.99
28.44,6.5,6.7,44.36
28.5,6.5,6.7,42.87
28.56,6.5,6.7,42.28
28.63,6.5,6.7,42.44
28.69,6.5,6.7,41.91
28.75,6.4,6.7,41.69
28.81,6.4,6.7,41.49
28.87,6.5,6.7,41.85
28.94,6.5,6.7,41.98
29,6.4,6.7,41.4
29.06,6.5,6.7,41.83
29.13,6.7,6.6,57.87
29.19,6.6,6.7,51.94
29.25,8,3.7,49.53
29.31,6.6,6.6,53.81
29.38,6.6,6.6,50.05
29.44,7.7,4.5,49.37
29.69,6.7,6.6,51.55
29.75,6.6,6.7,52.16
29.81,6.6,6.6,47.48
29.88,6.5,6.7,46.69
29.94,6.6,6.6,49.52
30,6.6,6.6,47.9
30.07,6.5,6.7,46.05
30.63,6.6,6.7,51.69
30.69,6.6,6.7,50.05
30.75,6.5,6.7,48.2
30.81,6.5,6.7,46.38
30.88,6.5,6.7,45.09
31,6.5,6.7,42.06
31.06,6.5,6.7,41.92
31.13,6.4,6.7,41.79
31.19,6.4,6.7,41.59
31.25,6.4,6.7,41.4
31.31,6.4,6.7,41.22
31.38,6.4,6.7,41.44
31.44,6.4,6.7,40.98
31.5,6.4,6.7,40.98
31.76,6.4,6.7,40.98
31.92,6.4,6.7,40.98
32.09,6.4,6.7,40.98
32.09,6.4,6.7,40.98
32.33,6.4,6.7,40.98
32.33,6.6,6.7,54.44
32.57,6.6,6.6,50.43
32.64,6.6,6.6,48.39
32.7,6.5,6.7,46.63
32.76,6.6,6.7,52.89
32.83,6.6,6.6,48.96
32.89,6.7,6.7,59.68
32.96,6.6,6.7,52.22
33.01,6.6,6.7,50.46
33.08,6.6,6.6,46.69
33.14,6.5,6.7,45.05
33.2,6.5,6.7,43.31
33.26,6.4,6.7,41.37
33.37,6.4,6.7,41.37
33.37,6.4,6.7,41.37
33.59,6.4,6.7,41.37
