# time (s), x(cm), y(cm), Turning Angle
2.52,7.1,8.4,-132.91
2.59,6.9,8.3,-133.74
2.65,6.8,8.3,-130.2
2.71,6.6,8.2,-128.98
2.78,6.4,8.2,-127.31
2.84,6.2,8.2,-125.5
2.9,6.1,8.2,-123.84
2.96,6,8.2,-123.07
3.03,5.9,8.1,-123.65
3.09,5.8,8.1,-123.61
3.15,5.7,8,-123.59
3.22,5.6,8,-124.19
3.28,5.6,7.9,-124.25
3.34,5.5,7.9,-124.39
3.41,5.5,7.8,-124.77
3.47,5.4,7.7,-125.63
3.53,5.3,7.6,-126.5
3.6,5.2,7.6,-127.18
3.66,5.2,7.5,-127.46
3.72,5.1,7.4,-128.22
3.79,5,7.4,-128.42
3.85,5,7.4,-128.31
3.91,4.9,7.3,-128.68
3.97,4.8,7.2,-128.85
4.04,4.8,7.2,-128.56
4.1,4.7,7.2,-128.37
4.16,4.7,7.1,-128.87
4.23,4.6,7.1,-128.81
4.29,4.5,7,-129.46
4.35,4.5,7,-129.98
4.42,4.4,6.9,-130.31
4.48,4.3,6.8,-130.74
4.54,4.3,6.8,-131.61
4.6,4.2,6.7,-132.1
4.67,4.2,6.7,-132.56
4.73,4.1,6.7,-133.67
4.79,4.1,6.6,-134.63
4.86,4,6.6,-135.07
4.92,4,6.6,-135.95
4.98,4,6.5,-136.66
5.05,3.9,6.5,-137.21
5.11,3.9,6.4,-137.77
5.17,3.9,6.4,-138.31
5.24,3.8,6.4,-138.56
5.3,3.8,6.4,-138.31
5.36,3.8,6.3,-138.65
5.42,3.8,6.3,-138.95
5.49,3.7,6.3,-139.35
5.55,3.7,6.3,-139.42
5.61,3.7,6.3,-139.73
5.68,3.7,6.3,-139.79
5.74,3.7,6.3,-140.39
5.8,3.7,6.2,-141.08
5.87,3.7,6.2,-141.17
5.93,3.7,6.2,-141.43
5.99,3.6,6.2,-141.9
6.05,3.6,6.2,-142.34
6.12,3.6,6.2,-142.69
6.18,3.6,6.2,-143.41
6.24,3.6,6.1,-143.9
6.31,3.5,6.1,-144.65
6.37,3.5,6.1,-145.03
6.43,3.5,6,-145.29
6.49,3.5,6,-145.6
6.56,3.4,6,-146.13
6.62,3.5,5.9,-146.67
6.68,3.4,5.9,-147.27
6.75,3.4,5.8,-147.95
6.81,3.4,5.8,-148.95
6.87,3.4,5.7,-149.51
6.93,3.4,5.7,-150.15
6.99,3.3,5.6,-150.73
7.06,3.3,5.6,-151.52
7.12,3.3,5.5,-152.08
7.18,3.3,5.5,-152.69
7.24,3.2,5.4,-153.31
7.31,3.2,5.4,-153.86
7.37,3.2,5.4,-154.89
7.43,3.2,5.3,-154.93
7.49,3.2,5.3,-156.15
7.56,3.1,5.2,-155.7
7.62,3.1,5.2,-156.07
7.68,3.1,5.1,-157.64
7.74,3.1,5.1,-158.66
7.81,3.1,5.1,-159.57
7.87,3,5,-160.14
7.93,3.1,5,-161.16
8,3.1,5,-161.75
8.06,3,4.9,-162.36
8.12,3,4.9,-162.88
8.19,3,4.8,-163.46
8.25,3,4.8,-164.22
8.31,3.1,4.8,-164.92
8.37,3.1,4.7,-165.78
8.44,3.1,4.7,-166.53
8.5,3.1,4.7,-167.22
8.56,3.1,4.7,-167.79
8.63,3.1,4.6,-168.54
8.69,3.1,4.6,-169.2
8.75,3.1,4.6,-169.38
8.82,3.1,4.6,-169.87
8.88,3.1,4.6,-169.89
8.94,3.1,4.5,-169.69
9.01,3,4.5,-169.7
9.07,3,4.5,-169.24
9.13,3,4.4,-169.44
9.19,3,4.4,-169.28
9.25,3,4.4,-169.38
9.32,2.9,4.3,-169.71
9.38,2.9,4.3,-169.96
9.44,2.9,4.3,-170.55
9.51,2.9,4.2,-170.62
9.57,2.9,4.2,-171.17
9.63,2.9,4.1,-171.3
9.7,2.9,4.1,-172.05
9.76,2.9,4.1,-172.65
9.82,2.9,4,-172.73
9.89,2.9,4,-174.28
9.95,3,3.9,-174.91
10.01,2.9,3.9,-175.24
10.07,2.9,3.9,-175.54
10.14,2.9,3.9,-175.79
10.2,2.9,3.9,-175.77
10.26,2.9,3.9,-176.22
10.32,3,3.9,-176.6
10.39,3,3.9,-176.87
