# time (s), x(cm), y(cm), Turning Angle
0.53,7.4,9,-31.17
0.64,7.2,8.7,-143.83
0.7,7.1,8.6,-143.06
0.76,7.1,8.5,-142.42
0.83,7.1,8.5,-141.05
0.89,7,8.4,-140.84
0.95,6.9,8.3,-140.09
1.01,6.7,8.1,-138.87
1.08,6.6,8,-138.01
1.14,6.5,7.9,-136.54
1.2,6.3,7.8,-134.98
1.27,6.2,7.8,-131.83
1.33,6.1,7.8,-129.88
1.39,6,7.7,-127.95
1.45,5.8,7.7,-126.79
1.52,5.7,7.7,-126.78
1.58,5.6,7.6,-125.91
1.64,5.4,7.5,-125.91
1.71,5.3,7.4,-125.51
1.77,5.2,7.3,-124.85
1.83,5.1,7.2,-124.14
1.89,5,7.1,-122.84
1.95,5,7,-122.8
2.02,4.9,6.9,-122.5
2.08,4.8,6.8,-122.46
2.14,4.7,6.8,-120.65
2.21,4.5,6.7,-119.78
2.27,4.3,6.6,-116.13
2.33,4.3,6.7,-114.73
2.4,4.2,6.7,-112.23
2.46,4.2,6.6,-110.47
2.53,4.1,6.6,-108.16
2.59,4.1,6.6,-107.04
2.65,4,6.7,-106.16
2.71,4,6.6,-104.36
2.78,3.9,6.7,-102.84
2.84,3.8,6.7,-100.8
2.9,3.7,6.8,-99.07
2.97,3.6,6.8,-98.84
3.03,3.6,6.7,-97.16
3.09,3.6,6.7,-96.06
3.15,3.5,6.7,-94.32
3.22,3.4,6.8,-91.93
3.28,3.4,6.8,-89.62
3.34,3.4,6.9,-87.2
3.41,3.4,6.9,-84.57
3.47,3.4,7,-82.5
3.53,3.4,7,-80.5
3.6,3.4,7.1,-77.18
3.66,3.5,7.2,-74.32
3.72,3.6,7.2,-71.7
3.79,3.6,7.2,-69.08
3.85,3.7,7.3,-66.86
3.91,3.7,7.3,-64.79
3.98,3.7,7.3,-62.66
4.04,3.7,7.4,-61.68
4.1,3.7,7.4,-60.54
4.16,3.7,7.5,-58.3
4.23,3.7,7.6,-56.38
4.29,3.6,7.7,-53.98
4.35,3.6,7.8,-51.49
4.41,3.6,7.9,-49.2
4.48,3.6,8.1,-47.1
4.54,3.6,8.2,-44.49
4.6,3.5,8.3,-43.45
4.66,3.4,8.3,-43.12
4.73,3.4,8.3,-42.65
4.79,3.4,8.4,-42.04
4.85,3.4,8.5,-41.92
4.92,3.4,8.6,-42.09
4.98,3.4,8.7,-40.81
5.04,3.4,8.9,-39.71
5.11,3.4,8.9,-37.55
5.17,3.4,9.1,-36.25
5.23,3.4,9.2,-34.12
5.29,3.4,9.3,-32.73
5.36,3.4,9.3,-31
5.42,3.4,9.4,-29.33
5.48,3.4,9.5,-28.56
5.55,3.4,9.5,-27.33
5.61,3.4,9.6,-26.13
5.67,3.4,9.5,-24.83
5.74,3.5,9.6,-24.16
5.8,3.5,9.6,-24.08
5.86,3.5,9.7,-23.52
5.92,3.5,9.8,-23.11
5.98,3.4,9.9,-23.07
6.05,3.3,9.9,-22.55
6.11,3.3,10,-22.48
6.17,3.2,10.1,-21.72
6.24,3.1,10.3,-19.07
6.3,3.3,10.4,-18.41
6.36,3.2,10.5,-16.56
6.42,3.4,10.5,-15.25
6.49,3.5,10.6,-13.81
6.55,3.6,10.8,-12.12
6.61,3.6,10.9,-10.48
6.68,3.7,11.1,-9.56
6.74,3.7,11.1,-8.67
6.81,3.7,11.3,-8.02
6.87,3.7,11.4,-8.94
6.93,3.8,11.4,-8.62
