# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-93.17,-10.55,17.28,0.00,22.00,2.70
0.13,-96.26,-14.87,21.49,120.00,22.40,2.50
0.19,-98.14,-14.21,23.61,120.00,21.80,2.50
0.25,-96.23,-13.71,23.12,120.00,21.80,2.50
0.32,-97.92,-15.44,23.00,120.00,22.30,2.40
0.45,-96.94,-8.26,25.23,120.00,21.80,3.00
0.51,-96.42,-9.16,23.76,120.00,21.10,2.70
0.57,-96.44,-4.03,24.99,120.00,21.10,5.20
0.64,-97.71,-21.01,22.42,120.00,20.50,42.20
0.76,-100.27,-8.75,28.19,1.50,20.60,38.50
0.83,-94.76,0.99,24.18,120.00,20.30,40.30
0.89,-98.01,3.94,27.40,120.00,20.80,16.60
0.95,-94.69,1.35,26.90,120.00,20.40,18.20
1.08,-94.94,1.30,28.96,0.00,20.70,17.00
1.15,-90.33,3.36,30.27,120.00,20.80,13.90
1.21,-97.68,14.71,27.44,120.00,20.70,17.70
1.27,-96.34,6.34,28.12,120.00,20.80,36.50
1.40,-96.68,3.25,28.08,120.00,20.50,28.60
1.46,-93.95,-0.05,28.08,120.00,20.80,28.30
1.53,-94.59,-1.93,29.11,120.00,21.20,27.70
1.59,-95.40,-6.84,28.20,120.00,20.30,18.80
1.72,-99.38,5.73,28.23,120.00,20.60,8.40
1.78,-95.45,15.91,27.51,120.00,19.80,7.20
1.85,-94.49,17.47,26.62,120.00,19.60,7.50
1.91,-93.35,18.67,27.51,120.00,19.90,9.70
2.04,-93.48,13.37,29.67,120.00,20.90,120.00
2.10,-94.02,14.69,30.33,120.00,19.90,120.00
2.17,-95.89,14.69,28.00,120.00,20.20,57.40
2.23,-104.85,9.32,29.22,120.00,21.00,53.70
2.36,-89.15,-15.56,29.04,120.00,22.40,7.10
2.42,-90.55,-10.88,29.98,120.00,23.80,3.50
2.49,-96.28,-23.11,26.47,0.00,22.00,3.00
2.55,-95.67,-15.00,26.46,120.00,21.40,3.00
2.68,-96.23,-8.94,26.69,120.00,20.60,4.00
2.74,-89.07,-18.13,28.25,120.00,23.90,2.70
2.81,-90.05,-22.30,32.09,120.00,28.50,2.90
2.87,-90.88,-27.14,33.01,120.00,28.60,2.60
3.00,-91.54,-19.06,31.02,120.00,25.10,2.40
3.06,-92.74,-19.98,31.34,120.00,24.30,2.00
3.12,-92.60,-16.90,28.80,120.00,21.90,2.30
3.18,-94.02,-15.72,28.97,120.00,22.30,2.20
3.31,-95.34,-15.97,28.28,120.00,23.20,2.70
3.38,-93.84,-22.60,28.12,15.70,26.30,2.80
3.44,-91.07,-28.36,25.05,120.00,28.50,2.70
3.50,-93.12,-28.77,25.45,120.00,29.90,2.60
3.63,-99.78,-17.93,23.45,120.00,24.10,3.00
3.69,-96.38,-20.49,22.48,120.00,22.70,2.20
3.76,-96.66,-19.27,24.15,120.00,23.00,2.60
3.82,-94.46,-22.62,28.58,120.00,24.10,2.60
3.95,-96.42,-21.12,32.31,120.00,23.80,2.50
4.01,-92.30,-14.20,33.34,120.00,23.60,2.40
4.08,-90.03,-5.46,39.43,120.00,20.90,5.90
4.14,-94.12,-7.69,39.95,120.00,20.90,21.10
4.27,-94.68,-16.64,35.85,120.00,20.90,49.10
4.33,-94.02,8.46,42.00,120.00,18.80,61.10
4.40,-90.99,18.49,39.43,8.50,20.00,120.00
4.46,-89.87,16.94,39.48,120.00,19.70,120.00
4.59,-92.75,4.77,39.66,120.00,20.40,48.50
4.65,-100.51,0.95,36.62,120.00,20.90,9.20
4.72,-83.60,-0.65,35.95,120.00,21.40,3.60
4.78,-93.41,-11.49,33.18,120.00,21.20,2.60
4.91,-93.71,-9.44,32.56,120.00,21.80,2.30
4.97,-95.40,-11.54,30.13,120.00,20.30,2.90
5.04,-94.34,-9.94,26.28,120.00,20.20,2.50
5.10,-98.94,-11.69,26.79,120.00,20.70,2.50
5.23,-84.98,-8.87,27.39,120.00,21.60,2.10
5.29,-95.48,-12.04,27.00,0.00,21.60,2.10
5.35,-96.48,-16.12,26.24,120.00,21.90,2.50
5.42,-97.71,-9.11,30.72,120.00,21.20,3.10
5.54,-96.53,-1.90,29.30,120.00,20.30,2.80
5.61,-95.56,-6.27,28.95,120.00,20.50,2.40
5.67,-92.94,-7.93,28.87,120.00,21.30,2.50
5.73,-96.77,-13.06,28.17,120.00,22.40,2.70
5.86,-96.68,-18.85,28.89,120.00,22.50,2.40
5.93,-95.88,-5.71,30.47,120.00,21.10,2.50
5.99,-95.11,-5.99,31.33,120.00,20.70,2.60
6.05,-94.13,-6.35,31.05,120.00,20.70,2.50
6.18,-95.92,-7.51,35.39,120.00,20.80,2.90
6.25,-96.95,-0.79,34.10,120.00,21.60,3.70
6.31,-94.87,-1.88,37.82,120.00,20.90,3.90
6.37,-92.04,-3.12,42.13,120.00,20.20,8.50
6.50,-88.04,-2.65,46.69,120.00,20.60,51.40
6.56,-86.77,0.32,49.74,120.00,20.00,52.30
6.63,-87.59,-11.61,46.62,91.80,20.60,14.60
6.69,-89.23,-6.70,44.11,113.00,22.30,4.00
6.82,-88.35,-9.92,41.55,120.00,21.40,4.30
6.88,-93.08,7.14,38.87,1.80,20.50,4.80
6.95,-91.31,7.98,40.12,120.00,20.90,5.70
7.01,-94.86,4.82,39.84,120.00,20.20,6.60
7.14,-91.46,-11.29,44.09,120.00,23.00,8.40
7.20,-88.05,-18.00,41.44,120.00,24.30,3.20
7.27,-93.50,-5.55,36.88,120.00,21.40,2.80
7.39,-91.17,-7.43,33.88,47.90,21.20,2.20
7.46,-93.68,-5.99,33.40,120.00,20.90,3.70
7.52,-91.59,-6.16,34.39,120.00,21.80,3.10
7.59,-97.74,-6.46,33.63,120.00,21.40,2.70
7.71,-92.49,-18.68,30.93,120.00,23.30,2.30
7.78,-94.94,-16.99,28.32,120.00,23.00,2.50
7.84,-95.11,-20.82,26.76,120.00,22.40,2.60
7.90,-94.32,-5.98,27.16,120.00,21.00,2.20
8.03,-97.30,-6.21,29.06,120.00,21.80,2.70
8.09,-93.63,-8.16,29.72,120.00,21.70,2.40
8.16,-96.30,-16.85,32.06,120.00,23.90,2.70
8.22,-93.54,-20.14,30.36,120.00,27.20,2.80
8.35,-91.71,-22.73,26.64,120.00,27.80,2.50
8.41,-92.22,-20.56,30.77,120.00,23.80,3.10
8.48,-94.99,-14.73,28.50,120.00,22.90,2.30
8.54,-96.06,-16.69,28.92,93.70,23.10,2.30
8.67,-93.57,-23.13,29.13,7.20,24.60,2.60
8.73,-90.28,-23.07,30.26,120.00,26.20,2.30
8.79,-92.64,-21.59,31.98,120.00,26.30,2.60
8.86,-90.95,-19.75,34.56,0.00,24.40,2.10
8.99,-89.51,-12.65,34.06,120.00,21.70,3.40
9.05,-92.43,10.33,38.76,120.00,19.70,14.10
9.11,-97.49,-6.37,35.41,120.00,20.10,11.20
9.18,-96.06,1.78,39.59,120.00,20.10,10.90
9.31,-90.66,-2.49,45.26,120.00,21.00,10.30
9.37,-89.70,-3.61,47.55,120.00,20.20,54.20
9.43,-85.93,8.11,54.89,120.00,20.00,57.80
9.50,-86.19,2.86,52.01,8.30,20.00,58.20
9.63,-86.93,13.40,51.03,120.00,20.50,54.40
9.69,-88.07,6.90,48.69,120.00,20.40,52.30
9.75,-87.24,9.22,47.33,120.00,20.10,120.00
9.82,-84.31,-16.83,49.02,120.00,22.10,15.20
9.95,-92.31,-7.97,42.79,16.60,21.40,28.30
10.01,-91.14,-4.80,42.10,120.00,20.40,32.40
10.07,-91.51,-9.14,42.02,120.00,20.70,11.40
10.14,-90.36,-7.35,42.21,120.00,20.90,5.90
10.26,-86.94,-6.99,45.61,120.00,22.30,3.40
10.33,-87.26,-17.64,40.60,120.00,21.60,4.40
10.39,-90.28,2.83,40.23,120.00,21.70,5.50
10.45,-92.35,-1.65,41.66,120.00,21.40,5.70
10.58,-90.97,-2.22,40.19,4.40,21.50,4.40
10.64,-93.08,-2.48,39.47,120.00,21.50,5.60
10.71,-96.04,1.23,37.85,120.00,21.10,8.20
10.77,-81.76,-12.95,42.99,120.00,23.00,30.20
10.90,-86.76,-21.78,43.56,120.00,26.20,32.60
10.96,-88.49,-23.68,42.08,120.00,30.00,28.30
11.02,-89.51,-20.05,43.57,120.00,22.70,44.60
11.09,-92.71,-5.35,40.14,85.00,21.20,41.70
11.21,-85.00,-6.64,41.90,120.00,22.00,28.00
11.28,-92.21,-10.53,43.47,120.00,22.80,32.60
11.34,-88.65,-12.34,41.46,120.00,23.00,20.50
11.40,-90.97,-22.88,41.49,120.00,24.10,27.90
11.53,-91.56,-10.53,38.18,120.00,21.60,14.70
11.59,-95.10,-12.42,33.86,94.60,21.20,5.70
11.66,-95.63,-13.59,32.09,120.00,21.40,4.60
11.72,-93.93,-12.01,31.37,120.00,22.10,5.00
11.85,-94.10,-11.19,33.92,120.00,22.10,5.40
11.91,-94.27,-13.12,32.73,120.00,22.60,6.10
11.98,-89.39,-7.76,33.98,120.00,21.50,6.80
12.04,-85.00,-10.89,34.25,120.00,20.50,12.20
12.17,-91.17,12.92,38.80,120.00,20.50,4.70
12.23,-89.21,2.44,39.53,120.00,20.60,4.60
12.30,-86.80,-2.14,48.52,120.00,20.20,10.60
12.36,-87.05,0.89,50.02,120.00,20.30,50.70
12.49,-85.41,18.68,49.30,120.00,19.90,24.00
