# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-83.73,33.18,42.05,21.20,7.50,3.60
0.05,-107.49,10.69,29.61,26.90,2.30,2.90
0.18,-99.90,-5.41,30.55,28.40,1.90,3.80
0.24,-104.11,20.64,19.18,27.60,2.60,3.70
0.31,-94.89,12.24,20.23,27.00,2.50,3.40
0.37,-98.56,29.17,13.12,27.30,2.20,3.20
0.50,-90.19,17.40,14.61,21.50,2.20,3.40
0.56,-99.16,7.75,14.84,27.50,2.60,3.30
0.63,-102.06,8.84,12.12,26.90,2.20,3.10
0.69,-104.21,6.65,15.34,28.70,2.80,3.00
0.82,-88.57,-6.36,26.09,25.60,38.40,3.00
0.88,-93.78,17.30,15.14,24.70,32.00,3.30
0.95,-96.96,0.21,34.80,23.30,33.80,3.00
1.01,-89.85,15.93,34.50,21.90,32.70,3.00
1.14,-92.27,0.93,34.67,22.40,39.60,2.60
1.20,-90.29,18.67,35.35,23.50,27.20,2.80
1.27,-89.22,19.18,26.54,24.20,22.60,3.50
1.33,-94.79,20.18,30.66,24.00,22.70,3.40
1.46,-93.92,17.58,30.76,24.40,24.70,3.00
1.52,-90.97,19.22,31.05,24.30,29.40,2.90
1.58,-83.78,16.25,30.24,22.70,31.20,3.00
1.65,-91.59,8.65,32.69,23.20,27.10,3.10
1.77,-89.83,17.96,34.28,23.50,23.10,3.50
1.84,-84.95,25.35,36.90,25.80,19.70,4.30
1.90,-88.11,29.79,38.03,24.90,19.80,4.30
1.96,-88.22,20.29,41.63,23.00,23.50,5.20
2.09,-88.26,15.32,44.62,22.80,24.20,6.00
2.16,-86.73,18.39,45.68,22.50,25.10,6.60
2.22,-82.20,24.02,44.05,22.70,24.50,7.60
2.28,-86.05,11.00,44.27,22.10,25.80,10.50
2.41,-85.74,14.67,46.80,22.10,23.70,11.70
2.47,-87.26,22.25,49.60,23.00,23.40,16.30
2.54,-77.43,20.18,45.06,23.30,22.10,18.30
2.60,-81.02,33.13,50.85,22.70,19.90,22.80
2.73,-76.35,28.34,55.00,12.40,19.20,21.80
2.79,-76.59,30.35,57.08,10.30,20.00,20.70
2.86,-78.21,25.28,58.05,12.90,23.10,12.80
2.92,-79.54,24.15,53.63,19.50,21.40,8.80
3.05,-83.17,36.85,46.14,23.40,18.40,8.60
3.11,-79.81,36.72,41.83,24.00,16.40,7.70
3.18,-82.09,36.00,41.41,23.20,17.20,7.10
3.24,-82.11,35.67,41.23,23.40,18.30,6.30
3.37,-85.97,9.64,38.90,24.20,20.80,14.30
3.43,-84.57,35.10,40.17,25.20,19.60,10.30
3.50,-85.08,32.04,38.97,24.80,18.50,7.70
3.56,-87.10,30.74,38.85,23.80,18.10,6.20
3.69,-84.66,35.23,36.80,24.20,17.50,6.70
3.75,-83.98,36.59,35.42,26.40,16.10,6.40
3.82,-88.06,36.33,32.59,25.60,15.60,6.30
3.88,-78.58,46.62,26.49,33.30,14.10,12.90
4.01,-83.80,44.12,29.44,32.80,13.90,14.20
4.07,-79.64,42.77,29.28,29.10,14.70,9.70
4.13,-81.12,32.19,31.36,26.00,16.10,7.20
4.20,-91.49,35.91,33.25,27.40,14.80,6.80
4.33,-87.54,40.09,33.07,26.70,13.00,5.10
4.39,-86.08,36.83,31.16,28.20,13.10,4.70
4.45,-86.93,36.10,31.92,27.50,14.70,4.50
4.52,-87.20,33.98,31.67,26.60,14.60,5.00
4.64,-88.37,31.67,31.98,26.70,15.10,4.90
4.71,-86.43,35.50,30.16,29.60,13.20,8.20
4.77,-85.16,43.16,29.46,31.00,10.40,9.00
4.84,-85.78,40.47,31.40,29.70,9.70,6.80
4.96,-87.60,40.02,37.23,29.50,11.40,6.70
5.03,-86.63,41.56,32.41,28.70,13.90,6.80
