# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.06,-86.38,9.98,48.89,27.00,4.30,70.50
0.12,-86.43,9.33,49.82,27.80,4.80,56.10
0.19,-82.48,3.94,51.57,29.70,4.90,120.00
0.31,-84.86,2.01,51.97,29.40,4.10,53.30
0.38,-86.00,1.53,52.25,29.50,4.90,51.90
0.44,-86.99,3.34,50.32,28.00,4.30,54.40
0.50,-90.13,16.31,47.38,25.30,4.70,11.30
0.63,-88.64,19.51,44.15,25.40,5.30,9.00
0.70,-95.04,17.72,44.14,26.30,4.20,9.50
0.76,-86.67,6.43,47.64,26.70,4.30,12.10
0.82,-85.57,7.46,47.39,120.00,4.40,16.70
0.95,-89.22,4.51,45.95,26.80,4.60,60.90
1.01,-89.60,3.07,45.28,26.70,4.70,61.80
1.08,-89.90,3.08,45.53,25.70,4.90,55.90
1.14,-88.15,7.34,46.80,30.30,4.60,7.60
1.27,-88.30,9.07,50.18,30.70,4.20,7.10
1.33,-87.73,10.88,45.05,26.30,4.10,8.30
1.40,-89.48,12.25,44.18,26.00,4.20,5.80
1.46,-89.74,8.41,43.58,26.00,5.00,10.40
1.59,-87.91,2.89,42.82,28.00,4.90,8.70
1.65,-90.33,4.03,42.88,29.10,4.20,7.00
1.71,-86.96,-2.34,43.63,26.70,3.90,7.30
1.78,-89.76,11.75,41.30,24.80,4.50,7.70
1.91,-90.67,14.14,40.77,26.20,4.20,6.80
1.97,-90.99,10.20,41.11,25.40,4.10,6.60
2.03,-90.59,8.36,41.93,26.50,4.70,7.40
2.10,-90.05,0.75,44.46,27.90,4.20,8.10
2.22,-90.01,0.19,44.78,28.50,3.80,8.40
2.29,-89.09,-0.70,44.89,27.40,3.80,8.40
2.35,-86.65,6.16,48.80,25.80,5.00,6.20
2.48,-93.04,19.83,33.87,24.60,4.60,5.50
2.54,-92.90,17.93,32.67,24.50,4.70,5.50
2.61,-88.15,22.92,32.41,25.10,4.30,5.60
2.67,-92.27,0.26,37.06,28.40,4.50,4.80
2.80,-84.30,-16.21,37.95,120.00,4.60,3.80
2.86,-92.05,-9.32,36.92,120.00,4.10,3.50
2.92,-95.06,-6.53,35.19,120.00,4.40,3.30
2.99,-93.24,-3.53,35.68,31.90,3.90,4.00
3.12,-98.07,10.10,32.57,29.50,4.80,5.20
3.18,-94.07,4.54,33.91,27.30,4.80,5.40
3.24,-94.06,4.82,33.89,27.10,5.20,5.50
