# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.24,0.00,0.00,0.00,0.00,0.00,0.00
2.42,-47.31,-5.08,90.31,120.00,39.50,35.70
2.54,-50.24,-3.56,88.39,120.00,37.70,38.80
2.61,-51.11,0.14,87.16,120.00,36.40,40.40
2.67,-50.65,-1.37,87.98,120.00,36.90,39.20
2.73,-50.28,-1.11,87.79,120.00,37.40,39.30
2.86,-50.98,1.26,87.56,120.00,36.60,120.00
2.92,-51.23,-0.84,87.29,28.40,36.60,40.30
2.99,-50.50,0.29,89.29,120.00,39.10,40.00
3.05,-49.13,-0.24,87.28,120.00,38.10,34.20
3.18,-51.19,8.61,82.37,120.00,37.30,25.90
3.24,-49.05,-8.07,88.42,120.00,39.90,24.90
3.31,-49.57,8.10,87.25,120.00,36.40,34.70
3.37,-52.87,21.53,85.80,120.00,34.00,120.00
3.50,-55.77,11.52,87.71,120.00,36.00,41.80
3.56,-52.10,-10.71,88.73,120.00,43.30,26.20
3.62,-41.66,-14.98,88.57,120.00,43.30,22.80
3.69,-53.81,12.36,84.10,120.00,37.60,27.50
3.81,-52.73,24.29,83.52,120.00,33.60,120.00
3.88,-49.63,9.51,86.63,120.00,38.10,31.50
3.94,-49.43,-7.61,88.42,120.00,43.90,28.20
4.01,-49.01,-11.65,90.90,120.00,41.10,31.50
4.13,-50.26,-3.67,88.99,120.00,40.00,33.60
4.20,-40.22,-2.78,89.73,120.00,40.30,27.00
4.26,-38.64,-12.52,93.02,120.00,42.50,23.30
4.32,-44.12,-0.12,90.90,120.00,40.60,24.30
4.45,-37.69,-1.26,88.93,120.00,39.90,28.20
4.51,-56.21,14.22,83.45,120.00,35.90,120.00
4.58,-55.11,16.61,84.30,120.00,36.10,120.00
4.64,-48.25,-8.45,88.55,120.00,39.20,30.20
4.77,-48.25,-12.19,88.78,120.00,39.90,29.70
4.83,-47.14,-9.12,89.80,120.00,39.80,29.90
4.90,-47.24,8.26,90.18,120.00,35.00,34.00
4.96,-51.58,13.34,85.70,120.00,33.80,0.00
5.09,-54.93,26.07,79.58,120.00,35.10,120.00
5.15,-51.24,8.56,88.04,120.00,35.60,29.30
5.21,-51.31,12.82,87.08,120.00,35.10,44.50
5.28,-49.38,1.63,88.01,120.00,38.10,28.70
5.40,-43.68,0.52,91.08,120.00,39.60,28.90
5.47,-55.95,8.78,85.34,120.00,37.10,31.00
5.53,-53.78,14.67,84.78,120.00,35.00,39.60
5.59,-50.07,12.60,79.91,120.00,39.80,28.90
5.72,-40.52,-15.26,90.83,120.00,40.90,24.50
5.78,-25.57,-37.45,93.60,120.00,38.20,27.40
5.85,-55.71,31.89,79.99,120.00,33.60,120.00
5.91,-46.06,12.71,92.83,120.00,33.10,120.00
6.04,-49.93,-2.56,86.01,120.00,37.80,31.40
6.10,-47.09,14.25,83.87,120.00,33.20,120.00
6.16,-52.52,33.42,80.03,120.00,26.50,120.00
6.23,-50.76,38.11,83.02,120.00,30.30,120.00
6.35,-51.01,3.38,86.93,120.00,38.40,30.90
6.42,-49.06,-1.90,87.75,92.20,35.90,29.70
6.48,-50.52,12.85,85.52,120.00,33.30,120.00
6.55,-43.65,10.53,85.57,120.00,33.90,120.00
6.67,-50.30,13.43,86.69,120.00,34.50,120.00
6.74,-50.40,-3.99,85.99,120.00,38.40,37.70
6.80,-56.84,19.40,85.43,120.00,34.90,120.00
6.86,-49.38,13.24,87.32,120.00,35.80,120.00
6.99,-47.99,14.64,87.35,120.00,35.80,120.00
7.06,-47.04,0.23,89.92,120.00,38.00,29.40
7.12,-43.29,1.46,90.45,120.00,37.70,25.90
7.18,-49.73,24.03,83.41,120.00,34.10,120.00
7.31,-45.67,11.63,86.52,120.00,120.00,120.00
7.38,-51.01,3.20,87.41,120.00,40.10,32.60
7.44,-50.73,-3.08,86.97,120.00,40.00,29.90
7.50,-49.55,-5.24,88.65,120.00,38.90,30.10
7.63,-53.69,10.18,86.72,120.00,37.00,120.00
7.70,-44.43,3.91,89.53,120.00,37.80,32.40
7.76,-45.13,8.03,91.64,120.00,40.10,26.90
7.82,-45.96,8.88,89.07,120.00,38.70,23.60
7.95,-47.46,19.26,87.73,120.00,39.70,120.00
8.01,-44.87,-7.64,87.22,120.00,39.00,31.50
8.08,-45.44,-13.34,91.60,120.00,41.30,30.20
8.14,-44.76,-7.84,88.38,120.00,42.70,26.80
8.27,-45.07,10.93,90.62,120.00,38.80,120.00
8.33,-45.79,16.56,84.17,120.00,38.30,120.00
8.40,-42.47,3.78,90.81,120.00,42.90,35.70
8.46,-42.95,-2.09,92.42,120.00,42.70,29.40
8.59,-46.78,-5.77,90.87,120.50,41.40,29.60
8.65,-43.70,5.57,92.40,120.00,39.80,29.40
8.72,-41.22,3.38,91.44,120.00,42.30,26.60
8.78,-45.54,-5.62,90.48,120.00,44.40,25.30
8.91,-46.89,-5.74,89.53,120.00,41.20,30.00
8.97,-53.65,24.90,85.16,120.00,36.80,120.00
9.03,-47.60,15.12,86.39,120.00,36.80,120.00
9.10,-51.14,2.55,85.70,120.00,38.40,41.70
9.22,-51.81,11.36,84.05,120.00,41.70,27.40
9.29,-49.99,-2.31,85.68,120.00,42.70,25.10
9.35,-46.37,2.49,88.01,120.00,40.00,0.00
9.41,-50.42,15.69,85.94,120.00,38.50,120.00
9.48,-51.62,21.11,84.69,120.00,39.00,120.00
9.61,-46.94,12.62,86.11,120.00,39.90,120.00
9.67,-44.23,-0.82,91.53,120.00,45.40,28.50
9.73,-41.01,-16.01,89.31,120.00,120.00,29.50
9.86,-39.76,-4.05,94.74,120.00,44.00,30.00
9.92,-43.06,29.29,94.34,120.00,37.30,120.00
9.99,-27.11,-6.30,95.00,120.00,120.00,26.10
10.05,-36.37,-10.53,95.24,120.00,77.70,30.20
10.18,-38.09,-3.19,94.75,120.00,40.70,34.50
10.24,-37.51,8.77,94.26,120.00,40.50,37.70
10.31,-22.36,-30.74,96.83,120.00,120.00,25.50
10.37,-28.50,-25.92,95.61,120.00,120.00,25.80
10.50,-36.05,-7.60,95.30,120.00,120.00,28.80
10.56,-34.28,-4.55,94.99,120.00,120.00,29.30
10.63,-35.74,-12.23,94.82,120.00,39.30,32.80
10.69,-39.32,-6.44,94.56,120.00,44.60,33.50
10.82,-14.47,-12.35,98.32,120.00,45.40,31.70
10.88,-35.16,-5.62,91.35,120.00,40.20,31.50
10.95,-42.34,1.21,92.99,120.00,45.80,30.70
11.01,-42.50,9.29,90.50,120.00,41.00,45.20
11.14,-30.82,-12.12,92.76,120.00,48.80,28.90
11.20,-33.31,-17.87,95.28,120.00,60.20,28.40
11.26,-38.29,2.31,93.49,120.00,43.30,30.80
11.33,-37.59,8.33,92.54,120.00,41.10,120.00
11.46,-48.69,9.52,100.65,120.00,40.50,102.20
11.52,-37.97,-27.49,74.20,120.00,120.00,28.60
11.58,-33.23,-11.35,97.08,120.00,120.00,31.40
11.65,-39.56,-3.69,93.07,120.00,37.70,37.40
11.77,-41.38,4.72,92.12,120.00,40.30,120.00
11.84,-41.41,3.05,92.05,120.00,37.80,47.40
11.90,-41.02,-6.59,92.55,120.00,120.00,36.20
11.97,-37.18,-21.23,94.01,120.00,120.00,29.80
12.09,-45.26,13.78,88.02,120.00,44.20,120.00
12.16,-36.82,12.12,91.27,120.00,43.10,120.00
12.22,-37.43,4.59,95.37,120.00,46.80,20.60
12.28,-37.54,-5.64,96.34,120.00,120.00,29.60
12.41,-35.97,-11.61,93.43,120.00,120.00,31.30
12.48,-42.27,-16.16,83.32,120.00,120.00,31.70
12.54,-29.44,-8.86,95.57,120.00,21.40,33.80
12.60,-27.67,-14.05,98.21,120.00,52.40,35.50
12.73,-38.00,19.63,90.84,120.00,40.30,120.00
12.79,-36.85,30.62,88.47,120.00,37.40,120.00
12.85,-32.64,30.31,91.01,120.00,36.80,120.00
12.92,-31.63,-0.19,96.64,120.00,48.70,120.00
13.05,-31.07,-13.98,98.24,120.00,120.00,25.80
13.11,-34.16,2.74,99.27,120.00,49.50,120.00
13.17,-34.89,20.06,92.31,120.00,42.80,120.00
13.24,-26.59,20.73,95.10,120.00,43.30,120.00
13.36,-19.28,16.46,96.96,120.00,46.60,120.00
13.43,-33.73,16.36,106.12,120.00,54.80,120.00
13.49,-54.76,6.21,89.89,120.00,52.30,25.30
13.56,-49.86,1.29,93.16,120.00,68.90,22.80
13.68,-42.28,-0.08,91.38,120.00,51.50,23.00
