# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-80.19,27.26,52.21,120.00,8.00,11.90
0.06,-80.19,27.31,52.20,120.00,7.40,11.90
0.19,-80.18,27.23,52.16,120.00,7.70,11.90
0.25,-80.21,27.28,52.09,120.00,7.90,11.70
0.31,-80.18,27.38,52.32,120.00,7.10,11.40
0.38,-80.21,27.30,52.19,120.00,7.60,11.40
0.50,-80.13,27.34,52.27,120.00,7.10,12.10
0.57,-80.21,27.40,52.20,120.00,7.70,11.80
0.63,-80.18,27.37,52.30,59.70,7.40,11.60
0.69,-80.11,27.30,52.27,120.00,7.30,12.30
0.82,-80.18,27.31,52.24,120.00,7.70,11.80
0.88,-80.13,27.33,52.28,120.00,7.50,11.90
0.95,-80.22,27.40,52.32,90.50,7.80,12.10
1.01,-80.27,27.36,52.26,120.00,7.60,11.70
1.14,-80.20,27.31,52.18,120.00,7.90,12.10
1.20,-80.15,27.42,52.34,4.10,7.60,11.50
1.26,-80.15,27.36,52.15,120.00,7.50,11.50
1.33,-80.16,27.28,52.20,120.00,7.70,11.60
1.45,-80.13,27.32,52.23,8.90,7.50,12.10
1.52,-80.22,27.37,52.26,120.00,7.70,11.80
1.58,-80.19,27.29,52.28,120.00,7.70,11.40
1.65,-80.28,27.39,52.24,0.00,8.00,11.80
1.77,-80.18,27.37,52.32,120.00,7.90,11.70
1.84,-80.22,27.45,52.37,120.00,7.70,11.60
1.90,-80.20,27.34,52.27,120.00,7.40,12.20
1.96,-80.16,27.31,52.15,120.00,7.80,12.10
2.09,-80.22,27.29,52.23,120.00,7.60,11.80
2.15,-80.29,27.28,52.18,120.00,7.70,11.60
2.22,-80.27,27.45,52.39,49.40,7.70,11.90
2.28,-80.30,27.43,52.22,120.00,7.30,12.30
2.41,-80.27,27.31,52.20,120.00,7.60,11.60
2.47,-80.25,27.39,52.34,120.00,7.40,11.90
2.53,-80.15,27.29,52.28,120.00,7.70,11.70
2.60,-80.21,27.37,52.23,120.00,7.60,11.90
2.72,-80.30,27.33,52.28,120.00,7.80,11.50
2.79,-80.13,27.39,52.26,120.00,7.60,11.80
2.85,-80.26,27.31,52.23,120.00,7.80,11.30
2.91,-80.20,27.27,52.20,120.00,8.10,5.50
3.04,-80.21,27.47,52.33,120.00,7.20,2.90
3.10,-80.18,27.32,52.24,120.00,7.40,3.00
3.17,-80.21,27.29,52.15,120.00,7.00,2.90
3.23,-78.35,18.65,50.65,0.00,7.80,2.50
