# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
8.65,-45.92,14.44,84.23,120.00,35.60,2.90
8.71,-54.47,6.46,84.55,120.00,36.60,2.80
8.78,-55.09,11.21,83.87,50.20,36.50,2.90
8.91,-61.99,22.97,77.59,120.00,31.80,3.70
8.97,-61.31,27.55,76.84,120.00,32.90,3.90
9.03,-59.84,17.11,81.23,120.00,34.50,3.10
9.10,-54.61,-2.39,83.22,120.00,40.70,2.60
9.22,-65.05,24.04,78.06,120.00,36.20,3.90
9.29,-58.40,24.85,77.70,120.00,33.10,4.70
9.35,-59.84,18.78,80.87,120.00,35.00,3.70
9.42,-54.08,16.44,82.81,120.00,34.10,3.70
9.54,-51.98,18.62,83.67,120.00,33.50,3.30
9.61,-47.06,8.57,88.78,120.00,33.90,3.80
9.67,-49.21,39.37,81.43,120.00,30.00,7.50
9.74,-56.81,45.27,74.65,120.00,29.90,7.20
9.86,-47.37,15.72,87.98,120.00,33.50,4.80
9.93,-46.39,12.76,88.76,120.00,34.50,4.50
9.99,-48.19,33.19,80.79,120.00,28.80,6.80
10.05,-59.01,42.22,76.60,120.00,28.20,6.90
10.18,-51.23,14.40,83.75,120.00,32.70,4.80
10.24,-51.95,21.26,84.05,120.00,33.50,4.40
10.31,-51.48,27.28,81.93,120.00,29.60,5.50
10.37,-58.11,43.91,71.41,120.00,20.10,8.00
10.50,-58.00,50.42,70.03,60.40,21.40,8.30
10.56,-52.37,30.40,79.34,120.00,28.40,5.90
10.63,-55.91,20.95,85.86,120.00,31.50,5.00
10.69,-51.19,20.57,84.80,120.00,32.90,5.00
10.82,-51.24,27.28,81.44,120.00,31.00,6.00
10.88,-53.02,29.58,80.96,120.00,30.60,5.90
10.95,-53.76,11.02,84.36,120.00,34.70,4.80
11.01,-46.82,0.97,89.20,120.00,35.70,4.40
11.14,-58.51,30.42,78.86,120.00,29.20,6.00
11.20,-55.77,29.70,79.16,120.00,30.30,6.50
11.27,-51.43,20.01,82.26,120.00,34.80,3.80
11.33,-50.73,8.59,86.00,120.00,36.30,3.40
11.46,-51.18,2.84,87.07,120.00,40.20,3.00
11.52,-57.11,12.06,75.24,25.90,34.60,5.40
11.58,-62.38,58.65,64.39,120.00,28.50,7.70
11.65,-54.00,18.27,80.16,120.00,30.90,4.70
11.77,-56.14,15.25,80.21,120.00,32.10,3.60
11.84,-56.73,15.54,80.44,120.00,31.70,3.70
11.90,-56.01,15.77,83.69,120.00,30.60,4.30
11.97,-57.86,27.83,77.26,120.00,28.60,4.20
12.09,-57.04,18.83,81.43,120.00,32.30,3.70
12.16,-55.57,5.54,84.06,120.00,35.00,3.80
12.22,-55.60,20.17,77.80,120.00,30.90,4.60
12.35,-61.84,28.85,74.85,120.00,29.20,5.10
12.41,-58.31,24.61,79.50,120.00,31.80,3.80
12.48,-57.84,3.63,83.23,120.00,34.80,3.40
12.54,-61.05,2.27,80.60,120.00,36.60,3.70
12.67,-62.71,1.00,78.73,61.40,38.30,3.20
12.73,-56.04,-5.13,83.83,120.00,40.30,3.30
12.79,-64.74,10.05,83.31,120.00,34.30,3.90
12.92,-57.51,11.30,83.02,120.00,35.00,5.00
12.99,-56.92,11.14,82.89,120.00,34.20,9.40
13.05,-56.88,11.11,83.00,120.00,34.30,120.00
13.11,-56.79,10.99,82.89,120.00,34.00,120.00
13.24,-56.88,11.11,82.98,120.00,5.30,120.00
13.30,-56.96,11.11,83.00,60.70,4.80,120.00
13.37,-57.01,11.22,82.86,120.00,2.80,120.00
13.43,-56.95,11.32,82.90,120.00,4.80,120.00
13.56,-57.04,11.30,82.95,120.00,2.40,120.00
13.62,-60.13,-19.90,80.86,120.00,3.30,26.90
13.69,-58.81,10.14,84.15,120.00,3.20,27.70
13.75,-54.78,-2.97,78.47,120.00,3.10,32.40
13.88,-57.45,13.15,83.65,120.00,3.00,120.00
13.94,-51.67,0.42,86.60,120.00,2.70,120.00
14.00,-64.07,17.94,77.73,120.00,3.00,120.00
14.07,-61.48,16.56,78.15,120.00,3.10,120.00
14.20,-58.03,7.04,82.64,120.00,1.80,56.10
14.26,-57.08,9.86,82.46,120.00,8.80,49.10
14.32,-59.84,-0.74,82.46,70.40,33.50,30.40
14.39,-58.66,-7.37,82.99,120.00,40.70,27.00
14.51,-55.65,-11.60,86.77,82.70,49.80,25.90
14.58,-54.75,-7.21,87.24,120.00,44.30,27.30
14.64,-51.27,4.18,87.48,120.00,38.00,60.30
14.71,-53.54,9.94,87.84,120.00,33.40,93.20
14.83,-47.13,8.70,87.49,96.30,35.30,88.30
14.90,-46.45,14.59,88.32,30.90,36.10,90.30
14.96,-41.33,8.19,89.53,120.00,40.30,31.50
15.03,-44.51,-15.00,93.47,120.00,58.30,27.00
15.15,-38.95,-9.97,96.48,120.00,120.00,27.70
15.22,-39.05,2.49,92.49,120.00,51.10,35.30
15.28,-42.33,14.43,89.49,120.00,32.10,105.90
15.34,-45.03,20.31,87.53,120.00,32.00,104.90
15.47,-36.94,2.84,95.29,120.00,39.80,52.50
15.54,-40.09,-12.29,97.77,120.00,67.30,29.60
15.60,-37.08,11.79,89.08,120.00,36.40,105.90
15.66,-41.29,6.48,94.37,120.00,32.70,120.00
15.79,-41.57,23.58,85.37,83.20,30.30,102.70
15.86,-51.11,22.53,86.76,120.00,29.50,100.40
15.92,-46.41,16.75,89.73,120.00,31.60,118.10
15.98,-48.92,-2.44,90.64,120.00,41.90,38.90
16.11,-52.03,-9.03,89.96,120.00,42.80,34.30
16.17,-46.47,22.72,82.02,120.00,30.40,104.70
16.24,-49.55,21.53,83.63,120.00,31.00,106.40
16.30,-48.09,9.70,87.21,120.00,36.80,99.60
16.43,-52.62,11.12,86.14,120.00,34.80,89.80
16.49,-50.97,7.05,88.78,120.00,34.60,120.00
16.55,-51.46,17.29,84.67,120.00,31.60,98.60
16.62,-49.88,2.70,87.84,120.00,38.00,98.30
16.74,-50.92,-8.70,88.29,120.00,120.00,35.20
16.81,-46.58,6.28,90.30,120.00,38.50,99.60
16.87,-51.09,7.57,89.28,120.00,36.10,78.70
16.93,-53.23,3.70,90.14,120.00,37.00,83.70
17.06,-49.59,19.10,84.33,120.00,32.40,100.20
17.12,-52.73,13.21,87.10,120.00,34.20,91.30
17.19,-53.06,6.58,88.01,120.00,34.40,96.80
17.25,-49.30,-5.78,89.87,0.00,120.00,44.30
17.38,-47.41,18.22,85.32,120.00,32.80,98.30
17.44,-51.91,16.31,86.44,120.00,32.70,120.00
17.51,-51.45,14.41,93.95,120.00,33.40,93.20
17.57,-43.46,19.53,84.38,120.00,32.20,102.50
17.70,-43.43,15.27,84.50,120.00,32.20,97.40
17.76,-53.59,9.16,81.90,120.00,32.50,93.90
17.83,-61.25,9.59,86.17,120.00,31.20,91.50
17.89,-64.15,7.33,89.45,120.00,31.30,100.20
18.02,-50.89,20.15,84.81,120.00,29.60,93.60
18.08,-47.39,18.15,84.92,120.00,33.10,120.00
18.15,-47.55,-8.54,90.50,120.00,45.10,33.30
18.21,-49.76,-8.11,92.65,120.00,36.70,33.90
18.34,-51.55,14.03,84.63,120.00,30.90,95.90
18.40,-55.18,13.37,83.67,120.00,32.90,86.60
18.47,-51.89,-2.62,86.49,38.80,39.70,33.00
18.53,-48.74,12.46,85.44,120.00,35.60,81.90
18.66,-53.59,7.75,86.18,120.00,35.90,54.00
18.72,-50.32,-3.91,87.24,120.00,45.30,33.70
18.78,-48.93,3.79,85.57,120.00,40.00,39.30
18.85,-54.50,-5.07,86.94,120.00,38.80,42.00
18.98,-52.09,15.75,84.19,120.00,32.90,111.70
19.04,-49.64,19.50,84.44,120.00,32.80,107.80
19.10,-53.99,4.03,85.59,120.00,39.40,33.40
19.17,-50.82,-10.02,88.26,120.00,120.00,30.40
19.30,-49.69,-1.43,86.06,120.00,44.90,32.40
19.36,-50.27,8.04,87.51,120.00,38.90,48.90
19.42,-46.91,17.96,81.90,120.00,32.20,93.60
19.49,-46.75,17.82,71.48,120.00,30.90,92.40
19.62,-52.04,16.52,83.13,120.00,32.30,94.30
19.68,-48.00,-6.16,94.15,120.00,42.60,28.70
19.74,-50.17,-8.86,95.76,120.00,40.70,30.20
19.87,-41.93,20.43,87.27,120.00,31.20,98.10
19.94,-42.02,14.45,88.71,120.00,31.60,88.30
20.00,-40.58,14.98,88.29,120.00,29.60,100.50
20.06,-48.80,23.82,86.48,120.00,29.60,96.50
20.19,-44.94,13.70,93.65,120.00,30.60,56.40
20.25,-43.95,2.39,95.83,120.00,32.80,28.60
20.32,-46.31,1.20,92.61,120.00,33.50,29.30
20.38,-44.60,5.49,89.80,120.00,32.00,33.40
20.51,-45.10,8.58,90.87,120.00,35.70,28.70
20.57,-45.01,-15.15,92.16,120.00,120.00,27.00
20.64,-41.41,-15.67,95.32,120.00,43.90,27.80
20.70,-39.16,2.75,92.43,120.00,31.80,29.20
20.83,-42.00,-0.41,93.37,120.00,38.20,27.30
20.89,-42.40,-6.11,93.63,120.00,38.70,28.20
20.95,-37.72,1.18,91.60,120.00,37.70,27.80
21.02,-41.74,-2.35,92.40,120.00,120.00,27.50
21.15,-40.14,-5.71,92.43,120.00,41.00,30.00
21.21,-42.00,5.58,90.84,120.00,35.20,30.50
21.27,-44.94,-2.81,93.38,120.00,38.70,26.80
21.34,-39.66,-3.23,92.67,120.00,44.60,27.00
21.46,-41.33,-11.24,96.31,120.00,38.00,27.00
21.53,-38.24,7.09,91.44,120.00,33.30,31.30
21.59,-42.67,-0.57,93.55,120.00,41.30,27.50
21.72,-42.17,-17.69,96.91,120.00,42.10,27.40
21.78,-32.08,9.69,89.70,120.00,36.80,31.90
21.85,-42.41,-1.26,93.16,120.00,40.50,27.90
21.97,-35.41,1.39,90.61,120.00,38.80,29.90
22.04,-38.85,5.63,90.70,120.00,38.80,30.80
22.10,-40.11,-12.44,93.38,120.00,42.40,27.60
