# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0,1,3,-34.1,31.8,-42,9.5,15.1,2.6,12.2,10.4,-133.94
0.06,1,3,-33.9,30.6,-42.9,11.6,16.8,2.7,12,10.6,-117.6
0.12,1,3,-31.7,28.7,-42.6,13.3,17.8,11.3,12,10.5,-107.17
0.18,1,0,-35.1,30.8,-43.8,10.4,20.4,9.6,11.8,10.5,-98.7
0.25,1,0,-35.6,31.1,-43.8,10.1,23.9,11.2,11.2,10.2,-93.31
0.31,1,0,-34.1,29.3,-43.8,9.3,21.3,10,11,10.1,-92.82
0.37,1,3,-32.7,27.5,-44,9.3,27.4,10.9,11,10.2,-95.06
0.44,1,3,-32.3,25,-42.8,8,120,10.3,11.2,10.7,-104.11
0.5,1,0,-34.4,21.2,-43.5,7.7,29.2,9.7,11.6,11,-109.31
0.56,1,0,-32.3,22,-43.5,7.5,35.7,10.2,12,11.1,-105.74
0.62,1,0,-33.5,20.9,-42.9,7.6,26.5,10.2,11.7,11.1,-104.6
0.69,1,0,-33.3,20,-43.8,8.4,25.5,10.7,12.7,9.4,-95.06
0.75,1,0,-34.1,23.2,-43.8,8.7,24.5,11.4,11.4,11,-102.25
0.81,1,3,-32.4,20.6,-43.7,8.7,23,11.1,11.7,10.9,-100.78
0.87,1,3,-32.9,22,-43.5,8.9,25.6,11.2,12,10.8,-99.25
0.94,1,3,-32.9,22,-43.5,8.5,26.9,11.3,11.9,10.8,-105.3
1,1,0,-34.2,22.9,-45.1,8.7,26,10.8,11.6,11.1,-121.62
1.06,1,3,-32.6,23.9,-44.3,8.5,23.3,11.1,11.4,11.5,147.5
1.12,1,3,-32.6,23.9,-44.3,8.8,31.2,10.9,12,11.1,-108.58
1.19,1,3,-33.3,25.7,-43.5,9.5,24.1,11,11.8,11,-106.86
1.25,1,0,-32.6,25,-43.1,9.7,24.8,10.9,11.9,10.9,-106.24
1.31,1,3,-31.1,25.4,-43.8,9.5,20.9,10.9,12.1,10.8,-101.09
1.38,1,3,-31.1,25.4,-43.8,9.5,26.4,11.6,12.2,10.8,-101.77
1.44,1,3,-33.5,24.5,-43.4,9.2,24.4,10.7,12.2,10.9,-103.21
1.5,1,0,-33.6,25.7,-45,9.3,29.1,10.7,12.2,10.9,-100.64
1.56,1,3,-33.2,25.3,-43.4,9.3,120,10.5,12.3,10.8,-101.76
1.63,1,3,-33.2,25.3,-43.4,9.4,27.6,10.4,12.2,10.8,-96.62
1.69,1,3,-32.6,23.9,-43.5,9.5,25.8,10.6,12.2,10.7,-92.17
1.75,1,3,-33.9,24.5,-43.7,9.6,34,11,12.2,10.6,-88.05
1.9,1,3,-29.6,23.5,-42.8,9.8,34.7,10.6,12.1,10.6,-80.83
1.95,1,3,-29.6,23.5,-42.8,9.7,43.5,10.2,12.1,10.6,-79.34
2.02,1,3,-31.5,26.2,-42.3,9.2,120,9.3,12.1,10.7,-77.29
2.08,1,3,-31.5,26.2,-42.3,10,120,9.6,12.2,10.8,-71.07
2.14,1,3,-31.1,25,-41.7,9.7,37.2,10.8,12.3,10.7,-68.11
2.2,1,3,-29.5,22.6,-40.4,9.7,32.9,11.8,13,12.4,60.98
2.27,1,3,-28.9,22,-41.3,10.8,24.1,11.2,12.2,10.9,-54.28
2.33,1,3,-29.8,19.4,-39.6,11.4,20.7,12.2,12.1,11.1,-53.34
2.39,1,3,-29.3,19.6,-41,11.2,24.1,11.9,11.6,10.9,-56.88
2.45,1,3,-28.7,19.1,-41.1,13.2,22.7,13.4,11.8,11.2,-28.69
2.51,1,3,-29.8,17.5,-41.4,14,20.5,14,11.9,11.1,-44.23
2.58,1,3,-28.4,17.9,-42.2,12.4,19.9,14.2,11.9,11.2,-35.2
2.64,1,0,-32.6,20.8,-43.1,10.3,25.8,13.9,11,11.6,-37.7
2.7,1,0,-31.2,19.1,-43.4,11,24.8,15.1,10.9,11.9,-33.68
2.77,1,3,-30.8,13.9,-43.1,13.5,18.7,15.1,10.9,12.1,-46.05
2.83,1,3,-30.8,13.9,-43.1,12.7,18.3,15.8,10.7,12.4,-39.7
2.89,1,0,-34.2,17.5,-44.4,10.4,18.7,14.6,10.5,12.5,-35.78
2.96,1,0,-32.9,19.3,-45.6,10.9,20.2,15.3,9.8,12.3,-33.01
3.02,1,3,-31.2,16.7,-41.1,10.2,18.8,15.3,8.7,12.8,-22.16
3.08,1,3,-30,14.4,-40.5,11.9,17,14.2,7.9,13.2,-31.48
3.15,1,3,-30,14.4,-40.5,12,17.7,11.9,7,13.7,-38.9
3.22,1,3,-31.1,13.5,-41.3,12.2,120,9.4,7,13.7,-38.9
3.52,1,3,-31.7,11.1,-41.1,13.4,18.6,8.9,7,13.7,-38.9
3.73,1,0,-36.8,13.3,-45.1,13,21.8,7.9,7,13.7,-38.9
3.73,1,0,-36.8,13.3,-45.1,11.8,20.2,8,7,13.7,-38.9
3.92,1,3,-34.4,12.7,-43.5,13.2,32.7,7.5,7.2,16.5,-14.82
4.09,1,3,-29.6,8.5,-41,11.5,13.6,6.7,7.4,16.4,-10.06
4.15,1,3,-30.2,9.6,-41.4,10,14.4,5.6,7.3,16.3,-24.35
4.21,1,0,-29.8,11.8,-41.9,9.9,16.3,5.8,7.1,16,-45.87
4.28,1,3,-29.5,13.8,-40.8,7.9,18,6.6,7.3,16.4,-46.11
4.34,1,3,-27.4,14.7,-39.8,7.6,17.5,6.8,7.2,16.5,-48.65
4.4,1,3,-27.7,16.4,-40.4,7.8,17.8,6.7,7.3,16.5,-49.74
4.47,1,3,-28.1,16.1,-38.7,8,18.5,6.8,7.2,16.3,-53.8
4.53,1,3,-26.9,16.4,-37.8,7.6,17,8.7,7.3,16.3,-56.99
4.59,1,3,-26.2,17.5,-39.3,6.9,18.6,8.3,7.3,16.3,-57.24
4.66,1,3,-26.2,19.4,-38.9,6,22.3,9.1,7.2,16.3,-43.26
4.72,1,3,-26.2,19.4,-38.9,5.7,21.8,9.6,7.3,16.5,-53.96
4.78,1,3,-25.4,19.9,-37.8,6.6,19.4,8.5,7.2,16.8,-49.04
4.84,1,3,-28,20.9,-39.3,6.4,19.2,9.3,7,16.9,-46.1
4.91,1,3,-26.3,19.3,-37.7,6.3,18.3,9,6.9,17,-44.22
4.97,1,3,-27.2,17.5,-38.1,6.4,17.2,9.5,7.1,17,-42.98
5.03,1,3,-27.2,17.5,-38.1,6.2,16,7.9,7.3,17.2,-38.14
5.1,1,3,-28.6,15.4,-39.8,6.5,15.2,6.8,7.3,17.1,-38.85
5.16,1,3,-28.4,15.2,-39.6,6.9,15.2,7.6,7.2,17.1,-27.16
5.22,1,3,-28.4,15.2,-39.6,7.5,13,8.2,7,17,-29.89
5.29,1,3,-26.9,11.1,-38.1,8.3,12.2,8.5,6.5,17.2,-10.77
5.35,1,3,-26,12,-36.2,9.9,12.6,7.8,6.2,17.5,-7.59
5.41,1,3,-26,12,-36.2,9.6,13.3,7.3,6.3,17.7,-1.21
5.48,1,3,-26,14.4,-40.2,8,17.5,5.5,6.3,17.9,4.48
5.62,1,3,-28,13,-39.3,8.7,16.6,5.1,6.3,17.9,4.48
5.62,1,3,-28.1,15.1,-39.5,8,17.6,5.2,6.3,17.9,4.48
5.92,1,3,-27.2,11.4,-39.6,7.7,14.6,3.8,5.9,20.4,30.61
6.03,1,0,-26.9,12.3,-40.1,8.5,15.6,3.7,5,20.5,12.16
6.09,1,3,-26.9,12.3,-40.1,9.3,14.4,3.7,5.5,20.9,31.81
6.15,1,3,-27.4,9.3,-39.2,10.9,14.1,3.6,5.5,21.2,28.74
6.21,1,3,-24.5,8.2,-34.7,13.3,12.8,3.7,5.4,21.8,35.42
6.28,1,3,-26.3,8.5,-36.9,11.8,15.4,3.2,5.4,22.4,40.2
6.36,1,3,-26.3,8.5,-36.9,11.2,14.4,3.8,4.4,22.6,5.46
6.45,1,3,-24.7,13.3,-33.8,8.3,14.3,3.2,4,22.9,2.63
6.51,1,0,-24.8,14.4,-35.1,6.2,15.3,3.2,3.4,23.2,-3.35
6.58,1,3,-23.6,12.3,-34.5,8.3,14.5,3.4,2.9,23.6,-6.73
6.64,1,3,-23.6,12.3,-34.5,10.7,12.5,3.7,3.6,24.3,-4.47
6.7,1,3,-28.4,7.6,-34.5,12.6,12.5,3.4,3.7,24.8,-5.15
6.77,1,3,-28.4,7.6,-34.5,11.6,14.1,3.1,3,24.8,5.06
6.83,1,3,-25.7,9.6,-34.5,9.1,12.8,3.2,2.5,25.4,5.95
6.89,1,3,-25.7,9.6,-34.5,10.1,13,3,2.5,25.4,5.95
7.05,1,0,-24.7,8.7,-38.6,11.4,14.8,2.1,3.3,26.3,-5.41
7.11,1,3,-22.9,8.4,-36.3,10.6,14.4,2.5,3.3,26.2,-14.56
7.18,1,3,-24.5,7,-34.4,13.8,12.3,2.8,3.5,26.2,-22.37
7.24,1,3,-23.6,5.7,-31.2,12.4,11.7,3.1,3.5,26.6,-5.27
7.3,1,3,-22.1,5.2,-28.7,120,11.2,3.2,3.2,26.9,0.41
7.37,1,3,-22.4,5.7,-30.2,120,11.7,3.6,3.1,27.4,0.7
7.43,1,3,-22.4,5.7,-30.2,120,11.3,3.2,3.6,28.4,33.57
7.52,1,3,-23.6,6.1,-27.7,120,12.3,3.4,4.4,28.5,26.32
7.57,1,3,-21.5,7.8,-28.6,16.6,14.9,2,3.3,28.4,-4.27
7.64,1,3,-21.5,12,-28.1,12,14.9,2.5,4,28.9,-5.55
7.7,1,3,-22.1,8.7,-26.9,20.9,13.6,3.3,4,28.9,-5.55
7.87,1,3,-21.4,10.3,-26.9,7.6,15.8,2.7,5,30,33.71
7.93,1,0,-20.8,16.1,-28.6,5.3,18,2.5,4.8,30.1,21.32
7.93,1,3,-17.9,19.9,-27.2,5.7,18.3,3.2,4.8,30.4,25.22
8.06,1,3,-18.7,18.7,-25.4,7,16.5,3.1,5.2,30.2,21.22
8.12,1,3,-19.9,17.5,-23.9,6.7,17.3,2.8,4.9,30.5,22.67
8.19,1,3,-18.2,20,-23,5.7,18.4,3.5,4.9,30.4,31.62
8.25,1,3,-18.2,20,-23,5.4,17.2,3.1,4.8,30.5,40.73
8.33,1,3,-20.9,18.4,-23.3,7.2,15.1,3.5,4.8,30.5,40.73
8.33,1,3,-19.1,16,-21.4,8.1,14.1,2.9,3.9,30.4,-11.32
8.56,1,3,-17.3,18.4,-17.8,10.3,10.7,3.6,3.7,30.3,-33.83
8.63,1,3,-17.8,17.3,-16.9,8.8,7.2,3.1,3.7,30.3,-33.83
8.71,1,3,-17.8,17.3,-16.9,7,7.4,3.9,3.7,30.3,-33.83
8.93,1,3,-17.3,17.2,-20,10.9,11.8,3.7,4,30.4,-40.54
8.99,1,3,-17.6,20.2,-16.7,13.3,8,4.1,4,30.2,-52.12
9.05,1,5,-18.2,22,-17.2,10,7.1,4.2,4,30.6,-14.51
9.12,1,3,-18.2,22,-17.2,120,7.4,3.9,4,30.4,-25.7
9.18,1,3,-19,20,-14.4,120,8.5,4.2,4,30.3,-24.78
9.24,1,3,-17.8,19.6,-13.9,120,9.1,4.2,3.8,30.3,-24.76
9.31,1,3,-19,18.8,-13.9,120,9.7,3.9,3.7,30.2,-32.44
9.45,1,5,-19,18.8,-13.9,0,10.4,4,3.7,30.2,-32.44
9.45,1,3,-20.8,17.8,-14.7,120,13.4,3.8,3.7,30.2,-32.44
9.68,1,3,-17.5,19.3,-14.4,120,14.1,3.7,3.6,29.7,-16.61
9.86,1,5,-20,18.8,-22,10.8,17,3.6,3.7,29.5,-18.63
9.93,1,5,-18.2,18.5,-20.9,9.2,18,3.3,3.7,29.5,-18.63
9.93,1,5,-18.2,18.5,-20.9,8.2,17.8,3,3.7,29.5,-18.63
10.2,1,5,-19.4,17.9,-21.1,7.9,20.2,2.7,3.7,29.5,-18.63
