# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0,1,3,-32.4,-10.3,-36.3,7.8,11.7,3,4.1,11.4,-13.9
0.07,1,3,-32.4,-10.3,-36.3,7.9,11,2.5,3.9,11.5,-7.57
0.13,1,3,-30.9,-12.6,-35.6,9.2,11.2,2.9,4,11.5,-15.4
0.19,1,3,-30.9,-12.6,-35.6,9.9,10,2.8,3.8,11.7,-11.65
0.25,1,3,-32.9,-12.4,-34.4,11,11.1,2.9,3.9,11.9,6.11
0.32,1,3,-32.9,-12,-34.4,10.2,10.6,2.8,3.8,11.5,3.32
0.38,1,3,-31.7,-11.8,-36.8,11,10.9,3.4,3.8,11.4,-1.58
0.44,1,3,-31.7,-11.8,-36.8,10.4,10.9,3,3.5,11.1,-15.5
0.5,1,3,-32.6,-12.4,-35.1,12.5,12.4,2.9,4.5,11.4,21.35
0.57,1,3,-31.1,-11.7,-36.9,14.2,12.2,2.9,3.9,11.2,1.65
0.63,1,3,-34.4,-11.7,-37.2,13.4,11.6,3.7,3.9,11.3,3.56
0.69,1,3,-34.4,-11.7,-37.2,14.3,12.8,3.5,3.9,11.4,4.98
0.75,1,3,-33.3,-10,-40.5,15.1,13.6,3.3,3.9,11.6,9.74
0.81,1,3,-33.9,-9.6,-39.3,16.5,13.5,3.4,3.7,12.1,2.87
0.88,1,3,-35.9,-10.5,-42.3,11.2,16.5,3.2,3.9,12.7,8.5
0.94,1,3,-35.9,-10.5,-42.3,15.4,18.8,3.2,3.7,13.2,-1.09
1,1,3,-36.3,-7.8,-42,16.5,20.4,2.9,3.6,13.1,-7.56
1.07,1,0,-37.1,-6.6,-41.7,17.2,24.2,3,3.4,13.4,-14.93
1.13,1,3,-36.3,-9.7,-41.3,16.9,16.2,3,3.8,13.8,10.83
1.19,1,3,-34.4,-7.3,-42.3,13.7,20.2,2.9,3.7,13.9,-8.07
1.25,1,0,-35.4,-7.2,-41.9,16.1,21.6,2.5,3.7,14.7,12.3
1.31,1,3,-31.8,-10,-39.2,19.4,16.5,2.9,3.4,15.4,-1.72
1.38,1,3,-32.6,-9.3,-36.5,86.2,12.8,3.7,3.5,15.9,-10.7
1.44,1,3,-31.2,-11.1,-35.6,120,14.9,3,3.5,16.5,0.45
1.5,1,3,-31.2,-11.1,-35.6,120,15.2,3.8,3.4,16.8,-6.64
1.56,1,0,-34.4,-9.3,-41.3,24.4,17.2,2.2,3.6,17.1,9.56
1.63,1,0,-33.9,-8.4,-41.1,17.3,16.4,3,3.4,17.4,1.6
1.69,1,0,-34.7,-6.4,-41.9,28.2,20.8,3.1,3.5,17.6,-6.53
1.75,1,0,-34.7,-6.4,-41.9,22.1,17.9,2.7,3.4,17.9,3.23
1.81,1,3,-32,-9.1,-41.9,120,16,3,3.4,18.5,2.46
1.88,1,3,-32.4,-9.1,-40.4,22.8,17.5,3.8,3.4,18.9,7.32
1.94,1,3,-31.2,-9.1,-40.1,120,17.8,3.8,3.6,19.5,-2.25
2,1,3,-29.2,-7.9,-38.9,120,18.5,3.7,3.6,19.8,9.17
2.06,1,3,-29.3,-4.3,-39.8,120,24.3,2.9,3.6,20.2,22.36
2.12,1,3,-29.8,-5.7,-41.1,120,19.3,3.2,3.6,20.4,14.18
2.19,1,3,-30.5,-7.9,-40.1,120,12.6,4.3,3.5,21,20.59
2.25,1,3,-30.5,-7.9,-40.1,120,10.9,4.9,3.7,21.3,10.76
2.31,1,3,-30.5,-11.4,-36.3,120,11.3,4.3,3.7,21.8,17.63
2.37,1,3,-29.6,-9,-36.2,120,12.6,3.8,3.8,22.4,19.37
2.44,1,3,-28.7,-7.9,-36.8,120,16.2,3.9,3.8,23,19.66
2.5,1,3,-28.7,-7.9,-36.8,120,15.8,4.4,4.1,23.6,18.51
2.56,1,3,-28.9,-12.4,-33.9,120,11.4,5.1,4.6,23.7,20.03
2.63,1,3,-28.9,-12.4,-33.9,120,14.7,5,4.5,24.2,25.53
2.69,1,3,-28.6,-7.3,-36.9,120,21.2,4.9,4.5,24.5,19.85
2.75,1,3,-25.7,-8.4,-33.5,120,16.2,5,4.7,24.4,9.54
2.81,1,3,-25.3,-9.3,-27.8,100.8,10.9,5.4,4.7,25,7.47
2.88,1,3,-25.6,-10,-28.6,120,10,6.1,5.4,26,8.14
2.94,1,3,-24.5,-8.5,-27.8,120,10.4,5.1,6.1,26.3,-6.56
3,1,3,-23.8,-9.3,-27.1,120,15.5,5.4,6.1,26.8,11.92
3.07,1,3,-23.8,-9.3,-27.1,120,13.8,5,6.1,26.8,-19.95
3.13,1,1,-26.5,-6.9,-34.2,8.3,8.1,6.1,6,27.1,-16.26
3.19,1,3,-23.3,-6.3,-30.6,9.1,8.3,6,5.9,27.2,-17.05
3.25,1,0,-22.6,-3.6,-31.1,9.3,9.9,5.1,5.7,27.5,-14.12
3.31,1,3,-22.6,-3.6,-31.1,10.3,10.8,5.5,5.5,27.6,-13.75
3.38,1,3,-19.7,2.8,-31.4,9.3,11.5,5.3,5.2,27.9,-7.35
3.44,1,3,-19,2.4,-29.6,10.1,11.8,5.2,5.4,28.1,-14.03
3.5,1,3,-19.7,3.1,-29.3,120,12.8,5.2,5.5,28.4,-17.32
3.57,1,3,-18.4,-1,-27.7,120,12.3,5,5.5,28.7,-24.83
3.63,1,3,-18.5,6.3,-29.3,14.6,13.2,4.7,5.3,29.4,-23.7
3.69,1,3,-18.5,6.3,-29.3,9,13.7,4.9,5.5,29.4,-30.6
3.75,1,3,-16.3,4.3,-26.8,5,12.5,5,5.3,29.5,-26.09
3.82,1,3,-16.3,4.3,-26.8,7.9,13.2,4.5,5.5,29.7,-36.6
3.88,1,3,-19.1,6.9,-28.4,4.7,12.4,4.7,5.4,29.9,-34.25
3.94,1,3,-19.3,5.8,-28.1,6.4,13,4.3,5.4,30.1,-29.27
4.01,1,5,-16.1,10.6,-24.7,8.8,18.2,4.4,5.6,30.9,-17.37
4.1,1,3,-17,13.5,-24.8,8.1,17.2,4.4,5.6,31.5,-23.23
4.16,1,3,-17,13.5,-24.8,7.9,19.2,4.4,5.4,31.7,-47.51
4.23,1,3,-16.9,14.5,-26.2,6.7,14.6,4.3,5.5,31.9,-59.71
4.29,1,3,-17.3,18.4,-27.2,5.4,7.4,5.2,5.4,32,-55.4
4.35,1,0,-17.3,18.4,-27.2,4.8,3.1,5.1,5.4,32,-56.89
4.42,1,0,-20,23.5,-28.9,4.4,3,5.6,5.3,32,-50.33
4.48,1,0,-20.9,24.1,-29.5,3.9,2.5,5.7,5.4,32,-61.31
4.54,1,3,-21.5,25,-27.8,3.4,2.6,5.7,5.4,31.9,-62.2
4.6,1,5,-21.1,26.2,-28.1,4.3,2.1,5.8,5.6,31.7,-65.31
4.67,1,5,-18.5,26.6,-27.8,4,2.3,5.9,5.4,31.7,-70.35
4.73,1,3,-20.9,27.5,-25.1,3.9,3,6.5,5.2,31.9,-58.83
4.79,1,5,-20.9,27.5,-25.1,4.6,2.4,6.7,5.2,31.9,-64.31
4.85,1,5,-20.6,28,-22.1,4,3.5,7,5.3,31.8,-65.41
4.92,1,5,-19.4,29.5,-20,4.4,3.4,6.2,5.3,31.8,-61.52
4.98,1,5,-19.1,29,-19.3,4.3,4.7,6.3,5.3,31.8,-54.79
5.04,1,5,-19.4,29,-18.8,4.7,5.6,6.2,5.3,31.6,-66.54
5.1,1,5,-19.1,28.3,-16.7,5,5.1,6.2,5.1,31.6,-68.31
5.17,1,5,-18.5,27.4,-17.2,5.2,6,6.2,5.7,31.5,-70.17
5.23,1,5,-18.5,28.4,-16.9,4.7,7.7,6.2,5.7,31.4,-73.77
5.29,1,5,-20.9,27.1,-17,3.8,0,4.8,5.9,31.3,-70.29
5.35,1,5,-21.4,30.9,-18.1,3.7,120,5.1,6.1,31.1,-66.75
5.42,1,5,-21.4,30.9,-13.8,4,76.2,4,6.2,31.1,-66.57
5.48,1,5,-20.2,29.5,-13,3.9,120,3.7,6.2,31.1,-67.15
5.54,1,5,-19.9,30.2,-12.7,4.5,120,4.4,5.8,31.1,-72.67
5.61,1,5,-20.2,26.3,-8.4,6.6,120,5.5,5.7,31.1,-62.43
5.67,1,5,-20.8,28.1,-8.8,8.5,120,5.1,5.4,31,-74.64
5.73,1,5,-20,27.7,-9.3,6.5,97.2,5,5.5,31,-74.11
5.79,1,5,-19.9,28.7,-12.3,4.4,120,4.1,5,31,-65.52
5.86,1,5,-19.9,28.7,-12.3,3.6,120,3.1,5,31,-70.87
5.92,1,5,-21.1,29.3,-11.8,3.7,120,2.9,5,31.1,-61.98
5.98,1,5,-20.6,28,-12,3,120,2.6,5.1,31,-56.35
6.04,1,5,-20.5,30,-12.1,4.5,120,3.3,5,30.9,-66.16
6.11,1,5,-20.9,28,-10.5,3.8,120,3.8,5,30.8,-66.5
6.17,1,5,-20.6,27.5,-9,3.6,120,3.6,5.2,30.9,-69.42
6.23,1,5,-20.2,28,-8.4,4.5,120,4.1,5.4,31,-66.57
6.29,1,5,-20.2,28,-8.4,4.2,120,3.8,5.3,30.9,-71.75
