10.54,1,3,-41.3,-1.8,-30.5,120,14.9,120,36.2,19.9,-2.61
10.6,1,0,-39.8,3.4,-32.3,42.5,14.8,29.1,37.2,20,-31.94
10.67,1,3,-39.8,3.4,-32.3,120,14.8,24.8,39.9,19.7,-1.48
10.73,1,3,-37.2,5.2,-30.2,120,16.1,21.8,37.4,21,-4.4
10.79,1,5,-37.5,1,-28.4,120,15.4,120,33.2,22.1,-0.63
10.92,1,3,-37.1,-1.6,-26.3,120,14.2,120,37.8,23,-6.02
10.98,1,3,-37.1,-1.6,-26.3,120,13.9,120,38.3,23.4,-8.16
11.04,1,4,-39.2,2.8,-27.8,45.8,13.9,22.9,38.4,24,-0.41
11.11,1,0,-39,3,-30.9,47.4,13.4,17.5,38.4,24.2,-2.65
11.17,1,0,-37.4,1.2,-27.5,52.7,13.6,26.1,38.4,24.7,-2.72
11.23,1,3,-37.4,1.2,-27.5,50.1,13.3,120,39.3,25.6,-10.83
11.3,1,0,-37.5,0.3,-26.9,120,13.2,16.8,37,26.8,-10.66
11.36,1,3,-37.4,0.4,-27.5,120,12.9,16.7,39.2,27.4,-9.44
11.42,1,3,-34.2,4.2,-25.9,56.5,13.6,120,39.5,28.1,-14.27
11.48,1,0,-35.1,5.1,-28.6,46.2,13.6,23.5,40.1,28.1,-6.58
11.55,1,0,-35,6.4,-29.2,42.1,12.9,16.4,40.2,28.5,-5.97
11.67,1,3,-35.1,6.6,-27.8,120,12.2,26.1,41,29.5,-9.94
11.74,1,0,-33.9,3.7,-24.7,45.2,11.3,13.4,41,30.2,-6.5
11.8,1,3,-34.8,-2.4,-20.5,52.2,11.4,22,40.8,31,-2.91
11.86,1,3,-34.8,-2.4,-20.5,120,10.8,24.1,40.7,31.8,-7.95
11.92,1,3,-32,0.7,-17.5,120,10.4,120,40.5,32.6,-12.71
11.98,1,3,-32.3,3.6,-23.5,120,10.9,15.3,41.9,33.5,-10.67
12.05,1,0,-32.7,2.5,-25.1,41.9,10.3,13.1,41.8,33.7,-5.83
12.11,1,0,-32.7,2.5,-25.1,45.9,11.6,16.5,41.6,34,-10.64
12.17,1,3,-32.7,5.7,-22.9,35.8,10.7,17,41.9,34.7,-10.16
