# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0,1,0,-40.7,20,-51.4,10.1,3.4,3.1,8.8,7.4,169.21
0.06,1,5,-46.8,28,-44.7,9.2,3.4,2.8,7.8,7.7,-125.22
0.12,1,0,-45.9,28.9,-43.8,9.4,9,8.1,7.7,7.7,-124.17
0.19,1,0,-42.8,27.1,-45.1,9.1,12.2,7.8,7.6,7.8,-126.14
0.25,1,0,-41.1,18.8,-45,7.1,10.5,7.9,7.2,7.8,-132.82
0.31,1,0,-41.1,18.8,-45,6,10.5,8.1,8.4,7.9,96.95
0.37,1,0,-39,17.2,-43.4,6.4,9.9,8.5,7.4,7.4,-160.92
0.44,1,3,-39,17.5,-44.4,6.4,9.5,8.8,8.6,7.5,-176.72
0.5,1,0,-42.9,18.1,-46,7.8,6.2,9.8,7.2,7.3,176.55
0.56,1,0,-41.4,22,-43.8,7.3,6,10.8,7.4,7.3,169.84
0.62,1,0,-46.9,30,-41.7,4.7,6.3,16.4,7.5,7,167.67
0.68,1,0,-46.9,28.9,-42.8,5,6.6,22.8,8.5,7.3,-136.08
0.75,1,5,-45.7,30.9,-41.9,4.8,7.3,19,7.5,6.2,173.57
0.81,1,5,-48.1,33,-39.8,5.5,7.6,16.5,7.4,7,157.35
0.87,1,5,-47.2,33.2,-40.8,5.6,7.4,16.5,7.6,7.3,142.52
0.93,1,5,-47.2,33.2,-40.8,4.7,7.2,16.9,7.4,7.1,138.24
1,1,0,-47.7,31.1,-42.8,4.8,7,33,7.2,7.2,132.83
1.06,1,5,-51.3,32.9,-42.6,6.3,8.7,14.3,8.2,7,176.16
1.12,1,0,-59.9,35,-45.3,7.1,11.5,11.6,9.2,6.2,142.4
1.2,1,0,-59.9,35,-45.3,7.6,9.1,18.1,9.2,6.2,142.4
1.32,1,0,-63.1,27.1,-46.2,7.9,7.8,15.3,8.5,6.2,97.46
1.39,1,0,-63.1,27.1,-46.2,6.5,5.3,23.2,8.9,7.1,-40.26
1.45,1,0,-64.7,22.7,-50.8,6.1,4.7,26.6,8.7,5.8,76.58
1.51,1,0,-67.1,20.6,-49.8,6.5,4.3,27.5,9.2,6.2,68.05
1.57,0,0,-66.4,19.4,-51,49.8,6,16.8,9.1,5.9,57.89
1.64,1,0,-69.7,22.1,-48.7,49,5.7,14.2,9.7,6.1,57.87
1.7,1,0,-66.4,13.3,-50.5,78.1,5.8,23.2,10.2,5.8,51.35
1.76,1,0,-67.4,13,-51.3,120,7.2,18.4,10.8,5.7,43.31
1.83,1,3,-67.9,11.8,-49.8,120,8.1,17.7,11.4,6.8,38.14
1.89,1,0,-68.3,12.7,-52.2,52.3,8,19.3,12.3,7.9,44.16
1.95,1,0,-67.4,-0.3,-48.4,42.4,9.4,20,12.8,9,47.56
2.01,1,0,-67.4,-0.3,-48.4,29.3,12.6,17.2,12.8,10.1,-8.97
2.07,1,0,-69.7,-4.9,-46.2,15.9,13.2,20.7,12.9,10.3,-1.55
2.14,1,0,-72.5,-0.1,-46,13.9,14.1,22.5,13.8,10.1,58.93
2.2,0,4,-72.7,-2.5,-47.2,12.5,13.2,28.7,12.9,10.7,-54.01
2.27,1,4,-74.9,-3,-45.1,16.1,12.6,26.2,14.4,8.7,105.01
2.33,1,0,-71.5,-2.5,-46.9,33.5,13.8,28.4,15.7,10.3,171.14
2.39,1,0,-67.7,0.4,-49.3,45,13.1,27.7,17.2,11.1,58.45
2.45,1,0,-64,2.8,-48.6,46.3,11.6,34.5,17.7,11.4,56.59
2.52,1,3,-64,2.8,-48.6,120,10.1,120,18.2,12.1,51.84
2.58,1,4,-70.6,-3.6,-46,32,12.6,120,18.8,12.6,52.33
2.64,1,4,-70.6,-3.6,-46,35.3,13.8,50.5,18.5,13.7,-19.59
2.7,1,0,-65.9,-3.4,-43.7,40.5,15.6,34.8,24.4,13.5,65.38
2.77,1,0,-62.8,-4.3,-45.3,42.7,17.5,30.3,20.4,13.1,70.17
2.83,1,0,-63.5,-0.4,-45.6,32.1,18.5,30,21.7,12.5,66.1
2.89,1,0,-62,2.1,-45.3,37.3,16.6,13.1,22.5,12.4,71.44
2.96,1,0,-62,2.1,-45.3,41.9,16.9,12.9,22.9,12.7,71.62
3.02,1,0,-61.9,1.5,-44.7,38.1,15.7,14.2,23.2,12.7,73.14
3.08,1,4,-65.8,-4.8,-42.3,28.7,13.3,120,23.8,12.9,81.18
3.15,1,4,-67.9,-5.2,-40.4,21.8,13.3,27.1,24.7,13,75.28
3.21,1,0,-69.5,-2.8,-42.8,29,14.4,17.6,25.3,13.7,-39.32
3.27,1,0,-66.5,3.1,-44.3,30.1,14.7,11.8,26.2,14,-40.31
3.33,1,0,-67.7,4.3,-43.8,29.4,14.2,12.9,27.4,13,76.58
3.4,1,0,-67.7,4.3,-43.8,25.1,14.5,12.1,28.8,13,65.52
3.46,1,0,-64.9,2.2,-42.2,29.9,13.4,14.1,29.3,13.2,62.09
3.52,1,0,-64.9,2.2,-42.2,29.6,12.8,19.6,30,13.9,67.03
3.58,1,3,-64.1,-2.5,-40.1,25,13.3,20.9,30.5,13.9,64.32
3.65,1,0,-65.6,-4.5,-38.9,22.8,14.5,23.2,31.3,13.9,64.35
3.65,1,0,-65.6,-4.5,-38.9,23.4,16,20.2,31.6,13.9,68.25
3.77,1,0,-64.1,-1.5,-40.4,21.8,17.3,14.7,32.3,14.3,67.42
3.83,1,0,-64.1,-1.5,-40.4,22.3,17.3,14,33.1,14.5,56.21
3.9,1,0,-62.6,-0.7,-41.1,29,16.7,15.4,33.5,14.7,45.47
3.96,1,3,-55.5,1.2,-39.8,33.7,17,18.3,34,15.2,30.87
4.02,1,3,-61,-3.1,-37.7,24.7,15.2,19.3,34.6,15.4,9.13
4.09,1,0,-56.5,-5.1,-38,22.2,11.9,21.6,34.7,16,2.36
4.15,1,0,-56.5,-5.1,-38,23.6,12.3,18.5,35,16.8,-4.6
4.21,1,0,-52.5,-1.6,-36.9,44.5,28,40.8,35.2,17.5,-5.98
4.27,1,3,-52.5,-1.6,-36.9,120,22.3,41.2,35.5,18,-7.69
4.33,1,0,-48.4,3.9,-38,36.8,17.2,32.8,35.9,18.3,-18.87
4.4,1,0,-49.3,6.1,-39.6,29.3,17.1,34.5,36.2,19.2,-32.04
4.46,1,0,-46.8,4.9,-37.5,21.9,16.8,37.8,36.1,19.6,-37.43
4.52,1,0,-45.7,3.4,-37.1,22.3,16.5,42.7,35.8,19.7,-36.34
4.58,1,3,-45.7,3.4,-37.1,17.5,17.6,56.1,35.1,20.1,-24.61
4.65,1,4,-42.9,8.5,-35.1,13.2,21,120,35,20.7,-18.97
4.71,1,3,-42.9,8.5,-35.1,18.4,21.7,36.6,35.2,21.1,-18.1
4.77,1,3,-39.5,12.6,-33,120,20.5,38.7,35,21.2,-11.45
4.84,1,3,-39.8,11.4,-29.2,120,19.7,42.5,34.8,21.7,12.27
4.9,1,3,-39.8,9.1,-31.2,120,18.8,41.5,35.3,22.2,31.97
4.96,1,3,-38.9,7,-27.5,120,18.2,51.8,36.2,22.7,42.08
5.02,1,3,-38.9,7,-27.5,120,16.7,44.3,37,22.9,43.98
5.09,1,3,-46,-3.4,-33.5,120,18.4,23.4,37.6,23.1,49.57
5.15,1,0,-46,-3.4,-33.5,25,22.6,14.1,37.9,23.4,47.62
5.21,1,0,-54.1,-6.9,-35.6,18.6,16.8,15.6,38.7,23.6,44.09
5.27,1,0,-55.5,-9.7,-33.6,17.8,14.9,18.1,39.6,24,40.52
5.34,1,0,-56.8,-9.6,-32,15,19.8,14.6,40.5,24.3,26.77
5.4,1,0,-51.7,-9,-33.3,14.6,20.9,16,40.9,24.8,9.46
5.46,1,0,-51.7,-9,-33.3,14.4,16.7,15.5,41.1,25.4,2.44
5.53,1,0,-49.3,-9.1,-30.2,16.6,12.6,18.2,41.3,25.8,-4.72
5.59,1,1,-49.3,-9.1,-30.2,18.4,11.1,20.3,41.3,26.2,-11.79
5.65,1,3,-39.6,0.9,-31.1,120,10.1,19.8,41.2,26.9,-14.14
5.71,1,0,-40.2,1,-29.8,72.6,9.7,22.4,41.1,27.7,-17.67
5.78,1,0,-38.1,3.9,-29.3,120,9.4,62.3,41,28.2,-17.96
5.84,1,0,-38.1,3.9,-29.3,34.9,11,57.3,41,28.9,-25.06
5.9,1,4,-38.3,7.6,-30.2,45.3,11.1,53.1,40.8,29.6,-31.93
5.97,1,4,-40.2,10.6,-32.3,40.1,12.2,51.8,40.6,29.8,-26.86
6.03,1,3,-38.3,9.1,-26.5,120,12.8,86.9,40.4,30.1,-13.72
6.09,1,0,-37.2,14.5,-31.2,3.6,15.8,120,40.3,30.4,-18.74
6.16,1,0,-38.1,14.4,-29.3,0,15.2,103.7,40.5,31.2,-20.99
6.22,1,3,-35.4,7.9,-26.2,120,12.5,99.6,40.3,31.8,-20.44
6.28,1,3,-34.8,6.6,-26,120,12.1,83.9,40.3,32.2,-13.67
6.34,1,3,-34.2,7.9,-23.3,120,12.7,92.9,40.5,32.4,-2.45
6.4,1,0,-34.2,7.9,-23.3,120,12.7,83.1,40.4,33,6.63
6.46,1,0,-35.7,9.1,-25.1,120,12.4,17.8,40.5,34,7.34
6.53,1,3,-35.6,5.1,-23,120,11.6,19.2,40.7,34.8,11.09
6.59,1,3,-37.2,-2.2,-24.7,42.4,11.2,14.2,40.9,35.1,7.03
6.65,1,3,-37.2,-2.2,-24.7,47.4,11.3,13.9,41.3,35.4,-2.04
6.71,1,0,-38.1,-1.6,-28.6,33.1,10.7,11.9,41.7,36.4,-6.04
6.78,1,0,-36.8,0,-24.4,41.2,10.5,13.3,42,37.2,-4.71
6.84,1,3,-34.8,2.8,-20.9,0,9.2,14.6,42.1,38.7,-6.11
6.9,1,3,-33.9,4.2,-18.1,120,9.1,12.1,41.7,40,-7.3
6.96,1,3,-33.5,6.1,-20.6,120,9.2,13.1,41.3,41,-5.86
7.03,1,0,-33.5,6.1,-20.6,33.6,9.2,15.1,41.6,41.1,-4.89
7.09,1,0,-34.1,7.8,-26.3,18,10.5,13.2,41.6,41.8,-5.77
7.21,1,0,-35,6.9,-27.7,12.7,10.6,13.7,41.4,43.2,-7.09
7.28,0,0,-35,6.9,-27.7,14.6,9.8,13.7,41.1,43.3,-8.39
7.34,1,0,-34.1,6.3,-24.8,18.1,10.3,14.1,41.3,44.7,-17.13
7.4,1,0,-33.5,9.9,-25.1,23.9,10.5,13.2,41,45.8,-18.53
7.47,1,0,-32.9,9.3,-21.7,19.8,10.3,11.4,40.6,46.8,-18.89
7.53,1,0,-32.6,11.7,-22,24.2,10.5,11.9,40.8,47.5,-10.95
7.59,1,0,-32.9,14.4,-27.1,9.3,12.1,14.4,40.6,48.2,-15.17
7.65,1,0,-33.3,14.4,-28.1,11,12.8,14.2,40.6,47.7,-14.7
7.72,1,0,-31.1,16.1,-25.6,13.2,12.9,19.1,40.7,47.3,-26.6
7.78,1,4,-31.1,16.1,-25.6,5.3,11.6,120,40.7,47.5,-29.14
7.84,1,4,-31.2,11.8,-22.9,8.1,12.2,93.4,40.5,47.9,-24.45
7.9,1,4,-31.2,11.8,-22.9,28.7,12.9,52.6,40.2,48.2,-16.65
7.97,1,3,-32.6,20,-10,120,14,12.7,40.1,48.2,-14.06
8.03,1,3,-31.1,20,-8.1,120,14.5,13,40.6,48.3,-15.36
8.09,1,3,-31.1,18.1,-9.6,120,18,10.2,40.8,48.5,-18.33
8.15,1,3,-31.1,18.1,-9.6,120,29.6,6.9,40.5,48.8,-11.26
8.22,1,3,-30.8,16.1,-11.1,49.8,34.5,8.8,40.4,49.5,-5.53
8.28,1,3,-32.6,11.7,-3.7,120,11.9,23.6,40.1,49.8,3.07
8.34,1,3,-32.6,11.7,-3.7,120,11.1,28.8,40.1,49.8,15.74
