# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,38.45,-8.31,96.03,20.80,75.90,26.40
0.12,39.39,-12.10,94.82,20.40,120.00,27.10
0.18,39.17,-9.93,94.10,20.40,120.00,26.40
0.25,39.32,-10.55,94.29,20.00,120.00,26.80
0.31,42.80,-8.86,93.32,19.60,120.00,27.20
0.44,48.69,-2.98,91.82,18.30,120.00,28.00
0.50,48.69,-5.24,92.00,17.30,120.00,28.00
0.57,44.15,-7.89,90.15,16.50,120.00,27.00
0.63,51.51,-4.16,89.70,16.20,120.00,26.90
0.76,46.16,-6.93,91.70,18.30,120.00,26.00
0.82,43.23,-6.03,93.01,19.70,120.00,26.40
0.89,39.79,-6.73,93.90,20.30,120.00,27.50
0.95,36.35,-6.68,95.01,21.90,44.40,28.10
1.08,36.80,-5.05,94.27,21.60,120.00,28.90
1.14,36.42,-0.76,93.15,21.50,56.70,28.60
1.21,39.95,-8.03,93.76,19.30,120.00,26.40
1.27,46.53,-10.71,99.27,17.80,120.00,27.50
1.40,47.34,-3.88,92.56,17.80,80.40,28.70
1.46,42.55,-0.02,93.04,19.30,56.30,29.90
1.52,41.05,-2.45,93.76,19.40,64.40,28.00
1.59,42.70,-2.47,92.99,18.20,68.60,28.30
1.72,42.23,-3.11,93.08,18.40,51.40,28.40
1.78,46.20,-1.45,92.72,17.80,52.90,29.60
1.84,42.30,-0.13,93.17,18.30,53.40,28.20
1.91,43.84,0.34,92.44,18.90,48.20,26.10
2.04,42.52,-2.48,93.38,17.80,120.00,26.20
2.10,41.14,-9.35,91.05,17.20,50.00,25.20
2.16,47.38,-12.90,90.66,16.60,120.00,25.30
2.23,53.28,-5.22,89.54,14.90,120.00,25.90
2.35,46.44,-9.60,92.70,16.40,120.00,24.40
2.42,49.12,-5.65,90.56,15.40,120.00,26.00
2.48,48.26,-3.73,90.39,15.40,51.20,24.80
2.55,42.91,-2.77,91.06,15.00,120.00,25.70
2.67,48.64,5.28,93.04,14.20,61.70,25.60
2.74,54.76,-7.48,89.62,13.80,43.90,25.50
2.80,49.63,-4.93,89.53,13.40,43.50,26.30
2.86,52.41,2.68,87.49,13.40,50.30,27.50
2.99,56.30,12.24,83.01,14.20,48.60,27.60
3.05,49.80,-2.44,90.34,14.90,59.40,24.40
3.12,52.75,-5.15,88.27,13.10,48.40,25.10
3.18,52.02,-1.76,87.75,13.00,42.00,25.10
3.31,58.09,-6.77,87.38,12.70,49.70,25.80
3.37,49.73,-4.91,88.94,12.90,41.70,24.90
3.44,50.54,-12.54,89.95,12.10,36.80,26.90
3.50,53.27,12.44,86.16,12.10,38.40,36.90
3.63,51.53,4.27,88.89,12.20,35.40,30.20
3.69,53.21,7.29,87.22,12.30,36.20,29.60
3.76,52.51,4.75,87.86,11.90,34.90,28.50
3.82,55.55,-1.82,86.93,11.90,32.70,31.90
3.95,51.09,22.77,83.67,12.00,32.10,120.00
4.01,54.88,16.64,87.18,11.50,31.10,77.80
4.07,50.59,15.16,86.58,12.60,35.00,51.10
4.14,49.26,14.94,87.68,13.40,32.80,26.30
4.27,43.95,-10.61,91.36,14.00,44.60,26.10
4.33,44.30,-10.25,91.07,13.10,41.70,24.90
4.39,45.87,7.39,90.14,13.00,36.90,26.10
4.46,47.83,5.39,92.22,12.40,39.60,27.00
4.59,47.91,10.50,90.09,12.30,38.30,27.20
4.65,46.78,5.91,92.38,12.30,34.60,26.40
4.71,52.93,4.17,89.94,11.40,32.70,23.00
