# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,84.12,17.99,62.38,3.50,11.10,4.60
0.12,84.45,19.46,55.08,4.00,11.00,4.70
0.18,85.61,17.85,56.31,4.30,11.80,4.20
0.25,81.29,15.11,49.22,4.40,15.30,4.30
0.31,81.94,18.84,51.87,4.80,14.80,4.30
0.44,81.59,10.30,59.06,5.40,14.80,4.20
0.50,80.80,17.61,58.73,5.40,13.90,4.10
0.56,79.99,16.12,55.20,5.60,13.80,4.40
0.63,80.51,16.05,62.54,5.20,15.10,4.30
0.75,79.75,13.90,59.86,4.80,17.30,4.30
0.82,80.69,13.82,63.94,4.80,17.30,4.40
0.88,76.98,21.39,57.56,5.30,20.70,3.80
0.95,79.48,12.52,68.93,4.70,17.20,3.80
1.07,80.65,4.35,63.62,5.20,16.20,3.90
1.14,81.74,17.22,60.39,3.80,15.50,4.00
1.20,80.41,12.95,60.55,4.20,14.90,3.90
1.26,78.75,8.04,58.22,4.60,16.40,3.90
1.39,81.31,8.78,61.10,3.50,16.30,3.70
1.45,85.33,15.89,70.00,3.10,13.90,3.70
1.52,82.50,-0.04,53.65,3.50,14.00,3.60
1.58,83.39,13.95,55.30,3.10,11.10,3.90
1.71,84.78,29.57,55.46,2.70,9.40,4.20
1.77,82.95,6.38,51.94,3.80,9.80,3.80
1.83,79.60,15.31,53.50,2.60,9.30,3.90
1.96,83.66,14.00,52.00,3.10,8.70,3.80
2.02,81.76,24.82,47.33,2.30,7.10,3.70
2.09,85.18,23.33,51.50,2.90,7.10,4.20
2.15,85.68,18.68,51.11,1.90,7.10,3.80
2.28,85.96,16.36,50.83,2.40,7.30,4.10
2.34,85.41,18.90,50.79,2.20,7.20,3.70
2.41,86.20,21.45,52.64,2.40,7.30,3.90
2.47,86.29,10.36,51.04,2.10,8.30,3.60
2.59,85.77,13.31,43.49,2.20,7.80,3.30
2.66,84.98,15.88,48.83,2.50,7.10,3.60
2.72,85.95,28.70,58.74,2.20,6.70,3.80
2.79,94.14,26.86,65.36,2.30,6.50,3.90
2.91,86.02,18.29,48.97,3.60,9.00,3.90
2.98,83.78,15.36,45.15,3.90,11.40,4.80
3.04,82.41,19.07,56.49,4.50,14.90,5.40
3.10,75.64,17.08,62.59,5.20,14.20,6.00
3.23,77.90,20.59,60.61,5.20,13.30,5.70
3.30,80.41,17.63,57.91,4.70,12.50,5.60
3.36,80.81,0.75,54.45,5.30,15.30,5.70
3.49,79.36,14.37,59.62,5.10,12.40,5.80
3.55,80.63,23.54,61.77,4.90,11.50,5.50
3.61,77.83,18.32,60.53,4.70,10.60,5.30
3.68,78.65,20.82,61.22,4.70,10.30,5.00
3.80,77.79,14.31,60.73,4.80,10.50,5.70
3.87,79.90,18.70,64.15,3.20,9.10,6.10
3.93,82.85,20.37,59.36,2.60,8.30,5.30
3.99,84.14,20.45,57.98,2.80,7.90,5.50
4.12,81.52,6.39,54.41,3.70,10.50,5.30
4.18,79.24,13.69,63.98,3.50,9.90,5.20
4.24,76.80,17.07,64.27,3.90,9.10,5.50
4.31,74.90,28.50,58.76,3.60,6.90,6.00
4.44,74.39,31.43,62.61,3.40,6.30,5.10
4.50,73.61,28.72,62.74,2.90,6.70,5.60
4.56,80.40,14.67,60.46,3.10,8.70,4.90
4.63,84.90,13.38,63.81,3.20,8.80,5.00
4.75,88.58,21.40,55.27,3.40,7.90,5.70
4.82,83.75,13.90,40.41,4.00,10.10,5.50
4.88,84.33,11.81,43.52,3.20,9.60,5.90
4.94,88.18,20.70,42.18,3.80,8.90,6.60
5.07,87.40,14.54,45.81,3.80,8.90,7.00
5.13,87.82,14.47,48.59,3.50,8.20,7.20
5.20,88.17,10.42,47.51,3.70,8.30,7.40
5.33,89.36,9.38,47.50,3.00,8.30,7.20
5.39,88.94,10.05,39.36,3.10,7.50,7.10
