# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.06,36.64,12.28,94.26,19.40,29.00,120.00
0.12,35.68,12.13,94.20,19.70,27.90,120.00
0.19,36.72,11.91,95.01,19.40,29.30,120.00
0.31,37.62,11.21,94.83,20.20,29.50,120.00
0.38,35.06,14.11,94.78,20.20,29.90,120.00
0.44,38.23,1.80,96.34,20.80,30.00,49.40
0.50,33.44,3.96,96.81,21.70,29.80,120.00
0.63,32.60,5.46,97.97,21.90,29.50,120.00
0.69,27.85,12.69,92.45,22.10,28.50,120.00
0.75,34.34,5.77,95.98,21.20,29.50,120.00
0.82,29.94,9.52,96.47,21.00,28.90,120.00
0.95,33.55,14.85,96.44,18.00,29.90,120.00
1.01,34.34,15.06,96.67,20.30,29.50,120.00
1.07,27.05,7.60,95.96,22.00,28.20,120.00
1.14,26.32,5.52,97.71,22.90,27.60,120.00
1.27,21.51,13.49,97.07,22.90,26.80,120.00
1.33,22.94,4.33,97.02,22.50,25.00,120.00
1.39,30.02,26.84,93.51,23.70,24.90,120.00
1.46,31.18,18.67,97.00,19.50,27.30,120.00
1.58,25.90,10.88,95.84,21.50,29.10,120.00
1.65,28.07,10.84,95.43,21.50,26.70,120.00
1.71,29.93,14.25,97.25,19.70,25.30,120.00
1.77,25.07,16.44,98.02,20.10,24.40,120.00
1.90,25.43,-0.15,95.95,21.50,24.50,120.00
1.96,28.24,46.98,91.89,21.20,26.10,120.00
2.03,29.62,41.76,91.02,22.10,26.70,104.80
2.09,25.79,-2.55,99.85,22.00,26.40,120.00
2.22,23.92,22.48,88.98,22.00,25.50,120.00
2.28,27.81,26.45,98.90,21.60,25.60,120.00
2.34,28.94,14.08,97.81,20.20,25.00,120.00
2.41,27.34,29.60,89.93,21.60,24.50,120.00
2.54,26.82,29.91,93.30,21.40,24.80,120.00
2.60,30.60,19.47,96.20,20.50,25.20,120.00
2.66,28.88,25.05,93.60,20.50,24.40,120.00
2.73,28.39,22.87,96.05,20.00,24.40,120.00
2.85,27.22,24.99,95.12,18.40,23.20,120.00
2.92,32.09,24.80,96.60,17.60,23.00,120.00
2.98,29.58,20.40,95.29,17.60,23.00,120.00
3.04,33.20,45.14,89.16,18.90,16.10,120.00
3.17,32.79,55.75,76.31,19.40,15.80,120.00
3.23,33.31,41.50,86.10,19.00,21.10,120.00
3.30,27.37,2.04,96.24,18.20,24.50,120.00
3.36,43.94,28.14,88.29,16.40,22.60,120.00
3.49,46.44,22.74,91.77,16.60,25.30,120.00
3.55,41.52,18.16,90.16,16.50,27.50,120.00
3.62,41.33,14.93,92.61,16.40,27.90,120.00
3.68,40.54,19.13,91.27,16.20,27.30,120.00
3.81,37.97,4.59,92.04,17.60,28.40,34.60
3.87,41.72,3.56,93.29,17.20,28.00,37.70
3.94,38.73,7.06,91.89,16.90,28.00,38.10
4.00,38.12,7.83,95.96,17.60,27.00,35.30
4.12,35.56,9.14,93.93,16.90,28.30,34.00
4.19,38.20,3.48,95.62,16.60,26.70,34.30
4.25,46.10,12.24,93.27,14.70,26.00,39.70
4.31,46.82,16.53,91.42,15.00,26.40,44.20
4.44,36.76,6.98,95.02,16.70,26.90,37.40
4.50,36.61,10.17,91.46,15.90,27.20,34.90
4.57,43.12,-0.38,94.28,15.30,25.70,34.30
4.63,41.25,3.61,92.49,14.60,25.60,34.40
4.76,40.30,-0.68,92.82,15.40,24.60,34.30
4.82,43.44,22.73,89.46,14.00,25.40,38.80
4.89,42.21,4.44,94.38,14.90,26.30,34.60
4.95,36.53,2.08,95.49,15.90,28.40,32.10
5.08,39.78,-11.60,91.24,15.40,28.80,30.40
5.14,42.13,-9.00,94.80,14.20,28.00,29.70
5.20,47.38,-1.81,95.77,13.40,26.00,31.50
5.27,52.22,-0.54,100.16,12.90,26.40,31.50
5.40,53.00,1.84,89.06,15.40,27.20,37.10
5.46,48.68,-6.63,88.06,16.00,29.20,32.20
5.52,45.39,3.30,92.40,17.40,34.80,35.70
5.59,46.17,2.18,93.43,14.90,34.60,36.70
5.72,47.69,2.80,86.66,14.50,35.20,120.00
5.78,37.23,-4.66,95.33,13.90,33.70,39.20
5.84,37.66,-3.47,90.52,12.40,32.40,40.60
5.91,48.28,11.90,90.92,10.20,30.60,56.30
6.03,48.23,7.93,90.32,9.80,31.70,54.60
6.10,39.95,1.14,95.84,10.80,34.00,46.80
6.16,36.33,-5.90,96.76,16.60,37.30,38.20
6.23,37.58,-10.76,96.83,19.00,36.60,35.70
6.35,34.83,-4.33,95.91,16.40,32.90,40.10
6.42,38.21,4.33,94.23,11.70,28.80,49.60
6.48,42.22,8.47,92.94,9.40,27.10,49.80
6.54,42.33,10.28,94.34,10.10,25.50,51.70
6.67,41.92,9.66,97.13,11.80,25.30,43.00
6.73,38.75,7.29,94.11,11.80,24.50,120.00
6.80,40.11,11.71,93.53,11.10,24.70,120.00
6.86,38.01,6.81,94.32,10.50,25.40,58.30
6.99,38.20,5.89,93.89,8.60,27.00,50.80
7.05,41.08,9.07,94.48,8.20,26.30,53.50
7.11,41.35,10.35,94.04,8.20,26.60,54.20
7.18,35.17,-10.71,94.30,13.50,27.00,37.80
7.30,35.44,0.25,93.95,10.00,26.50,41.60
7.37,39.51,5.95,93.27,8.10,26.00,49.10
7.43,43.54,7.60,94.76,7.80,24.60,49.00
7.49,39.53,0.76,93.96,10.00,25.30,39.60
7.62,31.90,-1.30,95.01,13.70,24.20,42.30
7.69,29.25,-4.07,95.47,11.70,24.80,40.30
7.75,40.26,10.50,95.40,7.20,23.70,120.00
7.81,35.15,6.75,95.73,10.30,24.00,27.50
7.94,33.10,6.98,95.06,11.80,23.90,48.20
8.00,34.09,9.60,96.42,11.30,23.00,120.00
8.07,40.88,21.43,92.58,6.80,23.70,120.00
8.13,44.53,19.10,90.76,6.90,23.90,120.00
8.26,36.74,6.49,92.23,8.30,22.20,120.00
8.32,37.63,5.80,94.17,8.30,21.80,42.40
8.38,41.52,10.29,93.16,7.30,22.80,45.20
8.45,49.27,9.87,89.15,5.20,21.80,53.30
8.58,49.15,6.37,90.61,5.70,23.10,48.70
8.64,45.48,6.82,92.20,6.20,23.50,41.30
8.70,43.95,1.09,90.47,5.90,23.90,41.10
8.77,40.05,4.48,92.25,5.50,24.10,37.90
8.89,42.15,4.86,93.27,5.40,23.80,39.80
8.96,45.87,4.52,94.18,6.50,21.60,41.20
9.02,45.40,5.82,90.89,7.50,20.50,43.50
9.09,45.82,8.85,90.60,7.40,20.10,41.80
9.21,44.89,13.43,91.07,5.50,20.70,41.30
9.28,50.54,17.51,87.54,4.20,20.70,120.00
9.34,48.11,13.05,87.28,4.40,20.80,36.60
9.41,48.08,1.68,88.92,4.80,20.70,41.70
9.53,49.81,10.33,89.25,3.30,21.50,45.60
9.60,47.00,11.01,89.80,3.60,22.80,40.20
9.66,47.08,-5.83,90.23,5.30,20.60,40.40
9.72,43.62,-0.58,90.38,5.70,20.60,36.90
9.85,48.45,11.76,91.30,4.30,20.30,45.10
9.92,44.68,19.84,87.05,3.60,19.90,37.10
9.98,51.43,13.07,90.27,3.90,20.10,41.80
10.04,47.34,7.89,90.33,5.20,19.90,47.00
10.17,45.12,13.09,89.83,4.50,19.80,42.10
10.23,46.77,9.12,90.10,4.60,20.10,46.70
10.30,48.16,11.60,89.11,4.30,19.80,120.00
10.36,47.44,9.11,91.72,4.30,19.80,120.00
10.49,48.93,11.58,93.24,4.10,20.10,50.50
10.55,55.49,13.57,86.47,4.60,19.10,81.50
10.62,62.66,31.57,76.59,3.60,19.20,120.00
10.68,65.08,18.13,70.44,3.70,19.30,120.00
10.81,60.51,13.30,83.13,5.90,21.30,51.40
10.87,38.11,7.18,88.43,5.60,23.00,120.00
10.93,46.58,14.51,90.22,6.40,22.90,79.60
11.00,50.63,5.55,83.06,8.40,24.30,40.90
11.13,46.80,5.58,90.84,8.30,26.80,120.00
11.19,37.54,4.79,92.90,8.40,27.90,58.00
11.25,40.47,10.21,92.60,8.30,28.50,120.00
11.38,39.89,10.53,94.81,7.80,25.80,42.00
11.45,31.98,2.95,93.90,7.90,26.00,45.70
11.51,35.55,4.58,95.77,7.10,25.00,120.00
11.57,39.11,12.18,94.21,7.30,24.80,34.90
11.70,38.14,10.78,93.34,6.90,25.00,120.00
11.76,38.37,7.95,93.65,6.40,22.90,120.00
11.83,40.39,8.42,93.23,5.90,22.80,120.00
11.89,35.75,1.72,92.99,6.20,22.70,120.00
12.02,45.43,19.84,89.99,6.20,23.00,120.00
12.08,40.84,14.04,92.56,6.00,22.20,120.00
12.15,40.87,8.65,92.97,5.60,22.00,120.00
12.21,40.79,12.77,92.63,5.30,21.40,120.00
12.34,41.89,13.14,90.48,5.60,22.80,120.00
12.40,44.48,14.56,88.65,5.50,21.50,120.00
12.46,44.25,8.46,93.75,5.00,21.50,120.00
12.53,42.88,19.46,89.69,4.90,22.00,120.00
12.66,43.09,19.56,89.49,5.10,21.20,120.00
12.72,43.13,13.54,92.02,4.80,21.10,120.00
12.78,43.71,17.69,90.53,4.90,20.90,120.00
12.85,38.54,18.86,91.39,4.90,21.80,120.00
12.97,40.73,18.48,90.53,4.40,21.30,99.10
13.04,42.80,13.15,92.27,3.90,20.10,120.00
13.10,42.91,18.36,90.77,4.30,19.80,120.00
13.16,43.31,20.72,89.52,3.70,19.80,120.00
13.29,41.05,15.67,92.11,3.20,20.10,120.00
13.35,42.83,14.89,91.68,3.20,19.70,120.00
13.42,40.15,18.12,91.87,3.30,20.30,120.00
13.54,40.88,17.86,92.57,3.90,20.60,120.00
13.60,42.27,15.49,93.67,2.80,19.70,47.60
13.67,40.14,4.94,93.32,3.10,19.70,43.00
13.73,37.98,14.62,94.01,2.20,19.80,65.30
13.86,38.83,14.96,93.48,2.40,20.20,120.00
13.92,38.17,10.64,93.62,2.10,19.90,52.30
13.99,36.71,15.23,94.52,2.30,19.60,120.00
14.05,34.91,14.87,94.87,2.40,19.90,120.00
14.18,36.47,10.26,93.81,2.20,19.80,34.50
14.24,37.54,5.85,94.55,1.60,19.00,39.70
14.31,35.83,9.19,92.60,1.80,18.90,45.40
14.37,37.70,8.07,95.23,1.90,18.60,120.00
14.49,35.81,10.81,96.45,2.50,18.60,35.90
14.56,34.48,11.27,95.48,2.00,19.40,120.00
14.62,35.39,18.39,93.19,1.90,18.70,120.00
14.69,35.27,8.42,99.35,1.70,19.00,46.50
14.81,34.87,9.26,96.81,2.40,19.10,38.20
14.88,34.94,5.24,95.67,2.30,18.70,33.60
14.94,32.55,5.62,97.05,2.20,18.20,38.70
15.00,34.50,10.64,97.27,2.20,18.80,46.00
15.13,38.70,10.67,90.67,1.30,18.60,40.70
15.20,42.85,22.20,92.74,2.30,18.00,120.00
15.26,52.02,10.97,76.01,3.60,19.30,120.00
15.32,49.90,12.15,82.18,4.40,19.90,120.00
15.45,36.77,19.20,99.73,6.90,21.10,120.00
15.52,34.69,11.21,94.80,10.70,23.60,120.00
15.58,36.84,9.73,84.83,13.10,23.60,120.00
15.64,48.41,23.93,78.38,15.20,24.80,120.00
15.77,42.85,12.19,83.34,18.00,25.00,120.00
15.83,42.35,3.38,87.16,18.20,25.50,120.00
15.90,41.86,20.31,92.66,18.20,24.40,120.00
15.96,42.04,17.29,91.08,18.10,24.50,120.00
16.09,49.16,20.33,88.92,17.10,24.80,120.00
16.15,44.74,26.68,87.19,15.50,24.90,120.00
16.22,46.59,18.87,87.26,16.40,24.80,120.00
16.28,45.36,18.59,87.40,16.00,24.50,120.00
16.41,45.25,18.18,87.97,16.50,24.50,120.00
16.47,43.69,17.20,87.67,16.80,24.90,120.00
16.53,46.51,18.88,89.53,16.40,24.20,120.00
16.60,43.29,27.28,86.41,16.90,24.40,120.00
16.73,44.89,20.88,88.55,16.50,24.60,120.00
16.79,43.88,18.62,91.07,17.50,24.40,120.00
16.85,39.09,11.82,91.05,17.70,24.50,120.00
16.92,43.02,21.95,91.50,16.40,23.50,120.00
17.05,42.22,29.44,86.49,16.80,24.60,120.00
17.11,42.14,6.21,90.34,17.10,25.00,120.00
17.17,43.36,8.87,90.86,17.00,24.40,120.00
17.24,42.64,24.43,88.52,16.60,25.50,120.00
17.36,43.23,26.43,89.58,16.60,26.20,120.00
17.43,40.58,17.78,89.34,16.70,26.70,120.00
17.49,42.22,19.68,90.87,16.50,26.40,120.00
17.55,44.04,15.40,90.12,16.20,27.20,120.00
17.68,43.80,13.46,91.66,16.70,27.10,120.00
17.75,42.99,12.81,91.75,15.80,26.80,120.00
17.81,40.77,12.73,91.86,17.70,27.10,120.00
17.87,39.90,13.67,91.53,17.90,26.60,120.00
18.00,39.75,14.93,91.86,18.00,26.40,120.00
18.07,39.16,14.75,92.00,17.70,26.70,120.00
18.13,38.56,13.77,91.67,17.90,26.70,120.00
18.19,40.35,15.69,92.40,17.60,26.90,120.00
18.32,40.12,21.67,91.06,17.60,26.90,120.00
18.38,40.49,10.96,92.03,18.20,25.60,120.00
18.45,39.87,21.17,92.19,18.00,23.90,4.70
18.51,36.21,25.19,91.16,18.70,23.70,4.30
18.64,36.84,23.67,92.21,17.80,23.20,4.30
18.70,34.35,25.13,91.50,19.00,24.50,3.10
18.76,35.14,24.69,90.68,18.90,24.20,3.50
18.83,36.29,25.09,91.56,18.20,24.10,2.90
18.96,37.51,25.29,90.44,18.20,23.60,4.70
19.02,37.37,16.06,107.62,17.40,24.10,5.10
19.08,50.21,30.10,82.01,14.50,22.00,3.80
19.14,40.77,22.66,91.73,18.10,23.10,3.50
19.27,46.00,28.76,81.70,16.50,23.10,5.40
19.34,36.62,23.50,92.32,18.90,23.70,6.60
19.40,38.37,25.89,90.21,19.10,23.40,11.30
19.46,36.48,26.75,90.48,18.70,22.70,23.60
19.59,35.33,21.89,92.15,18.80,23.40,120.00
19.65,38.83,27.48,90.12,18.00,24.60,120.00
19.72,38.01,16.65,92.05,17.10,24.30,120.00
19.78,44.64,20.99,85.55,16.10,24.60,120.00
19.91,49.11,11.08,84.53,15.10,25.00,120.00
19.97,44.78,15.40,91.00,16.50,25.50,120.00
20.04,42.34,17.49,90.08,17.20,25.60,120.00
20.10,43.87,20.26,90.90,16.10,25.60,120.00
20.23,46.85,14.64,88.61,15.40,26.00,49.60
20.29,44.74,6.35,92.13,16.00,26.90,35.50
20.36,47.69,16.01,90.49,14.70,25.90,54.20
20.42,47.89,14.40,89.08,14.40,25.30,41.10
20.55,51.51,1.53,85.44,13.20,26.80,34.10
20.61,46.33,8.63,89.27,14.60,26.10,31.10
20.67,46.46,15.66,91.91,15.20,26.00,34.80
20.74,44.23,8.79,86.42,15.10,26.00,34.60
20.87,45.84,15.04,90.63,15.60,24.20,52.70
20.93,43.90,20.16,88.35,15.30,22.80,125.50
20.99,45.17,9.17,88.64,14.80,23.80,35.90
21.06,45.89,7.09,90.77,14.80,23.80,32.80
21.18,47.37,11.45,90.57,14.40,24.00,31.70
21.25,45.15,11.38,90.36,15.00,25.30,35.30
21.31,45.85,9.55,90.53,14.60,25.30,120.00
21.38,44.86,5.59,91.40,14.80,27.00,29.80
21.50,43.96,0.66,91.31,15.10,26.80,28.80
21.57,50.36,0.13,92.90,14.40,24.70,30.60
21.63,44.38,18.86,89.45,15.00,23.30,40.70
21.69,46.19,8.50,91.77,14.20,23.60,31.10
21.82,44.78,4.38,91.01,15.10,23.70,30.00
21.89,43.58,6.46,91.32,15.70,22.70,31.30
21.95,45.72,7.47,88.86,14.60,20.80,33.60
22.01,44.40,16.53,91.77,14.20,20.50,42.50
22.14,44.53,24.57,91.60,14.40,20.00,36.90
22.21,46.08,7.86,88.87,13.80,21.60,31.00
22.27,46.68,8.72,90.28,14.20,20.90,34.00
22.33,45.37,23.96,88.63,13.70,20.30,120.00
22.46,46.79,16.16,88.46,13.20,19.80,26.50
22.53,46.98,14.40,87.30,13.30,19.40,40.00
22.59,45.71,18.95,91.10,13.50,19.30,36.40
22.65,45.30,8.46,88.92,13.60,23.10,29.70
22.78,41.78,-1.89,89.02,14.70,27.20,29.30
22.84,46.67,32.79,92.06,13.60,14.70,120.00
22.91,45.83,19.75,89.33,13.10,16.20,48.30
22.97,42.68,14.20,90.12,14.10,17.60,36.80
23.10,38.59,17.10,93.37,15.10,19.00,33.40
23.16,35.52,11.59,93.79,15.00,21.30,30.20
23.23,40.06,13.05,93.21,14.60,22.50,30.30
23.29,37.37,6.78,94.85,15.20,25.50,27.10
23.42,37.40,5.79,92.71,14.60,25.30,27.30
23.48,41.43,-3.62,94.92,14.50,27.00,25.40
23.55,40.36,5.33,93.89,13.80,27.30,26.00
23.61,39.22,6.74,92.94,13.50,26.10,26.50
23.74,42.40,-0.19,92.40,13.60,29.60,24.70
23.80,39.61,-7.01,92.74,13.60,33.60,25.40
23.87,40.16,-2.69,95.09,13.40,30.20,25.80
23.93,41.82,5.93,93.37,12.80,24.50,25.20
24.06,42.09,-1.18,93.32,12.40,31.40,24.80
24.12,44.54,-10.60,93.36,12.80,34.00,24.30
24.18,40.80,6.97,93.37,12.70,23.40,26.20
24.25,39.29,6.54,95.81,12.60,23.40,25.40
24.38,37.19,3.80,95.46,12.50,27.70,25.10
24.44,38.20,-3.68,94.51,12.90,31.10,24.70
24.50,38.60,7.23,95.35,12.70,22.70,25.70
24.57,37.74,4.89,93.87,12.20,23.30,25.20
24.70,41.47,6.11,94.74,11.90,23.50,24.90
24.76,41.40,4.98,94.61,12.00,21.90,25.40
24.82,43.23,5.30,91.38,11.90,21.60,26.00
24.95,43.06,3.97,92.85,11.80,28.30,23.90
25.02,42.71,-10.23,90.89,11.90,38.50,23.90
25.08,39.71,-4.28,92.55,11.60,27.50,24.20
25.14,40.01,4.06,93.98,12.00,23.10,24.80
25.27,37.12,3.28,95.59,11.30,24.00,24.80
25.33,40.32,-3.17,94.53,11.50,27.10,23.60
25.40,37.78,0.37,95.05,10.90,24.90,25.10
25.46,36.21,3.05,94.96,11.60,21.30,24.90
25.59,38.43,7.79,92.32,10.80,18.60,25.30
25.65,42.16,12.40,91.33,10.60,19.70,25.20
25.72,40.04,-9.49,93.29,10.50,33.00,23.90
25.78,38.90,1.76,94.62,10.80,27.00,24.70
25.91,39.94,7.62,93.80,10.70,20.40,25.20
25.97,44.23,7.08,91.41,10.00,19.10,25.90
26.04,48.07,14.47,86.80,9.10,16.70,25.80
26.10,43.36,10.66,92.04,10.10,18.80,24.90
26.22,41.44,3.01,91.64,10.10,24.30,24.50
26.29,43.80,-0.57,92.32,10.20,32.50,24.00
26.35,44.22,-8.18,92.77,9.50,28.50,24.00
26.42,45.07,17.61,88.45,9.50,16.60,26.50
26.54,41.48,6.16,91.16,9.50,20.70,24.80
26.61,39.52,-1.48,96.56,9.70,27.00,24.40
26.67,37.37,7.92,95.27,9.90,20.60,25.00
26.73,37.67,6.65,94.64,9.30,21.80,25.30
26.86,41.01,6.21,93.43,9.50,22.80,25.00
26.92,36.57,4.47,97.08,9.60,20.70,25.50
26.99,38.60,9.12,92.09,9.00,17.70,24.20
27.05,42.83,11.19,89.30,9.10,16.60,25.00
27.18,40.59,10.96,91.11,8.50,19.70,24.80
27.24,34.92,0.92,96.04,9.10,22.90,24.60
27.31,37.43,2.50,96.73,8.30,22.30,24.20
27.37,43.59,5.18,94.16,8.80,22.00,24.50
27.50,39.81,6.59,93.73,9.50,20.20,25.10
27.56,43.05,13.70,93.08,9.90,18.40,26.70
27.63,43.43,9.53,88.48,10.10,19.50,26.50
27.69,50.46,20.25,91.30,9.60,17.30,28.00
27.82,48.96,8.26,87.90,11.00,18.90,27.60
27.88,49.48,7.44,90.00,10.40,18.90,27.20
