# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,52.29,-8.28,92.77,7.40,11.30,19.80
0.07,50.65,13.34,86.80,7.80,13.20,15.20
0.13,53.28,5.37,86.16,7.40,12.30,15.90
0.19,52.64,6.75,86.00,7.10,12.80,17.20
0.32,54.85,6.60,87.06,6.50,12.50,16.60
0.38,50.34,2.73,82.08,6.40,11.70,15.20
0.45,58.25,17.48,84.87,5.80,11.40,14.70
0.51,56.78,3.36,76.65,5.00,11.10,14.40
0.64,57.18,11.99,83.29,5.20,11.50,14.70
0.70,56.16,16.49,78.45,4.90,11.90,14.90
0.76,58.73,16.28,79.44,4.50,12.10,15.30
0.83,57.90,16.31,79.21,4.60,11.70,15.00
0.95,57.57,14.72,82.67,5.00,11.70,15.10
1.02,53.90,15.33,77.48,5.00,11.40,15.60
1.08,56.57,21.51,82.22,5.00,11.40,17.20
1.15,55.90,21.48,82.46,4.60,11.30,17.00
1.27,52.46,23.57,82.13,4.00,10.60,19.40
1.34,56.63,24.27,82.64,4.90,10.40,20.70
1.40,55.19,30.63,79.90,4.20,10.80,19.40
1.47,56.68,1.44,85.22,4.20,10.90,13.30
1.59,63.43,7.75,87.98,4.80,11.40,12.00
1.66,60.98,7.54,81.83,6.30,14.30,12.00
1.72,50.65,41.56,84.54,8.60,19.80,17.80
1.79,32.30,0.26,87.74,12.10,15.70,29.60
1.91,35.36,1.06,91.64,11.30,14.90,25.80
1.98,46.72,9.91,90.66,9.80,14.90,22.80
2.04,52.10,4.16,90.86,9.00,15.50,14.90
2.10,44.36,-2.53,89.83,10.70,17.40,14.20
2.23,39.95,-5.13,95.56,12.50,18.30,14.50
2.29,30.98,-2.39,97.56,20.20,21.10,17.10
2.36,26.32,-4.68,98.46,23.90,23.50,17.80
2.42,10.66,-7.42,100.15,38.30,26.20,25.20
2.54,-0.49,-1.29,100.90,33.30,24.10,44.50
2.61,-4.56,0.04,101.70,41.00,24.30,45.70
2.67,-5.60,0.60,100.39,30.90,21.70,49.20
2.74,2.29,9.92,104.58,42.50,18.60,47.20
2.86,-4.37,11.28,98.44,45.30,18.50,48.50
2.93,0.88,7.12,97.61,38.10,17.30,44.00
2.99,23.83,6.81,99.51,26.00,15.10,40.10
3.05,44.41,3.59,95.01,10.90,13.90,22.60
3.18,55.74,5.76,88.28,7.90,13.20,16.90
3.24,66.43,3.55,86.26,6.10,12.90,14.20
