# time (s), self.diffsum, self.std, self.dasdv, self.wa, self.var
0.00,0.00,0.00,0.00,0.00,0.00
0.00,6.74,23.74,17.10,4.00,5.64
0.05,5.77,20.40,14.67,4.00,4.16
0.18,4.78,17.19,12.17,4.00,2.95
0.24,4.09,14.47,10.59,4.00,2.09
0.31,3.22,11.38,8.28,4.00,1.30
0.37,2.57,9.13,6.60,4.00,0.83
0.50,2.12,7.50,5.42,4.00,0.56
0.56,1.73,6.15,4.44,4.00,0.38
0.63,1.40,5.00,3.60,3.00,0.25
0.69,1.13,4.00,2.94,2.00,0.16
0.82,0.88,3.10,2.26,1.00,0.10
0.88,1.71,5.92,5.93,1.00,0.35
0.94,2.05,8.08,6.50,2.00,0.65
1.01,2.18,8.85,6.62,3.00,0.78
1.14,2.24,8.05,6.67,3.00,0.65
1.20,1.29,4.52,3.59,2.00,0.20
1.26,0.86,3.02,2.23,1.00,0.09
1.33,0.67,2.40,1.72,0.00,0.06
1.45,0.20,1.55,1.87,0.00,0.02
1.52,0.91,3.34,4.76,1.00,0.11
1.58,2.01,7.93,7.85,2.00,0.63
1.65,2.59,10.99,8.57,3.00,1.21
1.77,2.32,10.43,8.87,4.00,1.09
1.84,0.40,8.95,11.93,4.00,0.80
1.90,2.47,12.03,10.91,4.00,1.45
1.97,3.82,14.81,10.84,4.00,2.19
2.09,4.12,14.06,11.30,4.00,1.98
2.16,2.37,8.98,6.65,3.00,0.81
2.22,1.82,6.76,5.44,2.00,0.46
2.29,0.80,3.93,4.73,2.00,0.15
2.41,1.07,4.08,5.93,2.00,0.17
2.48,1.80,7.14,7.16,3.00,0.51
2.54,1.27,7.24,7.16,3.00,0.52
2.60,1.35,6.57,7.06,2.00,0.43
2.73,0.46,2.72,4.59,1.00,0.07
2.80,1.19,4.01,4.76,1.00,0.16
2.86,1.30,5.08,4.93,2.00,0.26
2.92,1.39,6.00,5.09,3.00,0.36
3.05,2.22,7.44,5.90,4.00,0.55
3.12,1.76,6.44,4.54,4.00,0.42
3.18,1.67,6.23,4.38,3.00,0.39
3.24,1.54,5.42,4.14,2.00,0.29
3.37,0.85,3.35,2.71,1.00,0.11
3.43,0.69,2.36,2.21,0.00,0.06
3.50,0.59,2.00,1.93,0.00,0.04
3.56,0.49,2.07,1.66,0.00,0.04
3.69,0.69,2.44,1.77,0.00,0.06
3.75,0.41,1.68,1.38,0.00,0.03
3.82,0.20,0.98,1.07,0.00,0.01
3.88,0.26,0.89,1.30,0.00,0.01
4.01,0.27,1.32,1.34,0.00,0.02
4.07,0.54,2.13,1.68,0.00,0.05
4.14,0.66,2.40,1.73,0.00,0.06
4.20,0.44,1.78,1.37,0.00,0.03
4.33,0.37,1.28,1.21,0.00,0.02
4.39,0.18,0.64,0.60,0.00,0.00
4.46,0.17,0.64,0.56,0.00,0.00
4.52,0.19,0.69,0.56,0.00,0.00
4.65,0.11,0.47,0.41,0.00,0.00
4.71,0.02,0.39,0.53,0.00,0.00
4.77,0.00,0.28,0.47,0.00,0.00
4.84,0.13,0.69,0.89,0.00,0.00
4.96,0.27,1.25,1.12,0.00,0.02
5.03,0.50,1.85,1.32,0.00,0.03
5.09,0.56,2.00,1.41,0.00,0.04
5.16,0.39,1.56,1.18,0.00,0.02
5.28,0.12,0.99,1.18,0.00,0.01
5.35,0.16,1.00,1.09,0.00,0.01
5.41,0.47,1.75,1.34,0.00,0.03
5.48,0.68,2.40,1.75,0.00,0.06
5.60,0.58,2.27,1.63,0.00,0.05
5.67,0.58,2.07,1.63,0.00,0.04
5.73,0.14,1.29,1.80,0.00,0.02
5.79,0.20,1.19,1.51,0.00,0.01
5.92,0.33,1.63,1.59,0.00,0.03
5.99,0.58,1.98,1.56,0.00,0.04
6.05,0.51,1.77,1.31,0.00,0.03
6.11,0.51,1.86,1.30,0.00,0.03
6.24,0.29,1.43,1.32,0.00,0.02
6.30,0.11,0.94,1.23,0.00,0.01
6.37,0.17,0.92,0.98,0.00,0.01
6.43,0.39,1.35,1.00,0.00,0.02
6.56,0.24,1.04,0.86,0.00,0.01
6.62,0.11,0.72,0.85,0.00,0.01
6.69,0.11,0.75,0.90,0.00,0.01
6.75,0.34,1.22,0.90,0.00,0.01
6.88,0.40,1.48,1.04,0.00,0.02
6.94,0.45,1.58,1.11,0.00,0.02
7.00,0.40,1.42,1.01,0.00,0.02
7.07,0.33,1.18,0.86,0.00,0.01
7.20,0.16,0.75,0.71,0.00,0.01
7.26,0.01,0.42,0.56,0.00,0.00
7.32,0.08,0.44,0.46,0.00,0.00
7.39,0.22,0.74,0.63,0.00,0.01
7.51,0.26,0.91,0.71,0.00,0.01
7.58,0.15,0.78,0.72,0.00,0.01
7.64,0.05,0.64,0.82,0.00,0.00
7.71,0.18,0.91,0.94,0.00,0.01
7.83,0.42,1.53,1.13,0.00,0.02
7.90,0.32,1.40,1.12,0.00,0.02
7.96,0.15,1.00,1.16,0.00,0.01
8.02,0.06,0.78,1.01,0.00,0.01
8.15,0.47,1.65,1.42,0.00,0.03
8.22,0.27,1.45,1.60,0.00,0.02
8.28,0.06,1.15,1.63,0.00,0.01
8.34,0.12,1.25,1.67,0.00,0.02
8.47,0.49,1.68,1.23,0.00,0.03
8.53,0.48,1.66,1.21,0.00,0.03
8.60,0.39,1.51,1.08,0.00,0.02
8.66,0.23,1.09,1.01,0.00,0.01
8.79,0.01,0.78,1.04,0.00,0.01
8.85,0.21,0.94,0.76,0.00,0.01
8.92,0.23,0.96,0.75,0.00,0.01
8.98,0.04,0.69,0.92,0.00,0.00
9.11,0.22,1.00,0.95,0.00,0.01
9.17,0.41,1.57,1.16,0.00,0.02
9.24,0.51,1.84,1.28,0.00,0.03
9.30,0.36,1.45,1.12,0.00,0.02
9.43,0.17,0.88,0.94,0.00,0.01
9.49,0.02,0.50,0.67,0.00,0.00
9.56,0.21,0.75,0.56,0.00,0.01
9.62,0.27,0.96,0.70,0.00,0.01
9.75,0.14,0.75,0.74,0.00,0.01
9.81,0.04,0.72,0.95,0.00,0.01
9.88,0.23,1.11,1.03,0.00,0.01
9.94,0.43,1.57,1.10,0.00,0.02
10.07,0.41,1.49,1.06,0.00,0.02
10.13,0.28,1.09,0.85,0.00,0.01
10.19,0.08,0.62,0.78,0.00,0.00
10.26,0.02,0.36,0.53,0.00,0.00
10.38,0.16,0.62,0.67,0.00,0.00
10.45,0.09,0.53,0.77,0.00,0.00
10.51,0.11,0.59,0.83,0.00,0.00
10.58,0.25,1.17,1.13,0.00,0.01
10.70,0.33,1.35,1.03,0.00,0.02
10.77,0.17,0.98,1.04,0.00,0.01
10.83,0.03,0.74,0.99,0.00,0.01
10.90,0.29,1.09,0.80,0.00,0.01
11.02,0.41,1.46,1.06,0.00,0.02
11.09,0.34,1.35,0.99,0.00,0.02
11.15,0.18,0.94,0.95,0.00,0.01
11.21,0.04,0.74,0.97,0.00,0.01
11.34,0.33,1.29,1.03,0.00,0.02
11.41,0.44,1.63,1.14,0.00,0.03
11.47,0.52,1.84,1.33,0.00,0.03
11.53,0.36,1.47,1.24,0.00,0.02
11.66,0.02,1.00,1.32,0.00,0.01
11.72,0.41,2.01,2.08,1.00,0.04
11.79,0.55,2.40,1.93,1.00,0.06
11.85,0.32,1.95,2.10,1.00,0.04
11.98,0.02,1.49,2.05,1.00,0.02
12.04,0.49,1.90,1.37,0.00,0.04
12.10,0.44,1.75,1.38,0.00,0.03
12.17,0.01,1.29,1.74,0.00,0.02
12.30,0.41,2.02,1.96,0.00,0.04
12.36,0.69,2.72,1.95,0.00,0.07
12.42,0.57,2.37,1.98,0.00,0.06
12.49,0.11,1.34,1.71,0.00,0.02
12.61,0.40,1.87,1.82,0.00,0.04
12.68,0.55,2.26,1.69,0.00,0.05
12.74,0.32,1.76,1.80,0.00,0.03
12.81,0.05,1.37,1.81,0.00,0.02
12.93,0.62,2.37,1.91,0.00,0.06
13.00,0.41,2.18,2.21,0.00,0.05
13.06,0.04,1.90,2.58,1.00,0.04
13.12,0.55,2.89,2.89,2.00,0.08
13.25,0.93,3.57,2.52,2.00,0.13
13.32,0.56,2.59,2.37,2.00,0.07
13.38,0.12,1.46,1.96,1.00,0.02
13.44,0.28,1.33,1.16,0.00,0.02
13.57,0.24,1.25,1.25,0.00,0.02
13.63,0.12,1.16,1.46,0.00,0.01
13.70,0.45,1.92,1.60,0.00,0.04
13.76,0.54,2.15,1.55,0.00,0.05
13.89,0.28,1.52,1.59,0.00,0.02
13.95,0.07,0.79,1.18,0.00,0.01
14.02,0.58,2.18,2.42,1.00,0.05
14.08,0.03,2.16,3.71,2.00,0.05
14.21,0.39,2.72,3.91,2.00,0.07
14.27,0.58,3.56,4.03,2.00,0.13
14.34,1.02,3.88,3.30,1.00,0.15
14.40,0.43,1.79,1.73,0.00,0.03
14.53,0.08,0.72,1.06,0.00,0.01
14.59,0.18,0.66,0.48,0.00,0.00
14.65,0.30,1.06,0.85,0.00,0.01
14.72,0.55,1.96,1.67,0.00,0.04
14.84,0.86,3.19,2.49,1.00,0.10
14.91,1.16,4.26,3.03,2.00,0.18
14.97,0.95,3.88,2.97,2.00,0.15
15.04,0.47,2.56,2.75,2.00,0.07
15.16,0.13,1.76,2.30,1.00,0.03
15.23,0.69,2.56,1.83,0.00,0.07
15.29,0.84,2.98,2.10,0.00,0.09
15.35,0.88,3.08,2.19,0.00,0.09
15.48,0.77,2.82,1.97,0.00,0.08
15.54,0.61,2.29,1.69,0.00,0.05
15.60,0.48,1.68,1.37,0.00,0.03
15.67,0.32,1.12,0.86,0.00,0.01
15.80,0.36,1.26,1.00,0.00,0.02
15.86,0.47,1.68,1.25,0.00,0.03
15.92,0.48,1.82,1.27,0.00,0.03
15.99,0.58,2.00,1.47,0.00,0.04
16.11,0.40,1.55,1.23,0.00,0.02
16.18,0.20,0.97,0.96,0.00,0.01
16.24,0.11,0.56,0.84,0.00,0.00
16.30,0.04,0.37,0.53,0.00,0.00
16.43,0.19,0.86,0.83,0.00,0.01
16.49,0.39,1.46,1.10,0.00,0.02
16.56,0.44,1.64,1.14,0.00,0.03
16.69,0.31,1.29,1.05,0.00,0.02
16.75,0.13,0.73,0.87,0.00,0.01
16.81,0.00,0.29,0.44,0.00,0.00
16.88,0.03,0.40,0.55,0.00,0.00
17.00,0.13,0.67,0.64,0.00,0.00
17.07,0.24,0.93,0.66,0.00,0.01
17.13,0.20,0.80,0.66,0.00,0.01
17.20,0.02,0.50,0.66,0.00,0.00
17.32,0.09,0.55,0.58,0.00,0.00
