# time (s), self.diffsum, self.std, self.dasdv, self.wa, self.var
0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.71,2.81,3.22,1.00,0.08
0.13,1.02,5.54,9.23,2.00,0.31
0.19,1.20,7.20,9.28,2.00,0.52
0.25,1.60,8.47,9.40,3.00,0.72
0.32,2.28,8.42,8.84,2.00,0.71
0.45,0.21,2.07,2.52,2.00,0.04
0.51,0.07,1.75,2.35,2.00,0.03
0.57,1.09,4.06,3.96,2.00,0.17
0.63,1.50,5.50,4.35,3.00,0.30
0.76,1.35,5.48,4.12,2.00,0.30
0.83,1.75,5.86,4.76,3.00,0.34
0.89,0.87,3.68,3.31,2.00,0.14
0.95,0.84,3.09,3.25,2.00,0.10
1.08,0.33,2.16,3.49,3.00,0.05
1.15,0.11,1.26,2.52,2.00,0.02
1.21,0.11,1.23,2.37,2.00,0.02
1.34,0.13,1.15,1.71,1.00,0.01
1.40,0.01,0.67,1.04,0.00,0.00
1.47,0.49,2.17,2.50,1.00,0.05
1.53,0.66,3.03,2.58,1.00,0.09
1.66,0.84,3.34,2.56,1.00,0.11
1.72,0.19,2.51,3.40,2.00,0.06
1.79,0.19,1.84,2.55,1.00,0.03
1.85,0.58,2.50,2.79,1.00,0.06
1.98,0.42,2.18,3.01,1.00,0.05
2.04,1.28,5.16,6.94,1.00,0.27
2.11,1.54,6.73,6.99,1.00,0.45
2.17,1.55,7.19,7.00,1.00,0.52
2.30,1.61,6.43,6.95,1.00,0.41
2.36,0.08,1.58,2.10,0.00,0.02
2.43,0.57,2.82,3.00,1.00,0.08
2.49,1.01,3.86,2.81,1.00,0.15
2.62,0.87,3.50,2.67,1.00,0.12
2.68,0.89,2.98,2.71,1.00,0.09
2.74,0.99,3.45,3.18,1.00,0.12
2.81,1.13,4.50,3.42,2.00,0.20
2.94,1.43,5.33,3.81,3.00,0.28
3.00,1.76,5.91,4.55,4.00,0.35
3.06,1.41,5.28,3.72,3.00,0.28
3.13,0.72,3.95,3.90,3.00,0.16
3.25,0.09,3.25,4.25,3.00,0.11
3.31,0.65,3.47,3.26,2.00,0.12
3.38,0.74,3.36,3.13,2.00,0.11
3.44,0.39,1.78,2.48,1.00,0.03
3.57,0.09,0.54,0.71,0.00,0.00
3.63,0.11,0.47,0.71,0.00,0.00
3.70,0.45,1.69,2.08,1.00,0.03
3.76,1.00,3.93,3.59,2.00,0.15
3.89,0.49,3.71,4.40,3.00,0.14
3.95,0.48,3.18,4.40,3.00,0.10
4.02,0.08,2.35,3.96,2.00,0.06
4.08,0.82,2.76,2.77,1.00,0.08
4.21,0.72,2.68,2.33,1.00,0.07
4.27,0.66,2.80,2.35,1.00,0.08
4.34,0.17,2.18,2.77,2.00,0.05
4.40,0.24,2.41,2.96,2.00,0.06
4.53,0.64,2.75,2.12,1.00,0.08
4.59,0.49,2.19,2.14,1.00,0.05
4.66,0.05,1.03,1.46,0.00,0.01
4.72,0.40,1.48,1.19,0.00,0.02
4.85,0.61,2.21,1.64,0.00,0.05
4.91,0.26,1.81,2.10,0.00,0.03
4.98,0.24,2.17,2.78,1.00,0.05
5.04,0.31,2.33,2.67,1.00,0.05
5.17,0.56,2.40,2.43,1.00,0.06
5.23,0.25,1.27,2.01,1.00,0.02
5.29,0.34,1.10,1.21,0.00,0.01
5.36,0.09,0.89,1.23,0.00,0.01
5.48,0.31,1.18,1.55,0.00,0.01
5.55,0.47,1.62,1.83,0.00,0.03
5.61,0.12,1.28,1.66,0.00,0.02
5.68,0.31,2.42,3.20,1.00,0.06
5.80,1.19,5.08,4.59,2.00,0.26
5.87,1.70,6.70,4.75,3.00,0.45
5.93,1.31,5.74,4.87,3.00,0.33
5.99,0.71,3.35,3.98,2.00,0.11
6.12,0.12,1.13,2.08,1.00,0.01
6.19,0.27,1.06,1.38,0.00,0.01
6.25,1.50,6.04,7.65,1.00,0.36
6.31,1.77,7.98,7.73,1.00,0.64
6.44,0.68,7.22,9.19,2.00,0.52
6.50,0.70,6.28,9.18,2.00,0.39
6.57,0.92,4.74,5.13,1.00,0.22
6.63,1.31,4.63,5.08,1.00,0.21
6.76,0.63,2.27,1.85,1.00,0.05
6.82,0.82,3.05,2.20,1.00,0.09
6.89,0.85,3.21,2.23,1.00,0.10
6.95,0.46,2.33,2.34,1.00,0.05
7.08,0.24,2.08,2.59,1.00,0.04
7.14,0.30,2.62,4.53,2.00,0.07
7.21,0.20,2.98,4.49,2.00,0.09
7.27,0.77,3.95,4.69,3.00,0.16
7.40,1.62,5.30,4.89,3.00,0.28
7.46,0.38,3.04,3.68,3.00,0.09
7.53,0.13,2.79,3.87,3.00,0.08
7.65,0.48,3.14,3.71,2.00,0.10
7.72,0.45,3.15,3.82,2.00,0.10
7.78,0.32,2.74,3.47,2.00,0.07
7.85,0.62,3.34,3.27,2.00,0.11
7.97,0.93,3.48,3.00,2.00,0.12
8.04,0.56,1.85,1.75,1.00,0.03
8.10,0.14,0.80,0.92,0.00,0.01
8.16,0.35,1.80,2.29,1.00,0.03
8.29,0.57,2.72,2.43,1.00,0.07
8.36,0.84,3.29,2.45,1.00,0.11
8.42,0.78,2.83,2.41,1.00,0.08
8.48,0.41,1.48,1.16,0.00,0.02
8.61,0.39,1.27,1.10,0.00,0.02
8.67,0.32,1.23,0.91,0.00,0.02
8.74,0.33,1.28,0.93,0.00,0.02
8.80,0.34,1.19,0.95,0.00,0.01
8.93,0.25,0.87,0.62,0.00,0.01
8.99,0.11,0.60,0.61,0.00,0.00
9.06,0.03,0.51,0.67,0.00,0.00
9.12,0.36,1.57,2.35,1.00,0.02
9.25,0.46,2.32,2.45,1.00,0.05
9.31,0.41,2.41,2.49,1.00,0.06
9.38,0.47,2.09,2.46,1.00,0.04
9.44,0.03,0.63,0.98,0.00,0.00
9.57,0.28,0.90,0.77,0.00,0.01
9.63,0.20,0.77,0.56,0.00,0.01
9.70,0.22,0.81,0.60,0.00,0.01
9.76,0.33,1.10,0.96,0.00,0.01
9.89,0.09,0.82,1.13,0.00,0.01
9.95,0.21,1.35,1.74,0.00,0.02
10.02,0.27,1.67,1.72,0.00,0.03
10.08,0.38,1.70,1.56,0.00,0.03
10.21,0.08,1.10,1.55,0.00,0.01
10.27,0.22,0.98,0.80,0.00,0.01
10.34,0.31,1.16,0.90,0.00,0.01
10.40,0.24,0.92,0.87,0.00,0.01
