# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-39.90,23.20,-41.00,10.40,3.00,9.10,10.50,10.20,-133.67
0.11,1.00,0.00,-39.90,21.20,-45.30,9.00,2.80,5.60,7.70,8.10,-137.70
0.18,1.00,0.00,-41.60,19.10,-46.90,7.90,3.40,10.20,8.40,8.20,-172.11
0.24,1.00,0.00,-41.60,18.40,-46.60,6.60,9.30,9.20,7.60,8.60,-162.12
0.30,1.00,0.00,-41.90,21.20,-45.00,6.80,9.10,9.00,7.30,8.70,-169.34
0.36,1.00,0.00,-45.00,26.80,-45.90,8.20,7.60,9.40,7.40,8.70,178.11
0.43,1.00,0.00,-46.80,29.50,-44.70,7.60,7.70,10.70,7.20,8.40,179.12
0.49,1.00,0.00,-45.10,29.30,-45.00,6.90,6.70,17.00,7.40,7.80,-175.00
0.55,1.00,0.00,-45.00,29.50,-44.00,7.30,6.20,21.60,7.50,7.60,-170.57
0.62,1.00,5.00,-48.90,31.50,-43.80,6.20,6.70,22.30,7.40,7.50,-179.60
0.68,1.00,0.00,-46.00,29.50,-46.60,6.40,6.60,20.40,6.80,7.60,165.29
0.74,1.00,0.00,-45.10,29.60,-45.60,6.10,6.80,17.10,7.10,7.90,153.18
0.81,1.00,0.00,-44.70,31.50,-41.70,5.60,7.30,16.90,7.30,8.00,149.15
0.87,1.00,0.00,-44.70,31.50,-41.70,5.00,6.00,36.20,7.40,7.80,142.29
0.93,1.00,0.00,-49.30,26.30,-47.20,6.20,7.10,44.60,7.90,8.00,136.76
0.99,1.00,0.00,-50.70,27.40,-46.30,6.80,8.80,21.20,8.40,7.80,139.77
1.06,1.00,0.00,-55.90,31.10,-47.50,7.10,9.70,23.10,8.90,7.50,146.46
1.12,1.00,0.00,-58.60,26.80,-47.70,8.30,10.80,19.70,9.10,7.40,140.67
1.18,1.00,0.00,-58.60,26.80,-47.70,7.70,10.80,16.80,8.90,7.80,124.57
1.24,1.00,0.00,-58.00,30.00,-46.00,7.70,11.10,17.20,3.70,14.60,102.72
1.31,1.00,0.00,-58.00,30.00,-46.00,6.70,11.10,16.30,8.10,7.30,90.60
1.37,1.00,0.00,-61.10,29.00,-48.00,6.90,8.20,17.60,8.30,7.20,82.08
1.43,1.00,5.00,-64.70,27.70,-46.00,13.90,8.00,15.20,7.40,8.60,-79.70
1.50,1.00,5.00,-64.70,27.70,-46.00,30.50,7.60,15.70,8.00,8.70,-41.27
1.56,1.00,0.00,-68.30,12.70,-50.80,52.10,6.20,34.20,8.70,7.90,82.15
1.63,1.00,0.00,-68.30,12.70,-50.80,55.30,6.70,33.20,8.80,7.80,80.34
1.69,1.00,0.00,-68.00,11.70,-50.40,120.00,7.30,23.50,7.20,8.00,-77.88
1.75,1.00,0.00,-68.00,11.70,-50.40,54.90,7.90,22.20,9.80,8.10,65.92
1.81,1.00,0.00,-68.00,11.70,-50.40,56.20,7.30,25.40,9.90,9.00,-21.86
1.88,1.00,0.00,-66.50,10.00,-49.60,55.80,7.10,30.70,10.30,9.20,-17.14
1.94,1.00,0.00,-66.50,10.00,-49.60,53.80,7.70,32.60,11.10,9.00,58.37
2.00,1.00,0.00,-71.80,0.90,-47.10,29.70,9.90,31.90,11.30,8.90,58.43
2.07,1.00,0.00,-69.50,2.80,-46.80,28.00,11.50,27.00,11.70,8.70,53.25
2.13,1.00,0.00,-69.70,3.70,-47.70,31.30,11.70,25.80,12.10,8.90,46.53
2.19,1.00,0.00,-69.70,3.70,-47.70,49.90,11.70,27.10,12.10,9.00,33.56
2.26,1.00,3.00,-60.80,-2.20,-46.90,53.90,12.30,24.00,12.00,9.00,23.67
2.32,1.00,3.00,-60.80,-2.20,-46.90,62.50,12.10,23.50,3.60,8.50,10.41
2.38,1.00,0.00,-60.20,-5.50,-47.10,28.70,17.60,18.70,12.00,9.60,-35.15
2.44,1.00,0.00,-58.60,-2.50,-46.90,26.40,21.00,16.30,12.50,9.90,10.63
2.51,1.00,3.00,-51.30,-3.70,-47.20,120.00,27.50,14.50,12.60,10.40,6.05
2.57,1.00,3.00,-51.30,-3.70,-47.20,120.00,34.40,13.90,12.70,10.90,6.99
2.63,1.00,3.00,-54.90,-6.10,-44.00,24.40,23.20,14.60,13.10,11.50,5.18
2.69,1.00,0.00,-54.10,-3.00,-46.20,23.10,27.10,13.70,13.10,12.50,2.89
2.75,1.00,0.00,-52.90,-2.80,-47.50,23.50,31.60,13.90,12.90,13.20,1.90
2.82,1.00,3.00,-53.70,-5.80,-45.30,20.70,21.80,14.50,13.00,13.70,-5.66
2.88,1.00,0.00,-56.40,-7.60,-46.20,13.90,19.60,14.30,13.30,14.60,-6.18
2.94,1.00,4.00,-56.40,-7.60,-46.20,15.80,30.70,14.20,12.60,14.60,57.95
3.01,1.00,0.00,-51.40,-2.10,-47.80,23.70,38.60,13.30,12.80,15.40,-15.89
3.07,1.00,0.00,-49.90,-2.40,-46.30,23.10,20.70,13.60,12.80,15.90,-21.96
3.13,1.00,0.00,-47.20,-1.80,-45.40,29.90,19.70,14.10,11.70,16.60,-32.59
3.19,1.00,3.00,-47.20,-1.80,-45.40,120.00,26.00,13.20,11.90,17.00,-29.61
3.26,1.00,3.00,-41.40,3.90,-42.80,120.00,41.20,12.80,11.50,17.00,-38.43
3.32,1.00,0.00,-42.60,3.90,-43.50,21.60,11.30,15.80,11.50,17.60,-41.38
3.38,1.00,0.00,-42.60,3.90,-43.50,18.00,16.30,14.80,10.90,17.20,91.06
3.45,1.00,0.00,-43.50,10.30,-43.70,16.10,22.60,12.30,10.40,17.10,95.32
3.51,1.00,0.00,-46.60,18.10,-46.00,14.20,18.40,12.80,10.00,18.10,-56.28
3.57,1.00,0.00,-43.80,13.00,-46.20,13.30,16.50,14.40,9.40,20.00,-82.73
3.63,1.00,0.00,-43.80,13.00,-46.20,10.70,21.80,15.10,8.60,19.20,-60.77
3.70,1.00,0.00,-45.10,22.00,-45.00,10.00,32.60,13.90,7.80,19.50,-61.48
3.76,1.00,0.00,-45.10,22.00,-45.00,9.80,21.60,12.80,7.30,20.00,-65.45
3.82,1.00,0.00,-45.10,22.00,-45.00,9.20,20.50,13.90,7.30,20.20,-74.77
3.88,1.00,0.00,-46.50,19.40,-48.40,7.40,25.70,11.60,6.90,19.90,-73.64
3.95,1.00,0.00,-44.10,14.70,-49.30,5.60,20.30,12.60,6.10,19.90,-66.76
4.01,1.00,0.00,-44.10,14.70,-49.30,5.20,21.40,19.10,5.70,20.30,-68.18
4.07,1.00,3.00,-39.80,20.60,-44.00,4.80,120.00,15.20,5.40,20.50,-65.49
4.14,1.00,0.00,-37.20,21.80,-42.60,5.20,120.00,8.40,5.50,20.60,-70.78
4.20,1.00,0.00,-37.20,21.80,-42.60,4.60,34.70,8.20,5.80,20.70,-78.51
4.26,1.00,0.00,-33.90,16.70,-40.10,4.50,23.60,7.60,5.60,20.40,-81.62
4.33,1.00,3.00,-33.90,16.70,-40.10,4.60,21.40,13.90,5.40,20.60,-84.61
4.39,1.00,5.00,-29.60,17.30,-35.40,5.70,18.90,20.40,5.60,20.60,-86.93
4.45,1.00,3.00,-29.20,21.40,-33.50,4.60,120.00,17.70,5.60,20.60,-91.19
4.58,0.00,5.00,-31.10,23.90,-36.20,3.70,17.60,20.60,5.50,20.60,-92.34
4.64,1.00,5.00,-31.10,23.90,-36.20,4.00,18.70,20.90,5.70,20.50,-87.43
4.71,1.00,5.00,-33.60,25.00,-36.20,4.00,17.40,21.20,5.80,20.30,-74.45
4.77,1.00,5.00,-31.50,23.90,-34.70,4.80,16.00,21.90,5.20,19.90,-64.31
4.83,1.00,5.00,-31.10,22.00,-35.40,4.30,15.60,21.60,4.90,19.40,-59.94
4.89,1.00,3.00,-31.80,19.30,-35.40,4.10,17.30,18.20,4.30,19.30,-42.47
4.96,1.00,3.00,-31.80,19.30,-35.40,4.70,15.80,8.80,4.30,19.70,-38.09
5.02,1.00,5.00,-32.40,17.50,-37.80,4.30,28.40,4.60,4.00,20.50,-33.99
5.08,1.00,5.00,-32.40,17.50,-37.80,4.30,29.20,3.70,4.20,21.10,-39.96
5.15,1.00,5.00,-31.80,12.40,-39.80,5.20,20.30,4.20,4.50,21.10,-39.57
5.21,1.00,0.00,-32.30,10.90,-41.00,5.50,19.20,3.50,4.10,20.40,-30.14
5.27,1.00,0.00,-34.40,7.30,-41.30,5.30,14.00,3.80,4.70,19.40,-68.57
5.34,1.00,3.00,-33.30,5.80,-41.70,5.80,14.10,4.10,4.20,20.40,-4.90
5.40,1.00,3.00,-33.30,5.80,-41.70,6.60,16.70,2.90,4.00,20.70,-1.42
5.46,1.00,0.00,-34.40,2.40,-41.00,12.10,23.90,4.20,4.00,20.80,-66.95
5.52,1.00,3.00,-34.40,2.40,-41.30,120.00,27.80,4.60,4.70,21.40,6.00
5.59,1.00,3.00,-36.50,-1.00,-39.30,120.00,34.10,4.80,4.90,22.00,13.13
5.65,1.00,3.00,-36.50,-2.20,-39.30,120.00,38.90,5.40,5.50,22.40,27.93
5.71,1.00,3.00,-36.50,-2.20,-39.30,120.00,35.60,6.20,6.30,23.10,25.50
5.78,1.00,0.00,-44.40,-9.70,-39.50,120.00,18.70,7.30,6.80,23.90,17.40
5.84,1.00,3.00,-46.80,-11.80,-39.60,120.00,26.00,8.80,7.10,24.40,9.91
5.91,1.00,0.00,-46.80,-11.80,-39.60,22.30,14.90,9.90,7.00,25.20,10.39
5.97,1.00,0.00,-47.40,-12.70,-39.20,54.00,11.00,9.90,7.20,25.60,13.68
6.03,1.00,0.00,-46.60,-11.70,-39.80,42.30,11.30,9.30,7.30,26.00,8.23
6.10,1.00,0.00,-39.80,-9.10,-39.60,48.30,18.30,8.40,7.10,26.40,6.30
6.16,1.00,0.00,-39.80,-9.10,-39.60,47.50,17.50,9.20,7.90,26.90,-1.48
6.22,1.00,3.00,-38.10,-6.30,-37.20,120.00,23.10,8.70,7.80,27.90,-13.01
6.28,1.00,3.00,-38.10,-6.30,-37.20,120.00,32.50,8.40,7.50,29.10,-9.69
6.34,1.00,3.00,-37.40,-3.90,-38.00,120.00,13.50,8.60,6.20,30.20,10.23
6.41,1.00,0.00,-33.90,-3.70,-36.80,7.90,8.60,8.40,6.60,30.80,7.38
6.47,1.00,0.00,-39.20,0.40,-41.00,4.10,10.00,7.50,6.60,31.00,3.14
6.53,1.00,0.00,-39.20,0.40,-41.00,4.80,10.30,7.30,6.60,31.10,-8.99
6.59,0.00,0.00,-37.20,-3.00,-41.90,5.10,13.60,7.70,7.00,31.30,-10.24
