# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-48.40,17.00,-54.00,9.60,3.20,11.50,0.00,0.00,0.00
0.07,1.00,0.00,-41.00,12.60,-52.00,9.30,16.50,11.70,0.00,0.00,0.00
0.13,1.00,0.00,-38.70,10.30,-52.00,8.90,19.10,11.60,0.00,0.00,0.00
0.19,1.00,0.00,-38.70,10.30,-52.00,8.30,20.10,11.10,0.00,0.00,0.00
0.26,1.00,0.00,-38.10,8.50,-53.40,8.00,20.50,10.90,0.00,0.00,0.00
0.32,1.00,0.00,-40.70,10.50,-53.70,8.00,23.70,10.90,0.00,0.00,0.00
0.39,1.00,0.00,-40.40,10.90,-52.60,7.50,22.40,10.50,0.00,0.00,0.00
0.45,1.00,0.00,-40.40,10.50,-52.20,7.70,26.50,10.30,0.00,0.00,0.00
0.51,1.00,0.00,-39.00,9.90,-53.10,7.00,31.80,10.50,0.00,0.00,0.00
0.57,1.00,0.00,-38.30,9.60,-52.50,7.30,25.20,10.80,0.00,0.00,0.00
0.64,1.00,0.00,-42.20,9.00,-51.90,7.20,19.80,10.70,0.00,0.00,0.00
0.70,1.00,0.00,-41.00,10.60,-53.10,8.70,17.30,11.10,0.00,0.00,0.00
0.76,1.00,0.00,-39.60,7.80,-52.60,7.70,15.50,11.80,0.00,0.00,0.00
0.83,1.00,3.00,-36.60,9.70,-50.40,8.70,16.20,11.50,0.00,0.00,0.00
0.89,1.00,0.00,-36.60,9.70,-50.40,8.70,16.30,10.60,0.00,0.00,0.00
0.95,1.00,0.00,-38.40,14.70,-50.80,8.00,16.20,9.90,0.00,0.00,0.00
1.02,1.00,0.00,-39.50,13.80,-51.30,8.00,15.60,9.60,0.00,0.00,0.00
1.08,1.00,0.00,-40.40,9.70,-51.90,7.90,13.80,9.80,0.00,0.00,0.00
1.14,1.00,0.00,-38.40,13.20,-51.10,8.70,13.00,10.50,0.00,0.00,0.00
1.21,1.00,5.00,-38.40,17.00,-48.90,7.50,13.80,9.40,0.00,0.00,0.00
1.27,1.00,0.00,-39.60,13.20,-51.40,6.80,14.50,9.10,0.00,0.00,0.00
1.33,1.00,0.00,-39.60,13.20,-51.40,6.40,12.40,9.10,0.00,0.00,0.00
1.40,1.00,3.00,-35.00,9.60,-49.50,6.10,11.20,9.80,0.00,0.00,0.00
1.46,1.00,0.00,-34.80,6.30,-48.60,4.70,10.40,9.30,0.00,0.00,0.00
1.53,1.00,3.00,-34.80,6.30,-48.60,5.20,8.10,8.80,0.00,0.00,0.00
1.65,1.00,0.00,-35.00,13.30,-48.70,5.40,6.80,9.30,0.00,0.00,0.00
1.72,1.00,0.00,-35.40,15.70,-49.20,6.70,5.90,8.90,0.00,0.00,0.00
1.78,1.00,0.00,-38.40,18.50,-47.50,7.70,5.20,9.40,0.00,0.00,0.00
1.84,1.00,0.00,-38.40,18.50,-47.50,7.70,5.80,9.30,0.00,0.00,0.00
1.91,1.00,0.00,-38.10,18.80,-48.90,7.60,5.20,10.00,0.00,0.00,0.00
1.97,1.00,0.00,-37.10,22.30,-47.80,6.40,5.90,7.80,0.00,0.00,0.00
2.03,1.00,0.00,-37.10,20.00,-46.30,6.20,5.20,7.50,0.00,0.00,0.00
2.10,1.00,0.00,-35.70,19.90,-48.70,5.60,4.90,8.00,0.00,0.00,0.00
2.16,1.00,0.00,-36.50,19.90,-46.60,6.50,4.80,9.40,0.00,0.00,0.00
2.22,1.00,5.00,-36.50,19.90,-46.90,6.60,5.30,11.20,0.00,0.00,0.00
2.29,1.00,5.00,-38.10,18.10,-48.10,6.40,5.20,30.30,0.00,0.00,0.00
2.35,1.00,5.00,-40.50,20.60,-49.20,6.20,4.90,38.50,0.00,0.00,0.00
2.41,1.00,5.00,-40.70,21.50,-50.10,5.50,4.80,45.20,0.00,0.00,0.00
2.48,1.00,5.00,-42.60,20.50,-50.10,5.40,5.30,45.20,0.00,0.00,0.00
2.54,1.00,0.00,-47.80,24.50,-52.50,5.50,6.10,31.90,0.00,0.00,0.00
2.60,1.00,0.00,-47.80,24.50,-52.50,5.50,6.20,38.00,0.00,0.00,0.00
2.67,1.00,0.00,-50.80,22.60,-52.50,6.50,7.30,32.90,0.00,0.00,0.00
2.73,1.00,0.00,-53.10,23.60,-52.00,7.90,8.90,21.90,0.00,0.00,0.00
2.79,1.00,0.00,-53.10,23.60,-52.00,8.40,10.10,18.70,0.00,0.00,0.00
2.92,1.00,3.00,-58.00,17.00,-54.40,11.40,8.00,20.80,0.00,0.00,0.00
2.99,1.00,0.00,-57.90,17.50,-53.80,12.90,7.80,22.00,0.00,0.00,0.00
3.05,1.00,0.00,-57.90,16.40,-55.00,13.90,6.70,23.00,0.00,0.00,0.00
3.11,1.00,0.00,-62.80,13.90,-55.50,16.90,7.60,22.10,0.00,0.00,0.00
3.17,1.00,0.00,-62.80,13.90,-55.50,16.70,7.10,21.80,0.00,0.00,0.00
3.24,1.00,0.00,-61.90,14.10,-56.10,20.80,7.60,22.40,0.00,0.00,0.00
3.30,1.00,5.00,-59.70,11.40,-55.30,23.70,7.50,24.90,0.00,0.00,0.00
3.36,1.00,3.00,-60.20,10.50,-57.30,120.00,7.10,33.80,0.00,0.00,0.00
3.43,1.00,3.00,-62.80,-1.20,-54.00,64.40,6.10,120.00,0.00,0.00,0.00
3.49,1.00,0.00,-64.10,1.80,-56.40,59.70,7.30,32.50,0.00,0.00,0.00
3.56,1.00,0.00,-66.40,-1.50,-54.60,52.80,8.50,20.70,0.00,0.00,0.00
3.62,1.00,0.00,-66.40,-1.50,-54.60,52.70,9.40,21.00,0.00,0.00,0.00
3.68,1.00,3.00,-66.40,0.30,-55.30,52.00,11.20,18.10,0.00,0.00,0.00
3.75,1.00,0.00,-70.10,-1.50,-53.80,26.70,11.10,18.20,0.00,0.00,0.00
3.81,1.00,3.00,-69.50,-3.60,-53.40,25.30,12.90,16.20,0.00,0.00,0.00
3.87,1.00,0.00,-69.50,1.60,-54.00,15.80,15.80,13.90,0.00,0.00,0.00
3.94,1.00,0.00,-61.40,-2.80,-55.50,22.80,16.40,14.20,0.00,0.00,0.00
4.00,1.00,3.00,-56.50,-2.40,-55.50,27.00,17.50,14.00,0.00,0.00,0.00
4.06,1.00,4.00,-56.50,-2.40,-55.50,11.30,19.40,15.40,0.00,0.00,0.00
4.13,1.00,4.00,-68.90,-4.20,-51.30,9.50,18.90,20.80,0.00,0.00,0.00
4.19,1.00,0.00,-64.00,-7.80,-52.60,12.90,18.70,20.10,0.00,0.00,0.00
4.26,1.00,0.00,-56.40,-8.40,-53.10,17.40,22.60,17.30,0.00,0.00,0.00
4.32,1.00,0.00,-56.40,-8.40,-53.10,21.20,26.00,16.10,0.00,0.00,0.00
4.38,1.00,3.00,-47.50,-6.10,-51.70,120.00,28.70,14.50,0.00,0.00,0.00
4.44,1.00,0.00,-48.30,-4.90,-51.70,15.30,32.10,14.60,0.00,0.00,0.00
4.51,1.00,3.00,-48.30,-4.90,-51.70,26.50,37.70,14.10,0.00,0.00,0.00
4.57,1.00,0.00,-46.50,-7.60,-49.80,24.30,41.00,13.80,0.00,0.00,0.00
4.64,1.00,3.00,-42.90,-7.00,-48.90,120.00,42.00,12.80,0.00,0.00,0.00
4.70,1.00,3.00,-42.90,-7.00,-48.90,120.00,34.50,13.90,0.00,0.00,0.00
4.76,1.00,3.00,-39.80,-7.90,-45.10,120.00,27.10,14.40,0.00,0.00,0.00
4.82,1.00,3.00,-39.20,-3.90,-46.00,120.00,40.10,13.90,0.00,0.00,0.00
4.89,1.00,0.00,-36.60,-3.60,-45.00,44.50,41.40,13.70,0.00,0.00,0.00
4.95,1.00,3.00,-37.10,-3.60,-43.80,120.00,40.90,13.80,0.00,0.00,0.00
5.01,1.00,3.00,-31.20,2.50,-41.90,89.50,53.30,13.20,0.00,0.00,0.00
5.08,1.00,3.00,-36.30,9.30,-44.60,120.00,120.00,11.90,0.00,0.00,0.00
5.14,1.00,3.00,-39.00,11.40,-46.60,17.80,120.00,10.90,0.00,0.00,0.00
5.27,1.00,3.00,-38.70,5.70,-48.70,22.30,120.00,11.90,0.00,0.00,0.00
5.33,1.00,0.00,-40.20,1.80,-49.20,24.60,55.50,11.80,0.00,0.00,0.00
5.39,1.00,3.00,-37.10,0.10,-44.30,120.00,45.40,12.30,0.00,0.00,0.00
5.46,1.00,3.00,-34.80,-0.40,-45.30,120.00,40.30,11.60,0.00,0.00,0.00
5.52,1.00,3.00,-31.50,-0.10,-42.00,120.00,30.70,12.10,0.00,0.00,0.00
5.59,1.00,3.00,-32.30,-2.10,-41.30,120.00,39.40,12.20,0.00,0.00,0.00
5.65,1.00,3.00,-31.50,1.20,-41.70,120.00,120.00,11.40,0.00,0.00,0.00
5.71,1.00,3.00,-32.60,3.10,-42.00,8.60,120.00,11.00,0.00,0.00,0.00
5.77,1.00,0.00,-32.70,-2.20,-41.90,21.50,16.90,10.60,0.00,0.00,0.00
5.84,1.00,0.00,-34.10,0.90,-46.30,12.30,11.50,10.40,0.00,0.00,0.00
5.90,1.00,0.00,-34.40,-1.20,-43.80,12.00,8.70,10.10,0.00,0.00,0.00
5.96,1.00,0.00,-30.80,1.60,-42.30,8.60,9.40,10.80,0.00,0.00,0.00
6.03,1.00,3.00,-28.40,5.20,-38.10,120.00,13.90,9.80,0.00,0.00,0.00
6.09,1.00,3.00,-28.90,3.60,-38.70,120.00,16.50,8.60,0.00,0.00,0.00
6.15,1.00,0.00,-32.30,-0.40,-42.80,7.80,120.00,8.10,0.00,0.00,0.00
6.22,1.00,0.00,-31.10,-2.80,-43.50,5.80,9.00,8.20,0.00,0.00,0.00
6.28,1.00,0.00,-27.80,-0.90,-39.80,7.40,10.60,7.70,0.00,0.00,0.00
6.34,1.00,0.00,-26.00,5.10,-36.90,5.90,18.00,7.40,0.00,0.00,0.00
6.41,1.00,0.00,-27.10,7.80,-33.90,8.80,13.70,7.90,0.00,0.00,0.00
6.47,1.00,3.00,-24.10,12.00,-30.00,13.60,120.00,8.40,0.00,0.00,0.00
6.53,1.00,3.00,-25.30,17.30,-27.80,10.80,120.00,8.20,0.00,0.00,0.00
6.60,1.00,2.00,-27.20,21.80,-26.50,6.40,120.00,8.20,0.00,0.00,0.00
6.66,1.00,0.00,-27.20,21.80,-26.50,5.50,120.00,8.30,0.00,0.00,0.00
6.72,1.00,0.00,-36.50,31.40,-33.80,3.90,13.30,10.00,0.00,0.00,0.00
6.79,1.00,2.00,-36.50,31.40,-33.80,2.90,6.00,7.90,0.00,0.00,0.00
6.85,1.00,0.00,-35.40,23.30,-41.40,3.70,2.40,6.40,0.00,0.00,0.00
6.91,1.00,0.00,-31.50,24.20,-39.80,3.30,3.10,6.40,0.00,0.00,0.00
6.98,1.00,0.00,-30.20,28.70,-32.00,3.50,6.70,5.10,0.00,0.00,0.00
7.04,1.00,5.00,-30.20,28.70,-32.00,3.60,6.80,3.80,0.00,0.00,0.00
7.10,1.00,3.00,-24.10,20.00,-25.30,4.10,120.00,2.90,0.00,0.00,0.00
7.17,1.00,5.00,-24.50,20.80,-22.30,4.00,120.00,3.10,0.00,0.00,0.00
7.23,1.00,3.00,-25.00,19.10,-22.10,4.20,120.00,3.50,0.00,0.00,0.00
7.29,1.00,3.00,-24.10,20.00,-23.50,5.10,120.00,3.60,0.00,0.00,0.00
7.36,1.00,5.00,-23.90,17.20,-26.20,5.40,5.40,4.00,0.00,0.00,0.00
7.42,1.00,5.00,-24.20,19.40,-23.60,4.50,7.40,4.10,0.00,0.00,0.00
7.48,1.00,3.00,-24.20,19.40,-23.60,4.50,120.00,3.50,0.00,0.00,0.00
7.55,1.00,5.00,-23.60,20.20,-18.10,4.40,120.00,2.80,0.00,0.00,0.00
7.61,1.00,5.00,-23.90,17.90,-21.80,4.00,120.00,2.20,0.00,0.00,0.00
7.67,1.00,5.00,-23.90,17.90,-19.30,4.00,120.00,2.30,0.00,0.00,0.00
7.74,1.00,5.00,-23.90,17.90,-19.30,4.20,120.00,2.40,0.00,0.00,0.00
7.80,1.00,5.00,-22.60,15.80,-15.80,5.10,120.00,2.70,0.00,0.00,0.00
7.86,1.00,5.00,-23.30,15.80,-15.40,5.10,120.00,3.00,0.00,0.00,0.00
7.93,1.00,5.00,-23.30,15.80,-15.40,4.50,120.00,3.10,0.00,0.00,0.00
7.99,1.00,5.00,-23.00,18.50,-18.70,5.00,120.00,3.20,0.00,0.00,0.00
8.05,1.00,5.00,-23.00,12.70,-19.70,7.50,7.90,4.00,0.00,0.00,0.00
8.12,1.00,5.00,-23.00,12.70,-19.70,6.70,120.00,3.70,0.00,0.00,0.00
8.18,1.00,5.00,-22.10,11.80,-15.50,8.80,19.80,3.60,0.00,0.00,0.00
8.24,1.00,3.00,-22.10,11.80,-14.50,120.00,17.50,4.30,0.00,0.00,0.00
8.31,1.00,3.00,-22.10,10.30,-14.20,120.00,14.20,4.00,0.00,0.00,0.00
8.37,1.00,5.00,-22.30,12.40,-14.70,120.00,120.00,3.70,0.00,0.00,0.00
8.43,1.00,5.00,-24.10,14.70,-13.90,9.90,120.00,4.10,0.00,0.00,0.00
8.50,1.00,5.00,-23.90,14.10,-14.80,0.90,6.50,5.20,0.00,0.00,0.00
8.56,1.00,5.00,-23.90,14.10,-14.80,1.30,6.30,5.10,0.00,0.00,0.00
8.62,1.00,3.00,-23.60,13.80,-14.20,120.00,4.60,5.30,0.00,0.00,0.00
8.69,1.00,3.00,-22.90,14.50,-12.70,120.00,4.70,5.80,0.00,0.00,0.00
8.75,1.00,3.00,-21.50,13.50,-12.60,120.00,3.00,8.20,0.00,0.00,0.00
8.81,1.00,3.00,-23.80,14.40,-14.40,120.00,2.40,9.80,0.00,0.00,0.00
8.88,1.00,5.00,-24.10,16.10,-9.60,120.00,2.90,10.80,0.00,0.00,0.00
8.94,1.00,5.00,-24.10,16.10,-9.60,120.00,3.00,13.30,0.00,0.00,0.00
9.00,1.00,5.00,-24.50,15.80,-7.80,120.00,3.20,12.30,0.00,0.00,0.00
9.07,1.00,3.00,-24.20,14.50,-10.90,120.00,2.90,11.10,0.00,0.00,0.00
9.13,1.00,3.00,-22.60,13.50,-12.10,0.00,3.10,11.90,0.00,0.00,0.00
9.19,1.00,3.00,-22.60,13.50,-12.10,120.00,4.10,120.00,0.00,0.00,0.00
9.26,1.00,3.00,-22.10,10.30,-15.50,120.00,3.10,120.00,0.00,0.00,0.00
9.32,1.00,3.00,-23.20,11.80,-13.50,120.00,2.90,12.10,0.00,0.00,0.00
9.38,1.00,3.00,-23.20,11.80,-13.50,120.00,2.40,13.50,0.00,0.00,0.00
9.45,1.00,3.00,-22.30,13.50,-13.60,120.00,2.50,13.90,0.00,0.00,0.00
9.51,1.00,3.00,-23.30,13.50,-12.90,120.00,3.60,11.20,0.00,0.00,0.00
9.57,1.00,3.00,-24.50,16.10,-11.10,120.00,3.00,120.00,0.00,0.00,0.00
9.64,1.00,5.00,-24.50,16.10,-11.10,120.00,3.90,20.30,0.00,0.00,0.00
9.70,1.00,3.00,-22.90,16.40,-11.20,120.00,3.00,14.00,0.00,0.00,0.00
9.76,1.00,5.00,-24.50,18.80,-13.90,120.00,3.40,19.60,0.00,0.00,0.00
9.83,1.00,5.00,-25.00,17.20,-14.20,120.00,3.00,11.50,0.00,0.00,0.00
9.89,1.00,5.00,-24.70,18.70,-13.50,120.00,3.40,11.80,0.00,0.00,0.00
9.95,1.00,5.00,-24.50,18.10,-11.80,120.00,3.60,10.90,0.00,0.00,0.00
10.02,1.00,3.00,-24.50,18.10,-11.80,120.00,2.70,11.10,0.00,0.00,0.00
10.08,1.00,3.00,-23.80,15.10,-15.40,120.00,2.70,11.30,0.00,0.00,0.00
