# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0,1,0,-42.9,16.1,-48.9,9.2,3.1,6.6,10.5,9.8,-112.76
0.06,1,0,-42.8,14.8,-47.7,9.7,3,6.5,10.5,9.8,-112.34
0.12,1,0,-43.7,16.6,-48.6,8.5,3.1,6.6,10.5,9.7,-111.75
0.25,1,0,-44.4,16.6,-48.1,9.2,3.1,6.6,10.2,9.5,-115.18
0.3,1,0,-42.2,17,-50.8,9,3,6.8,10.1,9.5,-116.58
0.37,1,0,-44.1,17,-53.4,8.3,3.3,6.6,10.1,9.4,-118.49
0.43,1,0,-42,16.4,-53.8,8.8,3,6.7,10.1,9.4,-118.49
0.63,1,0,-42,16.4,-53.8,9,2.5,6.9,10.1,9.4,-118.49
0.63,1,0,-40.4,17.3,-54.4,8.4,3,7.1,10.1,9.4,-118.49
0.88,1,3,-42.3,13,-51.3,11.1,9.9,16.7,10.1,8,-141.38
0.95,1,0,-42.3,13,-51.3,10.7,10.2,15.5,10,8.3,-156.35
1.01,1,0,-41,16.7,-50.5,9.3,9.4,16.3,10,8.3,-162.64
1.07,1,0,-41,16.7,-50.5,8.8,9.5,16.2,10,8.4,-169.43
1.14,1,0,-39.9,22,-48.1,8,10.5,17.4,10.1,8.2,-174.93
1.2,1,0,-42.2,21.2,-48.6,7.9,9.4,17.3,13.6,5.5,-17.53
1.26,1,3,-41.4,19.6,-50.1,7.3,8.8,21.9,10,8.2,-178.74
1.33,1,3,-42.2,20.8,-50.1,6.7,9.3,24.9,10,8.2,-179.04
1.39,1,0,-43.8,22.6,-51.7,5.9,9.2,20.2,10,8.3,176.33
1.45,1,0,-46.8,24.5,-51.3,5.3,8.9,17.4,10,8.4,173.88
1.51,1,3,-46.8,22.1,-51.7,5.8,9,120,10.1,8.5,169.32
1.57,1,5,-46.8,22.1,-51.7,6.1,9.2,37.9,10,8.6,165.8
1.63,1,5,-47.4,22.3,-53.4,5.5,8.9,42.6,10.1,8.6,164.62
1.7,1,3,-49.3,22.1,-53.5,5.5,9.3,120,10.4,8.7,166.15
1.76,1,5,-49.6,21.5,-52.2,6.5,9.5,33.8,10.2,8.9,161.76
1.82,1,3,-48.6,20.9,-52.8,6.9,10.5,45.7,10.3,8.8,157.23
1.89,1,3,-48.6,20.9,-52.8,6.5,10.5,120,10.3,8.8,156.53
1.95,1,0,-49.6,21.5,-53.4,6.8,11.1,32.6,10.2,8.9,154.7
2.01,1,5,-51.3,21.8,-54.3,7.5,11,25.3,10.5,9.1,155.85
2.07,1,3,-51.3,21.8,-54.3,7.1,11,120,10.6,9,158.66
2.14,1,3,-52.5,20,-52.6,7.4,12.4,120,10.7,9,155.91
2.2,1,3,-52.8,18.7,-53.1,7.5,11.9,48.2,10.7,9.1,156.52
2.26,1,5,-53.2,22.3,-53.4,7.2,12,36.2,10.8,9.3,159.13
2.32,1,0,-56.8,18.7,-52.8,7.1,12.5,41.7,10.9,9.3,161.68
2.38,1,0,-56.8,18.7,-52.8,7.2,12.2,120,11,9.3,161.04
2.45,1,0,-56.4,20.6,-53.8,7,12.2,120,10.6,9.2,166.15
2.51,1,0,-55.6,24.8,-53.1,7.9,12.1,28.8,11,9.5,159.11
2.57,1,0,-55.6,24.8,-53.1,7.7,11.7,31.2,10.8,9.5,156.14
2.63,1,0,-52.8,26,-52.8,7.7,11.4,24,10.8,9.7,154.15
2.7,1,0,-54.6,24.1,-53.1,7.8,12.2,28,11,9.9,154.78
