# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
4.26,1,3,-28.9,-1.6,-37.2,9.1,11.9,3.4,4,25.6,-10.88
4.33,1,0,-29.2,-1.5,-36.8,9,10,3.8,4.2,25.3,-17.8
4.39,1,3,-28.1,-3.9,-33.6,7.6,9.3,3.8,3.9,25.4,-18.33
4.45,1,3,-28.9,-3.6,-35.4,7.8,8.9,3.7,3.5,25.8,-17.11
4.51,1,3,-26.5,-0.7,-35,10.6,8.5,3.6,3.8,26,-23.06
4.58,1,3,-26.5,-0.7,-35,12.1,8,3.1,3.7,26.5,-20.97
4.64,1,0,-26.6,-1.2,-33.6,8.8,10.5,1.9,3.5,27.1,-21.9
4.7,1,3,-25,3,-35,8.5,10.3,3,3.3,27.3,-19.42
4.76,1,3,-24.1,4.3,-34.4,9.3,9.5,2.8,3.3,28,-16.62
4.83,1,3,-24.2,0,-30.9,9.6,9.7,3.3,3.6,28.5,-11.03
4.89,1,0,-26.9,6.4,-33.5,7.4,13.4,2.3,3,28.6,-6.08
4.95,1,0,-27.4,0.9,-35.1,6,12.5,2.8,3.1,28.8,-8.07
5.01,1,1,-26.5,-2.5,-33.8,2.4,10,3.3,2.9,29.1,-11.47
5.08,1,0,-24.8,0.4,-34.4,2.8,12.3,2.8,2.8,29.5,-14.3
5.14,1,3,-25.7,1.5,-32.3,2.5,13.3,2.6,2.8,29.7,-15.53
5.2,1,3,-25.7,1.5,-32.3,2.2,13.7,2.5,2.8,29.8,-16.94
5.26,1,3,-23.2,4.9,-32.3,4,15,2.2,2.8,29.8,-15.84
5.33,1,3,-23.8,4.3,-29.6,4.3,14.4,2.5,2.8,29.8,-15.61
5.39,1,3,-22.4,4.9,-28.7,5.7,14.3,2.6,2.9,29.6,-15.21
5.45,1,3,-21.7,3.7,-29.8,3.9,14.5,2.2,3,29.6,-15.34
5.51,1,3,-21.7,3.7,-29.8,3.6,14,2.1,3,29.5,-15.69
5.57,1,3,-22.3,3.6,-29.3,4.4,13.6,2.4,3,29.6,-16.61
5.64,1,3,-22.3,3.6,-29.3,4.5,13.9,2.6,3,29.6,-18.52
5.7,1,3,-23.3,1.2,-27.1,7.9,13.1,2.8,3,29.6,-18.68
5.76,1,3,-20.9,1,-26.5,120,12.9,3.3,3,29.5,-18.38
5.83,1,3,-20.9,1,-26.5,11.9,13.6,2.9,3.1,29.5,-20.58
5.89,1,3,-20.5,2.8,-25.3,120,14.6,3.1,3,29.8,-25.43
5.95,1,3,-21.4,4.2,-21.8,120,14.6,3.1,2.8,30,-26.98
6.01,1,3,-21.8,3.1,-23.8,120,14.2,2.6,2.7,30,-25.54
6.07,1,3,-21.8,3.1,-23.8,120,13.5,3.1,2.6,30.1,-23.17
6.14,1,5,-21.5,9,-19.7,9.6,18.1,2.7,2.5,30.1,-20.57
6.2,1,5,-20.6,11.8,-21.4,7.4,22.6,2.2,2.4,30.4,-21.6
6.26,1,5,-20.6,11.8,-21.4,4.5,120,2.9,2.5,30.5,-24.15
6.32,1,5,-22.1,13.8,-26.2,5,120,2.2,2.5,30.6,-28.99
6.38,1,5,-20.5,14.7,-23,4.4,120,2.5,2.4,30.8,-23.99
6.45,1,5,-21.1,14.4,-19.7,4.2,120,2.4,2.3,30.9,-16.12
6.51,1,5,-19,13.2,-21.2,5.4,0,2.9,2.3,31.1,-23.05
6.57,1,5,-20.5,12.4,-17.6,5.8,120,2.6,2.6,31.1,-38.95
6.64,1,5,-20.5,12.4,-17.6,4.5,120,2.5,2.5,31.2,-35.11
6.7,1,5,-20.6,13.8,-13.8,2.8,120,2.5,2.7,31.2,-39.06
6.76,1,5,-23.6,13.8,-10.9,3.2,19.5,2,2.8,31.2,-40.56
6.82,1,5,-24.1,12.4,-3,120,120,2.7,3,31.3,-52.38
6.89,1,5,-24.7,11.4,-4.6,120,118,1.8,3,31.4,-52.71
6.95,1,5,-24.7,11.4,-4.6,120,120,2.1,2.8,31.3,-44.61
7.01,1,5,-25,7.9,-3.9,120,68,2,2.7,31.3,-45.8
7.07,1,5,-27.1,8.2,-0.4,120,29.3,2.8,2.8,31.4,-43.11
7.14,1,5,-27.1,8.2,-0.1,120,32.5,2.7,2.8,31.5,-49.26
7.2,1,5,-28.1,9.3,-3.4,120,120,2,3,31.4,-58.52
7.32,1,5,-26,10.5,-2.2,120,120,2.4,3.1,31.4,-62.55
7.39,1,5,-26.6,10.9,-1.9,120,49.8,2.6,3.8,31,-75.78
7.45,1,5,-27.1,7.8,1.2,120,32.5,3.2,3.9,30.9,-73.51
7.51,1,5,-27.1,7.8,1.2,120,23.4,3.1,4.3,31,-66.31
7.57,1,5,-27.1,7.8,1.2,120,20,3.8,3.7,31.1,-68.67
7.64,1,5,-29.3,3.9,3.4,120,18.3,3.6,3.9,31.1,-67.77
7.7,1,5,-28.4,3,-1,120,20.6,3.7,4.1,31.1,-66.42
7.76,1,5,-27.1,3.6,0.9,120,17.5,4,4.1,31.1,-67.25
7.82,1,5,-27.1,3.6,0.9,120,15.9,3.9,3.6,31.4,-45.95
7.89,1,5,-27.1,2.4,1.2,120,14.7,4.1,3.6,31.4,-45.98
7.95,1,5,-28.7,0.7,-0.3,120,13.9,4.3,3.7,31.4,-45.54
8.01,1,5,-28.7,0.7,-0.3,0.9,13.6,4.2,4,31.4,-43.46
8.07,1,5,-30.8,-1.2,-2.2,120,12.9,4.2,4.2,31.4,-43.44
8.14,1,5,-31.1,-2.1,4.5,120,10.8,5,4.4,31.6,-45.31
8.2,1,5,-30.9,-1,3.9,0,10,5.2,4.6,31.6,-48.55
8.26,1,5,-32.4,-0.3,3.9,120,10.3,6.4,4.4,31.5,-43.61
8.32,1,3,-32.7,-0.7,1.8,120,10.2,6,4.1,31.5,-35.93
8.38,1,3,-29.8,0.7,3.1,120,11,5.7,4.2,31.3,-50.71
8.45,1,5,-29.8,0.7,3.1,120,12.7,5.6,4.4,31.4,-50.85
8.51,1,3,-28.6,2.4,1.2,120,11.4,5.7,4.1,31.6,-45.03
8.57,1,3,-30,-0.1,-0.1,120,11.4,5.9,4.1,31.6,-42.9
8.63,1,5,-27.2,5.7,2.8,0,12.4,5.1,4.5,31.6,-36.99
8.7,1,5,-27.2,5.7,2.8,120,12.7,5.9,4.8,31.5,-41.65
8.76,1,3,-27.8,2.4,2.2,120,12.5,4.8,4.3,31.4,-52.13
8.82,1,3,-27.1,2.8,-1.2,120,13.2,5.2,4.2,31.4,-46.6
8.89,1,3,-26.3,2.8,-5.2,120,11.7,9.1,4.2,31.4,-48.75
8.95,1,5,-27.8,7.3,-0.1,120,12.2,6,4.3,31.4,-48.88
9.01,1,5,-28.1,3.9,0.9,120,12.7,4.9,4.2,31.4,-48.7
9.07,1,3,-28.1,3.9,0.9,120,12.5,5.1,4.2,31.5,-48.61
9.13,1,5,-28,4.5,1.8,120,12.7,5,4,31.6,-43.92
9.2,1,5,-28.4,4.9,0,120,13.1,5,4.1,31.6,-40.19
9.26,1,5,-27.2,6.4,0.3,120,13.3,5,4,31.6,-33.39
9.32,1,5,-27.2,6.4,0.3,120,13.7,4.7,3.9,31.6,-31.69
9.38,1,3,-28.1,2.4,0.1,120,12.7,5.2,4.1,31.6,-33.87
9.45,1,3,-27.7,1.5,-0.3,120,12,6.1,3.8,31.6,-49.39
9.51,1,5,-29.8,-1.5,1,120,9.7,41.5,4,31.3,-62.22
9.57,1,5,-33.2,-4.2,2.8,120,8.6,50.1,3.8,31.6,-44.2
9.63,1,5,-35.1,-4.8,4.5,120,8.7,47.9,3.9,31.6,-43.8
9.7,1,5,-33.5,-1.8,5.8,120,9.7,7.7,3.7,31.6,-35.18
9.76,1,5,-33.3,-3.6,4.8,120,10,7.5,3.8,31.5,-30.86
9.83,1,5,-32.9,-3.1,4.8,120,9.7,8,3.8,31.5,-31.9
9.89,1,5,-32.6,-3.9,3.4,120,10.2,8.3,3.8,31.5,-32.35
9.95,1,3,-32,-5.7,0.3,120,9.5,9.4,3.8,31.5,-30.11
10.01,1,3,-33.3,-7.3,1.5,120,9.5,10.2,3.8,31.5,-30.67
10.08,1,5,-35.1,-8.2,3,120,8.1,26.7,3.8,31.6,-29.37
10.14,1,5,-35.1,-8.2,3,120,8.1,18.8,3.8,31.6,-23.94
10.2,1,3,-33.6,-9.3,-1.9,120,8.8,120,3.8,31.6,-20.49
10.27,1,5,-35.1,-8.2,0.4,120,8.2,21.5,3.8,31.5,-22.95
10.33,1,5,-35.6,-7.3,1.9,120,8.3,58,3.7,31.5,-32.27
10.39,1,5,-35.6,-7.3,1.9,120,8.1,67.2,3.9,31.5,-34.76
10.46,1,3,-39,-10.3,2.5,120,7.4,70.7,4.1,31.5,-37.39
10.52,1,3,-37.1,-9,1.2,120,7.3,120,4.3,31.5,-31.57
10.58,1,5,-39.6,-8.2,4.2,120,6.7,56,4.3,31.5,-24.58
10.65,1,5,-39.9,-9.3,5.2,120,6.9,55.1,4.2,31.7,-25.16
10.71,1,5,-39.9,-9.3,5.2,120,6.5,54.2,4.4,31.8,-21.56
10.77,1,5,-38.1,-7.8,4.5,120,7.4,54.6,4.5,31.8,-12.01
10.83,1,5,-37.1,-9.7,2.7,120,7.4,49,4.5,31.8,-7.53
10.9,1,5,-37.5,-8.7,3.1,120,7.5,58,4.4,31.7,-10.03
10.96,1,3,-37.5,-8.7,3.1,68.2,7.7,120,4.4,31.8,-5.16
11.02,1,3,-38,-12.3,0.6,120,7,120,4.7,31.8,-8.22
11.08,1,3,-40.2,-11.8,0.3,120,6.9,120,4.9,32,-9.23
11.15,1,3,-42.2,-13.9,2.2,120,6.5,120,5.2,32.1,-8.46
11.21,1,3,-43.8,-13.8,0.6,120,6.8,120,5.3,32.3,-11.42
11.27,1,3,-43.8,-13.8,0.6,120,6.9,120,5.4,32.4,-14.93
11.34,1,3,-41.9,-12,1.5,120,6.3,120,5.3,32.5,-17.34
11.4,1,3,-39.8,-12.3,1.3,120,6.4,120,5.4,32.6,-16.51
11.46,1,3,-39.5,-11.8,1.3,120,6.7,49,5.7,32.7,-19.21
11.53,1,3,-38.4,-11.2,1.2,120,7,120,6,32.9,-20.1
11.59,1,3,-38.1,-9.7,1.5,120,7.2,120,6,33,-20.95
11.65,1,3,-37.5,-9.1,0.6,120,7.9,120,6,33.1,-20.26
11.71,1,3,-34.1,-8.5,0.4,120,7.2,120,6.1,33.2,-16.23
11.78,1,3,-33.6,-5.1,1.5,120,7.7,63.6,6.1,33.4,-13.02
11.84,1,3,-33.6,-5.1,1.5,120,7.9,57.7,6.1,33.6,-8.97
11.9,1,3,-33.5,-6.1,-0.6,120,8.6,120,6.1,33.6,-8.08
11.97,1,3,-33.2,-6.9,-0.6,120,8.5,71.2,6.2,33.8,-8.1
12.03,1,3,-32.3,-7,-5.2,120,9.1,75.1,6.2,33.8,-9.68
12.09,1,3,-32.3,-7,-5.2,120,9.2,120,6.3,34,-8.51
12.15,1,3,-30.8,-8.2,-8.1,21.7,9.6,120,6.4,34.3,-4.49
12.22,1,3,-29.5,-6.4,-8.7,120,9.8,120,6.5,34.3,-4.07
12.28,1,3,-29.5,-6.4,-8.7,120,10.7,94.1,6.4,34.2,-5.66
12.34,1,3,-29.8,-3,-12,120,10.9,87.8,6.5,34.2,-9.02
12.4,1,3,-29.8,-3,-12,120,11.4,85.7,6.6,34.3,-4.93
12.47,1,3,-29.6,-5.8,-12.1,120,11.1,120,6.7,34.4,-8.83
12.53,1,3,-29.6,-5.8,-12.1,120,10.8,120,6.8,34.4,-10.11
12.59,1,3,-30.8,-5.8,-10.3,120,11.2,89.9,6.9,34.5,-10.19
12.65,1,3,-30.2,-4.2,-10.9,120,11.3,120,6.9,34.6,-10.23
12.72,1,3,-30.2,-4.2,-10.9,76.4,11.6,86.9,7,34.7,-10.22
12.78,1,3,-27.7,-1.8,-11.7,120,12,89.7,7,34.8,-9.96
12.84,1,3,-28.1,-0.9,-14.7,63.4,12.3,82,7,34.8,-10.43
12.9,1,3,-28.1,-0.9,-14.7,120,12,78.2,7,34.9,-11.07
12.97,1,3,-27.4,-3.1,-14.7,120,13,78.2,7,34.9,-10.19
13.03,1,3,-27.8,-0.9,-15.4,120,13.2,75.8,6.9,34.9,-8.97
13.09,1,3,-27.1,-0.4,-14.7,120,13.2,75.8,6.8,35,-7.89
13.16,1,3,-27.1,-0.4,-14.7,120,13.1,84,6.8,35,-5.95
13.22,1,3,-26.2,-1.5,-16.3,120,13.6,86.5,6.6,35,-0.21
13.28,1,3,-27.7,-2.2,-16.7,120,12.6,94.7,6.4,35,5.88
13.35,1,3,-27.2,-1.8,-16.7,120,13.8,95.1,6.3,35,7.14
13.41,1,3,-26.5,-1.5,-16,120,13.7,83,6.4,35,5.78
13.47,1,3,-30,-4.3,-19,120,13.1,120,6.5,35.1,5.11
13.53,1,3,-30,-4.3,-19,120,13.2,120,6.5,35.1,5.78
13.6,1,3,-31.1,-8.2,-19.4,120,12.6,120,6.5,35.1,5.57
13.66,1,3,-30,-6.6,-18.4,120,13.6,120,6.5,35.2,6.33
13.72,1,3,-30.3,-6.6,-18.4,120,13.2,127.4,6.5,35.2,6.14
13.78,1,3,-30.3,-6.6,-18.4,120,13.2,120,6.5,35.2,6.74
13.85,1,3,-30.3,-5.5,-18.4,120,12.3,125.1,6.5,35.2,9.7
13.91,1,3,-28.9,-5.8,-19,120,12.7,127.2,6.6,35.2,5.73
13.97,0,3,-28.7,-7.6,-18.8,120,13.3,120,6.7,35.2,5.37
14.04,0,3,-28.9,-6.3,-16.4,120,13,120,6.6,35.2,5.57
14.1,0,3,-28.9,-6.3,-16.4,120,12.5,120,6.4,35.3,8.85
14.16,1,3,-29.6,-5.1,-18.4,120,12.5,122.1,6.4,35.4,9.91
14.23,1,3,-29.6,-5.1,-18.4,120,13.3,102,6.3,35.5,13.32
14.29,1,3,-30.9,-5.2,-19.3,120,14.2,13.9,6.2,35.6,14.34
14.35,1,3,-30.3,-4.8,-21.2,5.5,14.6,14.3,6.3,35.7,12.6
14.41,1,3,-30.9,-7.6,-21.4,120,13.9,117.6,6.4,35.8,11.02
14.48,1,3,-31.8,-6.3,-22.7,120,14.3,73.6,6.4,36,10.96
14.54,1,3,-30.5,-9.1,-23.3,120,14.5,21.3,6.3,36.5,14.26
14.6,1,3,-30.5,-9.1,-23.3,120,14.5,18.8,6,37.1,17.53
14.67,1,3,-30.5,-6.1,-24.7,120,14.6,12.7,6.2,37.7,18.88
14.73,1,0,-31.2,-6.4,-24.7,2.3,15.7,11.1,6.8,39.1,24.79
14.79,1,0,-34.1,-5.5,-32.9,41.5,17.4,7.9,6.3,42.1,74.8
14.85,1,0,-34.1,-5.5,-32.9,27.2,20.3,7.2,4.4,44.9,131.39
14.91,0,0,-39.2,-7.8,-37.7,22.2,13,8.7,2.6,48.4,164.76
14.98,1,4,-57.1,-11.1,-40.1,6,10.7,8.4,2.6,48.4,164.76
15.21,1,1,-87.8,-1.8,-29.5,0,21.8,2.4,2.6,48.4,164.76
15.21,1,2,-93.9,17,-12.1,2.4,120,1.5,2.6,48.4,164.76
15.46,1,2,-94.8,18.7,-19.6,3.1,120,1.1,2.6,48.4,164.76
15.66,0,2,-94.8,19.4,-16.7,2.5,120,1.8,2.6,48.4,164.76
15.66,0,2,-94,18.7,-18.8,2.7,0,2,2.6,48.4,164.76
15.9,0,2,-92.7,18.5,-24.5,1.7,120,1.2,2.7,45.5,157.2
15.96,0,2,-92.4,18.1,-22.7,1.3,120,0.8,2.6,45.6,150.5
16.02,0,2,-93.4,17.8,-23.5,1.3,120,1.2,2,45,-143.37
16.09,0,2,-93.4,19.6,-23.8,1.6,120,1.6,2,44.9,-139.29
16.15,0,2,-92.2,19.4,-25.4,3.5,120,2.7,1.9,45,-149.72
16.21,1,2,-89.6,20.6,-31.2,6.3,120,2.9,1.9,45.1,-159.64
16.27,1,2,-87.8,20.6,-35,6.4,120,1.8,2.1,45.4,-165.43
16.33,1,2,-89.3,20.6,-34.5,6,120,2.4,2,45.5,-165.65
16.4,1,2,-86.4,19.3,-35.9,5.8,120,2.1,1.8,45.7,-160.13
16.46,1,2,-87.8,20.2,-32.3,5.7,120,2.8,2,45.7,-163.77
16.52,1,2,-86.9,19.3,-34.4,5.6,5.5,2.3,1.9,45.7,-168.12
16.58,1,2,-87.8,19.1,-35.3,5.8,15.4,2.1,1.7,45.5,-150.21
16.65,1,2,-87.6,18.8,-35.1,7.4,120,2.4,1.8,45.6,-154.72
16.71,1,2,-87.2,17.8,-39.2,7.5,17.9,2,1.7,45.6,-147.38
16.77,1,2,-87.2,17.3,-37.7,7.1,11.4,2.6,1.8,45.8,-151.95
16.83,1,2,-87.9,18.1,-36.9,7.9,15.2,2.6,2.1,46,-156.92
16.9,1,2,-86.1,16.1,-38.4,9.7,7.3,2.5,1.8,45.7,-130.47
16.96,1,2,-85.1,16.1,-37.2,9.8,120,2.9,3,47.2,-147.93
17.02,1,2,-85.1,16.1,-37.2,9.5,0.6,2.9,1.9,45.7,-137.29
17.09,1,2,-85.1,16.1,-37.2,8.6,55.9,3.2,1.9,45.9,-150.14
17.15,1,2,-85.4,15.4,-41,7.5,120,2.2,1.9,45.8,-145.67
17.21,1,2,-85.4,15.4,-41,6.7,120,2.3,1.9,45.9,-154.01
17.27,1,2,-82.1,14.4,-41.7,11.8,35.2,3.4,2,45.9,-160.45
17.34,1,2,-82.1,14.4,-41.7,12.7,29.6,3.3,2,45.9,-175.88
17.4,1,2,-81.9,11.4,-41.9,13.5,41.1,4.1,2.5,46.5,124.9
17.46,1,2,-82.8,11.7,-42.3,13.5,25,4,2.2,46.1,154.09
