# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-54.70,22.70,-43.80,11.20,9.80,8.10,8.90,9.20,-155.68
0.14,1.00,3.00,-46.20,23.20,-47.10,10.60,2.40,2.90,8.90,9.20,-154.38
0.20,1.00,0.00,-49.60,23.50,-47.80,8.20,3.10,13.40,8.80,9.30,-159.08
0.26,1.00,0.00,-47.40,24.20,-47.10,8.50,6.90,14.60,8.80,9.30,-173.91
0.33,1.00,0.00,-47.40,24.20,-47.10,8.80,8.20,16.00,9.10,9.20,-172.69
0.39,1.00,0.00,-44.10,22.30,-45.60,9.20,8.50,16.50,9.10,9.00,-160.99
0.45,1.00,5.00,-43.70,25.70,-46.30,8.60,7.50,27.90,8.90,8.80,-157.53
0.52,1.00,0.00,-44.70,28.10,-44.60,7.70,8.10,24.80,8.90,8.30,-161.61
0.58,1.00,5.00,-44.40,30.30,-41.00,7.60,9.00,16.70,8.40,7.70,-165.19
0.64,1.00,0.00,-43.80,28.00,-43.40,7.50,8.90,15.80,8.30,7.80,-160.76
0.71,1.00,5.00,-44.60,24.80,-43.40,7.00,8.70,15.60,8.50,8.00,-158.72
0.77,1.00,0.00,-44.60,22.90,-46.20,5.70,7.50,14.60,8.60,8.30,-173.76
0.83,1.00,0.00,-44.60,22.90,-46.20,5.90,7.20,15.30,8.70,8.40,178.98
0.89,1.00,0.00,-46.60,25.70,-46.00,6.40,7.80,18.60,8.80,8.50,179.22
0.96,1.00,0.00,-46.60,25.70,-46.00,5.40,7.40,25.60,8.70,8.40,-179.20
1.02,1.00,0.00,-48.30,28.70,-45.90,6.20,7.50,23.00,8.60,8.00,179.63
1.08,1.00,0.00,-47.40,27.70,-45.60,5.90,7.80,24.00,8.70,7.50,175.66
1.15,1.00,5.00,-47.40,27.70,-45.60,6.00,8.10,34.70,9.40,7.70,-130.26
1.21,1.00,5.00,-47.80,25.60,-46.20,6.50,8.10,35.30,8.90,7.40,164.18
1.27,1.00,0.00,-47.20,26.80,-45.10,5.30,7.40,35.00,8.50,7.80,153.00
