# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.06,1.00,0.00,-35.40,23.30,-44.00,11.70,2.70,2.30,0.00,0.00,0.00
0.12,1.00,0.00,-33.30,23.90,-45.00,11.10,2.10,2.20,0.00,0.00,0.00
0.19,1.00,0.00,-36.50,21.80,-46.60,10.60,2.10,2.30,0.00,0.00,0.00
0.25,1.00,0.00,-36.50,21.80,-46.60,10.30,2.90,1.90,0.00,0.00,0.00
0.31,1.00,0.00,-35.10,20.50,-50.40,10.90,3.10,1.60,0.00,0.00,0.00
0.38,1.00,0.00,-37.20,19.90,-48.70,10.20,11.20,9.60,0.00,0.00,0.00
0.44,1.00,0.00,-39.00,22.90,-49.50,10.30,13.00,8.40,0.00,0.00,0.00
0.50,1.00,0.00,-38.70,26.30,-45.90,10.60,13.90,8.30,0.00,0.00,0.00
0.57,1.00,0.00,-37.20,24.80,-46.90,8.60,15.00,8.00,0.00,0.00,0.00
0.63,1.00,0.00,-36.50,25.30,-47.20,7.60,19.70,6.60,0.00,0.00,0.00
0.70,1.00,2.00,-36.00,24.50,-45.90,7.10,120.00,5.40,0.00,0.00,0.00
0.76,1.00,3.00,-36.00,24.50,-45.90,7.50,120.00,6.20,0.00,0.00,0.00
0.82,1.00,0.00,-37.10,15.80,-48.90,7.20,120.00,6.70,0.00,0.00,0.00
0.89,1.00,0.00,-37.50,17.20,-51.00,8.50,120.00,5.80,0.00,0.00,0.00
0.95,1.00,0.00,-42.00,11.10,-53.10,10.50,120.00,7.40,0.00,0.00,0.00
1.01,1.00,0.00,-42.00,11.10,-53.10,12.90,120.00,7.60,0.00,0.00,0.00
1.07,1.00,0.00,-42.30,9.60,-52.80,16.20,120.00,8.40,0.00,0.00,0.00
1.14,1.00,0.00,-44.70,3.90,-53.40,16.10,120.00,8.50,0.00,0.00,0.00
1.20,1.00,0.00,-44.70,9.30,-52.60,17.60,120.00,5.40,0.00,0.00,0.00
1.26,1.00,2.00,-47.70,12.00,-53.40,24.10,120.00,4.80,0.00,0.00,0.00
1.33,1.00,3.00,-51.60,4.20,-52.00,22.80,122.30,7.60,0.00,0.00,0.00
1.39,1.00,4.00,-56.50,-0.10,-53.40,16.10,120.00,8.40,0.00,0.00,0.00
1.45,1.00,0.00,-54.00,3.60,-53.70,25.50,120.00,7.90,0.00,0.00,0.00
1.51,1.00,3.00,-43.40,0.40,-49.60,120.00,56.00,8.40,0.00,0.00,0.00
1.58,1.00,0.00,-44.30,1.00,-51.00,30.80,58.30,8.20,0.00,0.00,0.00
1.64,1.00,3.00,-43.80,1.50,-50.20,120.00,54.20,9.00,0.00,0.00,0.00
1.70,1.00,3.00,-43.80,1.50,-50.20,120.00,45.50,8.50,0.00,0.00,0.00
1.77,1.00,0.00,-40.40,-2.10,-46.30,25.20,21.30,8.60,0.00,0.00,0.00
1.83,1.00,3.00,-37.50,-1.50,-46.20,14.90,13.10,10.80,0.00,0.00,0.00
1.90,1.00,0.00,-42.90,3.10,-50.10,13.60,24.60,8.00,0.00,0.00,0.00
1.96,1.00,4.00,-49.20,5.80,-50.40,9.60,20.90,7.70,0.00,0.00,0.00
2.02,1.00,0.00,-45.70,3.40,-52.00,9.40,14.30,7.70,0.00,0.00,0.00
2.09,1.00,0.00,-43.70,3.60,-50.10,8.90,15.60,7.50,0.00,0.00,0.00
2.15,1.00,0.00,-42.80,3.00,-50.20,10.80,15.70,6.20,0.00,0.00,0.00
2.21,1.00,0.00,-48.10,1.60,-52.90,9.90,15.60,5.20,0.00,0.00,0.00
2.28,1.00,0.00,-48.40,-6.60,-47.50,12.80,11.20,5.40,0.00,0.00,0.00
2.34,1.00,0.00,-44.60,-1.80,-49.20,11.30,11.40,4.20,0.00,0.00,0.00
2.41,1.00,0.00,-42.00,-1.80,-49.20,12.10,11.90,4.20,0.00,0.00,0.00
2.47,1.00,0.00,-34.10,-0.90,-45.00,9.30,13.50,4.10,0.00,0.00,0.00
2.53,1.00,3.00,-34.10,-0.90,-45.00,8.60,13.60,3.80,0.00,0.00,0.00
2.59,1.00,3.00,-30.20,1.00,-42.90,8.50,12.40,3.70,0.00,0.00,0.00
2.66,1.00,0.00,-31.80,2.10,-44.30,7.00,13.70,2.90,0.00,0.00,0.00
2.72,1.00,0.00,-31.80,2.10,-44.30,4.50,14.10,2.60,0.00,0.00,0.00
2.78,1.00,0.00,-27.40,5.80,-44.30,4.00,14.90,3.00,0.00,0.00,0.00
2.85,1.00,3.00,-28.60,4.80,-42.30,4.90,13.90,2.80,0.00,0.00,0.00
2.91,1.00,0.00,-28.60,4.80,-42.30,7.30,18.90,2.80,0.00,0.00,0.00
2.97,1.00,0.00,-30.90,3.40,-45.40,7.90,15.90,3.30,0.00,0.00,0.00
3.04,1.00,3.00,-31.10,5.50,-44.60,7.50,16.70,2.90,0.00,0.00,0.00
3.10,1.00,0.00,-31.80,3.90,-43.80,9.20,13.90,2.50,0.00,0.00,0.00
3.16,1.00,0.00,-31.70,1.50,-43.40,8.30,13.40,3.30,0.00,0.00,0.00
3.23,1.00,0.00,-30.20,3.00,-44.40,10.60,20.40,1.90,0.00,0.00,0.00
