# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm), x(cm), y(cm), yaw
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,-45.30,15.20,-44.40,7.00,9.40,10.10,9.20,7.10,152.75
0.19,1.00,0.00,-48.40,19.30,-45.00,8.70,9.20,9.00,9.00,8.40,165.81
0.30,1.00,0.00,-42.00,19.90,-46.20,7.20,9.40,3.70,8.90,8.30,165.37
0.36,1.00,0.00,-37.50,21.80,-45.40,8.20,9.20,2.70,8.60,8.30,170.57
0.42,1.00,0.00,-38.70,21.80,-44.00,7.90,9.60,3.70,8.60,8.20,169.60
0.49,1.00,0.00,-38.00,20.20,-42.90,8.10,8.40,4.00,8.50,8.20,168.58
0.55,1.00,0.00,-38.00,20.20,-42.90,7.50,9.70,3.40,8.40,8.20,168.44
0.61,1.00,0.00,-39.50,16.40,-47.70,6.50,9.50,3.50,8.60,8.00,160.51
0.68,1.00,0.00,-39.50,16.40,-47.70,6.70,9.80,3.70,8.60,7.70,158.86
0.74,1.00,0.00,-40.40,15.80,-44.60,6.00,9.70,3.70,8.70,8.20,116.15
0.80,1.00,0.00,-41.40,15.80,-47.10,6.10,9.30,7.30,8.10,8.30,106.33
0.87,1.00,0.00,-33.20,20.20,-45.10,6.50,3.40,9.50,6.80,7.80,-127.06
0.93,1.00,3.00,-33.90,16.40,-44.70,5.50,10.60,10.90,7.40,7.80,-130.30
0.99,1.00,0.00,-33.90,16.40,-44.70,5.60,8.10,10.70,7.20,8.10,-139.39
1.05,1.00,0.00,-33.20,12.60,-46.20,4.40,6.60,10.20,7.10,8.00,-148.29
1.12,1.00,0.00,-33.20,12.60,-46.20,4.30,7.90,10.10,7.00,7.90,-146.65
1.18,1.00,5.00,-29.80,19.90,-42.90,7.10,7.80,10.80,6.90,7.60,-151.11
1.24,1.00,0.00,-30.00,18.10,-43.80,8.50,6.20,12.00,6.60,7.20,-158.45
1.30,1.00,5.00,-32.30,21.20,-44.30,8.30,5.80,13.30,6.00,6.80,-159.61
