# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,-2.30,4.72,102.40,19.30,21.70,13.40
0.06,-7.45,10.50,95.09,17.70,23.20,12.00
0.18,-6.59,6.28,104.42,16.60,26.20,10.70
0.25,0.65,1.35,98.97,15.80,28.40,10.60
0.31,4.92,-3.12,98.07,13.50,27.00,10.30
0.37,3.02,0.82,99.95,13.00,25.00,10.70
0.50,-0.24,11.10,96.35,13.50,23.20,10.50
0.56,8.34,-4.73,121.05,13.80,20.80,10.20
0.63,0.54,-4.22,111.80,14.20,18.80,9.70
0.69,-5.13,-6.13,103.91,14.00,19.80,10.00
0.82,-4.59,0.57,103.85,14.60,17.70,9.70
0.88,0.77,2.09,102.87,14.70,17.60,10.20
0.94,-2.26,3.03,102.06,14.60,16.70,10.20
1.01,-2.32,2.87,102.06,14.40,17.00,10.20
1.13,-2.39,2.78,101.92,14.10,16.90,10.00
1.20,-2.40,2.71,102.02,13.90,17.60,10.50
1.26,-2.36,2.72,102.03,14.40,17.80,9.90
1.32,-2.37,2.69,101.99,14.60,17.80,9.80
1.45,-2.43,3.45,101.79,14.30,17.90,10.20
1.52,-2.33,2.97,101.86,14.40,17.80,10.20
1.58,-2.09,2.66,101.89,14.40,16.90,10.10
1.64,-2.30,2.56,101.96,14.40,17.10,9.60
1.77,-3.86,1.44,101.88,14.20,17.60,10.00
1.83,-1.81,5.53,101.85,14.60,16.80,10.20
1.90,-1.99,3.99,102.40,14.40,16.50,9.80
1.96,-3.52,4.79,101.00,14.40,16.00,10.60
2.09,-0.74,4.24,101.57,14.10,16.70,10.20
2.15,-1.93,5.69,101.68,14.20,16.50,10.30
2.22,-4.28,5.29,101.42,14.60,16.00,9.90
2.28,-2.31,4.99,101.70,14.80,16.40,10.30
2.41,-2.28,4.98,101.71,14.40,17.10,10.20
2.47,-2.29,4.95,101.59,15.00,16.60,10.20
2.54,-3.67,4.68,101.27,14.70,16.70,10.50
2.60,-1.58,4.09,101.28,14.30,15.90,10.60
2.73,-2.40,7.40,101.76,15.10,15.80,10.60
2.79,-1.54,2.94,101.35,15.60,15.90,10.20
2.86,-1.77,-2.86,102.87,15.10,16.20,11.10
2.92,-1.76,4.68,102.81,15.40,16.90,11.30
3.05,-2.29,2.83,101.45,15.60,15.90,11.90
3.11,-0.81,3.84,101.75,15.90,16.30,11.70
3.17,-1.26,2.58,101.56,15.80,15.90,11.80
3.24,-1.32,6.56,100.85,16.20,16.50,12.20
3.37,0.69,1.75,102.23,16.30,16.20,12.40
3.43,-0.21,3.14,102.54,16.00,16.00,12.40
3.49,-1.56,2.70,102.04,16.30,16.80,12.70
3.56,-1.10,2.44,101.97,15.70,15.80,12.70
3.68,-1.28,2.64,101.96,15.60,16.00,12.60
3.75,-0.68,2.98,101.92,15.30,16.40,13.00
3.81,-1.32,2.70,102.20,16.00,16.50,12.70
3.88,-1.04,3.05,101.97,15.70,16.50,12.60
4.00,-1.15,3.02,101.97,15.40,16.60,12.70
4.07,-0.99,2.96,101.92,16.10,17.00,12.80
4.13,-0.93,2.95,101.97,15.40,16.40,12.40
4.19,-0.99,2.97,101.98,16.30,16.10,12.30
4.32,-1.14,2.85,101.97,15.30,16.00,12.20
4.38,-1.16,2.89,101.92,15.70,16.40,12.40
4.45,-1.14,2.96,101.97,15.90,17.00,12.40
4.51,-1.06,2.94,101.89,16.20,16.20,12.80
