# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
8.79,10.87,-17.21,102.51,23.70,3.90,8.00
8.85,4.32,-21.03,95.79,21.60,3.70,8.40
8.91,10.56,-12.44,101.75,18.50,3.50,8.50
9.04,9.52,-13.68,101.27,17.80,3.20,8.60
9.10,9.13,-10.47,100.12,17.40,3.50,8.40
9.17,7.53,-13.02,101.26,18.10,3.80,8.70
9.29,7.00,-12.59,101.62,18.00,3.40,8.50
9.36,4.79,-9.91,103.15,17.10,3.60,8.80
9.42,5.29,-7.21,101.59,20.60,3.20,8.00
9.49,11.91,-15.60,101.87,25.20,4.00,8.40
9.61,6.67,-12.52,104.71,25.10,3.60,8.20
9.68,10.68,-9.34,102.62,22.50,4.00,8.30
9.74,12.08,-3.07,100.41,18.60,3.20,8.40
9.81,6.76,-7.64,101.60,17.40,3.10,8.60
9.93,8.40,-5.80,101.35,17.30,3.10,8.60
9.99,10.16,-11.54,101.97,17.50,3.30,8.50
10.06,9.61,-10.32,101.81,17.50,3.10,9.00
10.12,8.33,-13.40,99.76,18.10,3.10,8.70
10.25,10.56,-14.52,101.72,18.40,3.30,8.50
10.31,11.10,-10.81,101.51,19.10,3.40,8.40
10.38,6.63,-13.35,101.47,18.60,3.10,8.70
10.44,7.79,-12.23,99.79,18.80,2.90,8.40
10.57,10.87,-14.37,102.25,19.60,3.30,8.60
10.63,7.98,-13.53,102.48,20.50,3.50,8.20
10.69,7.26,-14.52,101.64,21.20,3.00,8.00
10.76,8.53,-15.01,103.34,21.70,3.40,8.10
10.89,9.67,-15.66,98.03,20.80,3.30,8.10
10.95,8.54,-15.61,101.74,21.10,3.40,7.10
11.01,6.25,-17.06,102.22,23.60,3.40,7.90
11.08,8.96,-17.94,101.04,24.10,3.50,7.30
11.21,2.27,-15.72,100.18,22.90,3.40,8.00
11.27,9.64,-17.29,101.67,22.80,3.60,8.20
11.33,9.27,-18.43,101.03,22.00,3.40,8.20
11.46,6.52,-9.55,101.12,22.00,2.90,8.00
11.53,7.76,-10.52,101.75,22.40,3.40,7.80
11.59,7.71,-12.15,103.50,21.00,3.20,8.50
11.65,4.71,-11.31,101.26,18.50,3.40,8.10
11.78,-0.18,-11.57,100.36,18.70,3.20,8.10
11.84,-6.13,-14.51,103.77,18.00,3.20,8.40
11.91,1.07,-9.70,108.61,18.40,2.90,8.10
11.97,10.19,-16.47,102.40,19.90,3.20,8.20
12.04,3.33,-14.00,101.82,19.80,3.30,8.00
12.16,1.28,-14.81,101.27,20.30,3.70,8.40
12.23,1.18,-14.12,101.30,19.40,3.00,8.10
12.29,0.97,-13.99,101.49,20.20,3.60,7.60
12.42,-11.72,-3.10,101.31,20.60,3.40,7.60
12.48,-0.01,-17.05,103.52,24.30,3.80,7.70
12.55,2.95,-16.13,98.36,32.20,4.00,7.60
12.61,4.82,-11.27,102.25,31.80,3.30,7.10
12.74,0.54,-5.87,101.30,32.10,3.40,7.30
12.80,9.36,-9.76,103.44,33.80,3.60,7.50
12.87,4.95,-3.85,103.25,32.90,2.90,7.30
12.93,3.96,-5.05,100.71,34.20,2.90,7.60
13.06,2.86,-7.94,102.42,32.40,3.60,7.10
13.12,3.16,-7.52,101.85,32.30,3.40,7.40
13.19,5.02,-2.47,100.23,31.50,3.00,7.50
13.25,2.24,-6.37,101.29,30.80,3.20,7.20
13.38,2.42,-8.64,101.67,31.90,2.70,7.40
13.44,0.95,-7.41,103.61,30.80,3.10,7.30
13.50,5.99,-6.78,101.31,29.90,3.00,7.20
13.57,1.25,-7.61,102.26,30.60,3.60,7.20
13.70,6.52,-8.58,101.19,32.80,3.00,7.60
13.76,3.92,-8.73,102.26,33.80,3.10,6.80
13.82,0.22,-10.21,101.53,33.80,3.20,7.10
13.89,0.51,-10.06,100.19,33.80,3.40,7.20
14.01,2.63,-11.60,104.51,35.80,3.40,7.70
14.08,0.46,-7.42,101.63,36.80,3.10,7.20
14.14,-1.97,-4.90,100.04,36.80,3.50,6.90
14.20,2.70,-13.85,100.48,35.70,4.20,6.50
14.33,0.43,-13.81,97.19,120.00,5.10,6.70
14.39,-0.00,-13.48,100.57,34.70,4.20,6.30
14.46,3.94,-15.29,102.80,30.30,4.20,6.20
14.52,-1.38,-10.60,101.10,29.80,4.10,6.40
14.65,-0.18,-9.01,102.28,30.40,4.20,6.90
14.71,0.26,-9.44,104.72,32.20,4.00,6.40
14.78,-2.11,-13.19,105.37,30.30,4.20,6.60
14.84,1.48,-8.59,98.96,30.70,4.50,6.30
14.97,1.61,-9.42,103.25,31.50,4.90,6.90
15.03,-6.13,-7.54,103.03,31.90,4.30,6.20
15.09,-0.17,-11.68,101.56,34.50,5.00,6.50
15.16,-4.55,-8.06,100.34,37.30,4.70,6.50
15.29,-3.44,-12.39,100.62,36.30,4.70,6.50
15.35,-0.83,-12.56,102.42,33.50,3.70,5.90
15.41,0.67,-7.12,106.38,35.70,4.80,6.30
15.48,-1.01,-7.61,103.31,120.00,5.10,6.10
15.60,2.47,-9.86,103.26,35.30,5.00,6.70
15.67,1.25,-14.62,103.77,33.30,4.60,6.50
15.73,1.79,-14.70,103.56,34.40,4.50,5.80
15.80,-8.12,-8.69,103.78,34.40,4.20,6.50
15.92,-0.23,-8.36,107.56,32.90,4.30,6.10
15.99,-6.04,-4.89,99.29,33.60,3.80,5.90
16.05,5.77,-10.53,102.45,32.70,4.50,6.20
16.11,0.52,-9.55,101.31,31.70,4.30,6.00
16.24,2.88,-12.09,102.29,30.90,4.40,5.80
16.30,-1.35,-8.15,102.20,30.60,4.30,5.70
16.37,0.63,-11.85,102.12,30.80,4.80,5.50
16.43,1.68,-9.99,101.81,30.80,4.50,5.40
16.56,1.15,-10.28,101.67,30.70,4.10,5.30
16.62,-0.18,-9.82,102.01,30.60,4.40,5.70
16.68,-0.02,-9.50,101.99,31.60,4.30,6.00
16.75,-0.09,-9.58,101.67,30.80,4.00,5.80
16.87,0.09,-9.59,101.70,30.70,4.30,6.10
16.94,-0.07,-9.60,101.75,31.40,4.70,5.70
17.00,-0.02,-9.47,101.78,31.00,4.50,5.60
17.07,-0.15,-9.40,101.79,29.80,4.40,5.60
17.19,-0.16,-9.48,101.86,30.90,4.50,5.40
17.26,0.02,-9.51,101.74,30.80,4.30,5.80
17.32,0.03,-9.51,101.85,30.80,4.40,5.70
17.45,-0.10,-9.33,101.73,30.80,4.70,6.20
17.51,-0.23,-9.43,101.64,31.20,4.60,5.80
17.64,-0.00,-9.40,101.65,30.80,4.60,5.60
17.70,-0.06,-9.35,101.78,32.10,4.80,6.00
17.83,-0.12,-9.43,101.79,31.90,4.70,5.80
17.89,0.40,-8.98,102.08,30.90,4.70,5.70
17.96,-2.95,-9.41,101.89,32.20,4.20,5.70
18.08,2.99,-14.00,102.22,28.80,4.50,5.30
18.15,2.67,-9.80,100.89,29.60,4.50,5.30
18.27,-1.17,-12.17,104.22,30.90,4.70,5.50
18.34,-0.77,-8.31,102.42,31.70,4.30,5.30
