# time (s), ax(cm/s^2), ay(cm/s^2), az(cm/s^2), distF (mm), distL (mm), distR (mm)
0.13,6.27,-6.69,101.57,37.4,11.7,13.9
0.25,6.1,-6.74,101.57,37,11.6,14.5
0.32,6.35,-6.68,101.6,36.1,12.1,13.9
0.38,6.37,-6.66,101.61,36,11.4,14.6
0.44,6.37,-6.7,101.65,36.9,12.2,14.7
0.57,6.31,-6.73,101.67,37,12.4,14.4
0.64,6.3,-6.73,101.65,36.4,11.7,14.5
0.7,6.29,-6.77,101.55,36.7,11.5,14.7
0.76,6.32,-6.7,101.65,37.8,11.7,14.1
0.89,6.38,-6.81,101.54,37,12.4,14.2
0.96,6.28,-6.68,101.51,37.4,12.2,14.7
1.02,6.27,-6.65,101.57,37.2,11.6,14.4
1.08,6.27,-6.63,101.58,36.2,12,14.2
1.21,6.34,-6.66,101.65,36.5,11.8,14
1.27,6.29,-6.68,101.56,37.9,11.4,14.5
1.34,6.26,-6.63,101.51,35.7,12.1,14
1.4,6.3,-6.65,101.65,37.1,11.8,14.2
1.53,6.18,-6.68,101.68,37.3,11.5,14.1
1.59,6.37,-6.6,101.67,37.3,11.8,13.6
1.66,6.32,-6.72,101.67,36.6,11.6,13.9
1.79,6.3,-6.68,101.54,36.7,11.7,13.9
1.85,6.35,-6.63,101.72,36.7,11.8,14.3
1.91,6.25,-6.72,101.61,36.1,12,14.2
1.98,6.19,-6.7,101.61,36.7,11.4,13.7
2.1,6.24,-6.6,101.7,37.3,12,14.8
2.17,6.23,-6.62,101.62,36.7,11.5,14.5
2.3,6.34,-6.63,101.65,37.9,11.8,14.6
2.36,6.19,-6.57,101.59,37.7,12.1,14.1
2.42,6.22,-6.69,101.71,37.1,12.2,14
2.48,6.23,-6.62,101.64,37.5,12.1,14.4
2.61,6.28,-6.67,101.72,36.8,12.3,14
2.68,6.38,-6.63,101.69,36.7,11.6,14.1
2.74,6.23,-6.62,101.64,37,12,14.2
2.8,6.3,-6.61,101.57,36.8,12,13.9
2.93,6.15,-6.59,101.72,37,11.8,14
2.99,6.3,-6.71,101.61,36.7,11.8,14.6
3.06,6.29,-6.68,101.62,36.4,11.9,14.2
3.12,6.34,-6.6,101.71,36.7,11.2,14.6
3.25,6.21,-6.62,101.69,36.9,11.5,14.9
3.31,6.15,-6.57,101.69,37.5,11.7,13.8
3.38,6.21,-6.6,101.76,36.8,11.9,13.8
3.44,6.18,-6.62,101.65,37.7,11.8,14.3
3.57,6.26,-6.57,101.73,36.2,11.5,14.3
3.63,6.34,-6.57,101.64,36.7,11.8,14.3
3.69,6.19,-6.6,101.73,36.5,11.9,14.5
3.82,6.23,-6.55,101.69,36.6,11.7,14
3.89,6.3,-6.54,101.7,37.2,12.2,14
3.95,6.27,-6.74,101.77,35.9,11.7,14.5
4.01,6.25,-6.59,101.62,36.9,11.7,14.6
4.14,6.25,-6.62,101.56,38,12,13.9
4.2,6.22,-6.6,101.65,36.8,12.1,14.3
4.27,6.24,-6.65,101.73,36.8,11.4,14.2
4.33,6.16,-6.55,101.78,36.5,12.2,14.4
4.46,6.22,-6.49,101.67,36.9,11.6,13.8
4.52,6.3,-6.57,101.69,36.7,12.1,14.4
4.59,6.2,-6.59,101.8,36.9,11.7,14.3
4.65,6.25,-6.64,101.61,36.8,11.7,14
4.78,6.24,-6.53,101.73,36.8,11.7,14.5
4.84,6.22,-6.61,101.78,37.6,11.8,13.8
4.9,6.21,-6.62,101.64,36.8,11.8,13.8
4.97,6.28,-6.63,101.67,36.3,11.7,14.4
5.1,6.25,-6.61,101.72,36.8,11.1,13.8
5.16,6.24,-6.68,101.7,36.6,11.7,14.8
5.22,6.25,-6.62,101.69,36.2,12.4,14.2
5.28,6.24,-6.6,101.72,35.9,11.9,14.2
5.41,6.15,-6.64,101.62,36.8,12,14.1
5.48,6.42,-6.56,101.7,37.1,11.8,14.7
5.54,6.23,-6.55,101.6,36.2,11.5,13.9
5.6,6.27,-6.61,101.63,36.7,11.8,14.7
5.73,6.29,-6.6,101.76,37.3,11.6,14.2
5.8,6.18,-6.57,101.61,37.1,11.3,14.9
5.86,6.34,-6.63,101.7,36.7,12,14.6
5.92,6.3,-6.63,101.65,36.2,11.4,14.2
6.05,6.23,-6.68,101.62,36.2,11.8,14.1
6.11,6.21,-6.55,101.67,36.6,11.8,14.6
6.18,6.29,-6.56,101.64,36.9,11.9,14.7
6.24,6.26,-6.54,101.67,37.8,11.3,14.5
6.37,6.32,-6.63,101.64,36.5,11.8,14.9
6.43,6.25,-6.53,101.67,36.7,11.9,14
6.5,6.15,-6.51,101.68,37.3,11.9,14.1
6.56,6.16,-6.62,101.65,37.2,12.2,14.2
6.69,6.25,-6.61,101.67,37.6,11.8,14.5
6.75,6.26,-6.63,101.65,37.4,11.8,14.2
6.82,6.21,-6.68,101.67,37.2,11.5,14.4
6.88,6.13,-6.57,101.68,37.1,11.8,14.5
7.01,6.16,-6.57,101.69,36.6,11.7,14.3
7.07,6.28,-6.58,101.64,37.4,11.6,13.6
7.14,6.21,-6.66,101.74,36.6,11.9,14.2
7.2,6.16,-6.54,101.63,38.2,11.8,14.2
7.32,6.32,-6.57,101.67,37.4,12,14.2
7.39,6.16,-6.57,101.75,36.6,11.7,14.4
7.45,6.2,-6.59,101.65,36.1,11.4,14.2
7.51,6.3,-6.61,101.71,37.2,11.4,14
7.64,6.26,-6.61,101.68,36.9,11.8,14.4
7.7,6.19,-6.49,101.68,36.9,11.8,14.2
7.77,6.24,-6.58,101.72,120,11.8,14.3
7.83,6.23,-6.56,101.76,36.7,11.7,14.4
7.96,6.19,-6.54,101.7,37.4,11.8,14.3
8.02,6.3,-6.65,101.76,37.5,12.1,14.5
8.08,6.33,-6.6,101.64,36.5,11.9,13.8
8.15,6.2,-6.56,101.66,37.5,11.7,14.7
8.28,6.25,-6.49,101.68,37.8,11.8,14.9
8.34,6.27,-6.56,101.68,36.7,11.3,14
8.4,6.12,-6.59,101.75,37.1,11.9,13.6
8.47,6.18,-6.63,101.81,37.6,11.6,14.7
8.6,6.15,-6.6,101.67,37.1,11.1,14.3
8.66,6.24,-6.59,101.72,37.4,12,14.1
8.72,6.27,-6.54,101.66,37.2,12,13.7
8.79,6.16,-6.58,101.71,37.2,11.9,14.3
8.92,6.24,-6.62,101.68,37.3,11.7,14.1
8.98,6.24,-6.55,101.67,38.1,11.7,14.8
9.04,6.35,-6.68,101.65,36.6,11.6,14.6
9.11,6.23,-6.61,101.78,37.8,11.6,14.4
9.23,6.21,-6.63,101.81,37.1,11.6,13.9
9.3,6.37,-6.63,101.57,36.9,11.5,14.3
9.36,6.29,-6.73,101.62,37.2,11.6,14.7
9.43,6.34,-6.64,101.69,37.5,11.9,13.9
9.55,6.31,-6.56,101.53,37,11.4,14.5
9.62,6.26,-6.54,101.64,36.7,11.6,14.3
9.68,6.2,-6.65,101.65,36.5,11.9,14.2
9.75,6.38,-6.62,101.61,36.9,11.6,14.7
9.87,6.34,-6.63,101.62,36.7,11.6,14.4
9.94,6.35,-6.68,101.59,35.8,11.9,14.7
10,6.21,-6.6,101.6,37.3,11.5,13.9
10.07,6.26,-6.62,101.54,36.4,11.9,14.4
10.19,6.23,-6.62,101.56,36.7,11.3,13.9
10.26,6.27,-6.59,101.69,36.5,11.5,14.1
10.32,6.35,-6.59,101.64,36.3,12,14.5
10.38,6.21,-6.59,101.67,37.8,12.1,14.2
10.51,6.27,-6.57,101.74,36,11.8,14.3
10.58,6.28,-6.52,101.65,38.6,11.7,13.8
10.64,-1.92,-8.64,103.04,37,12.2,14.6
10.7,11,-6.43,102.43,36.5,12,13.5
10.83,5.36,-8.8,101.87,36.3,12.2,13
10.89,4.94,-1.61,95.92,35.5,11.9,13.4
10.96,14.37,2.14,100.65,35.4,11.7,13.3
11.02,10.02,-3.94,101.67,36.2,12.1,15
11.15,-5.72,3.8,98.26,36.5,11,17.6
11.21,3.44,3.65,104.03,34.1,11.7,18.2
