# time (s), x(cm), y(cm), Turning Angle
0.78,7.4,10.1,-108.45
0.85,6.9,10.1,-104.75
0.91,6.3,10,-101.39
0.97,5.9,10,-103.83
1.03,5.4,9.8,-108.37
1.1,5.1,9.7,-109.88
1.16,4.7,9.5,-110.53
1.22,4.3,9.3,-110.58
1.28,4,9.2,-115.34
1.34,3.9,9.1,-116.03
1.41,3.9,9.1,-110.22
1.47,4,9.1,-102.85
1.53,3.9,9.1,-96.63
1.6,3.9,9.2,-91.01
1.66,3.8,9.2,-83.89
1.72,4.1,9,-117.05
1.79,3.9,9.4,-73.6
1.85,3.9,9.6,-64.92
1.91,3.9,9.6,-54.66
2.03,3.5,9.8,-47.02
2.1,3.6,10,-45.42
2.16,3.6,10.1,-39.98
2.22,3.6,10.2,-34.21
2.28,3.7,10.3,-33.01
2.35,3.7,10.4,-30.54
2.41,3.8,10.6,-29.6
2.47,3.8,10.8,-26
2.53,3.8,10.9,-23.31
2.59,3.8,11.1,-24.08
2.66,3.7,11.3,-22.87
2.72,3.7,11.6,-22.7
2.78,3.7,11.8,-22.93
2.85,3.7,12.1,-18.27
2.91,3.7,12.3,-14.67
2.97,3.7,12.4,-14.25
3.04,3.7,12.7,-13.85
3.1,3.7,13.1,-13.95
3.16,3.7,13.3,-13.09
3.22,3.7,13.6,-13.31
3.29,3.7,14,-14.93
3.35,3.7,14.3,-14.79
3.41,3.8,14.6,-14.01
3.47,3.8,14.9,-12.59
3.53,3.8,15.2,-14.16
3.59,3.7,15.3,-17.63
3.66,3.6,15.3,-19.04
3.72,3.6,15.4,-23.16
3.78,3.6,15.7,-25.14
3.85,3.7,15.8,-28.71
3.91,3.8,15.9,-28.84
3.97,3.8,16,-30.79
4.03,3.9,16.1,-32.85
4.1,3.8,16.2,-33.68
4.16,3.8,16.3,-33.11
4.22,3.9,16.5,-31.8
4.35,3.6,16.9,-31.33
4.41,3.6,17.2,-30.21
4.47,3.5,17.3,-29.93
4.53,3.5,17.5,-28.53
4.6,3.4,17.7,-27.02
4.66,3.2,17.9,-26.47
4.72,3.1,18.1,-24.5
4.78,3.1,18.3,-20.71
4.85,3,18.3,-18.99
4.91,3,18.5,-19.73
4.97,3,18.7,-18.59
5.03,3,18.8,-16.3
5.09,3,18.9,-13.94
5.16,3.1,19,-11.72
5.22,3.1,19.1,-10.49
5.28,2.9,19.3,-8.86
5.34,3,19.4,-8.48
5.41,2.9,19.8,-11.52
5.47,2.8,19.9,-10.09
5.53,2.9,20,-9.83
5.6,2.9,20.1,-7.11
5.66,2.9,20.4,-5.65
5.72,2.8,20.5,-6.73
5.79,2.8,20.7,-9.18
5.85,2.7,20.8,-9.66
5.91,2.6,20.9,-10.2
5.97,2.7,21.1,-8.78
6.04,2.8,21.1,-4.4
6.1,2.9,21.4,-2.08
6.16,2.8,21.7,-1.74
6.23,2.8,21.9,2.26
6.29,2.7,22.1,3.18
6.35,2.7,22.3,5.54
6.42,2.7,22.5,4.55
6.48,2.7,22.6,1.77
6.54,2.9,22.8,0.72
6.6,2.9,23,-1.14
6.67,2.9,23.2,-1.9
6.73,2.9,23.6,-3.76
6.79,3,23.8,-4.1
6.86,3,23.9,-3.4
6.92,3,24,-2.43
6.98,3,24.2,-2.67
7.04,3,24.4,-3.82
7.11,3,24.6,-6.54
7.17,3,24.7,-8.06
7.23,3,25,-10.53
7.3,3,25.1,-12.65
7.36,3,25.4,-14.62
7.42,2.9,25.6,-14.62
7.48,2.9,25.8,-14.57
7.55,2.8,26,-13.89
7.61,2.9,26.2,-11.53
7.67,2.8,26.3,-10.78
7.74,2.8,26.6,-11.74
7.8,2.8,26.5,-19.57
7.86,2.6,26.8,-13.43
7.93,2.5,27,-13.39
7.99,2.5,27.2,-14.78
8.05,2.5,27.4,-16.57
8.12,2.5,27.5,-15.79
8.18,2.6,27.7,-16.56
8.24,2.7,28,-13.32
8.3,2.6,28.2,-11.75
8.37,2.6,28.2,-12.25
8.43,2.7,28.3,-13.45
8.49,2.6,28.4,-12.6
8.55,2.5,28.6,-11.88
8.61,2.5,28.7,-9.67
8.68,2.5,28.8,-8.95
8.74,2.6,28.9,-9.25
8.8,2.6,29,-10.33
8.87,2.4,29.1,-8.01
8.93,2.4,29.3,-8.43
8.99,2.4,29.4,-9.83
9.05,2.4,29.6,-10.81
9.12,2.4,29.8,-11.29
9.18,2.6,29.9,-9.59
9.24,2.7,30.2,-8.92
9.3,2.7,30.4,-9.33
9.37,2.7,30.6,-10.39
9.43,2.6,30.8,-9.18
9.49,2.5,31,-7.14
9.55,2.5,31.2,-7.03
9.62,2.5,31.4,-8.05
9.68,2.6,31.7,-9.69
9.74,2.7,32,-11.23
9.8,2.7,32.2,-11.28
9.87,2.7,32.4,-9.97
9.93,2.8,32.7,-11.59
9.99,2.8,32.9,-11.46
10.05,2.8,33.2,-12.1
10.12,2.8,33.4,-13.07
10.18,2.7,33.6,-13.21
10.24,2.7,33.8,-13.36
10.3,2.6,33.9,-11.64
10.37,2.6,34.1,-12.61
10.43,2.6,34.3,-12.69
10.49,2.6,34.5,-14.35
10.55,2.7,34.7,-14.73
10.62,2.8,35,-12.67
10.68,2.8,35.3,-11.45
10.74,2.9,35.6,-11.79
10.81,2.6,35.7,-10.74
10.87,2.5,35.9,-9.79
10.93,2.4,36.3,-10.17
10.99,2.4,36.6,-11.43
11.06,2.4,37,-13.35
11.12,2.5,37.3,-16.22
11.18,2.6,37.5,-14.9
11.25,2.6,37.8,-13.59
11.31,2.5,38.1,-12.39
11.37,2.5,38.4,-11.31
11.44,2.4,38.6,-9.61
11.5,2.2,38.7,-7.98
11.56,2,38.9,-7.27
11.63,1.9,39.2,-7.97
11.69,1.8,39.5,-9.79
11.75,1.9,39.7,-11.71
11.81,2,40,-12.38
11.88,1.9,40.3,-10.37
11.94,1.9,40.5,-6.99
12,2,40.7,-4.72
12.06,1.9,41,-2.96
12.13,1.9,41.3,-0.95
12.19,1.9,41.6,-2.79
12.25,1.9,41.9,-4.69
12.32,2,42.2,-5.89
12.38,2.2,42.6,-8.99
12.44,2.6,42.1,-11.95
12.51,2.1,43,-13.27
12.57,2.1,43.2,-11.83
12.63,2.1,43.6,-10.23
12.7,1.9,43.9,-9.03
12.76,1.9,44.2,-8.7
12.82,1.9,44.5,-6.85
12.88,1.8,44.9,-12.13
12.95,1.8,45.2,-14.61
13.01,1.7,45.5,-12.82
13.07,1.5,45.8,-13.76
13.13,1.5,46,-13.32
13.2,1.5,46,-12.25
13.26,1.6,46,-10.62
13.32,1.5,46,-9.23
13.39,1.4,46.1,-8.54
13.45,1.4,46.3,-5.84
13.51,1.4,46.4,-5.77
13.57,1.4,46.6,-7.44
13.64,1.4,46.7,-5.67
13.7,1.3,46.8,-3.41
13.76,1.4,46.8,-2.9
13.82,1.4,46.9,-1.8
13.89,1.4,47,-1.8
13.95,1.4,47,-1.7
14.01,1.4,47.1,-2.18
14.07,1.4,47.2,-1.34
14.14,1.4,47.3,-0.51
14.2,1.4,47.3,-1.36
14.26,1.3,47.4,-0.07
14.33,1.3,47.5,1.3
14.39,1.2,47.6,0.94
14.45,1,47.9,-38.23
14.52,1,47.9,-38.21
14.58,1,48,-40.35
14.64,1,48.1,-42.52
15.84,0.5,49.5,-42.2
15.9,0.6,49.6,-38.4
16.4,1.2,50.1,-15.75
17.28,1.2,50,-16.58
17.35,1,49.8,-21.47
17.41,0.9,49.6,-19.21
18.04,1.2,50.4,-13.37
18.1,1.2,50.4,-13.9
18.16,1.2,50.7,-13.99
18.22,1.1,50.9,-20.1
18.28,1.1,50.9,-14.76
18.35,0.4,53.5,-65.57
18.41,1.1,51.3,-16.62
18.47,1.2,51.5,-17.83
18.54,1.3,51.6,-18.01
18.6,1.4,51.8,-18.13
18.66,1.3,52.3,-18.41
18.72,1.3,52.8,-21.76
18.79,1.2,52.9,-22.4
18.85,1.2,53,-21.78
18.98,0.2,53.5,-79
19.04,1.2,53.4,-17.9
19.1,1.2,53.5,-16.39
19.16,1.2,53.5,-13.76
19.22,1.2,53.5,-11.99
19.28,1.2,53.6,-9.67
19.34,1.3,53.6,-8.46
19.41,1.3,53.6,-7.89
19.47,1.2,53.7,-8.79
19.53,1.3,53.6,-36.88
19.6,1.1,53.8,-10.09
19.66,1.1,53.9,-3.84
19.72,1.1,54,-11.57
19.78,1.1,54,-11.46
19.84,1.1,54.1,-10.08
19.91,1.1,54.1,-10.75
19.97,1.2,54.2,-7.7
20.03,1.3,54.2,-6.51
20.1,1.3,54.2,-6.74
20.16,1.3,54.2,-6.29
20.22,1.3,54.2,-5.53
20.28,1.3,54.2,-5.41
20.35,1.3,54.2,-3.93
20.41,1.3,54.2,-5.03
20.47,1.3,54.2,-5.19
20.54,1.3,54.2,-4.87
20.6,1.3,54.2,-4.69
20.66,1.3,54.2,-4.93
20.73,1.3,54.2,-4.43
20.79,1.3,54.3,-3.67
20.85,1.2,54.3,-4.55
20.91,1.2,54.4,-5.3
20.98,1.1,54.5,-7.61
21.04,1.1,54.6,-7.61
21.1,1,54.7,-7.74
21.17,1,54.7,-6.91
21.23,1,54.7,-7.91
21.29,1,54.8,-5.8
21.36,1,54.8,-4.47
21.42,1,54.8,-3.58
21.48,1,54.9,-3.34
21.54,1,54.9,-3.54
21.61,1,54.9,-2.35
21.67,1,55,-1.51
21.73,1,55,-2.16
21.8,1,55.1,-2.46
21.86,1,55.1,-3.21
21.92,1.1,55.1,-4.1
21.98,1,55.2,-3.75
22.05,1,55,-4.19
22.11,0.9,54.9,-3.38
22.17,1,54.9,-3.38
22.23,1,55,-3.02
22.29,1,55.2,-3.63
