# time (s), x(cm), y(cm), Turning Angle
0.2,8.1,8.7,-152.76
0.41,8,8.6,-153.35
0.47,8,8.6,-153.13
0.53,7.9,8.5,-153.18
0.59,5.6,6.4,137.42
0.66,7.7,8.3,-152.66
0.72,7.6,8.1,-151.2
0.78,7.5,8,-150.16
0.85,7.3,7.9,-149.59
0.91,7.3,7.9,-148.94
0.97,7.2,7.8,-147.83
1.03,7.1,7.7,-147.04
1.09,7.1,7.6,-147.16
1.16,7,7.5,-146.99
1.22,7,7.4,-147.6
1.28,7,7.3,-147.99
1.34,6.9,7.2,-148.08
1.41,6.8,7,-148.28
1.47,6.8,6.9,-148.26
1.53,6.7,6.8,-148.12
1.59,6.6,6.7,-148.02
1.66,6.5,6.6,-147.79
1.72,6.4,6.6,-147.29
1.78,6.3,6.5,-146.66
1.84,6.2,6.4,-146.13
1.91,6.1,6.3,-145.7
1.97,6.1,6.2,-146.06
2.03,6,6.1,-146.08
2.09,6,6.1,-146.24
2.16,5.9,6,-145.84
2.22,5.9,6,-145.89
2.28,5.9,5.9,-145.65
2.41,5.8,5.9,-145.53
2.47,5.8,5.9,-145.81
2.53,5.8,5.9,-145.83
2.6,5.8,5.9,-145.88
2.66,5.8,5.9,-145.92
2.72,5.8,5.9,-145.89
2.78,5.8,5.9,-145.8
2.85,5.8,5.8,-145.39
2.91,5.8,5.8,-144.74
2.97,5.7,5.8,-144.22
3.03,5.7,5.8,-144.01
3.09,5.6,5.8,-143.82
3.16,5.5,5.8,-143.36
3.22,5.5,5.8,-142.63
3.28,5.4,5.7,-141.49
3.34,5.4,5.7,-140.09
3.41,5.3,5.6,-139.38
3.47,5.2,5.6,-138.48
3.53,5.1,5.5,-137.76
3.6,5,5.5,-136.36
3.66,4.9,5.4,-135.32
3.72,4.8,5.4,-134.02
3.78,4.7,5.4,-133.08
3.84,4.6,5.3,-132.34
3.91,4.5,5.3,-131.37
3.97,4.4,5.3,-130.34
4.03,4.3,5.2,-129.35
4.09,4.3,5.2,-128.82
4.16,4.2,5.2,-128.83
4.22,4.2,5.2,-128.41
4.28,4.2,5.1,-129.32
4.34,4.1,5,-129.67
4.41,4.1,5,-129.86
4.47,4.1,4.9,-131.17
4.53,4,4.8,-133.18
4.6,4.1,4.8,-134.85
4.66,4,4.7,-136.96
4.72,4,4.6,-138.51
4.79,4,4.6,-139.79
4.85,4,4.5,-140.46
4.91,4,4.5,-140.69
4.98,4,4.5,-141.02
5.04,4,4.5,-141.71
5.1,3.9,4.4,-141.97
5.17,3.9,4.3,-142.57
5.23,3.8,4.3,-143.05
5.29,3.8,4.3,-143.93
5.35,3.8,4.3,-145.09
5.42,3.8,4.2,-145.72
5.48,3.8,4.2,-146.51
5.54,3.7,4.1,-146.83
5.61,3.7,4.1,-147.64
5.67,3.6,4,-149.16
5.73,3.6,3.9,-150.45
5.8,3.5,3.8,-152.19
5.86,3.4,3.7,-152.59
5.92,3.4,3.6,-153.61
5.98,3.4,3.6,-154.61
6.05,3.4,3.6,-155.83
6.11,3.4,3.6,-156.21
6.17,3.4,3.6,-156.24
6.23,3.4,3.6,-156.07
6.3,3.4,3.6,-156.43
6.36,3.4,3.6,-156.84
6.42,3.4,3.6,-156.54
6.48,3.4,3.6,-156.06
6.55,3.4,3.6,-156.23
6.61,3.5,3.6,-155.81
6.67,3.5,3.7,-155.6
6.73,3.5,3.7,-155.41
6.8,3.5,3.7,-155.19
6.86,3.5,3.7,-154.33
6.92,3.5,3.7,-154.72
6.99,3.8,4,-28.57
7.05,3.4,3.6,-106.11
7.11,3.6,3.8,-151.62
7.17,3.7,3.9,-149.5
7.24,3.7,4,-148.18
7.3,3.7,4.1,-146.64
7.36,3.7,4.1,-143.68
7.42,3.7,4.1,-142.45
7.49,3.8,4.1,-140.32
7.55,3.8,4.2,-138.48
7.61,3.8,4.3,-136.2
7.67,3.8,4.3,-134.62
7.73,3.8,4.4,-132.46
7.8,3.8,4.4,-129.93
7.86,3.8,4.5,-127.25
7.92,3.8,4.5,-126.2
7.98,3.8,4.5,-126.24
8.05,3.8,4.5,-126.14
8.11,3.8,4.5,-126.62
8.17,3.8,4.5,-126.75
8.24,3.8,4.5,-126.84
8.3,3.8,4.5,-126.74
8.36,3.8,4.5,-126.4
8.42,3.8,4.5,-126.29
8.48,3.8,4.5,-126.72
8.55,3.8,4.5,-126.48
8.61,3.8,4.5,-126.33
8.67,3.8,4.5,-127.02
8.73,3.8,4.5,-126.82
8.8,3.8,4.5,-126.7
8.86,3.8,4.5,-126.03
8.92,3.8,4.4,-126.89
8.98,3.8,4.4,-126.75
