# time (s), x(cm), y(cm), Turning Angle
0.06,9.8,10.6,-135.54
0.12,9.7,10.6,-134.47
0.18,9.6,10.6,-132.64
0.25,9.5,10.6,-130.71
0.31,9.4,10.6,-129.61
0.37,9.3,10.6,-128.04
0.44,9.3,10.5,-127.49
0.5,9.2,10.5,-127.26
0.56,9.1,10.4,-126.45
0.62,9.1,10.4,-125.03
0.68,9,10.4,-123.89
0.74,8.9,10.3,-122.72
0.81,8.9,10.3,-121.96
0.87,8.8,10.3,-121.67
0.93,8.7,10.2,-120.86
1,8.6,10.2,-120.3
1.06,8.6,10.1,-119.22
1.12,8.5,10.1,-118.08
1.19,8.4,10,-117.19
1.25,8.3,10,-115.85
1.31,8.2,10,-114.7
1.37,8.1,10,-112.89
1.44,8,10,-111.37
1.5,7.9,10,-108.88
1.56,7.9,10.1,-106.66
1.62,7.8,10.1,-104.53
1.68,7.8,10.1,-103.13
1.74,7.7,10.1,-101.15
1.81,7.6,10.1,-100.01
1.87,7.6,10.1,-99.4
1.93,7.5,10.1,-98.08
2,7.4,10.1,-96.67
2.06,7.4,10.1,-95.6
2.13,7.2,10.1,-94.68
2.19,7.1,10.1,-93.62
2.25,7,10.2,-92.28
2.31,6.9,10.2,-90.59
2.37,6.8,10.2,-87.59
2.44,6.7,10.3,-85.76
2.5,6.6,10.4,-82.91
2.56,6.5,10.5,-80.1
2.62,6.4,10.6,-78.47
2.69,6.3,10.6,-76.72
2.75,6.3,10.7,-75.97
2.81,6.4,10.7,-74.66
2.87,6.4,10.8,-73.33
2.94,6.3,10.8,-71.12
3,6.2,10.9,-69.54
3.06,6.1,10.9,-68.34
3.13,6,11,-66.8
3.19,5.9,11,-65.61
3.25,5.8,11.1,-64.17
3.31,5.7,11.2,-63.11
3.37,5.6,11.2,-61.67
3.44,5.5,11.3,-60.77
3.5,5.4,11.4,-58.71
3.56,5.4,11.6,-55.74
3.62,5.3,11.6,-53.76
3.69,5.3,11.8,-50.97
3.75,5.3,11.8,-48.18
3.81,5.3,11.9,-46.81
3.88,5.2,12,-44.71
3.94,5.1,12,-43.81
4.06,5,12.2,-43.14
4.12,5,12.3,-42.87
4.19,4.9,12.4,-40.84
4.25,4.8,12.5,-38.9
4.31,4.8,12.6,-37.41
4.38,4.8,12.8,-34.79
4.44,4.8,12.9,-31.38
4.51,4.8,13,-28.54
4.57,4.9,13.2,-25.75
4.63,4.9,13.3,-23.46
4.69,4.8,13.4,-21.6
4.75,4.8,13.4,-21.08
4.82,4.7,13.5,-20.04
4.88,4.7,13.6,-19.37
4.94,4.6,13.7,-18.78
5,4.6,13.8,-18.29
5.07,4.7,13.9,-18.18
5.13,4.7,14,-17.88
