1.00,0.00,-41.40,-25.70,11.10,7.80,47.10,5.20,0.00
1.00,0.00,-45.70,-24.50,13.80,11.70,37.00,6.00,0.00
1.00,0.00,-45.90,-23.90,15.10,5.00,28.90,5.40,0.00
1.00,0.00,-45.90,-23.90,15.10,1.40,25.90,6.10,0.00
1.00,0.00,-37.10,-25.00,14.70,2.60,25.20,5.20,0.00
1.00,0.00,-37.10,-23.20,13.20,7.50,25.80,5.20,0.00
1.00,0.00,-37.10,-23.20,13.20,5.80,26.90,4.70,0.00
1.00,0.00,-37.40,-26.60,10.00,4.60,31.10,5.00,0.00
1.00,0.00,-40.70,-26.20,7.80,5.90,44.10,5.50,0.00
1.00,0.00,-43.50,-27.50,7.20,6.40,34.00,5.50,0.00
1.00,0.00,-41.90,-27.40,6.70,14.10,23.50,5.40,0.00
1.00,0.00,-43.50,-28.70,6.90,12.20,22.50,4.80,0.00
1.00,0.00,-44.70,-30.80,4.80,7.80,23.50,4.80,0.00
1.00,0.00,-43.70,-28.40,4.50,5.80,21.90,4.40,0.00
1.00,0.00,-45.90,-29.30,3.40,9.40,23.40,4.20,0.00
1.00,0.00,-44.10,-28.40,4.20,6.90,22.70,4.60,0.00
1.00,0.00,-44.10,-28.40,4.20,7.10,22.80,5.00,0.00
1.00,0.00,-46.50,-28.70,6.40,10.20,21.90,5.80,0.00
1.00,0.00,-45.70,-28.70,6.40,11.40,21.80,5.50,0.00
1.00,0.00,-42.80,-27.10,9.00,8.60,21.50,5.10,0.00
1.00,0.00,-42.80,-27.10,9.00,7.70,29.10,5.80,0.00
1.00,0.00,-38.40,-28.40,8.10,7.80,38.20,5.20,0.00
1.00,0.00,-38.40,-28.40,8.10,11.30,42.30,5.00,0.00
1.00,0.00,-40.40,-25.70,11.80,10.70,24.20,5.50,0.00
1.00,0.00,-45.30,-27.10,9.70,12.20,23.40,5.70,0.00
1.00,0.00,-42.00,-27.10,9.00,12.00,26.60,5.20,0.00
1.00,0.00,-42.00,-27.10,9.00,10.10,37.90,5.30,0.00
1.00,0.00,-38.90,-27.40,9.30,12.20,37.80,5.80,0.00
1.00,0.00,-38.40,-26.90,9.30,13.40,40.40,5.30,0.00
1.00,0.00,-38.40,-26.90,9.30,14.60,43.10,5.00,0.00
1.00,0.00,-40.40,-26.60,8.80,13.50,44.90,4.90,0.00
1.00,0.00,-40.50,-26.80,7.90,9.90,43.10,5.20,0.00
1.00,0.00,-37.20,-27.50,6.90,14.20,37.40,4.80,0.00
1.00,0.00,-41.10,-26.20,9.30,12.30,37.20,5.20,0.00
1.00,0.00,-42.00,-26.80,9.00,10.90,31.50,5.50,0.00
1.00,0.00,-41.90,-26.60,7.30,11.90,43.80,4.90,0.00
1.00,0.00,-41.10,-25.40,8.80,14.50,49.00,5.20,0.00
1.00,0.00,-40.40,-26.20,8.80,16.10,46.50,5.20,0.00
1.00,0.00,-38.90,-28.40,7.00,15.90,46.70,4.50,0.00
1.00,0.00,-38.90,-28.40,7.00,12.00,47.10,5.20,0.00
1.00,0.00,-43.70,-26.60,8.80,11.40,33.50,5.20,0.00
1.00,0.00,-40.70,-27.70,8.50,12.60,52.30,4.90,0.00
1.00,0.00,-38.40,-28.90,5.50,15.50,42.60,4.90,0.00
1.00,0.00,-38.00,-29.00,9.00,14.30,42.10,4.80,0.00
1.00,0.00,-40.40,-26.20,10.30,12.30,56.40,4.60,0.00
1.00,0.00,-42.00,-26.80,9.70,11.10,47.50,5.20,0.00
1.00,0.00,-42.90,-27.70,9.30,13.00,53.00,5.20,0.00
1.00,0.00,-42.00,-25.60,10.50,13.20,60.10,5.00,0.00
1.00,0.00,-40.70,-29.30,7.80,14.70,55.90,4.80,0.00
1.00,0.00,-37.50,-29.00,8.40,14.10,27.70,4.50,0.00
1.00,0.00,-37.50,-29.00,8.40,16.00,30.70,4.60,0.00
1.00,0.00,-42.00,-24.80,11.70,13.00,49.20,5.20,0.00
1.00,0.00,-42.00,-24.80,11.70,11.80,48.90,5.40,0.00
1.00,0.00,-42.90,-25.70,10.00,12.70,54.40,5.50,0.00
1.00,0.00,-43.40,-26.20,10.30,12.90,56.80,5.30,0.00
1.00,0.00,-44.10,-26.20,10.60,13.40,54.00,5.30,0.00
1.00,0.00,-41.00,-28.00,11.70,12.30,56.80,5.30,0.00
0.00,0.00,-43.40,-28.40,9.30,12.20,52.70,5.00,0.00
1.00,0.00,-38.90,-28.10,7.30,13.00,34.20,4.70,0.00
1.00,0.00,-38.90,-28.10,7.30,13.50,27.50,5.00,0.00
1.00,0.00,-36.60,-27.70,8.80,12.10,27.50,5.10,0.00
1.00,0.00,-41.00,-25.30,16.00,8.10,28.90,5.70,0.00
1.00,0.00,-39.80,-22.10,18.10,4.80,29.50,5.20,0.00
1.00,0.00,-40.40,-21.50,17.20,6.60,36.40,4.80,0.00
1.00,0.00,-41.00,-24.80,10.90,4.20,45.00,4.70,0.00
1.00,0.00,-41.00,-24.80,10.90,7.40,27.60,5.60,0.00
1.00,0.00,-43.80,-25.60,11.20,17.30,23.10,5.70,0.00
1.00,0.00,-43.40,-26.90,9.60,16.40,22.50,5.10,0.00
1.00,0.00,-43.80,-27.50,6.10,9.60,23.50,5.40,0.00
1.00,0.00,-43.80,-27.50,6.10,8.30,22.60,4.50,0.00
1.00,0.00,-44.60,-27.50,4.60,6.70,22.00,4.60,0.00
1.00,0.00,-44.60,-28.00,7.20,6.30,22.20,5.20,0.00
1.00,0.00,-47.50,-29.00,8.40,14.10,21.30,5.40,0.00
1.00,0.00,-46.90,-28.90,6.00,12.30,21.70,4.80,0.00
1.00,0.00,-45.40,-28.90,7.00,11.00,23.00,4.50,0.00
1.00,0.00,-42.90,-28.10,6.00,7.50,34.00,4.70,0.00
1.00,0.00,-42.90,-28.10,6.00,12.70,33.20,5.00,0.00
1.00,0.00,-41.00,-28.70,6.10,8.70,28.80,5.20,0.00
1.00,0.00,-41.00,-28.70,6.10,8.30,25.70,5.30,0.00
1.00,0.00,-45.00,-27.10,8.70,11.80,23.20,5.60,0.00
1.00,0.00,-45.00,-26.80,10.20,13.80,23.10,5.30,0.00
1.00,0.00,-44.30,-28.30,7.90,13.90,25.30,5.50,0.00
1.00,0.00,-44.30,-28.30,7.90,12.80,25.40,5.00,0.00
1.00,0.00,-44.10,-27.70,8.80,16.30,46.80,4.30,0.00
1.00,0.00,-38.30,-29.50,3.90,16.50,120.00,4.80,0.00
1.00,0.00,-38.10,-29.60,4.50,16.20,38.70,4.80,0.00
1.00,0.00,-38.10,-29.60,4.50,14.80,31.60,5.80,0.00
1.00,0.00,-45.90,-26.90,11.40,13.60,23.90,5.50,0.00
1.00,0.00,-46.60,-27.70,11.40,14.40,30.20,5.50,0.00
1.00,0.00,-39.80,-29.00,9.00,15.60,62.10,4.80,0.00
1.00,0.00,-42.00,-29.50,8.70,17.60,60.30,4.60,0.00
1.00,0.00,-44.60,-27.10,7.20,14.60,42.50,5.10,0.00
1.00,0.00,-45.40,-26.60,10.60,12.30,31.00,5.30,0.00
1.00,0.00,-45.90,-27.70,10.00,13.10,41.30,5.10,0.00
1.00,0.00,-39.20,-26.60,9.30,13.40,36.30,5.20,0.00
1.00,0.00,-39.00,-26.80,9.40,16.00,34.00,5.20,0.00
1.00,0.00,-39.00,-26.80,9.40,14.90,52.70,5.30,0.00
1.00,0.00,-44.30,-27.50,8.70,15.40,68.10,4.50,0.00
1.00,0.00,-44.30,-27.50,8.70,16.10,64.80,4.70,0.00
0.00,0.00,-41.30,-27.10,10.20,15.00,49.20,5.20,0.00
1.00,0.00,-37.80,-26.60,9.30,15.30,28.20,5.00,0.00
1.00,0.00,-38.30,-27.50,7.60,17.90,26.00,5.80,0.00
1.00,0.00,-37.80,-28.40,7.30,16.00,41.30,5.20,0.00
1.00,0.00,-39.90,-28.90,8.10,16.30,48.40,5.10,0.00
1.00,0.00,-39.80,-28.30,9.40,14.70,47.70,4.50,0.00
1.00,0.00,-41.10,-27.70,8.50,17.90,42.00,4.60,0.00
1.00,0.00,-41.10,-27.70,8.50,16.80,26.40,5.00,0.00
1.00,0.00,-34.40,-27.40,8.80,15.20,20.50,4.60,0.00
1.00,0.00,-34.40,-27.40,8.80,15.30,20.00,4.40,0.00
1.00,0.00,-38.70,-27.50,9.00,14.00,23.80,4.90,0.00
1.00,0.00,-40.40,-26.60,11.10,8.20,42.60,4.40,0.00
1.00,0.00,-42.60,-27.40,12.60,9.10,49.80,4.10,0.00
1.00,0.00,-39.90,-26.60,13.20,9.00,31.00,4.80,0.00
1.00,0.00,-37.80,-28.10,10.60,13.60,19.00,4.50,0.00
1.00,0.00,-37.80,-28.10,10.60,16.90,19.60,4.20,0.00
1.00,0.00,-36.80,-25.60,10.20,12.10,24.20,4.50,0.00
1.00,0.00,-36.80,-25.60,10.20,8.50,28.50,4.30,0.00
1.00,0.00,-39.80,-26.30,12.70,8.30,39.80,4.30,0.00
1.00,0.00,-39.80,-26.30,12.70,10.40,49.10,4.70,0.00
1.00,0.00,-43.50,-26.30,8.70,17.30,39.80,4.80,0.00
1.00,0.00,-42.20,-25.70,7.30,17.00,29.80,5.60,0.00
1.00,0.00,-42.00,-30.20,5.10,17.40,27.30,5.10,0.00
1.00,0.00,-42.00,-30.20,5.10,18.50,22.50,4.50,0.00
