# time (s), motion, state, mx, my, mz, distF (cm), distL (cm), distR (cm)
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.06,1.00,0.00,-10.60,22.90,-13.00,20.10,5.90,24.80
0.12,1.00,0.00,-10.60,22.90,-13.00,19.80,5.80,27.70
0.18,1.00,0.00,-10.80,20.80,-12.60,19.70,5.50,29.30
0.24,1.00,0.00,-11.20,22.00,-14.70,19.60,5.10,53.20
0.31,1.00,0.00,-9.90,19.90,-15.20,19.40,5.10,67.50
0.37,1.00,0.00,-8.20,17.30,-16.90,18.90,5.10,69.40
0.44,1.00,0.00,-8.20,17.30,-16.90,18.90,5.10,66.30
0.50,1.00,0.00,-8.20,17.80,-15.80,18.30,4.90,75.30
0.56,1.00,0.00,-11.10,19.40,-14.50,18.30,5.20,64.00
0.63,1.00,0.00,-11.10,19.40,-14.50,18.90,5.60,43.20
0.69,1.00,0.00,-8.40,23.30,-12.70,18.90,5.40,37.60
0.75,1.00,0.00,-10.00,21.50,-10.30,18.50,5.80,58.30
0.81,1.00,0.00,-10.30,22.10,-6.10,18.30,4.90,65.10
0.88,1.00,0.00,-10.00,20.80,-4.80,18.50,4.90,60.20
0.94,1.00,0.00,-11.20,21.20,-8.10,17.60,5.10,64.00
1.01,1.00,0.00,-11.20,21.20,-8.10,17.40,4.00,61.70
1.07,1.00,0.00,-9.30,18.50,-4.20,17.10,3.80,59.80
1.13,1.00,0.00,-9.60,21.80,-7.90,17.70,6.20,24.10
1.20,1.00,0.00,-9.30,23.20,-8.10,17.80,6.10,24.80
1.26,1.00,0.00,-9.30,23.20,-8.10,17.10,5.50,52.10
1.32,1.00,0.00,-10.00,19.30,-6.00,17.00,5.60,51.50
1.39,1.00,0.00,-10.30,22.90,-6.10,17.70,5.80,39.40
1.45,1.00,0.00,-9.00,22.00,-6.30,16.60,5.60,57.30
1.51,1.00,0.00,-8.40,20.20,-4.30,16.10,4.80,59.90
1.58,1.00,0.00,-10.80,17.80,-3.40,16.80,5.20,45.70
1.64,1.00,0.00,-10.80,17.80,-3.40,16.80,5.30,42.60
1.71,1.00,0.00,-12.30,23.20,-2.20,16.20,5.10,68.00
1.77,1.00,0.00,-12.10,21.40,-1.00,16.20,5.10,64.00
1.83,1.00,0.00,-10.30,23.60,-2.50,16.90,6.10,35.80
1.90,1.00,0.00,-9.70,27.40,-0.40,17.00,5.90,35.50
1.96,1.00,0.00,-10.50,26.90,-1.20,16.90,6.70,28.40
2.02,1.00,0.00,-11.40,24.50,-4.60,16.50,5.50,42.90
2.09,1.00,0.00,-11.40,24.50,-4.60,16.50,5.60,49.40
2.15,1.00,0.00,-10.30,24.50,-1.30,16.60,5.90,44.20
2.21,1.00,0.00,-10.30,25.60,-0.30,16.80,6.20,28.80
2.28,1.00,0.00,-10.30,25.60,-0.30,16.50,6.40,29.10
2.34,1.00,0.00,-11.40,25.30,-1.00,16.30,6.50,35.20
